Code	Presentation	Form	Dosage	Amount	Route 	Agent	Manufacturer	Country
416	1 x 1ml	Injectable	40mg/ml	1	IM/Intraarticular/intralesional/intrarectal	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
417	1x2ml	Injectable	80mg/2ml	2	IM/Intraarticular/intralesional/intrarectal	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
437	1 x 2ml	Injectable	250mg	2	Infusion/IV/IM	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
439	1 x 1ml	Injectable	40mg	1	Infusion/IV/IM	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
441	8ml	Injectable	500mg	8	Infusion/IV/IM	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
442	16ml	Injectable	1g	16	Infusion/IV/IM	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
449	5amp x 1ml	Sterile solution	500mcg/ml	5	Infusion/intraarteriel 	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
465	14	Hard Gastro-resistant Capsule	20mg	14	Oral	Droguerie Phenicia	Normon SA	Spain
480	30	Tablet	50mg	30	Oral	Droguerie Phenicia	Industrias Farmaceuticas Almirall, S.A.	Spain
481	30	Tablet	100mg	30	Oral	Droguerie Phenicia	Industrias Farmaceuticas Almirall, S.A.	Spain
482	20	Tablet, film coated	100mg	20	Oral	Droguerie Phenicia	Industrias Farmaceuticas Almirall, S.A.	Spain
484	20	fct rond without section	10mg	20	Oral	Droguerie Phenicia	Industrias Farmaceuticas Almirall, S.A.	Spain
490	50	Capsule, soft gelatin	250LSU	50	Oral	Droguerie Phenicia	Alfasigma SpA	Italy
491	10	Ampoule IV/IM	600LSU/2ml	20	IV/IM	Droguerie Phenicia	Alfasigma SpA	Italy
508	30ml	Scalp application	0.1%		Topical, Scalp	Abela Frères S.A.L.	Aspen Bad Oldesloe GmbH	Germany
509	(1+1)	Vial pouder /Prefilled syringe solvent	75IU	1	SC	Food & Drug Corporation FDC	Merck Serono SA	Switzerland
511	125ml	Suspension	200mg/5ml	125	Oral	Abela Frères S.A.L.	Aspen Bad Oldesloe GmbH	Germany
513	1	Vial	500mg		Infusion 	Abela Frères S.A.L.	Baxter Oncology GmbH	Germany
515	1	Vial	500mg		Infusion 	Abela Frères S.A.L.	Baxter Oncology GmbH	Germany
516	1	Vial	1g		Infusion 	Abela Frères S.A.L.	Baxter Oncology GmbH	Germany
518	15x4ml	Ampoule	400mg/4ml	60	Infusion/IV	Abela Frères S.A.L.	Baxter Oncology GmbH	Germany
519	200 metered actuations	Suspension for inhalation in pressurised can	100mcg/dose	200	Respiratory	Abela Frères S.A.L.	GlaxoWellcome Production	France
521	1Vial	Vial pouder /Prefilled syringe solvent	0.25mg	1	SC	Food & Drug Corporation FDC	Baxter Oncology GmbH	Germany
522	7+7	Vial pouder /Prefilled syringe solvent	0.25mg	7	SC	Food & Drug Corporation FDC	Baxter Oncology GmbH	Germany
528	50	Tablet, prolonged release	500mg	50	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
529	100ml	Oral solution	300mg/ml	100	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
530	30	Tablet, film coated	100mg	30	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
531	50	Tablet	600mg	50	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
542	1	Ampoule	250mg/ml	1	IM	Droguerie R. Pharaon & Fils S.A.L.	Bayer AG	Germany
544	21	Tablet, film coated			Oral	Droguerie R. Pharaon & Fils S.A.L.	Bayer AG	Germany
545	21	Tablet, film coated		21	Oral	Droguerie R. Pharaon & Fils S.A.L.	Delpharm Lille SAS	France
550	35	Tablet	400mg	35	Oral	Levant Alie Houses S.A.L.	Artesan Pharma GmbH & Co. KG	Germany
554	1	Prefilled syringe	20mg/2ml	2	Intraarticular	C. Catafago & Co	Fidia Farmaceutici SpA	Italy
557	50Cartouches x 1.8ml	Injectable solution	1/100,000	90	Intraoral	Droguerie Tamer SAL	Septodont	France
570	10	Injection	5mg/5ml	50	IV/IM/Infusion/rectal	Droguerie Phenicia	Normon SA	Spain
571	60g	Cream	1.5%	60	Topical	Droguerie Phenicia	Almirall Hermal GmbH	Germany
572	5	Injection	100mg/2ml	10	IV/IM/SC	Droguerie Phenicia	Normon SA	Spain
573	20	Tablet, film coated	200mg	20	Oral	Food & Drug Corporation FDC	Famar Lyon	France
579	2.5ml	Eye drops solution		2.5	Ophtalmic	Mectapharm S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
585	2g	Cream	5% w/w		Topical	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
603	20ml	Respirator solution	5mg/ml	20	Respiratory	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
611	30g	Cream	0.1% w/w		Topical	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
612	30g	Ointment	0.1% w/w		Topical	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
618	10	Tablet, film coated	250mg	10	Oral	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
622	50ml	Suspension	125mg/5ml	50	Oral	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
624	120 metered spray	Nasal spray	50mcg/actuation	120	Nasal	Sadco	GlaxoWellcome SA	Spain
637	60doses	Suspension for inhalation	250mcg/actutaion	60	Respiratory	Abela Frères S.A.L.	GlaxoWellcome Production	France
638	60doses	Suspension for inhalation	125mcg/actuation	60	Respiratory	Abela Frères S.A.L.	GlaxoWellcome Production	France
639	120doses	Suspension for inhalation	50mcg/actuation	120	Respiratory	Abela Frères S.A.L.	GlaxoWellcome Production	France
688	5	Injection	250mg		Infusion 	Abela Frères S.A.L.	GlaxoSmithKline Manufacturing SpA	Italy
730	20	Tablet	375mg	20	Oral	Abela Frères S.A.L.	SmithKline Beecham Ltd	UK
731	100ml	Powder for suspension	156.25mg/5ml	100	Oral	Abela Frères S.A.L.	SmithKline Beecham Ltd	UK
733	100ml	Powder for suspension	312.5mg/5ml	100	Oral	Abela Frères S.A.L.	SmithKline Beecham Ltd	UK
753	30ml	Suspension	100mg/5ml	30	Oral	Picomed SARL	Pharma International Co	Jordan
754	60ml	Suspension	100mg/5ml	60	Oral	Picomed SARL	Pharma International Co	Jordan
755	10	Vial	1g		Infusion/IV	Picomed SARL	Pharma International Co	Jordan
759	20g	Cream			Topical	Picomed SARL	Pharma International Co	Jordan
760	10	Tablet	200mg	10	Oral	Picomed SARL	Pharma International Co	Jordan
761	50ml	Suspension	100mg/5ml	50	Oral	Picomed SARL	Pharma International Co	Jordan
765	5	Plasters	1%		Transdermal	Alisar Pharma Corp	Altegron Italia Srl	Italy
767	10	Granules	50mg	10	Oral	Alisar Pharma Corp	IBSA	Switzerland
771	60g	Cream		60	Topical	Alisar Pharma Corp	IBSA	Switzerland
772	10	Gauze			Topical	Alisar Pharma Corp	IBSA	Switzerland
786	10	Tablet, film coated	500mg	10	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
790	100ml	Syrup	312mg/5ml	100	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
792	20	Tablet	625mg	20	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
793	14	Tablet	1g	14	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
794	14	Capsule	30mg	14	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
796	20	Tablet	50mg	20	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
797	20	Tablet	50mg	20	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
798	10	Tablet	100mg	10	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
803	20	Tablet	10mg	20	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
804	100ml	Syrup	5mg/5ml	100	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
806	70ml	Suspension	457mg/5ml	70	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
808	6	Capsule	250mg	6	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
845	10x5ml	Ampoule Infusion 	250mg/5ml	50	Infusion 	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
850	5x1ml	Ampoule	0.1mg/ml	5	SC	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
856	14	Tablet	250mg	14	Oral	Khalil Fattal & Fils S.A.L.	Novartis Pharma Produktions GmbH, Wehr	Germany
867	50	Capsule	25mg	50	Oral	Khalil Fattal & Fils S.A.L.	Catalent Germany Eberbach GmbH	Germany
868	50	Capsule	50mg	50	Oral	Khalil Fattal & Fils S.A.L.	Catalent Germany Eberbach GmbH	Germany
869	50	Capsule	100mg	50	Oral	Khalil Fattal & Fils S.A.L.	Catalent Germany Eberbach GmbH	Germany
870	50ml	Oral Solution	100mg/ml	50	Oral	Khalil Fattal & Fils S.A.L.	Delpharm Huningue SAS Huningue	France
885	2x15	Tablet	10mg	30	Oral	Droguerie Fattal  S.A.L.	Novartis Farmaceutica SA   	Spain
889	60	Capsule	12mcg	60	Respiratory	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
890	30	Tablet, film coated	2.5mg	30	Oral	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
893	500's (50x10)	Capsule	500mg	500	Oral	Levant Alie Houses S.A.L.	Vogen Laboratories Ltd	Cyprus
897	56	Tablet	850mg	56	Oral	Droguerie Columbus	Remedica Ltd 	Cyprus
899	10x100Blis	Capsule	500mg	1,000	Oral	Droguerie Columbus	Remedica Ltd 	Cyprus
955	1Vial	Injection	30mg/5ml	5	Infusion 	Food & Drug Corporation FDC	Hospira Australia pty Ltd	Australia
956	1 Vial	Injection	150mg/25ml	25	Infusion 	Food & Drug Corporation FDC	Hospira Australia pty Ltd	Australia
957	6 Bottles x240ml /Pack	Oral Solution		1440	Oral	Pharmamed	Pharmaceutical Solutions Industry Ltd	Saudi Arabia
958	1	Solution	500mg/100ml	100	Infusion 	Pharmamed	Pharmaceutical Solutions Industry Ltd	Saudi Arabia
966	10 Ampoules	Injection	1%	50	IV	Pharmamed	CP Pharmaceuticals	UK
968	30	Capsule, soft 	100mg	30	Oral/Vaginal	Mediterranean Pharmaceutical Company	Laboratorio Leon Farma SA	Spain
969	15	Capsule, soft 	200mg	15	Oral/Vaginal	Mediterranean Pharmaceutical Company	Laboratorio Leon Farma SA	Spain
973	100	Tablet	250mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
974	100	Tablet	100mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
975	100	Tablet	300mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
978	30	Tablet	50mg	30	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
983	100	Tablet	200mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
988	100	Tablet	40mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
993	100	Tablet	10mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
998	100	Tablet	100mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
1001	100	Tablet	10mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
1002	100	Tablet	40mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
1007	6	Vaginal Tablet		6	Vaginal	New Allpharma	Haupt Pharma Amareg GmbH	Germany
1008	100	Tablet	400mg	100	Oral	Taba Chemipharm	Haupt Pharma Wulfing GmbH	Germany
1009	20	Suppository	500mg	20	Rectal	Taba Chemipharm	Haupt Pharma Wulfing GmbH	Germany
1025	30	Capsule	187mg	30	Oral	Taba Chemipharm	Tilotts Pharma AG	Switzerland
1026	100	Capsule	187mg	100	Oral	Taba Chemipharm	Tilotts Pharma AG	Switzerland
1028	10ml	Vial	100IU/ml	10	SC	Droguerie de l'Union	Eli Lilly & Co	USA
1037	10ml	Vial	100IU/ml	10	SC	Droguerie de l'Union	Eli Lilly & Co	USA
1038	10ml	Vial	100IU/ml	10	IV/SC	Droguerie de l'Union	Eli Lilly & Co	USA
1039	10ml	Vial	100IU/ml	10	SC	Droguerie de l'Union	Eli Lilly & Co	USA
1057	28	Tablet, chewable	5mg	28	Oral	Droguerie de l'Union	Merck Sharp & Dohme Ltd	UK
1058	28	Tablet, film coated	10mg	28	Oral	Droguerie de l'Union	Merck Sharp & Dohme Ltd	UK
1062	30ml	Suspension	100mg/5ml	30	Oral	Droguerie de l'Union	Hikma Pharmaceuticals under license of Astellas Pharma Inc Japan	Jordan
1068	10 x 0.5ml	Injection Ampoule	2mcg/ml	5	IV	UPO S.A.L.	Cenexi 	France
1069	10 x 1ml	Injection Ampoule	2mcg/ml	10	IV	UPO S.A.L.	Cenexi 	France
1083	100	Capsule	1mcg	100	Oral	UPO S.A.L.	Leo Pharma A/S	Denmark
1084	100	Capsule	0.25mcg	100	Oral	UPO S.A.L.	Leo Pharma A/S	Denmark
1086	20ml	Gouttes	2mcg/ml	20	Oral	UPO S.A.L.	Leo Pharma A/S	Denmark
1087	15g	Cream			Topical	UPO S.A.L.	Leo Laboratories Ltd (Leo Pharma)	Ireland
1088	15g	Ointment	2%	15	Topical	UPO S.A.L.	Leo Laboratories Ltd (Leo Pharma)	Ireland
1089	15g	Cream	2%	15	Topical	UPO S.A.L.	Leo Laboratories Ltd (Leo Pharma)	Ireland
1095	1Amp + 1solvent 2ml	Freeze dried flask ampoule injectable	4,000IU	2	IV/SC	Droguerie Phenicia	BioSidus SA	Argentine
1096	1Amp + 1solvent 1ml	Freeze dried flask ampoule injectable	10,000IU	1	IV/SC	Droguerie Phenicia	BioSidus SA	Argentine
1097	1Vial	Injectable	300mcg/ml	5	Infusion/SC	Droguerie Phenicia	BioSidus SA	Argentine
1099	1Vial + 1ml Solvent Ampoule	Injectable freeze dried substance	3MIU	1	IM/SC	Droguerie Phenicia	BioSidus SA	Argentine
1104	14	Tablet	1g	14	Oral	Droguerie de l'Union	Hikma Pharmaceuticals	Jordan
1105	70ml	Suspension	457mg/5ml	70	Oral	Droguerie de l'Union	Hikma Pharmaceuticals	Jordan
1106	70ml	Suspension	228.5mg/5ml	70	Oral	Droguerie de l'Union	Hikma Pharmaceuticals	Jordan
1121	5 x 5ml	Solution Injectable	100mg/5ml	25	Infusion/IV	UPO S.A.L.	Vifor International	Switzerland
1122	6	Capsule	200mg	6	Oral	Droguerie de l'Union	Hikma Pharmaceuticals under license of Astellas Pharma Inc Japan	Jordan
1123	6	Capsule	400mg	6	Oral	Droguerie de l'Union	Hikma Pharmaceuticals under license of Astellas Pharma Inc Japan	Jordan
1124	60ml	Suspension	100mg/5ml	60	Oral	Droguerie de l'Union	Hikma Pharmaceuticals under license of Astellas Pharma Inc Japan	Jordan
1129	100ml	Suspension	156mg/5ml	100	Oral	Droguerie de l'Union	Al-Hikma Pharmaceuticals	Jordan
1130	100ml	Suspension	312mg/5ml	100	Oral	Droguerie de l'Union	Al-Hikma Pharmaceuticals	Jordan
1131	20	Tablet	375mg	20	Oral	Droguerie de l'Union	Al-Hikma Pharmaceuticals	Jordan
1132	15	Tablet	625mg	15	Oral	Droguerie de l'Union	Al-Hikma Pharmaceuticals	Jordan
1134	20	Tablet	500mg	20	Oral	Abela Frères S.A.L.	Al-Hikma Pharmaceuticals	Jordan
1137	10	Tablet	500mg	10	Oral	Abela Frères S.A.L.	Al-Hikma Pharmaceuticals	Jordan
1139	10	Tablet, film coated	500mg	10	Oral	Droguerie de l'Union	Al-Hikma Pharmaceuticals	Jordan
1141	10	Tablet	10mg	10	Oral	Abela Frères S.A.L.	Al-Hikma Pharmaceuticals	Jordan
1151		Plaster	0.27%		Transdermal	The Lebanese Pharmacists SAL	Alexandria Company for Pharmaceuticals & Chemical Industries	Egypt
1157	24	Caplet		24	Oral	Sadco	Aspen Pharma Pty Ltd	Australia
1161	300g	Powder	15g	300	Oral/Rectal	Mersaco	Sanofi Winthrop Industrie	France
1162	454g	Powder	99.934%w/w	454	Oral/Rectal	Mersaco	Sanofi Winthrop Industrie	France
1163	50g	Cream	1%	50	Topical	Sadco	Recipharm  Parets SL	Spain
1164	500g	Cream	1%	500	Topical	Sadco	Recipharm  Parets SL	Spain
1167	100	Tablet, film coated	100mg	100	Oral	Sadco	Merz Pharma GmbH & Co KGaA	Germany
1169	20g	Gel		20	Topical	Sadco	Merz Pharma GmbH & Co KGaA	Germany
1177	20	Tablet	20mg	20	Oral	Sadco	Chiesi Farmaceutici SpA	Italy
1179	200doses 	Spray	250mcg/actuation	200	Respiratory	Sadco	Chiesi Farmaceutici SpA	Italy
1191	Ecoflac Plus Bottles 100ml	Infusion IV	500mg/100ml	100	Infusion 	Droguerie de l'Union	B. Braun Melsungen AG	Germany
1192	500ml	Emulsion IV Infusion 	10%	500	Infusion 	Droguerie de l'Union	B. Braun Melsungen AG	Germany
1193	500ml	Emulsion IV Infusion 	20%	500	Infusion 	Droguerie de l'Union	B. Braun Melsungen AG	Germany
1194	15ml	Nasal Spray	0.1%	15	Nasal	Macromed S.A.R.L.	Ursapharm Arzeinmittel GmbH 	Germany
1204	30	Capsule		30	Oral	Sadco	Rowa Wagner GmbH & Co KG	Germany
1205	30	Capsule		30	Oral	Sadco	Rowa Wagner GmbH & Co KG	Germany
1210	24	Tablet, coated	3,000U. CEIP	24	Oral	Mersaco	Sanofi Winthrop Industrie	France
1211	125ml	Sirop	200U.CEIP/ml	125	Oral	Mersaco	Unither Liquid Manufacturing	France
1239	200ml	Syrup	15mg/5ml	200	Oral	Sadco	Chiesi Farmaceutici SpA	Italy
1240	30	Tablet	30mg	30	Oral	Sadco	Chiesi Farmaceutici SpA	Italy
1241	28	Tablet, film coated	10mg	28	Oral	Sadco	H. Lundbeck AS	Denmark
1248	28	Tablet, film coated	10mg	28	Oral	Sadco	H. Lundbeck AS	Denmark
1253	1x1ml	Ampoule	200mg/ml	1	IM	Sadco	H. Lundbeck AS	Denmark
1255	1x2ml	Injection	100mg/2ml	2	IM	Sadco	H. Lundbeck AS	Denmark
1256	28	Tablet, film coated	20mg	28	Oral	Sadco	H. Lundbeck AS	Denmark
1260	28	Suppository	1g	28	Rectal	Sadco	Ferring International Center SA	Switzerland
1263	4 x 2ml	Ampoule	250mg	8	IV/IM	UPO S.A.L.	OM Pharma SA	Switzerland
1271	30	Capsule	6mg	30	Oral	UPO S.A.L.	OM Pharma SA	Switzerland
1274	20	Dragée		20	Oral	Pharmaceutica S.A.R.L.	Dr Grossmann AG Pharmaca 	Switzerland
1277	10	Tablet	100mg	10	Oral	Mediterranean Pharmaceutical Company	Dr Grossmann AG Pharmaca 	Switzerland
1278	20	Tablet	50mg	20	Oral	Mediterranean Pharmaceutical Company	Dr Grossmann AG Pharmaca 	Switzerland
1290	1	Vial	10mg	1	Infusion 	Food & Drug Corporation FDC	Pharmacia Italia SpA	Italy
1292	2.5ml	Eye drops	50mcg/ml	2.5	Ophtalmic	Mectapharm S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
1301	2	Tablet	0.5mg		Oral	Food & Drug Corporation FDC	Pfizer Italia SRL	Italy
1302	8	Tablet	0.5mg		Oral	Food & Drug Corporation FDC	Pfizer Italia SRL	Italy
1309	100	Tablet	25mcg	100	Oral	Food & Drug Corporation FDC	Merck Healthcare KGaA	Germany
1310	100	Tablet	50mcg	100	Oral	Food & Drug Corporation FDC	Merck Healthcare KGaA	Germany
1311	100	Tablet	100mcg	100	Oral	Food & Drug Corporation FDC	Merck Healthcare KGaA	Germany
1312	100	Tablet	150mcg	100	Oral	Food & Drug Corporation FDC	Merck Healthcare KGaA	Germany
1337	20	Tablet		20	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1338	3	Ampoule		9	IM	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1340	30	Tablet	30mg	30	Oral	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan
1341	135ml	Suspension, alcohol free	250mg/5ml	135	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1342	24	Caplet		24	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1343	24	Caplet		24	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1350	2	Tablet	200mg	2	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1351	20ml	Suspension	400mg/20ml	20	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1352	120ml	Expectorant Syrup, sugar free		120	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1356	28	Tablet	1mg	28	Oral	Omnipharma	AstraZeneca Pharmaceuticals LP	USA
1362	15ml	Powder for oral suspension  + solvent	200mg/5ml	15	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1363	6	Capsule	250mg	6	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1369	20	Dragée		20	Oral	Khalil Fattal & Fils S.A.L.	Dragenopharm Apotheker Puschl GmbH	Germany
1372	30g	Ointment	5%	30	Topical	Khalil Fattal & Fils S.A.L.	GP Grenzach Produktions GmbH	Germany
1373	30g	Cream	5%	30	Topical	Khalil Fattal & Fils S.A.L.	GP Grenzach Produktions GmbH	Germany
1381	28	Tablet	8mg	28	Oral	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan
1382	28	Tablet	16mg	28	Oral	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan
1383	120ml	Syrup, sugar free	2mg/5ml	120	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1384	200 metered doses	Inhaler (CFC free)	100mcg/dose	200	Respiratory	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1385	15	Tablet		15	Oral	Khalil Fattal & Fils S.A.L.	Delpharm Gaillard	France
1386	60	Tablet	600mg	60	Oral	Sadco	Pf Consumer Healthcare Canada ULC	Canada
1394	1Vial	IM/IV Sterile powder for injection	750mg		IV/IM	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1395	10	Tablet	500mg	10	Oral	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1402	5Ampoules	Injection	75mg/3ml	15	IM	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1403	50g	Creamagel	1%	50	Topical	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
1415	50	Tablet		50	Oral	Mectapharm S.A.L.	Church and Dwight Canada Corp	Canada
