Code	UnitQuantity1	UnityType1	UnitQuantity2	UnityType2	PackageQuantity1	PackageType1	PackageQuantity2	PackageType2	PackageQuantity3	PackageType3	Description
550	35	Pill									35 Pills
554	2	ml			1	Pre-filled syringe					Pre-filled syringe of 2 ml
557	90	ml			50	Cartridge					50 cartridges of 1.8 ml each
570	50	ml			10	non stated					10 non stated of 5 ml each
571	60	g									60 g
572	10	ml			5	non stated					5 non stated of 2 ml each
573	20	Pill									20 Pills
579	2.5	ml									2.5 ml 
585		g			2						2 g
603	20	ml									20 ml 
611		g			30						30 g
612		g			30						30 g 
618	10	Pill									10 Pills
622	50	ml									50 ml
624	120	dose									120 doses
637	60	dose									60doses
638	60	dose									60 doses
639	120	dose									120 doses
688					5	non stated					5 Non Stated
730	20	Pill									20 Pills
731	100	ml									100 ml 
733	100	ml									100 ml 
753	30	ml									30 ml
754	60	ml									60 ml
755					10	vial					10 Vials
759		g			20						20 g
760	10	Pill									10 Pills
761	50	ml									50 ml
765					5	non stated					5 Non Stated
767	10	mg									10 mg
771	60	g									60 g
772					10	Non stated					10 non stated
786	10	Pill									10 Pills
790	100	ml									100 ml 
792	20	Pill									20 Pills
793	14	Pill									14 Pills
794	14	Pill									14 Pills
796	20	Pill									20 Pills
797	20	Pill									20 Pills
798	10	Pill									10 Pills
803	20	Pill									20 Pills
804	100	ml									100 ml
806	70	ml									70 ml
808	6	Pill									6 Pills
845	50	ml			10	ampule					10 ampules of 5 ml each
850	5	ml			5	ampule					5 Ampules of 1 ml each
856	14	Pill									14 Pills
867	50	Pill									50 Pills
868	50	Pill									50 Pills
869	50	Pill									50 Pills
870	50	ml									50 ml
885	30	Pill									30 Pills
889	60	Pill									60 Pills
890	30	Pill									30 Pills
893	500	Pill			50	non stated					50 non stated of 10 pills each
897	56	Pill									56 Pills
899	1,000	Pill			10	non stated					10 non stated of 100 pills each
955	5	ml			1	vial					1 Vial of 5 ml
956	25	ml			1	vial					1 Vial of 25 ml
957	1440	ml			6	Bottle					6 Bottles per pack, 240 ml per bottle
958	100	ml									100 ml 
966	50	ml			10	ampule					10  of 0.8 ml each
968	30	Pill									30 Pills
969	15	Pill									15 Pills
973	100	Pill									100 Pills
974	100	Pill									100 Pills
975	100	Pill									100 Pills
978	30	Pill									30 Pills
983	100	Pill									100 Pills
988	100	Pill									100 Pills
993	100	Pill									100 Pills
998	100	Pill									100 Pills
1001	100	Pill									100 Pills
1002	100	Pill									100 Pills
1007	6	Pill									6 Pills
1008	100	Pill									100 Pills
1009	20	Pill									20 Pills
1025	30	Pill									30 Pills
1026	100	Pill									100 Pills
1028	10	ml			1	vial					1 vial of 10 ml 
1037	10	ml			1	vial					1 Vial of 10 ml 
1038	10	ml			1	vial					1 Vial of 10 ml 
1039	10	ml			1	vial					1 vial of 10 ml 
1057	28	Pill									28 Pills
1058	28	Pill									28 Pills
1062	30	ml									30 ml
1068	5	ml			10	Ampule					10 Ampules of 0.5 ml each
1069	10	ml			10	Ampule					10 Ampules of 1 ml each
1083	100	Pill									100 Pills
1084	100	Pill									100 Pills
1086	20	ml									20 ml
1087		g			15						15 g
1088	15	g									15 g
1089	15	g									15 g
1095	2	ml			1	ampule 	1	ampule			1 ampule and 1 ampule of solvent
1096	1	ml			1	vial	1	ampule			1 vial and 1 ampule of solvent
1097	5	ml			1	vial					1 Vial of 5 ml
1099	1	ml			1	vial	1	ampule			1 vial and 1 ampule of 1 ml
1104	14	Pill									14 Pills
1105	70	ml									70 ml
1106	70	ml									70 ml
1121	25	ml			5	vial					5 vials of 5 ml each
1122	6	Pill									6 Pills
1123	6	Pill									6 Pills
1124	60	ml									60 ml
1129	100	ml									100 ml 
1130	100	ml									100 ml
1131	20	Pill									20 Pills
1132	15	Pill									15 Pills
1134	20	Pill									20 Pills
1137	10	Pill									10 Pills
1139	10	Pill									10 Pills
1141	10	Pill									10 Pills
1151					1	non stated					1 Non Stated
1157	24	Pill									24 Pills
1161	300	g									300 g
1162	454	g									454 g
1163	50	g									50 g
1164	500	g									500 g
1167	100	Pill									100 Pills
1169	20	g									20 g 
1177	20	Pill									20 Pills
1179	200	dose									200 doses
1191	100	ml			1	Bottle					Ecoflac Plus Bottles 100ml
1192	500	ml									500 ml
1193	500	ml									500 ml
1194	15	ml									15 ml
1204	30	Pill									30 Pills
1205	30	Pill									30 Pills
1210	24	Pill									24 Pills
1211	125	ml									125 ml
1239	200	ml									200 ml 
1240	30	Pill									30 Pills
1241	28	Pill									28 Pills
1248	28	Pill									28 Pills
1253	1	ml			1	ampule					1 Ampule of 1 ml
1255	2	ml			1	non stated					1 Non Stated of 2 ml
1256	28	Pill									28 Pills
1260	28	Pill									28 Pills
1263	8	ml			1	Ampule					1 Ampule of 8 ml
1271	30	Pill									30 Pills
1274	20	Pill									20 Pills
1277	10	Pill									10 Pills
1278	20	Pill									20 Pills
1290	1				1	vial					1 Vial
1292	2.5	ml									2.5 ml 
1301		Pill			2						2 Pills
1302		Pill			8						8 Pills
1309	100	Pill									100 Pills
1310	100	Pill									100 Pills
1311	100	Pill									100 Pills
1312	100	Pill									100 Pills
1337	20	Pill									20 Pills
1338	9	ml			3	Ampule					3 Ampules of 3 ml each
1340	30	Pill									30 Pills
1341	135	ml									135 ml 
1342	24	Pill									24 Pills
1343	24	Pill									24 Pills
1350	2	Pill									2 Pills
1351	20	ml									20 ml 
1352	120	ml									120 ml 
1356	28	Pill									28 Pills
1362	15	ml									15 ml
1363	6	Pill									6 Pills
1369	20	Pill									20 Pills
1372	30	g									30 g 
1373	30	g									30 g 
1381	28	Pill									28 Pills
1382	28	Pill									28 Pills
1383	120	ml									120 ml 
1384	200	dose									200 doses
1385	15	Pill									15 Pills
1386	60	Pill									60 Pills
1394					1	vial					1 Vial
1395	10	Pill									10 Pills
1402	15	ml			5	ampule					5 ampules of 3 ml each
1403	50	g									50 g
1415	50	Pill									50 Pills
1416	350	ml									350 ml 
1433	10	ml			10	vial					10 vials of 1 ml each
1434	10	ml			10	vial					10 vials of 1 ml each
1440	15	g									15 g
1453	75	ml									75 ml
1454	30	Pill									30 Pills
1455	10	Pill									10 Pills
1459	7	Pill									7 Pills
1460	3	Pill									3 Pills
1475	20	Pill									20 Pills
1478	20	Pill									20 Pills
1479	12	Pill									12 Pills
1490	100	ml									100 ml
1491	20	Pill									20 Pills
1492	20	ml			2	vial					2 vials of 10 ml each
1493	50	ml			1	vial					1 Vial of 50 ml
1494	100	Pill									100 Pills
1497	20	Pill									20 Pills
1498	100	ml									100 ml
1499	30	g									30 g
1503	20	Pill									20 Pills
1510	28	Pill									28 Pills
1511	28	Pill									28 Pills
1523	15	ml									15 ml 
1525	33	Pill									33 Pills
1527		g			15						15 g
1531	28	Pill									28 Pills
1542	30	g									30 g
1543	20	Pill									20 Pills
1544	14	Pill									14 Pills
1548	15	g									15 g 
1551	10	Pill									10 Pills
1552	14	Pill									14 Pills
1553	14	Pill									14 Pills
1554	14	Pill									14 pills 
1555					1	vial					1 Vial
1556	14	Pill									14 Pills
1557	14	Pill									14 Pills
1559	50	Pill									50 Pills
1564	50	Pill									50 Pills
1570	10	ml			1	vial					1 vial of 10 ml
1571	3.5	ml			1	vial					1 vial of 3.5 ml
1575	10	Pill									10 Pills
1579	5	ml			5	ampule					5 Ampules of 1 ml each
1580	60	Pill									60 Pills
1581	60	Pill									60 Pills
1589	200	ml									200 ml
1591	100	ml									100 ml
1595	120	dose									120 doses
1602	10	Pill									10 Pills
1606	14	Pill									14 Pills
1610	30	Pill									30 Pills
1617					1	vial					1 Vial
1618	2	ml			1	vial	1	ampule			1 vial and 1 ampule of 2 ml
1629	25	Pill									25 Pills
1630					1	vial					1 Vial
1636	50	ml									50 ml 
1641	28	Pill									28 Pills
1642	28	Pill									28 Pills
1643	28	Pill									28 Pills
1644	28	Pill									28 Pills
1646					1	Pre-filled syringe					1 Pre-Filled Syringe
1651	60	Pill									60 Pills
1652	60	Pill									60 Pills
1658	12	Pill									12 Pills
1659	60	ml									60 ml
1660					1	vial	1	ampule			1 vial and 1 ampule
1662	10	Pill									10 Pills
1664	24	Pill									24 Pills
1665	10	Pill									10 Pills
1668	14	Pill									14 Pills
1671	16	Pill									16 Pills
1679	100	ml									100 ml
1681	10	Pill									10 Pills
1682	30	ml									30 ml
1685	20	Pill									20 Pills
1686	24	Pill									24 Pills
1689	30	Pill									30 Pills
1705	9	ml			3	Ampule					3 Ampules of 3 ml each
1709	24	Pill									24 Pills
1710	24	Pill									24 Pills
1711	28	Pill									28 Pills
1712	28	Pill									28 Pills
1713	28	Pill									28 Pills
1720	6	Pill									6 Pills
1721	15	ml									15 ml
1722	22.5	ml									22.5 ml
1725	50	g									50 g
1726	60	ml									60 ml
1727	5	Pill									5 Pills
1728	14	Pill									14 Pills
1731	8	ml			1	vial	1	vial			1 vial and 1 vial of 8 ml
1732	5	ml			1	vial					5 Vials of 5 ml each
1735	20	Pill									20 Pills
1736	10	ml			5	ampule					5 ampules of 2 ml each
1746	20	Pill									20 Pills
1747	14	Pill									14 Pills
1752	0.8	ml			2	Pre-filled syringe					2 Prefilled syringes of 0.4 ml each
1757	1.6	ml			2	Pre-filled syringe					2 Prefilled syringes of 0.8 ml each
1758	1.2	ml			2	Pre-filled syringe					2 Prefilled syringes of 0.6 ml each
1759	0.4	ml			2	Pre-filled syringe					2 Prefilled syringes of 0.2 ml each
1765	10	Pill									10 Pills
1766	16	Pill									16 Pills
1770	10	Pill									10 Pills
1772	10	Pill									10 Pills
1779	8	ml			1	vial					1 Vial of 8 ml
1780	2	ml			1	vial					1 Vial of 2 ml
1781	120	dose									120 doses
1800	100	Pill									100 Pills
1801	100	g									100 g
1808	20	Pill									20 Pills
1809	10	Pill									10 Pills
1811	14	Pill									14 Pills
1812	10	Pill									10 Pills
1819	10	Pill									10 Pills
1820	75	ml									75 ml
1822	20	Pill									20 Pills
1823	10	Pill									10 Pills
1832	30	g									30 g
1835	6	Pill									6 Pills
1837	10	Pill									10 Pills
1839	10	Pill									10 Pills
1840	12	Pill									12 Pills
1842					1	vial					1 Vial
1846	14	Pill									14 Pills
1847	24	Pill									24 Pills
1848	120	ml									120 ml
1849	30	Pill									30 Pills
1850					1	vial					1 Vial
1852	10	Pill									10 Pills
1853	16	Pill									16 Pills
1854	100	ml									100 ml
1855	14	Pill									14 Pills
1857	20	Pill									20 Pills
1858	28	Pill									28 Pills
1859	14	Pill									14 Pills
1860	14	Pill									14 Pills
1861	14	Pill									14 Pills
1862	48	Pill									48 Pills
1864	30	Pill									30 Pills
1865	1	Pill									1 Pill
1867	28	Pill									28 Pills
1869	28	Pill									28 Pills
1870	30	Pill									30 Pills
1872	40	Pill									40 Pills
1877	200	ml									200 ml
1878	40	ml									20 non stated of 2 ml each
1879	40	ml									20 non stated of 2 ml each
2010	30	Pill									30 Pills
2012	28	Pill									28 Pills
2014	1.5	ml			1	Pre-filled pen					1 prefilled pen of 1.5 ml
2015	1.5	ml			1	Pre-filled pen					1 prefilled pen of 1.5 ml
2016	15	ml			5	Pre-filled pen					5 Prefilled pens of 3 ml each
2017	15	ml			5	Pen					5 Pens of 3 ml each
2018	15	ml			5	Penfill					5 Penfills of 3 ml each
2019	15	ml			5	Penfill					5 Penfills of 3 ml each
2023	10	ml			1	vial					1 vial of 10 ml
2025	10	ml			1	vial					1 Vial of 10 ml 
2028	2	ml									2 ml
2029	10	ml			1	vial					1 Vial of 10 ml 
2036	30	Pill									30 Pills
2038	30	Pill									30 Pills
2041	28	Pill									28 Pills
2043	28	Pill									28 Pills
2045	28	Pill									28 Pills
2085	250	ml			50	vial					50 vials of 5 ml each
2096	50	ml			10	ampule					10 ampules of 5 ml each
2097	10	ml			10	ampule					10 ampules of 1 ml each
2124	10	ml			1	vial					1 Vial of 10 ml 
2127	100	ml			10	ampule					10 ampules of 10 ml each
2137					25	vial					25 Vials
2139					25	vial					25 Vials
2140					25	vial					25 Vials
2156	30	Pill									30 Pills
2157	30	Pill									30 Pills
2177	10	ml			10	ampule					10 Ampules of 1 ml each
2179	10	ml			10	ampule					10 Ampules of 1 ml each
2198	5	Pill									5 Pills
2199	7	Pill									7 Pills
2217	10	ml			1	vial	1	 pre-filled syringe			1 vial and 1 pre-filled syringe of 10 ml
2219	1000	ml			50	Non stated					50 Non stated, of 20 ml each
2220	1000	ml			50	Non stated					50 Non stated, of 20 ml each
2222	30	Pill									30 Pills
2224	100	ml			2	vial					2 vials of 50 ml each
2226	2000	ml			200	non stated					200 meterd doses with 10 ml each
2227	10	ml									10 ml 
2241	20	Pill									20 Pills
2248	60	Pill									60 Pills
2249	60	Pill									60 Pills
2250	15	ml			1	vial					1 Vial of 15 ml
2251	48	Pill									48 Pills
2263					25	vial					25 Vials
2265	28	Pill									28 Pills
2266					25	Bottle					25 Bottles
2267					25	Bottle					25 Bottles
2268					25	Bottle					25 Bottles
2271					25	Bottle					25 Bottles
2272					25	vial					25 Vials
2273					10	vial					10 Vials
2277	10	ml									10 ml 
2279	10	ml			10	ampule					10 ampules of 1 ml each
2280	10	ml			10	ampule					10 ampules of 1 ml each
2281	50	ml			10	ampule					10 ampules of 5 ml each
2282	100	ml			10	Non stated					10 Non stated, of 10 ml each
2283	100	ml			10	ampule					10 Ampules of 10 ml each
2284	1000	ml			50	ampule					50 ampules of 20 ml each
2285	1000	ml			100	ampule					100 Ampules of 10 ml each
2287	1000	ml			50	ampule					50 ampules of 20 ml each
2288					30	Packet / Sachet					30 Packets / Sachets
2289	20	Pill									20 Pills
2293	500	ml			5	Bottle					5 bottles of 100 ml each
2295	10	Pill			1	Box					1 box of 10 pills
2308	28	Pill									28 Pills
2322	10	Pill			1	Box					1 box of 10 pills
2326	28	Pill									28 Pills
2332	10	ml			1	vial					1 vial of 10 ml
2334					1	vial					1 Vial
2344	10	Pill									10 Pills
2345	10	Pill									10 Pills
2349	20	Pill									20 Pills
2350	60	Pill									60 Pills
2361	30	Pill									30 Pills
2365	30	Pill									30 Pills
2366	30	Pill									30 Pills
2370	30	Pill									30 Pills
2381	28	Pill									28 Pills
2382	10.5	ml									10.5 ml
2417	2,000	ml									2,000 ml
2418	2,500	ml									2,500 ml
2419	2,000	ml									2,000 ml
2420	2,000	ml									2,000 ml
2421	2,500	ml									2,500 ml
2423	5,000	ml									5,000 ml
2426	5,000	ml									5,000 ml
2427	20	ml			10	ampule					10 ampules of 2 ml each
2429	2	ml			2	ampule					2 ampules of 1 ml each
2451	5	ml									5 ml 
2462	5	ml			1	vial					1 Vial of 5 ml
2465	100	Pill									100 Pills
2469	50	ml			1	vial					1 Vial of 50 ml
2473	500	ml									500 ml
2476	50	Pill									50 Pills
2479	25				1	vial					1 Vial
2480	5	ml			1	vial					1 Vial of 5 ml
2481	42	Pill									42 Pills
2491	50	ml			10	Ampule					10 ampules of 5 ml each
2492	1000	ml			100	Ampule					100 ampules of 10 ml each
2497	25	ml			1	vial					1 Vial of 25 ml
2498	5	ml			1	vial					1 Vial of 5 ml
2503	14	Pill									14 Pills
2504					5	vial					5 Vials 
2511	5	ml			1	vial					1 Vial of 5 ml
2512	100	Pill									100 Pills
2520	5	ml									5 ml 
2521	125	ml									125 ml 
2543	125	ml									125 ml 
2548	30	Pill									30 Pills
2555					20	Packet / Sachet					20 Packet / Sachets
2557					4	Packet / Sachet					4 Packet / Sachets
2566	5	ml			5	ampule					5 ampules of 1 ml each
2570	1	ml			1	ampule					1 Ampule of 1 ml
2573	20	ml			10	non stated					10 non stated of 2 ml each
2576	10ml	ml									10 ml
2579	10	Pill									10 Pills
2581	12	Pill									12 Pills
2593	30	Pill			1	Box					1 Box of 30 Pills
2595	1000	ml			20	ampule					20 ampules of 50 ml each
2596	1000	ml			50	ampule					50 ampules of 20 ml each
2610	500	ml									 500 ml
2611	100	ml			5	ampule					5 ampules of 20 ml each
2612	30	g									30 g
2626	50	ml			10	vial					10 vials of 5 ml each
2630	30	Pill									30 Pills
2634	30g	g									30 g 
2638	40	g									40 g
2639	40	g									40 g
2640	50	ml			10	Non stated					10 non stated of 5 ml each
2645	25	Pill									25 Pills
2647					50	vial					50 Vials
2650	20	Pill									20 Pills
2652	100	ml									100 ml 
2661	1000	ml			10	non stated					10 non stated of 100 ml each
2662	500	ml									500 ml
2669	100	ml									100 ml 
2688	30	Pill			1	Box					1 box of 30 pills
2695	50	Pill									50 Pills
2700	20	ml			10	ampule					10 ampules of 2 ml each
2705	3	ml									3 ml
2708	4	Pill									4 Pills
2714					10	Packet / Sachet					10 Packets / Sachets
2719	14	Pill									14 Pills
2731	30	Pill									30 Pills
2735	1250	ml			25	vial					25 vials of 50 ml each
2736	50	ml			10	ampule					10 ampules of 5 ml each
2739	2	ml			1	vial					1 vial of 2 ml
2747	20	g									20 g
2748	30	g									30 g
2753	10	g									10 g
2755		ml			60						60 ml 
2767		ml			100						100 ml 
2768	15	Pill									15 Pills
2771	100	ml			10	ampule					10 Ampules of 10 ml each
2793	20	ml			10	ampule					10 Ampules of 2 ml each
2800		g			30						30 g
2801	30	ml									30 ml
2802	30	g									30 g
2803	50	ml			10	Bottle					10 bottles of 5 ml each
2805	1	Pill									1 Pill
2806	7	ml			7	Bottle					7 bottles of 1 ml each
2810	1	ml			1	non stated					1 Non Stated of 1 ml
2811	1	ml			1	non stated					1 Non Stated of 1 ml
2813	1	Pill									1 Pill
2815	60	Pill									60 Pills
2827	10	ml			10	non stated					10 non stated of 1 ml each
2855	10	ml			10	ampule					10 ampules of 1 ml each
2869	50	ml			10	vial					10 vials of 5 ml each
2871	40	ml			10	ampule					10 ampules of 4 ml each
2886	30	g									30 g
2904	28	Pill									28 Pills
2905		Pill			21						21 Pills
2909	10	Pill									10 Pills
2910	100	ml									100 ml
2924	100	ml									100 ml
2936					1	Packet / Sachet					1 Packet / Sachet
2937		ml			10	Non stated					10 non stated, of 1 ml each
2938	30	Pill									30 Pills
2941	20	ml			10	ampule					10 ampules of 2 ml each
2942	20	ml			10	ampule					10 ampules of 2 ml each
2968	28	Pill									28 Pills
2969	28	Pill									28 Pills
2974	5	Pill									5 Pills
2975	30	Pill									30 Pills
2976	18	ml			6	ampule					6 ampules of 3 ml each
2977	40	Pill									40 Pills
2978	20	ml			10	ampule					10 ampules of 2 ml each
2979	40	Pill									40 Pills
2980	40	ml									40 ml 
2985	150	ml									150 ml 
2986	4	ml			1 	bottle	1	ampule			1 bottle and 1 ampule of 4 ml
2987	30	Pill									30 Pills
3027	28	Pill									28 Pills
3028	20	Pill									20 Pills
3038	20	ml			10	ampule					10 ampules of 2 ml each
3045	28	Pill									28 Pills
3046	40	Pill									40 Pills
3047	30	Pill									30 Pills
3054	15	ml									15 ml 
3055	28	Pill									28 Pills
3058	30	Pill									30 Pills
3059	40	Pill									40 Pills
3069	125	ml									125 ml
3070	125	ml									125 ml
3074	15	ml									15 ml
3077	30	Pill									30 Pills
3079	20	Pill									20 Pills
3086	30	Pill									30 Pills
3094	30	Pill									30 Pills
3110	30	Pill									30 Pills
3115	100	Pill									100 Pills
3116	10	Pill									10 Pills
3119	10	ml			10	ampule					10 Ampules of 1 ml each
3121	50	Pill									50 Pills
3156					25	vial					25 Vials
3161					30	Packet / Sachet					30 Packet / Sachets
3168	300	ml									300 ml
3172	20	Pill									20 Pills
3180	30	Pill									30 Pills
3188	0.5	ml			1	non stated					1 non stated of 0.5 ml
3195	30	ml									30 ml
3196	30	Pill									30 Pills
3203	3	ml			1	vial					1 vial of 3 ml
3206	100	Pill									100 Pills
3247	15	ml									15 ml
3263	3.5	ml			1	vial	1	ampule			1 vial and 1 ampule of 3.5 ml
3265	60	Pill									60 Pills
3267	50	ml			1	Non stated					1 Non stated of 50 ml
3268	6	Pill									6 Pills
3272	50	ml									50 ml
3273	100	ml									100 ml 
3274	200	ml									200 ml 
3279	5	ml			1	vial					1 Vial of 5 ml
3280	10	ml			1	vial					1 Vial of 10 ml
3281	10	ml			1	vial					1 Vial of 10 ml
3340	56	Pill									56 Pills
3345	30	Pill									30 pills 
3351	2000	ml									2000 ml
3353	2000	ml									2000 ml
3354					1	vial	1	ampule			1 vial and 1 ampule
3356	10	ml			10	Ampule					10 Ampules of 1 ml each
3358	5	ml			1	vial					1 Vial of 5 ml
3367	30	Pill									30 Pills
3371	10	Pill									10 Pills
3376	50	ml			25	vial					25 vials of 2 ml each
3382	5	ml									5 ml 
3385	28	Pill									28 Pills
3388	28	Pill									28 Pills
3392	28	Pill									28 Pills
3393	60	dose									60 doses and 1 inhaler
3400	0.5	ml			1	Pre-filled syringe					1 Pre-filled syringe of 0.5 ml
3401	0.5	ml			1	Pre-filled syringe					1 Pre-filled syringe of 0.5 ml
3404					1	vial					1 Vial
3411		ml			0.9						0.9 ml 
3412		ml			5						5 ml 
3413	500	ml									500 ml
3414		g			30						30 g
3415		g			30						30 g
3426	6	ml			12	Pre-filled syringe					12 prefilled syringes of 0.5 ml each
3427	30	Pill									30 Pills
3434	10	Pill									10 Pills
3435	24	Pill									24 Pills
3436	10	Pill									10 Pills
3444		g			20						20 g
3447	6	ml			12	Pre-filled syringe					12 prefilled syringes of 0.5 ml each
3464	10	Pill									10 Pills
3472	90	ml			50	Cartridge					50 cartridges of 1.8 ml each
3483	30	Pill									30 Pills
3486	20	Pill									20 Pills
3487	100	ml									100 ml
3488	250	ml									250 ml
3489	50	ml									50 ml
3490	120	dose									120 doses
3491	100	ml									100 ml 
3495	60	Pill									60 Pills
3504	500	ml			50	ampule					50 ampules of 10 ml each
3512	200	ml				Bottle					Bottle of 200 ml 
3525	5	ml									5 ml
3526		g			30						30 g
3528					25	vial					25 Vials
3530	28	Pill									28 Pills
3531	30	Pill									30 Pills
3532	200	ml			10	Bottle					10 bottles of 20 ml each
3539					10	vial					10 Vials
3546	50	ml			10	ampule					10 ampules of 5 ml each
3559		g			30						30 g
3560	40	ml									40 ml
3561	80	ml									80 ml
3563	30	Pill									30 Pills
3564	30	Pill									30 Pills
3570	30	Pill									30 Pills
3571	30	Pill									30 Pills
3572	500	Pill									500 Pills
3576	2	ml			1	vial	1	vial			1 vial and 1 vial of 2 ml
3577	25	ml			1	vial					1 Vial of 25 ml
3578	5	ml			1	vial					1 Vial of 5 ml
3579	30	Pill									30 Pills
3588	7	Pill									7 Pills
3590	6	Pill									6 Pills
3591	60	ml									60 ml
3592	150	ml									150 ml 
3593	14	Pill									14 Pills
3594	10	Pill									10 Pills
3595	300	ml									300 ml
3596	50	Pill									50 Pills
3597	2,000	ml									2,000 ml
3598	2,000	ml									2,000 ml
3599	2,000	ml									2,000 ml
3600	2,000	ml									2,000 ml
3601	90	Pill									90 Pills
3603	20	Pill									20 Pills
3604	50	ml			1	vial					1 Vial of 50 ml
3605		ml			500						500 ml 
3607	125	ml									125 ml
3610		ml			500						500 ml 
3611		g			40						40 g
3621	200	dose									200 doses
3626					2	vial					2 Vials
3631	28	Pill									28 Pills
3632	60	Pill									60 Pills
3633	60	Pill									60 Pills
3634	60	Pill									60 Pills
3635	60	Pill									60 Pills
3651	20	Pill									20 Pills
3658	30	Pill									30 Pills
3660	28	Pill									28 Pills
3677	30	Pill									30 Pills
3678	40	Pill									40 Pills
3679	40	Pill									40 Pills
3682	30	Pill									30 Pills
3683	50	g									50 g
3684	30	Pill									30 Pills
3685	30	Pill									30 Pills
3686	30	Pill									30 Pills
3692	50	Pill									50 Pills
3694		g			60						60 g
3695		g			60						60 g
3698		g			30						30 g
3711		Pill			6						6 Pills
3712	200	ml				Ampule					20 ampules of 10 ml each
3714	31	Pill									31 Pills
3715	30	Pill									30 Pills
3717	28	Pill									28 Pills
3733	18	ml			12	non stated					12 non stated of 1.5 ml each
3740	24	Pill									24 Pills
3747	40	Pill									40 Pills
3748	20	Pill									20 Pills
3749	100	ml									100 ml
3754	12	Pill									12 Pills
3755	60	ml									60 ml
3757	28	Pill									28 Pills
3758	14	Pill									14 Pills
3774	10	Pill									10 Pills
3775	10	Pill									10 Pills
3777	50	ml									50 ml
3780	10	ml									10 ml
3781	30	Pill									30 Pills
3790	40	ml			4	Bottle					4 bottles of 10 ml each
3791	30	ml			3	Bottle					3 bottles of 10 ml each
3792	20	ml			2	Bottle					2 bottles of 10 ml each
3793	10	ml			1	Bottle					1 bottle of 10 ml
3794	20	ml			4	Bottle					4 bottles of 5 ml each
3795	5	ml			1	Bottle					1 bottle of 5ml
3819	100	Pill									100 Pills
3820	100	Pill									100 Pills
3829	21	Pill									21 Pills
3830	100	ml									100 ml
3831	100	Pill									100 Pills
3832	125	ml									125 ml
3838	60	Pill									60 Pills
3847	20	Pill									20 Pills
3851	10	Pill									10 Pills
3853	20	Pill									20 Pills
3854	100	ml									100 ml 
3863	90	ml			50	Cartridge					50 cartridges of 1.8 ml each
3881	500	Pill									500 Pills
3882	1,000	Pill			10	non stated					10 non stated of 100 pills each
