NSSF CODES,Operation,LOS,Surgeon,Anesthetist,2 Consultants,Hospital I,Hospital II,Hospital III,Total I,Total II,Total III,Notes
47125,Hepa tectomy: tota l  left lobectomy,10,75000000,25000000,4000000,210000000,179000000,150000000,314000000,283000000,254000000,
47130,Hepa tectomy: tota l  right lobectomy,6,75000000,25000000,4000000,210000000,179000000,150000000,314000000,283000000,254000000,
47600,"Cholecys tectomy: wi th or wi thout
cholangiography, any method",3,28000000,9500000,4000000,65000000,58000000,52000000,106500000,99500000,93500000,
48150,"Pancreatectomy,proximal  subtotal, with
pancreaticoduodenectomy (Whipple  type procedure), and pancreatic jejunostomy",10,76500000,25500000,4000000,210000000,179000000,150000000,316000000,285000000,256000000,
49000,"Exploratory laparatomy, exploratory
celiotomy, with or without biopsy (separate procedure)",5,30000000,10000000,4000000,65000000,58000000,52000000,109000000,102000000,96000000,
49200,"Excision or destruction by any method of intra-
abdominal  or retroperitoneal  tumors  or cysts or endometriomas",3,33750000,12000000,4000000,89000000,72000000,59000000,138750000,121750000,108750000,
49201,"Excision or destruction by any method of intra- abdominal  or retroperitoneal  tumors  or cysts
or endometriomas: extensive",5,33750000,12000000,4000000,89000000,72000000,59000000,138750000,121750000,108750000,
49496,"Repair initial  inguinal  hernia, under age  5
yea rs , with or without hydrocelectomy",1,20625000,6750000,4000000,39000000,35000000,31000000,70375000,66375000,62375000,
49507,"Repair inguinal  hernia, age  5 years  or over, initial, recurrent, or sliding, wi th or wi thout
prosthesis, with or without hydrocelectomy",1,26250000,9000000,4000000,59000000,53000000,47000000,98250000,92250000,86250000,
49550,"Repair femoral, umbilical, or lumbar hernia, 
any age, initial ",1,20625000,6750000,4000000,47000000,42000000,37000000,78375000,73375000,68375000,
49560,"Repair incisional  (abdominal) hernia, 
reducible, with or without prosthesis: initial separate  procedure)",1,26250000,9000000,4000000,66000000,59000000,52000000,105250000,98250000,91250000,
50020,"Drainage  of perirenal  or renal  abscess
(separate  procedure)",3,26250000,9375000,4000000,57000000,45000000,35000000,96625000,84625000,74625000,
50080,"Percutaneous  nephrostolithotomy or
pyelostolithotomy, with or without dilation, endoscopy, l i thotripsy, stenting or basket
extra cti on",6,33750000,11625000,4000000,76500000,63500000,53500000,125875000,112875000,102875000,
50240,"Nephrectomy, partial",6,34000000,12000000,4000000,93500000,79000000,66500000,143500000,129000000,116500000,
50290,Excision of perinephric cyst,3,28500000,10000000,4000000,72500000,60000000,50000000,115000000,102500000,92500000,
50590,"Lithotripsy, extracorporeal  shock wave",0,16500000,0,-,37500000,33000000,30000000,54000000,49500000,46500000,
51575,"Cystectomy, complete: with bilateral  pelvic lymphadenectomy, including external  iliac,
hypogastric and obturator nodes",12,75000000,25000000,4000000,258500000,226000000,200000000,362500000,330000000,304000000,
51580,"Cys tectomy, complete, wi th
ureterosigmoidostomy or ureterocutaneous transplantations",12,75000000,25000000,4000000,258500000,226000000,200000000,362500000,330000000,304000000,
51585,"Cys tectomy, complete, wi th
ureterosigmoidostomy or ureterocutaneous transplants: with bilateral  pelvic 
lymphadenectomy, including iliac,
hypogastric and obturator nodes",12,75000000,25000000,4000000,258500000,226000000,200000000,362500000,330000000,304000000,
51590,"Cystectomy, complete, with ureteroileal
conduit or s igmoid bladder, including bowel anastomosis ",12,75000000,25000000,4000000,258500000,226000000,200000000,362500000,330000000,304000000,
51595,"Cystectomy, complete, with ureteroileal
conduit or s igmoid bladder, including bowel anastomosis: with bilateral  pelvic 
lymphadenectomy, including external  iliac,
hypogastric and obturator nodes",12,75000000,25000000,4000000,258500000,226000000,200000000,362500000,330000000,304000000,
51596,"Cys tectomy, complete, wi th conti nent
diversion, any technique, using any segment of small  and/or large  bowel  to construct
neobladder",12,75000000,25000000,4000000,258500000,226000000,200000000,362500000,330000000,304000000,
51840,"Anterior vesicourethropexy, or urethropexy
(Marshall-Marchetti-Krantz type)",4,27000000,9500000,4000000,54500000,44500000,37000000,95000000,85000000,77500000,
52000,Cystourethroscopy diagnostic or therapeutic,1,7375000,2625000,4000000,26000000,22000000,18000000,40000000,36000000,32000000,
52235,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) for resection of
MEDIUM bladder tumor(s) (2.0 to 5.0 cm)",2,15000000,5625000,4000000,46000000,41000000,36000000,70625000,65625000,60625000,
52240,"Cystourethroscopy, with fulguration (including
cryosurgery or laser surgery) for resection of LARGE bladder tumor(s) (greater than 5.0 cm)",3,15000000,5625000,4000000,46000000,41000000,36000000,70625000,65625000,60625000,
52276,"Cystourethroscopy with direct vision internal
urethrotomy",1,10500000,6000000,4000000,34500000,29500000,2500000,55000000,50000000,23000000,
52281,"Cystourethroscopy, with calibration and/or
dilation of urethral  stricture  or stenosis, with or without meatotomy and injection
procedure  for cystography, male  or female",1,10500000,6000000,4000000,30500000,24500000,20500000,51000000,45000000,41000000,
52310,"Cystourethroscopy, with removal  of foreign
body, calculus, or ureteral  stent from urethra or bladder (separate  procedure)",1,10500000,6000000,4000000,28500000,24000000,19500000,49000000,44500000,40000000,
52317,"Litholapaxy: crushing or fragmentation of calculus  by any means  in bladder and
removal  of fragments",1,16500000,6500000,4000000,33500000,25500000,19500000,60500000,52500000,46500000,
52320,"Cystourethroscopy (including ureteral
catheterization): removal  or fragmentation of ureteral  calculus, with or without
manipulation (separate  procedure)",1,15000000,5625000,4000000,31000000,27500000,24000000,55625000,52125000,48625000,
