Code,DrugName
A11CC03,ONE-ALPHA
A11CC03,ONE-ALPHA
A11CC03,ONE-ALPHA
A11CC03,ONE-ALPHA
D07CC01,FUCICORT
D06AX01,FUCIDIN
D06AX01,FUCIDIN LEO
B03XA01,HEMAX
B03XA01,HEMAX
L03AA02,NEUTROMAX
L03AB05,BIOFERON (Recombinant Human Interferon alfa2 b)
J01CR02,AMOCLAN BID
J01CR02,AMOCLAN BID
J01CR02,AMOCLAN BID
B03AC,VENOFER I.V.
J01DD08,SUPRAX
J01DD08,SUPRAX
J01DD08,SUPRAX 100
J01CR02,AMOCLAN
J01CR02,AMOCLAN FORTE
J01CR02,AMOCLAN
J01CR02,AMOCLAN FORTE
M01AG01,FENDOL DS
M01AE02,NOPAIN DS
J01MA02,CIPROLON 500
R06AX13,RESTAMINE
M02AB,NEW TIGER POROUS PLASTER
N02BE51,PANADOL SINUS
V03AE01,CALCIUM RESONIUM
V03AE01,RESONIUM A
D06BA01,FLAMAZINE
D06BA01,FLAMAZINE
N04BB01,PK-MERZ
C05BA53,CONTRACTUBEX
M01AC01,BREXIN
R03BA01,CLENIL 250 MCG SPRAY
P01AB01,METRONIDAZOLE B. BRAUN
B05BA02,LIPOFUNDIN MCT/LCT
B05BA02,LIPOFUNDIN MCT/LCT
R01AA07,XYLO-COMOD
G04BX,ROWATINEX
A16A,ROWACHOL
R02A,MAXILASE MAUX DE GORGE 3000
R02A,MAXILASE MAUX DE GORGE 
R05CB06,FLUIBRON
R05CB06,FLUIBRON
N06DX01,EBIXA
N06AB10,CIPRALEX
N05AF05,CLOPIXOL DEPOT
N05AF05,CLOPIXOL ACUPHASE
N06AB04,CIPRAM
A07EC02,PENTASA
B02BX01,DICYNONE
J07AX,URO-VAXOM
A11DB,ANCOPIR
M01AB05,GROFENAC RETARD
M01AB05,GROFENAC
L01DB06,ZAVEDOS
S01EE01,XALATAN
G02CB03,DOSTINEX
G02CB03,DOSTINEX
H03AA01,EUTHYROX
H03AA01,EUTHYROX
H03AA01,EUTHYROX
H03AA01,EUTHYROX
A11DB,3V
A11DB,3V
A10BG03,ACTOS
N02BE01,ADOL
N02BE51,ADOL ALLERGY SINUS
N02BE51,ADOL COLD
P02CA03,ALBENDA
P02CA03,ALBENDA
R06AA52,AMYDRAMINE
L02BG03,ARIMIDEX
J01FA10,AZOMYCIN
J01FA10,AZOMYCIN
A11EX,BECOZYM FORTE
D03AX03,BEPANTHEN
D03AX03,BEPANTHEN
C09CA06,BLOPRESS
C09CA06,BLOPRESS
R03AC02,BUTALIN
R03AC02,BUTALIN
A11GB,CAL-C-VITA EFFERVESCENT
A12AA04,CALTRATE
J01DC02,CEFUZIME
J01DC02,CEFUZIME
M01AB05,CLOFEN
M02AA15,CLOFEN
A02AF02,DIOVOL PLUS (TROPICAL FRUIT)
A02AF02,DIOVOL PLUS (TROPICAL FRUIT)
B03XA01,EPOTIN
B03XA01,EPOTIN
D06AX01,FUTASOLE
A04AD,GRAVOL
A04AD,GRAVOL
A04AD,GRAVOL
G01AF04,GYNO-MIKOZAL
G01AF04,GYNO-MIKOZAL
J01CR02,JULMENTIN
J01CR02,JULMENTIN FORTE
J01CA04,JULPHAMOX
R06AX13,LORATIN
R06AX13,LORATIN
L01FA01,MABTHERA
L01FA01,MABTHERA
N04BA02,MADOPAR
M01AB05,RAPIDUS
J01DB05,ROXIL
D03AX,MEBO
J01DB05,ROXIL
A02BC05,NEXIUM
A02BC05,NEXIUM
A03AX13,OVOL
A03AX13,OVOL FOR GAZ
D07CB01,PANDERM
N06AB03,PMS-FLUOXETINE
M02AA13,PROFINAL
M01AE51,PROFINAL XP
A02BC01,OMIZ
D06AX01,ZETA
A11GA01,REDOXON EFF.ORANGE
A02BC01,RISEK
A02BC01,RISEK
A02BC01,RISEK
A02BC01,RISEK
J01FA09,RITHROCID
J01FA09,RITHROCID
N03AE01,RIVOTRIL
M01AE01,ADVIL
J01DD04,ROCEPHIN  IV
J01DD04,ROCEPHIN IM
M01AE51,ADVIL COLD & SINUS
A03BB01,SCOPINAL
N05AH04,SEROQUEL
N05AH04,SEROQUEL
A06AD61,SOFLAX
M01AE01,CHILDREN'S ADVIL
R03AK07,SYMBICORT
J05AH02,TAMIFLU
C07BB03,TENORETIC
C07AB03,TENSOTIN
J01DD04,TRIAXONE
J01DD04,TRIAXONE
N05BA01,VALIUM
J01XA01,VANCOLON
D04AB01,XYLOCAINE 
C09BA03,ZESTORETIC
C09AA03,ZESTRIL
C09AA03,ZESTRIL
C09AA03,ZESTRIL
L02AE03,ZOLADEX  DEPOT
C07AA05,BEDRANOL
C07AA05,BEDRANOL
J01DB05,CEFADRIL
J01DB05,CEFADRIL
J01DD01,CEFOTAX
J01MA02,CIPROCIN
C03CA01,DIURESAL
J01AA02,DOXYLAG
A02BC01,EPIRAZOLE
J01CR50,FLUMOX
J01EE01,LAGATRIM
J01EE01,LAGATRIM FORTE
J01DD08,MAGNACEF
P01AB01,METROLAG
P01AB01,METROLAG
A03FA03,MOTILAT
A11DB,TRILAGAVIT
N02BE51,ADOL EXTRA
N02BE51,ADOL PM
C10AA07,CRESTOR
C10AA07,CRESTOR
C10AA07,CRESTOR
J01FA10,AZOMYNE
J01FA10,AZOMYNE
J01FA10,AZOMYNE
M02AA15,LOCAGEL
J01DD08,BETIXIM 100
J01DD08,BETIXIM 400
A02BC03,LANSOMID
L01CD02,DOCETAXEL GP PHARM
L01CE02,IRINOTECAN GP PHARM
M01AB15,KETOLAC
M01AB15,KETOLAC
P01AB01,FLAGYL
P01AB01,FLAGYL
B01AB05,LOVENOX
B01AB05,LOVENOX
B01AB05,LOVENOX
B01AB05,LOVENOX
J01FA02,ROVAMYCINE
J01FA02,ROVAMYCINE
N02BE01,DOLIPRANE
N02BE01,DOLIPRANE
L01CD02,TAXOTERE
L01CD02,TAXOTERE
R01AD11,NASACORT AQ
A12AX,DECALCIT
A12AX,DECALCIT
A02BA03,FAMODAR 20
A02BA03,FAMODAR 40
A02BC01,OMEDAR
M01AB05,DICLOGESIC 12.5 CHILDREN
J01MA02,CIPRODAR
J01DC04,CLORACEF FORTE
M01AB05,DICLOGESIC
M01AB05,DICLOGESIC RETARD
M02AA15,DICLOGESIC
J01FA10,AZOX 250
M01AB08,ETODINE
M01AB08,ETODINE
J01MA02,CIPROFAR
J01DC02,CEFUMAX
A02BC01,ULSTOP
A03FA03,FARCOTILIUM
A03FA03,FARCOTILIUM
A03AX,SPASMO-DIGESTIN
J01DD01,CEFORAN
R06AE07,CETRAK
J01CR02,MOXICLAV
J01CR02,MOXICLAV  FORTE
J01CR02,MOXICLAV
N06AB03,OXETINE 20
C08CA01,LOWRAC 5
A02BC02,RAZON 40
J01FA09,ERACID 250
J01FA09,ERACID 500
A03AA04,BEVACOL 135
B03BA01,COBAL
J02AC01,FUNZOL 150
A02BC04,PARIET
A02BC04,PARIET
B03AD03,GYNO-TARDYFERON
M05BX,OSSOPAN
A11AA,PHARMATON KIDDI 
R03BB01,ATROVENT
R03BB01,ATROVENT
A10BX02,NOVONORM
G03FA01,ACTIVELLE
H01AC01,NORDITROPIN NORDIFLEX
H01AC01,NORDITROPIN NORDIFLEX
A10AD05,NOVOMIX 30
A10AB05,NOVORAPID FLEXPEN
A10AB01,ACTRAPID
A10AC01,INSULATARD
A10AB01,ACTRAPID
A10AE01,INSULATARD
H04AA01,GLUCAGEN
A10AD01,MIXTARD 30
A10BX02,NOVONORM
A10BX02,NOVONORM
G03FB05,TRISEQUENS
G03CA03,ESTROFEM
G03FA01,KLIOGEST
N02BA01,A.S.L. PANPHARMA 900MG INJ.
C01CA24,ADRENALINE - RENAUDIN SOLUTION. INJ.
C01CA24,ADRENALINE RENAUDIN
A10AE04,LANTUS
R03DA05,AMINOPHYLLINE RENAUDIN
J01CA04,AMOXICILLINE PANPHARMA
J01CA01,AMPICILLINE PANPHARMA
J01CA01,AMPICILLINE PANPHARMA
L04AA13,ARAVA
L04AA13,ARAVA
A03BA01,ATROPINE SULFATE RENAUDIN
A03BA01,ATROPINE SULFATE RENAUDIN
J01MA14,AVALOX
J01MA14,AVALOX
B01AD11,METALYSE
B05XA02,BICARBONATE DE SODIUM INJ.
B05XA02,BICARBONATE DE SODIUM INJ.
C01BC04,FLECAINE
B01AD02,ACTILYSE
R03BB01,ATROVENT N
R03AL01,ATROVENT COMP. HFA
V03AF03,CALCIUM FOLINATE EBEWE
A12AA04,CALPEROS
A12AX,CALPEROS D3 A SUCER
L01XA02,CARBOPLATINE EBEWE
A07BA51,CARBOSYLANE
J01DB04,CEFAZOLIN PANPHARMA
C09CA07,MICARDIS
J01DD01,CEFOTAXIME PANPHARMA
J01DC01,CEFOXITINE  PANPHARMA
J01DC01,CEFOXITINE PANPHARMA
J01DD04,CEFTRIAXONE PANPHARMA
J01DC02,"CEFUROXIME – PANPHARMA
POUDRE POUR SOLUTION INJ. IM/IV"
J01DC02,"CEFUROXIME – PANPHARMA
POUDRE POUR SOLUTION POUR PERFUSION"
S02D,CERULYSE
C01CA26,EPHEDRINE RENAUDIN
N02AA01,MORPHINE (CHLORHYDRATE) RENAUDIN
N05AA01,CHLORHYDRATE DE CHLORPROMAZINE RENAUDIN
B05XA01,CHLORURE DE POTASSIUM RENAUDIN
B05XA01,CHLORURE DE POTASSIUM RENAUDIN
B05XA01,CHLORURE DE POTASSIUM INJ.
B05XA03,CHLORURE DE SODIUM 0.9 pour cent Renaudin
B05XA03,CHLORURE DE SODIUM INJ.
R05CB01,EXOMUC
R05FA01,NEO-CODION
J01MA02,CIPROBAY
J01MA02,CIPROBAY
C09CA07,MICARDIS
J01MA02,CIPROBAY
C09DA07,MICARDIS PLUS
J01DD04,VERACOL
J01DC02,ZILISTEN
M01AC06,MOBIC
M01AC06,MOBIC
N07CA03,ZINASEN
N05BA12,PAZOLAM
C05CA53,DAFLON
N04BC05,SIFROL
N04BC05,SIFROL
R03BB04,SPIRIVA WITH HANDIHALER
A07AX03,PANFUREX 200
S02CA06,POLYDEXA AURICULAIRE
B05DB,DIANEAL PD4 1.36% GLUCOSE
B05DB,DIANEAL PD4 1.36% GLUCOSE
B05DB,DIANEAL PD4 2.27% GLUCOSE
B05DB,DIANEAL PD4 3.86% GLUCOSE
B05DB,DIANEAL PD4 3.86% GLUCOSE
B05DB,DIANEAL PD4 CYCLER 1.36% GLUCOSE
B05DB,DIANEAL PD4 CYCLER 3.86% GLUCOSE
N05BA01,DIAZEPAM RENAUDIN
M01AC01,FELDENE
S01BC01,INDOCOLLYRE
L01DC01,BLEOCIP
L01XX05,CYTODROX
L01AA01,NEOPHOS 1000
B05BA01,AMINOVEN 10%
N07CA02,STUGERON
L01DB01,DOXORUBICINE EBEWE
L01DB01,DOXORUBICINE EBEWE
A03E,ACTICARBINE
V07AB01,EAU POUR PREPARATIONS INJECTABLES RENAUDIN
V07AB01,EAU POUR PREPARATION INJ.
L01DB03,EPIRUBICINE EBEWE
L01DB03,EPIRUBICINE EBEWE
J01AA02,DOXY 50
A02BC01,ESELAN
L01CB01,ETOPOSIDE EBEWE
A07BA51,EUCARBON
S01GX02,LEVOPHTA
R06AD52,FLUISEDAL
R05X,TUSSISEDAL
C03BA11,FLUDEX
A06AD15,FORLAX POUDRE POUR SOLUTION BUVABLE
A06AD65,FORTRANS POUDRE POUR SOLUTION BUVABLE
N05AD01,HALDOL
N05AD01,HALDOL DECANOAS
C03CA01,FUROSEMIDE RENAUDIN
R02A,ANGINOVAG
G01AF01,FLAGYL
M01AE03,PROFENID
A10BF01,GLUCOBAY
B05CX01,GLUCOSE INJ.
B05CX01,GLUCOSE INJ.
B05BA,LIPOVENOES 20%
N01AX10,PROPOFOL 1% FRESENIUS
D01AC08,NIZORAL
B01AB01,HEPARINE SODIQUE PANPHARMA
R02AA20,HEXALYSE
R02AA20,HEXASPRAY COLLUTOIRE PRESSURISE
C05BA01,HIRUDOID
C05BA01,HIRUDOID
C01CA04,DOPAMINE FRESENIUS
H02AB09,HYDROCORTISONE ROUSSEL
H02AB09,HYDROCORTISONE PANPHARMA
N05AX08,RISPERDAL
R05CA10,BRONCHICUM ELIXIR S
P01AB01,METRONIDAZOLE FRESENIUS
B05AA07,VOLUVEN
N05AX08,RISPERDAL
C08CA06,NIMOTOP
A05BA,ESSENTIALE FORTE
M09AX,NUCLEO C.M.P. FORTE
D01AE14,BATRAFEN NAIL LACQUER
G04BE09,LEVITRA
A07FA01,LACTEOL
A02BC03,LANZOR MICROGRANULES GASTRO RESISTANT
M09AX,NUCLEO C.M.P. FORTE
N01BB02,LIDOCAINE PANPHARMA 2%
N01BB02,CHLORHYDRATE DE LIDOCAINE RENAUDIN
J01GB06,LIKACIN
D06AX,BANEOCIN
D01AE22,EXODERIL
D06AX,BANEOCIN
D11AX01,ALOPEXY
D10AF02,ERYFLUID
J01AA02,GRANUDOXY
B05XA05,SULFATE DE MAGNESIUM RENAUDIN 
A03FA01,CHLORHYDRATE DE METOCLOPRAMIDE RENAUDIN
D07AB08,LOCATOP
D01AE14,MYCOSTER
D01AE14,MYCOSTER
L01CA04,NAVELBINE
L01CA04,NAVELBINE
L02AE04,DECAPEPTYL
L02AE04,DECAPEPTYL LP
L02AE04,DECAPEPTYL LP
L01CA04,NAVELBINE
G04CX02,PERMIXON
N02AA01,MORPHINE SULFATE
N07AA01,METHYL SULFATE DE NEOSTIGMINE RENAUDIN
M03AC09,ESMERON
C01CA03,NORADRENALINE RENAUDIN
D01AC14,DERMOFIX
G03CX01,LIVIAL
G03AA09,MARVELON
J01DD13,ORELOX
J01DD13,ORELOX ENFANT ET NOURRISSONS GRANULE POUR SUSPENSION BUVABLE
J01CA04,OSPAMOX
G02BA,NUVARING
G02AX,OXYTOCIN 10 PANPHARMA 10 UI-1ML
G03DC03,ORGAMETRIL
J01GB03,GENTAMICINE PANPHARMA
J01GB03,GENTAMICINE PANPHARMA
C08DB01,BI-TILDIEM SR
C08DB01,BI-TILDIEM SR
J01MA12,LOXOF
C01BD01,CORDARONE
C01BD01,CORDARONE
N03AG01,DEPAKINE
N02AB02,PETHIDINE - RENAUDIN
N03AG01,DEPAKINE
N03AG01,DEPAKINE
N03AG01,DEPAKINE
N03AG01,DEPAKINE
N03AG01,DEPAKINE CHRONO L.P.
C07AB05,KERLONE
A03AA05,TRIMEDAT
R06AD02,CHLORHYDRATE DE PROMETAZINE RENAUDIN
C08DB01,MONO-TILDIEM LP/SR
A12CC05,MEGAMAG
N06AX11,REMERON SOLTAB
S01FA06,MYDRIACYL
C08DB01,MONO-TILDIEM LP/SR
A03AX58,METEOSPASMYL
A03FA01,PRIMPERAN
R05CB03,RHINATHIOL ADULTES
R05X,RHINATHIOL PROMETHAZINE
S01GA51,NAPHCON A
N05AL05,SOLIAN
N05CF02,STILNOX
M01AE03,PROFENID
C08DB01,TILDIEM
G04CA01,XATRAL XL
A07EC02,SALOFALK
A07EC02,SALOFALK  500
A03BB01,SCOBUREN 
C01BD01,SEDACORON
J01GA01,STREPTOMYCINE-PANPHARMA
A02BX02,SUCRATE GEL
A06AD11,DUPHALAC
G03DB01,DUPHASTON
N06AB08,FAVERIN
J07BB02,INFLUVAC
C05CX,TANAKAN
C05CX,TANAKAN
J01XA02,TARGOCID
A09AA02,"CREON 10,000"
S01XA20,TEARS NATURALE
J01DD04,TRAVILAN IM
N03AG04,SABRIL
B05AA01,"HUMAN ALBUMIN ""OCTAPHARMA"" 20%"
G01AF05,IFENEC
J06BA02,OCTAGAM
J06BA02,OCTAGAM
J06BA02,OCTAGAM
B02BD02,OCTANATE
B02BD02,OCTANATE
B02BD02,OCTANATE
N07XX02,RILUTEK
A02AF02,MAALOX PLUS
B05BA10,OLICLINOMEL N4-550E
B05BA10,OLICLINOMEL N7-1000E
J01DD01,STOPAREN
B02BA01,PHYTOMENADIONE (VITAMINE K1) PANPHARMA
L01BC01,ALEXAN
C10AB05,FENOGAL
N02BE01,ADOL
N05CM18,PRECEDEX (DEXMEDETOMIDINE)
S01AE01,OFLOX
C09DA06,ATACAND PLUS
C09CA06,ATACAND
C09CA06,ATACAND
R03AC13,OXIS
L03AB11,PEGASYS
L03AB11,PEGASYS
J05AB06,CYMEVENE
G02CX01,TRACTOCILE
G02CX01,TRACTOCILE
B05BA,LIPOVENOES 10% PLR
D10AD01,RETACNYL - 0.05 %
D10AD03,DIFFERIN
L03AB07,REBIF
C05CA03,DIOVENOR 600
N02BE01,ADOL
M01AE01,PROFINAL
N02BE01,ADOL
D07XB05,NYSTALOCAL
L03AB07,REBIF
J01MA02,CIPROPHARM
N01BB53,SCANDONEST 2% SPECIAL
P01AB01,RAMAZOL
M01AB05,VOLDIC-K
B05AA01,ALBUTEIN
B05AA01,ALBUTEIN
B05AA01,ALBUTEIN
R01AD08,RINISONA
R05CB06,MUCUM
A12BA01,EURO-K
B05XA05,SULFATE DE MAGNESIUM PROAMP
A02BX13,GAVISCON
S01CA01,OPTIDEX T
D07XC03,ELICA M
N01AF03,THIOPENTAL PANPHARMA
C09BA03,TENSIKEY COMPLEX
C08CA01,AMLOR
C01CA07,DOBUTAMINE PANPHARMA
A02BC05,NEXIUM
C01CA04,DOPAMINE RENAUDIN
D07AC13,ELICA
J01DD15,OMNICEF
J01DD15,OMNICEF
C10AA05,LIPONORM
C10AA05,LIPONORM
R06AX13,APOTHECARE LORATADINE
C10AA03,APO-PRAVASTATIN
J01DB01,PHARMEXIN
L01CD02,DOCETAXEL GP PHARM
L01CD01,EBETAXEL
L01CD01,EBETAXEL
C10AA03,APO-PRAVASTATIN
J02AC01,DIFLUCAN
J01DD08,MAGNACEF 400
J01DD08,MAGNACEF
R05X,COFEX
A02BC01,HYPOSEC
J01MA01,OFLACIN
A06AD11,RAMLAC
M01AG01,PANGESIC FORTE
B05DB,NUTRINEAL PD4 WITH 1.1% AMINO ACIDS SINGLE BAG
B05DB,NUTRINEAL PD4 WITH 1.1% AMINO ACIDS TWIN BAG
B05DA,EXTRANEAL (ICODEXTRIN 7.5%) TWIN BAG
B05DA,EXTRANEAL (ICODEXTRIN 7.5%) SINGLE BAG
A11AA,PANTOGAR
B02BX01,DICYNONE
B05AA01,PLASBUMIN-20 ALBUMIN (HUMAN)
D08AG02,BETADINE SURGICAL SCRUB
R02AA15,BETADINE GARG MOUTH WASH
G01AX11,BETADINE VAGINAL DOUCHE
D08AG02,BETADINE OINTMENT
R03BA02,PULMICORT
M03AX01,DYSPORT
C08DB01,ADIZEM XL
N02AA01,MST CONTINUS
N02AA01,MST CONTINUS
N02AA01,MST CONTINUS
N02AA01,MST CONTINUS
M01AE11,SURGAM
N03AE01,RIVOTRIL
A02BC01,ULCESEP
A10BB01,GLIBORAL
A10BB08,GLURENOR
A10BD02,GLIBOMET
A03AB06,SPASMOMEN
M02AA10,FASTUM
A10BA02,SIOFOR
A10BA02,SIOFOR
C07AB12,NEBILET
C08DB01,ALTIAZEM
D10AE01,BENZAC AC
D10AE01,BENZAC AC
D06BX01,ROZEX
G01AA51,POLYGYNAX
B03AE10,TOT'HEMA
C01DA14,MONOCINQUE RETARD
C01DA14,MONOCINQUE
C08CA08,LUSOPRESS
S01EB02,MIOSTAT STERIL INTRAOCULAR
N02BE01,ADOL
M01AE01,PROFINAL
A03BB01,SCOPINAL
A03BB01,SCOPINAL
A07AA11,NORMIX TAB
A07AA11,NORMIX SIROP
A02BC04,RABEC
A02BC04,RABEC
R05FA02,TUSCALMAN A
R05FA02,TUSCALMAN B
J01DD13,CEFODOX
S02AA15,CETRAXAL OTICO
B01AC18,DISGREN
V01AA,STALORAL
V01AA,STALORAL
V01AA,STALORAL
V01AA,STALORAL
V01AA,ALUSTAL
V01AA,ALUSTAL
C09AA01,APO-CAPTO
C09AA01,APO-CAPTO
A11JB,POWERPLUS SUPER MULTIVITAMIN & MINERAL
A11,POWER PLUS MULTIVITAMIN
B03A,WILD CAT IRON TONIC
R05,ROSMYLIN EXPECTORANT
C01EB15,VASTAREL
R02AA20,ANGINOVA
J01DD15,OMNICEF 300
R06AE07,FINALLERG
R06AE07,FINALLERG
N01BB03,SCANDONEST 3% sans vasoconstricteur
J01CA04,MOXILEN
J01CA01,AMPICILLIN TRIHYDRATE
H02AB02,DEXAMED
N06BA09,STRATTERA
N06BA09,STRATTERA
N06BA09,STRATTERA
N06BA09,STRATTERA
N06BA09,STRATTERA
C10AA05,TORVACOL 20
C10AA05,TORVACOL 10
C10AA01,SIMVASTATIN NORMON
C10AA01,SIMVASTATIN NORMON
C10AA01,SIMVASTATIN NORMON
D01AE14,MYCOSTER
D01AE16,LOCERYL
G03GA04,FOSTIMON
G03GA04,FOSTIMON
L04AA06,CELLCEPT
L04AA06,CELLCEPT
N05CD08,MIDAZOLAM PANPHARMA
A07FA02,ULTRA LEVURE
A10BB09,GLYZIDE
G03AC09,CERAZETTE
B05XB02,DIPEPTIVEN
J07BC01,ENGERIX-B 10
A07FA51,INFLORAN
J01MA02,CIPROX
N01AX10,PROVIVE
J01DB04,CEFAZOLINA
J01CR02,AMOXICILLINA/ ACIDO CLAVULANICO
N06AB03,FLUOXONE DIVULE
J07BD52,PRIORIX
L01DB07,MITOXANTRON EBEWE
J01MA02,CIPROMID
R06AX13,CLARA
R06AX13,CLARA
S01ED51,XOLAMOL
S01CA02,LOXTRA
S01AE01,OPTIFLOX
A03FA09,MOSAR
A03AX13,MOSAR PLUS
J01CR02,AUGMENTIN
D10BA01,CURACNE
D10BA01,CURACNE
D10BA01,CURACNE
A10AE05,LEVEMIR FLEXPEN
G04BD08,VESICARE
G04BD08,VESICARE
M01AB05,DICLOFENAC PANPHARMA
M01AC06,NEOXICAM
J01DD13,CEFODOX
C10AA07,SINLIP
D03AX,BEPANTHEN PLUS
M01AB05,DIVIDO 75MG
R03AC02,NEOVENTIL
G04BE03,SEGUREX
M05BA08,ZOMETA
J05AF10,BARACLUDE
J05AF10,BARACLUDE
L01EA02,SPRYCEL
L01EA02,SPRYCEL
L01EA02,SPRYCEL
N01BB01,BUPIVACAINE AGUETTANT for spinal anaesthesia
N01BB01,"BUPIVACAINE AGUETTANT 2.5MG/ML
"
N01BB01,BUPIVACAINE AGUETTANT 5MG/ML
G03GA05,GONAL-f
L04AB02,REMICADE
J06BB01,RHOPHYLAC 300
L01EA01,GLIVEC
M05BA08,ACLASTA
B05AA01,VIALEBEX
J01XA02,TARGOPLANIN
A02BC01,OPRAZOLE
R07AA01,SURVANTA
D01AE14,MYCOSTER
N05AX08,RISPERDAL
N05AX08,RISPERDAL
D10BA01,ISOSUPRA LIDOSE
