Code	Form	Scored	Parent	Route	IsParenteral
319	Tablet		O-Oral	O-Oral	
321	Tablet		O-Oral	O-Oral	
322	Tablet		O-Oral	O-Oral	
363	Injectable, powder, for solution 		Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
369	Drops, suspension		Oph-Ophtalmic	Oph-Ophtalmic	
411	Capsule		O-Oral	O-Oral	
412	Capsule		O-Oral	O-Oral	
416	Injectable, powder, for solution		Parentaral	IM/Intraarticular/intralesional/intrarectal	Parentaral
417	Injectable, powder, for solution		Parentaral	IM/Intraarticular/intralesional/intrarectal	Parentaral
437	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
439	Injectable, powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
441	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
442	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
449	Injectable, concentrate, for solution		Parentaral	Inf-IArte-Infusion- Intraarterial	Parentaral
465	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
480	Tablet		O-Oral	O-Oral	
481	Tablet		O-Oral	O-Oral	
482	Tablet, film coated		O-Oral	O-Oral	
484	Tablet, film coated		O-Oral	O-Oral	
490	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
491	Injectable, solution		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
508	Solution		TS-Topical,scalp	TS-Topical,scalp	
509	Injectable, powder, for solution CHOOSE with diluent		Parentaral	SC-Subcutanous	Parentaral
511	Suspension		O-Oral	O-Oral	
513	Injectable, powder, for solution		Parentaral	Inf-Infusion	Parentaral
515	Injectable, powder, for solution		Parentaral	Inf-Infusion	Parentaral
516	Injectable, powder, for solution		Parentaral	Inf-Infusion	Parentaral
518	Injectable, solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
519	Metered dose, inhaler		Res-Respiratory	Res-Respiratory	
521	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	SC-Subcutanous	Parentaral
522	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	SC-Subcutanous	Parentaral
528	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
529	Syrup		O-Oral	O-Oral	
530	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
531	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
542	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
544	Tablet, film coated		O-Oral	O-Oral	
545	Tablet, film coated		O-Oral	O-Oral	
550	Tablet		O-Oral	O-Oral	
554	Injectable, solution		Parentaral	IArt-Intraarticular	Parentaral
557	Injectable, solution		IO-Intraoral	IO-Intraoral	
570	Injectable, solution		Parentaral	IV-IM-Inf-R-Intravenous-Intramuscular-Infusion-Rectal	Parentaral
571	Cream		T-Topical	T-Topical	
572	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
573	Tablet, film coated		O-Oral	O-Oral	
579	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
585	Cream		T-Topical	T-Topical	
603	Syrup		Res-Respiratory	Res-Respiratory	
611	Cream		T-Topical	T-Topical	
612	Ointment		T-Topical	T-Topical	
618	Tablet, film coated		O-Oral	O-Oral	
622	Granules, for suspension		O-Oral	O-Oral	
624	Spray		N-Nasal	N-Nasal	
637	Suspension, inhalation		Res-Respiratory	Res-Respiratory	
638	Suspension, inhalation		Res-Respiratory	Res-Respiratory	
639	Suspension, inhalation		Res-Respiratory	Res-Respiratory	
688	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
730	Tablet, film coated		O-Oral	O-Oral	
731	Powder, for suspension		O-Oral	O-Oral	
733	Powder, for suspension		O-Oral	O-Oral	
753	Powder, for suspension		O-Oral	O-Oral	
754	Powder, for suspension		O-Oral	O-Oral	
755	Injectable, powder, for solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
759	Cream		T-Topical	T-Topical	
760	Tablet		O-Oral	O-Oral	
761	Powder, for suspension		O-Oral	O-Oral	
765	Patch		TD-Transdermal	TD-Transdermal	
767	Granules		O-Oral	O-Oral	
771	Cream		T-Topical	T-Topical	
772	Gauze		T-Topical	T-Topical	
786	Tablet, film coated		O-Oral	O-Oral	
790	Powder, for suspension		O-Oral	O-Oral	
792	Tablet, film coated		O-Oral	O-Oral	
793	Tablet, film coated		O-Oral	O-Oral	
794	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
796	Tablet, dispersible		O-Oral	O-Oral	
797	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
798	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
803	Tablet		O-Oral	O-Oral	
804	Syrup		O-Oral	O-Oral	
806	Powder, for suspension		O-Oral	O-Oral	
808	Capsule		O-Oral	O-Oral	
845	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
850	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
856	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
867	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
868	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
869	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
870	Syrup		O-Oral	O-Oral	
885	Tablet		O-Oral	O-Oral	
889	Capsule, inhalation		InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
890	Tablet, film coated		O-Oral	O-Oral	
893	Capsule		O-Oral	O-Oral	
897	Tablet		O-Oral	O-Oral	
899	Capsule		O-Oral	O-Oral	
955	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
956	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
957	Syrup		O-Oral	O-Oral	
958	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
966	Injectable, solution		IV-Intravenous	IV-Intravenous	
968	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral-V-Vaginal	O-Oral-V-Vaginal	
969	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral-V-Vaginal	O-Oral-V-Vaginal	
973	Tablet		O-Oral	O-Oral	
974	Tablet		O-Oral	O-Oral	
975	Tablet		O-Oral	O-Oral	
978	Tablet		O-Oral	O-Oral	
983	Tablet		O-Oral	O-Oral	
988	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
993	Tablet		O-Oral	O-Oral	
998	Tablet		O-Oral	O-Oral	
1001	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1002	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1007	Tablet		O-Oral	O-Oral	
1008	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1009	Suppository		R-Rectal	R-Rectal	
1025	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1026	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1028	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
1037	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
1038	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1039	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
1057	Tablet, chewable		O-Oral	O-Oral	
1058	Tablet, film coated		O-Oral	O-Oral	
1062	Powder, for suspension		O-Oral	O-Oral	
1068	Injectable, solution		IV-Intravenous	IV-Intravenous	
1069	Injectable, solution		IV-Intravenous	IV-Intravenous	
1083	Capsule		O-Oral	O-Oral	
1084	Capsule		O-Oral	O-Oral	
1086	Drops, solution		O-Oral	O-Oral	
1087	Cream		T-Topical	T-Topical	
1088	Ointment		T-Topical	T-Topical	
1089	Cream		T-Topical	T-Topical	
1095	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1096	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1097	Injectable, solution		Parentaral	Inf-SC-Infusion-Subcutanous	Parentaral
1099	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
1104	Tablet		O-Oral	O-Oral	
1105	Powder, for suspension		O-Oral	O-Oral	
1106	Powder, for suspension		O-Oral	O-Oral	
1121	Injectable, solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
1122	Capsule		O-Oral	O-Oral	
1123	Capsule		O-Oral	O-Oral	
1124	Powder, for suspension		O-Oral	O-Oral	
1129	Powder, for suspension		O-Oral	O-Oral	
1130	Powder, for suspension		O-Oral	O-Oral	
1131	Tablet		O-Oral	O-Oral	
1132	Tablet		O-Oral	O-Oral	
1134	Tablet, film coated		O-Oral	O-Oral	
1137	Tablet		O-Oral	O-Oral	
1139	Tablet, film coated		O-Oral	O-Oral	
1141	Tablet		O-Oral	O-Oral	
1151	Adhesive plaster		TD-Transdermal	TD-Transdermal	
1157	Caplet		O-Oral	O-Oral	
1161	Powder		O-R-Oral-Rectal	O-R-Oral-Rectal	
1162	Powder		O-R-Oral-Rectal	O-R-Oral-Rectal	
1163	Cream		T-Topical	T-Topical	
1164	Cream		T-Topical	T-Topical	
1167	Tablet, film coated		O-Oral	O-Oral	
1169	Gel		T-Topical	T-Topical	
1177	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1179	Solution, inhalation		Res-Respiratory	Res-Respiratory	
1191	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
1192	Injectable, emulsion		Parentaral	Inf-Infusion	Parentaral
1193	Injectable, emulsion		Parentaral	Inf-Infusion	Parentaral
1194	Spray		N-Nasal	N-Nasal	
1204	Capsule		O-Oral	O-Oral	
1205	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1210	Tablet, coated		O-Oral	O-Oral	
1211	Syrup		O-Oral	O-Oral	
1239	Syrup		O-Oral	O-Oral	
1240	Tablet		O-Oral	O-Oral	
1241	Tablet, film coated		O-Oral	O-Oral	
1248	Tablet, film coated		O-Oral	O-Oral	
1253	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
1255	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
1256	Tablet		O-Oral	O-Oral	
1260	Suppository		R-Rectal	R-Rectal	
1263	Injectable, solution		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1271	Capsule		O-Oral	O-Oral	
1274	Tablet, sugar coated		O-Oral	O-Oral	
1277	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
1278	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1290	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
1292	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
1301	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1302	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1309	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1310	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1311	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1312	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1337	Tablet		O-Oral	O-Oral	
1338	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
1340	Tablet		O-Oral	O-Oral	
1341	Suspension		O-Oral	O-Oral	
1342	Caplet		O-Oral	O-Oral	
1343	Caplet		O-Oral	O-Oral	
1350	Tablet		O-Oral	O-Oral	
1351	Suspension		O-Oral	O-Oral	
1352	Syrup		O-Oral	O-Oral	
1356	Tablet, film coated		O-Oral	O-Oral	
1362	Powder, for suspension CHOOSE with solvent		O-Oral	O-Oral	
1363	Capsule		O-Oral	O-Oral	
1369	Capsule		O-Oral	O-Oral	
1372	Ointment		T-Topical	T-Topical	
1373	Cream		T-Topical	T-Topical	
1381	Tablet		O-Oral	O-Oral	
1382	Tablet		O-Oral	O-Oral	
1383	Syrup		O-Oral	O-Oral	
1384	Metered dose, inhaler		Res-Respiratory	Res-Respiratory	
1385	Tablet, effervescent		O-Oral	O-Oral	
1386	Tablet		O-Oral	O-Oral	
1394	Injectable, lyophilised / freeze-dried / dry powder		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1395	Tablet, film coated		O-Oral	O-Oral	
1402	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
1403	Creamgel		T-Topical	T-Topical	
1415	Tablet, chewable		O-Oral	O-Oral	
1416	Suspension		O-Oral	O-Oral	
1433	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1434	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1440	Cream		T-Topical	T-Topical	
1453	Solution		O-Oral	O-Oral	
1454	Tablet		O-Oral	O-Oral	
1455	Suppository		R-Rectal	R-Rectal	
1459	Ovule		V-Vaginal	V-Vaginal	
1460	Ovule		V-Vaginal	V-Vaginal	
1475	Tablet, film coated		O-Oral	O-Oral	
1478	Tablet, film coated		O-Oral	O-Oral	
1479	Capsule		O-Oral	O-Oral	
1490	Syrup		O-Oral	O-Oral	
1491	Tablet		O-Oral	O-Oral	
1492	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
1493	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
1494	Tablet		O-Oral	O-Oral	
1497	Tablet, coated		O-Oral	O-Oral	
1498	Powder, for suspension		O-Oral	O-Oral	
1499	Ointment		T-Topical	T-Topical	
1503	Capsule		O-Oral	O-Oral	
1510	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1511	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1523	Drops, solution		O-Oral	O-Oral	
1525	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
1527	Cream		T-Topical	T-Topical	
1531	Capsule		O-Oral	O-Oral	
1542	Gel		T-Topical	T-Topical	
1543	Caplet, film coated		O-Oral	O-Oral	
1544	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1548	Cream		T-Topical	T-Topical	
1551	Tablet, effervescent		O-Oral	O-Oral	
1552	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1553	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1554	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1555	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
1556	Tablet, film coated		O-Oral	O-Oral	
1557	Tablet, film coated		O-Oral	O-Oral	
1559	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1564	Tablet, coated		O-Oral	O-Oral	
1570	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
1571	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent		Parentaral	IM-Intramuscular	Parentaral
1575	Caplet, coated		O-Oral	O-Oral	
1579	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intramuscular-Subcutanous	Parentaral
1580	Tablet, film coated		O-Oral	O-Oral	
1581	Tablet, film coated		O-Oral	O-Oral	
1589	Syrup		O-Oral	O-Oral	
1591	Suspension		O-Oral	O-Oral	
1595	Powder, inhalation		InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
1602	Capsule		O-Oral	O-Oral	
1606	Tablet		O-Oral	O-Oral	
1610	Tablet		O-Oral	O-Oral	
1617	Injectable, powder, for solution		Parentaral	IM-Intramuscular	Parentaral
1618	Injectable, powder, for solution CHOOSE withdiluent		Parentaral	IM-Intramuscular	Parentaral
1629	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1630	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		IV-Intravenous	IV-Intravenous	
1636	Spray		T-Topical	T-Topical	
1641	Tablet		O-Oral	O-Oral	
1642	Tablet		O-Oral	O-Oral	
1643	Tablet		O-Oral	O-Oral	
1644	Tablet		O-Oral	O-Oral	
1646	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
1651	Tablet, film coated		O-Oral	O-Oral	
1652	Tablet, film coated		O-Oral	O-Oral	
1658	Capsule		O-Oral	O-Oral	
1659	Powder, for suspension		O-Oral	O-Oral	
1660	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
1662	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
1664	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
1665	Capsule		O-Oral	O-Oral	
1668	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1671	Capsule		O-Oral	O-Oral	
1679	Suspension		O-Oral	O-Oral	
1681	Tablet		O-Oral	O-Oral	
1682	Powder, for suspension		O-Oral	O-Oral	
1685	Tablet		O-Oral	O-Oral	
1686	Tablet		O-Oral	O-Oral	
1689	Tablet		O-Oral	O-Oral	
1705	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
1709	Caplet		O-Oral	O-Oral	
1710	Caplet		O-Oral	O-Oral	
1711	Tablet, film coated		O-Oral	O-Oral	
1712	Tablet, film coated		O-Oral	O-Oral	
1713	Tablet, film coated		O-Oral	O-Oral	
1720	Capsule		O-Oral	O-Oral	
1721	Powder, for suspension		O-Oral	O-Oral	
1722	Powder, for suspension		O-Oral	O-Oral	
1725	Gel		T-Topical	T-Topical	
1726	Powder, for suspension		O-Oral	O-Oral	
1727	Capsule		O-Oral	O-Oral	
1728	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1731	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
1732	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
1735	Tablet		O-Oral	O-Oral	
1736	Injectable, solution		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1746	Tablet, film coated		O-Oral	O-Oral	
1747	Tablet, film coated		O-Oral	O-Oral	
1752	Injectable, solution		Parentaral	SC-IVas-Subcutanous-Intravascular	Parentaral
1757	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
1758	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
1759	Injectable, solution		Parentaral	SC-IVas-Subcutanous-Intravascular	Parentaral
1765	Tablet, film coated		O-Oral	O-Oral	
1766	Tablet, film coated		O-Oral	O-Oral	
1770	Suppository		R-Rectal	R-Rectal	
1772	Suppository		R-Rectal	R-Rectal	
1779	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
1780	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
1781	Spray		N-Nasal	N-Nasal	
1800	Tablet		O-Oral	O-Oral	
1801	Powder, for solution		O-Oral	O-Oral	
1808	Tablet, film coated		O-Oral	O-Oral	
1809	Tablet, film coated		O-Oral	O-Oral	
1811	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1812	Suppository		R-Rectal	R-Rectal	
1819	Tablet, film coated		O-Oral	O-Oral	
1820	Powder, for suspension		O-Oral	O-Oral	
1822	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1823	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
1832	Gel		T-Topical	T-Topical	
1835	Capsule		O-Oral	O-Oral	
1837	Capsule		O-Oral	O-Oral	
1839	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
1840	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
1842	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1846	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1847	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
1848	Suspension		O-Oral	O-Oral	
1849	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1850	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
1852	Tablet		O-Oral	O-Oral	
1853	Tablet		O-Oral	O-Oral	
1854	Powder, for suspension		O-Oral	O-Oral	
1855	Tablet		O-Oral	O-Oral	
1857	Tablet, coated		O-Oral	O-Oral	
1858	Capsule		O-Oral	O-Oral	
1859	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1860	Tablet, film coated		O-Oral	O-Oral	
1861	Tablet, film coated		O-Oral	O-Oral	
1862	Tablet, film coated		O-Oral	O-Oral	
1864	Tablet, coated		O-Oral	O-Oral	
1865	Capsule		O-Oral	O-Oral	
1867	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1869	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
1870	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
1872	Tablet, film coated		O-Oral	O-Oral	
1877	Syrup		O-Oral	O-Oral	
1878	Solution, inhalation		Res-Respiratory	Res-Respiratory	
1879	Solution, inhalation		Res-Respiratory	Res-Respiratory	
2010	Tablet		O-Oral	O-Oral	
2012	Tablet, film coated		O-Oral	O-Oral	
2014	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
2015	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
2016	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
2017	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
2018	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
2019	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
2023	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
2025	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
2028	Injectable, powder, for solution		Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
2029	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
2036	Tablet		O-Oral	O-Oral	
2038	Tablet		O-Oral	O-Oral	
2041	Tablet, film coated		O-Oral	O-Oral	
2043	Tablet, film coated		O-Oral	O-Oral	
2045	Tablet, film coated		O-Oral	O-Oral	
2085	Injectable, powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2096	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2097	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2124	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
2127	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
2137	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2139	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2140	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2156	Tablet, film coated		O-Oral	O-Oral	
2157	Tablet, film coated		O-Oral	O-Oral	
2177	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2179	Injectable, solution		Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2198	Tablet, film coated		O-Oral	O-Oral	
2199	Tablet, film coated		O-Oral	O-Oral	
2217	Injectable, powder, concentrate for solution CHOOSE with diluent		IV-Intravenous	IV-Intravenous	
2219	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
2220	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
2222	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
2224	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2226	Metered dose, inhaler		Res-Respiratory	Res-Respiratory	
2227	Metered dose, inhaler		Res-Respiratory	Res-Respiratory	
2241	Capsule		O-Oral	O-Oral	
2248	Tablet		O-Oral	O-Oral	
2249	Tablet, chewable		O-Oral	O-Oral	
2250	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
2251	Capsule		O-Oral	O-Oral	
2263	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2265	Tablet		O-Oral	O-Oral	
2266	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2267	Injectable, powder, for solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2268	Injectable, powder, for solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2271	Injectable, powder, for solution		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2272	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
2273	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2277	Drops, solution		Ot-Otic	Ot-Otic	
