MophCode	RegistrationNumber	DrugName	Dosage	Presentation	Form	Agent	Manufacturer	Country
4383	25654	ACTI-MOX	500mg	15	Capsule	Pharmapro	Mediphar Laboratories	Lebanon
4394	25658	ACTI-MOX	250mg/5ml 	60ml	Granules for suspension	Pharmapro	Mediphar Laboratories	Lebanon
2090	973309/01	ACTONEL	5mg	28	Tablet, film coated	Benta Trading Co s.a.l.	Aventis Pharma SpA	Italy
8115	64315/1	ACTONEL	75mg	2	Tablet, film coated	Benta Trading Co s.a.l.	Benta SAL under license from Actavis Group PTC EHF, Iceland	Lebanon
8116	64215/1	ACTONEL ONCE A WEEK	35mg	4	Tablet, film coated	Benta Trading Co s.a.l.	Benta SAL under license from Actavis Group PTC EHF, Iceland	Lebanon
8117	64415/1	ACTONEL PLUS CALCIUM D	35mg + 1000mg/ 880IU	4 tab + 24 sachets	Tablet, film coated + granules effervescent	Benta Trading Co s.a.l.	Benta SAL under license from Actavis Group PTC EHF, Iceland	Lebanon
3784	1760	ACTONORM		50	Tablet	Taba Chemipharm	Wallace Ltd	UK
8086	144514/1	ACTRAPID	100IU/ml	5x3ml	Penfill	Mersaco	Novo Nordisk Production SAS, Chartres	France
2007	405544/00	ACTRAPID NOVOLET	100IU/ml	5x3ml		Mersaco	Novo Nordisk AS	Denmark
99	38862	ACUITEL	5mg	30	Tablet, coated, scored	Droguerie Fattal  S.A.L.	Godecke AG AS Manufacturer for Parke Davis	Germany
8369	147215/1	ACUITEL	20mg	30	Tablet, coated, scored	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany
381	405426/00	ACULAR	0.5%	5ml	Ophtalmic solution	Mersaco	Allergan	Ireland
3734	24091/79	ACUPAN		100	Tablet	Droguerie R. Pharaon & Fils S.A.L.	Riker Laboratories 	UK
2175	23380/75	ADALAT		30	Capsule	Droguerie R. Pharaon & Fils S.A.L.	Bayer AG	Germany
2176	974117/01	ADALAT LA RETARD	30mg	30	Tablet	Droguerie R. Pharaon & Fils S.A.L.	Bayer AG	Germany
2184	974118/01	ADALAT LA RETARD	60mg	30	Tablet	Droguerie R. Pharaon & Fils S.A.L.	Bayer AG	Germany
2185	25535	ADALAT RETARD	20mg	30	Tablet	Droguerie R. Pharaon & Fils S.A.L.	Bayer AG	Germany
6281	222366/08	ADITOR	20mg	30	Tablet, film coated	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC	Jordan
6282	222365/08	ADITOR	10mg	30	Tablet, film coated	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC	Jordan
3628	208373	ADIZEM XL	120mg	28	Capsule	Mersaco	Bard Pharmaceuticals Ltd	UK
3629	208375	ADIZEM XL	180mg	28	Capsule	Mersaco	Bard Pharmaceuticals Ltd	UK
3630	78725	ADIZEM XL	240mg	28	Capsule	Mersaco	Bard Pharmaceuticals Ltd	UK
177	78785/98	ADOCOR	25 mg	50	Tablet	Medicapharm S.A.L.	TAD Pharma	Germany
178	78786/98	ADOCOR	50mg	50	Tablet	Medicapharm S.A.L.	TAD Pharma	Germany
4863	28/95	ADRENALINE 0.25 MG  I.V.	0.25mg/ml	100 x 1ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
4862	27/95	ADRENALINE 0.5 MG  I.V.	0.5mg/ml	100 x 1ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
4861	26/95	ADRENALINE 1 MG  I.V.	1mg/ml	100 x 1ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
260	MPB 2281/94	ADRENALINE INJ.	1mg	100Ampoules x1ml		Droguerie Solupharm SAL	Aguettant	France
261	MPA 2281/94	ADRENALINE INJ.	0.5mg	100Ampoules x1ml		Droguerie Solupharm SAL	Aguettant	France
580	26647	ADRIBLASTINA RAPIDE DISSOLUTION INJECTABLE	10mg	1	Vial +  Water for solution 5ml	Food & Drug Corporation FDC	Pharmacia Italia SpA	Italy
581	26648	ADRIBLASTINA RAPIDE DISSOLUTION INJECTABLE	50mg	1	Vial	Food & Drug Corporation FDC	Pharmacia Italia SpA	Italy
7831	105714/1	ADVANTAN		15g	Fatty Ointment	Khalil Fattal & Fils S.A.L.	Bayer HealthCare Manufacturing SRL	Italy
1563	405435/00	ADVIL	200mg	24	Tablet, coated	Sadco	Wyeth Canada	Canada
9192	106417/1	AERINAZE	2.5mg/120mg	14	Tablet, modified release	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium
1199	973868/02	AGIOLAX		250g	Granules	Omnipharma	Madaus GmbH	Germany
2754	208838/03	AIROL	0.05%	50ml	Lotion	Mersaco	Pierre Fabre Medicament Production	France
2687	22951/74	AKINETON	2mg	20	Tablet	Omnipharma	Abbott GmbH & Co KG on behalf of Amidpharm Ltd, Ireland	Germany
2086	22952/74	AKINETON RETARD	4mg	20	Tablet	Omnipharma	Abbott GmbH & Co KG on behalf of Amidpharm Ltd, Ireland	Germany
9177	56617/1	AKTEN	3.5%	1ml	Ophtalmic gel	Medi drug International SAL (MDI)	Akorn AG	Switzerland
1349	24009/79	AKTIFERRIN F		30	Suscaps	Mectapharm S.A.L.	Mepha Ltd	Switzerland
371	26162	ALBALON LIQUIFILM	0.1%	15ml	Ophtalmic solution	UPO S.A.L.	Allergan	Ireland
3674		ALBOTHYL		6	Ovule	Century Pharma SAL	Takeda GmbH	Germany
776	25672	ALDACTIDE	25mg	40	Tablet	Food & Drug Corporation FDC	Searle	UK
5247	222293/08	ALDARA	5%	12 Sachets	Cream	Omnipharma	3M Health Care Ltd	UK
307	24868/80	ALERGICAL EXPECTORANT		150ml	Syrup	Taba Chemipharm	Instituto Llorente	Spain
2088	261335	ALERGOFTAL		10ml	Eye drops	Pharmamedic S.A.R.L.	Alcon Cusi SA	Spain
3357	195036/04	ALEXAN	500mg/10ml	1	Vial	Codipha	Ebewe Pharma GesmbH	Austria
7876	71214/1	ALFUZOSINA PH&T	10mg	30	Tablet, prolonged release	Macromed S.A.R.L.	Mipharm SpA	Italy
2849	26942	ALGICON		60	Tablet, chewable	Mersaco	Rorer	Ireland
2853	26943	ALGICON		500ml	Suspension	Mersaco	Rorer	Ireland
4867	26555/88	ALGICREM		40g	Cream	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4842	236245/98	ALGICREM-C		30g	Cream	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
2107	208370/02	ALGIKEY	30mg	6Amp	Injectable	Mediterranean Pharmaceutical Company	Pharminicio SL	Spain
4347	973912/02	ALGIVIC 125	125mg	8	Suppository	Cesar Chalhoub et Fils	Chalhoub Pharmaceuticals S.A.L. (Chapha)	Lebanon
4348	973911/02	ALGIVIC 325	325mg	8	Suppository	Cesar Chalhoub et Fils	Chalhoub Pharmaceuticals S.A.L. (Chapha)	Lebanon
3102	27224	ALGOTROPYL A LA PROMETAZINE BEBE		10	Suppository	No Agent	Theraplix	France
3120	27225	ALGOTROPYL A LA PROMETAZINE ENFANT		10	Suppository	No Agent	Theraplix	France
659	14090	ALKERAN	2mg	25	Tablet	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
660	14090 A	ALKERAN	5mg	25	Tablet	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
1195	208707	ALLERGO-COMOD		15ml	Nasal Spray	Macromed S.A.R.L.	Ursapharm Arzeinmittel GmbH 	Germany
1196	973470	ALLERGO-COMOD		10ml	Eye Drops	Macromed S.A.R.L.	Ursapharm Arzeinmittel GmbH 	Germany
6172	219478/10	ALLI	60mg	120	Capsule	Sadco	GlaxoSmithKline Consumer Healthcare	USA
6173	219479/10	ALLI	60mg	60 starter pack	Capsule	Sadco	GlaxoSmithKline Consumer Healthcare	USA
4683	2522/94	ALLOPURINOL	300mg	1000	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4953	2514/94	ALLOPURINOL	100mg	50	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4954	2514/94	ALLOPURINOL	100mg	1000	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4955	2522/94	ALLOPURINOL	300mg	30	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
2710	261332	ALOMIDE	0.01%	5ml	Sterile Ophtalmic Solution	Droguerie R. Pharaon & Fils S.A.L.	SA Alcon Couvreur NV	Belgium
7189	186282/13	ALOPEXY	2%	3 x 60ml	Solution pour application cutanee	Mersaco	Pierre Fabre Medicament Production	France
8700	74816/1	ALOXI	500mcg	1	Capsule, soft	Mersaco	Helsinn Birex Pharmaceuticals Ltd	Ireland
8890	70215/1	ALPEEN	4000IU	10 vials	Injectable solution for IV/SC use	Raymond Georges Abou Adal & Co	Arwan Pharmaceutical Industries Lebanon SAL	Lebanon
362	974242 /01	ALPHAGAN (BRIMONIDINE TARTRATE)	0.2%	5ml	Ophtalmic solution	UPO S.A.L.	Allergan Pharmaceuticals (Ireland) Ltd 	Ireland
6134	23900/07	ALPHAPRESS		20	Tablet	Macromed S.A.R.L.	Middle East Pharmaceutical Co Midpharma	Jordan
5571	24343/06	ALPHAPRESS 4		20	Tablet	Macromed S.A.R.L.	Middle East Pharmaceutical Co Midpharma	Jordan
8591	74414/1	ALPIRIDE	2mg	30	Tablet	Qualipharm	Laboratorios Alter SA	Spain
8592	74314/1	ALPIRIDE	4mg	30	Tablet	Qualipharm	Laboratorios Alter SA	Spain
312	78824/98	ALPROX	0.5mg	100	Tablet	Droguerie de l'Union	Orion Corporation	Finland
3716	27872	ALTIAZEM		5+5Solvent	Vial	Sadco	Istituto Lusofarmaco d'Italia SpA	Italy
2863	26934	ALVERCOL		500g	Granules	Unipharm S.A.L.	Norgine Ltd	UK
8415	95915/1	ALZEMA	20mg	30	Tablet, film coated	Khalil Fattal & Fils S.A.L.	Sandoz Ilac Sanayi Ve Ticaret AS	Turkey
8416	95815/1	ALZEMA	10mg	30	Tablet, film coated	Khalil Fattal & Fils S.A.L.	Sandoz Ilac Sanayi Ve Ticaret AS	Turkey
2663	261071	AMARYL	1mg	120	Tablet	Benta Trading Co s.a.l.	Hoechst AG	Germany
2664	261069	AMARYL	2mg	120	Tablet	Benta Trading Co s.a.l.	Hoechst AG	Germany
2665	261070	AMARYL	3mg	120	Tablet	Benta Trading Co s.a.l.	Hoechst AG	Germany
5403	222463/08	AMARYL 6MG	6mg	30	Tablet	Mersaco	Benta SAL under license from Sanofi Aventis Deutschland GmbH Germany 	Lebanon
5340	222361/08	AMARYL M	1mg/250mg	30	Tablet, film coated	Mersaco	Benta SAL under license from Sanofi Aventis Deutschland GmbH Germany 	Lebanon
9995	2717/1	AMBAFEN	400mg/100ml	20x100ml glass bottle	Intravenous infusion	Pharmamed	Pharmaceutical Solutions Industry Ltd	Saudi Arabia
3524	195323/04	AMBISOME	50mg	10	Vial	Khalil Fattal & Fils S.A.L.	Gilead Sciences Ireland UC	Ireland
6706	219295/09	AMEPRIDE	1mg	30	Tablet	Mapico S.A.R.L.	The United Pharmaceutical Manufacturing Co Ltd	Jordan
6707	219296/09	AMEPRIDE	2mg	30	Tablet	Mapico S.A.R.L.	The United Pharmaceutical Manufacturing Co Ltd	Jordan
6708	219297/09	AMEPRIDE	3mg	30	Tablet	Mapico S.A.R.L.	The United Pharmaceutical Manufacturing Co Ltd	Jordan
6709	219298/09	AMEPRIDE	4mg	30	Tablet	Mapico S.A.R.L.	The United Pharmaceutical Manufacturing Co Ltd	Jordan
3556	195063/04	AMIKACIN AGUETTANT	250mg	20	Poudre pour solution injectable	Pharmamed	Aguettant	France
3557	195064/04	AMIKACIN AGUETTANT	500mg	20	Poudre pour solution injectable	Pharmamed	Aguettant	France
2614	236652	AMIKACIN FRESENIUS	500mg	10 x 100ml	Infusion  solution	Benta Trading Co s.a.l.	Fresenius Kabi Deutschland GmbH	Germany
919	23726/78	AMIKIN	100mg	1Vial	Injection	Pacific pharma	Bristol-Myers Squibb Laboratories Co Subsidiary of Bristol-Myers Squibb Company 	USA
920	23727/78	AMIKIN	500mg	1Vial	Injection	Pacific pharma	Bristol-Myers Squibb Laboratories Co Subsidiary of Bristol-Myers Squibb Company 	USA
5023	27510/93	AMINOFIL	100mg	100	Tablet	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4172	22/95	AMINOPHYLLINE	250mg/10ml	100 x 10ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
5003	2502/94	AMINOPHYLLINE	100mg	100	Capsule	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
5004	2502/94	AMINOPHYLLINE	100mg	1000	Capsule	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
5005	186/90	AMINOPHYLLINE 	200mg	50	Capsule	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
1188	25272	AMINOPLASMAL	3%	500ml	Solution	Droguerie de l'Union	Braun	Germany
1189	25273	AMINOPLASMAL	5%	500ml	Solution	Droguerie de l'Union	B. Braun Melsungen AG	Germany
1190	25274	AMINOPLASMAL	10%	500ml	Solution	Droguerie de l'Union	B. Braun Melsungen AG	Germany
2608	25447	AMINOSTERIL KE NEPHRO		250ml	Solution	Benta Trading Co s.a.l.	Fresenius AG	Germany
2376	24149/79	AMINOVEN 5%	5%	500ml	Solution for infusion	Benta Trading Co s.a.l.	Fresenius Kabi Austria GmbH	Austria
1648		AMINOVIT		20	Tablet	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland
5592	221737/08	AMLOCIM	10mg	30	Tablet	Mectapharm S.A.L.	Unichem Laboratories Ltd	India
5591	221736/08	AMLOCIM 	5mg	30	Tablet	Mectapharm S.A.L.	Unichem Laboratories Ltd	India
4077	24488/06	AMLOGAL DIVULE	10mg	28	Tablet, coated	Pharmamedic S.A.R.L.	SMB Technology SA	Belgium
2527	27602	AMLOR	5mg	28	Capsule	Mectapharm S.A.L.	Pfizer Corporation	Belgium
5479	219589/09	AMLOR	10mg	30	Capsule	Mectapharm S.A.L.	Pfizer PGM	France
1107	973990/02	AMOCLAN	600mg	1Vial	Injection	Hikma-Liban S.A.R.L.	Hikma Pharmaceuticals	Jordan
3226	26240	AMODEX	250mg	12	Gélule	Mersaco	Synthelabo	France
3227	26241	AMODEX	500mg	12	Gélule	Mersaco	Synthelabo	France
3228	26242	AMODEX	250mg	30g/60ml	Poudre	Mersaco	Synthelabo	France
3229	26243	AMODEX	500mg	30g/60ml	Poudre	Mersaco	Synthelabo	France
3230	26829	AMODEX  INJECTABLE	1g	1+1amp solv	Bottle	Mersaco	Synthelabo	France
6256	167177/10	AMOPRO	5mg	28	Capsule	Food & Drug Corporation FDC	SAJA- Saudi Arabia Japanese Pharmaceutical Co	Saudi Arabia
901	Mpoo361/91	AMOXICILLIN	250mg/5ml	60ml	Syrup	Mazen Pharm Drugstore	Remedica Ltd 	Cyprus
4426	2239/94	AMOXICILLIN	500mg	12	Capsule	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon
4437	2240/94	AMOXICILLIN	250mg/5ml 	60ml	Granules for suspension	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon
4918	2877/94	AMOXICILLIN	250mg	500	Capsule	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4919	2877/94	AMOXICILLIN	250mg	1000	Capsule	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4920	2511/94	AMOXICILLIN	250mg/5ml	100ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4921	2875/94	AMOXICILLIN	500mg	500	Capsule	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4922	2875/94	AMOXICILLIN	500mg	1000	Capsule	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4923	2512/94	AMOXICILLIN	500mg/5ml	100ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
2135	B1875/94	AMOXICILLINE	500mg	12	Capsule	Pharmacie Minapharm Halabi	Panpharma	France
2136	A0343/91	AMOXICILLINE INJ.	500mg	50	Vial	Pharmacie Minapharm Halabi	Panpharma	France
2134	A1875/94	AMOXICILLINE PANPHARMA	500mg	500	Capsule	Pharmacie Minapharm Halabi	Panpharma	France
2138	C1875/94	AMOXICILLINE POUDRE	250mg	P. 60ml	Sirop	Pharmacie Minapharm Halabi	Panpharma	France
719	26740	AMOXIL	500mg	100	Capsule	Abela Frères S.A.L.	SmithKline Beecham Ltd	UK
720	26739	AMOXIL	500mg	20	Capsule	Abela Frères S.A.L.	SmithKline Beecham Ltd	UK
721	26742	AMOXIL	500mg	10	Vial	Abela Frères S.A.L.	SmithKline Beecham PLC Worthing	UK
722	26741	AMOXIL	1g	5	Vial	Abela Frères S.A.L.	Beecham Pharmaceuticals	UK
723	26770	AMOXIL FORTE	250mg/5ml	100ml	Syrup	Abela Frères S.A.L.	SmithKline Beecham PLC Worthing	UK
4926	28551/93	AMOXILIN	250mg/5ml	60ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4927	28552/93	AMOXILIN	500mg/5ml	60ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
3760	236804/99	AMOXIMEX	1000mg	10	Tablet	Droguerie Phenicia	Acino Pharma AG	Switzerland
4924	27562/93	AMOXIRAL	250mg/5ml	60ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4925	27563/93	AMOXIRAL	500mg/5ml	60ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
894	01912B	AMOXYCILLIN	250mg/5ml	100ml	Oral Mixture	Levant Alie Houses S.A.L.	Vogen Laboratories Ltd	Cyprus
1824	1302	AMOXYCILLIN B.P.	500mg	500	Capsule	Sadco	Dar Al Dawa	Jordan
4485	973023	AMOXYDIL	500mg	20	Capsule	Mephico S.A.L.	Mephico SAL	Lebanon
4496	973024	AMOXYDIL	500mg	120	Capsule	Mephico S.A.L.	Mephico SAL	Lebanon
898	MPAO362/91	AMPICILLIN	500mg	10x100Blis	Capsule	Mazen Pharm Drugstore	Remedica Ltd 	Cyprus
900	Mpbo362/91	AMPICILLIN	250mg/5ml	60ml	Syrup	Mazen Pharm Drugstore	Remedica Ltd 	Cyprus
3883	MP0051/95	AMPICILLIN	250mg	10x100	Capsule	New Allpharma	Medochemie Ltd Limasol	Cyprus
4539	2884/95	AMPICILLIN	250mg	1000	Capsule	Mephico S.A.L.	Mephico SAL	Lebanon
4550	57/95	AMPICILLIN	500mg	12	Capsule	Mephico S.A.L.	Mephico SAL	Lebanon
4915	2245/94	AMPICILLIN	125mg/5ml	60ml	Granules for suspension	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon
4916	2244/94	AMPICILLIN	500mg	12	Capsule	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon
4917	2246/94	AMPICILLIN	250mg/5ml 	1 x 60ml	Granules for suspension	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon
4529	2884/95	AMPICILLIN 250	250mg	300	Capsule	Mephico S.A.L.	Mephico SAL	Lebanon
724	26743	AMPICLOX	500mg	20	Capsule	Abela Frères S.A.L.	Beecham Pharmaceuticals	UK
725	26745	AMPICLOX	250mg/5ml	100ml	Syrup	Abela Frères S.A.L.	Beecham Pharmaceuticals	UK
726	26758	AMPICLOX	500mg	10	Vial	Abela Frères S.A.L.	Beecham Pharmaceuticals	UK
727	26744	AMPICLOX	500mg	100	Capsule	Abela Frères S.A.L.	Beecham Pharmaceuticals	UK
1649	24876/80	AMPILAG	500mg	16	Capsule	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland
4937	27749/94 28562/94	AMPIRAL	250mg/5ml	60ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
3645	973338/01	AMRISTATIN	20mg	30	Tablet	C. Catafago & Co	Amriya Pharmaceutical Industries Co	Egypt
4478	24959	ANAFRANIL	25mg/2ml	10 x 2ml	Injectable solution	Mephico S.A.L.	Mephico SAL	Lebanon
2143	27766	ANANDRON	50mg	90	Tablet	Mersaco	Cenexi 	France
907		ANATENSOL DECANOATE	25mg	1Ampoule		Pacific pharma	E. R. Squibb & Sons Ltd	UK
112	25984	ANDRACTIM APP. LOCALE		80g	Gel	Ibra Haddad et Fils	Laboratoires Besins International	France
2850	25281	ANDRIOL TESTOCAPS	40mg	30	Capsule	Droguerie de l'Union	N.V. Organon	The Netherlands
546	208749/03	ANDROCUR	50mg	20	Tablet	Khalil Fattal & Fils S.A.L.	Schering SA	France
134	26258	ANDROCUR ORAL	50mg	50	Tablet	Khalil Fattal & Fils S.A.L.	Schering AG	Germany
1353	26286	ANEXATE	0.5mg/5ml	5	Ampoule	Omnipharma	Cenexi SAS	France
1354	26287	ANEXATE	1mg/10ml	5	Ampoule	Omnipharma	F. Hoffmann La Roche Ltd	Switzerland
7045	167488/10	ANGINET	80mg	30	Tablet, film coated	Mapico S.A.R.L.	The United Pharmaceutical Manufacturing Co Ltd	Jordan
7046	167487/10	ANGINET	160mg	30	Tablet, film coated	Mapico S.A.R.L.	The United Pharmaceutical Manufacturing Co Ltd	Jordan
1355	27660	ANTAGONIN	150mg	20 	Tablet, film coated	Hikma-Liban S.A.R.L.	Arab Pharmaceutical Manufacturer Co Ltd	Jordan
3113	208359	ANTAGOSAN SOLUTION FOR INFUSION	500,000KIU	5x25ml	Vial	Benta Trading Co s.a.l.	Hoechst Marion Roussel Deutschland GmbH 	Germany
7124	96680/12	ANTARENE CODEINE	200mg/30mg	20	Comprimés pelliculés	Pharmamedic S.A.R.L.	Elerte	France
2147	25704	ANTEBOR		150ml	Solution	No Agent	Biologique de l'ile de France	France
2148	25705	ANTEBOR B6		125ml	Solution	No Agent	Biologique de l'ile de France	France
85	17257	ANTIBIOPHILUS		20	Gélule	Biopharm	Lyocentre	France
4856	2799/94	ANTICOAGULANT CITRATE DEXTROSE SOLUTION B USP		500ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon
2065	25101/81	ANTISTIN PRIVIN		10ml	Collyre	Khalil Fattal & Fils S.A.L.	Novartis Ophthalmics AG	Switzerland
2934	767275/00	ANXYREX	6mg	30	Comprimé quadrisécable	Biopharm	Sanofi Winthrop Industrie	France
6083	219493/10	APHRODIL	50mg	4	Tablet	Sadco	Dar Al Dawa	Jordan
5261	23725/06	APIDRA	100IU/ml	5x3ml	Injectable solution in Prefilled pen Optiset	Mersaco	Aventis Pharma Deutschland GmbH	Germany
8071	7515/1	APIDRA	100IU/ml	5x3ml	Injectable solution in Cartridge	Mersaco	Sanofi Aventis Deutschland GmbH	Germany
972	MP AO 581/91	APO-ACETAMINOPHENE	500mg	100	Tablet	Promopharm S.A.R.L.	Apotex Inc	Canada
976	MP DA 581/91	APO-AMOXICILLINE POWDER FOR ORAL	250mg/5ml	100ml	Suspension	Promopharm S.A.R.L.	Apotex Inc	Canada
977	MP DB 581/91	APO-AMPICILLINE	500mg	100	Capsule	Promopharm S.A.R.L.	Apotex Inc	Canada
5824	219740/09	APO-ATEDINONE	100/25mg	30	Tablet	Promopharm S.A.R.L.	Apotex Inc	Canada
