Code	Form LNDI
1479	Capsule
1490	Syrup
1491	Tablet
1492	Injectable concentrated solution
1493	Injectable concentrated solution
1494	Tablet
1497	Tablet, coated
1498	Powder for suspension
1499	Ointment
1503	Capsule
1510	Tablet, gastroresistant
1511	Tablet, enteric coated
1523	Drops
1525	Capsule, liquid gel
1527	Cream
1531	Capsule
1542	Gel
1543	Caplet, film coated
1544	Capsule, enteric coated
1548	Cream
1551	Tablet, effervescent
1552	Capsule, enteric coated
1553	Capsule, enteric coated
1554	Capsule, enteric coated
1555	Injectable lyophilised powder for solution
1556	Tablet, film coated
1557	Tablet, film coated
1559	Tablet, scored
1564	Tablet, coated
1570	Injectable lyophilised powder for solution+diluent
1571	Injectable lyophilised powder for solution+diluent
1575	Caplet, coated
1579	Injectable solution
1580	Tablet, film coated
1581	Tablet, film coated
1589	Solution
1591	Suspension
1595	Inhalation powder
1602	Capsule
1606	Tablet
1610	Tablet
1617	Injectable powder for solution
1618	Injectable powder for solution+diluent
1629	Tablet, scored
1630	Injectable lyophilised powder for solution
1636	Spray
1641	Tablet
1642	Tablet
1643	Tablet
1644	Tablet
1646	Injectable suspension
1651	Tablet, film coated
1652	Tablet, film coated
1658	Capsule
1659	Powder for suspension
1660	Injectable lyophilised powder for solution+diluent
1662	Tablet, film-scored
1664	Tablet, scored
1665	Capsule
1668	Capsule
1671	Capsule
1679	Suspension
1681	Tablet
1682	Powder for suspension
1685	Tablet
1686	Tablet
1689	Tablet
1705	Injectable solution
1709	Caplet
1710	Caplet
1711	Tablet, film coated
1712	Tablet, film coated
1713	Tablet, film coated
1720	Capsule
1721	Powder for suspension
1722	Powder for suspension
1725	Gel
1726	Powder for suspension
1727	Capsule
1728	Capsule
1731	Injectable concentrated solution+diluent
1732	Injectable concentrated solution
1735	Tablet
1736	Injectable solution
1746	Tablet, film coated
1747	Tablet, film coated
1752	Injectable solution
1757	Injectable solution
1758	Injectable solution
1759	Injectable solution
1765	Tablet, film coated
1766	Tablet, film coated
1770	Suppository
1772	Suppository
1779	Injectable concentrated solution+diluent
1780	Injectable concentrated solution+diluent
1781	Spray, suspension 
1800	Tablet
1801	Powder
1808	Tablet, film coated
1809	Tablet, film coated
1811	Tablet, enteric coated
1812	Suppository
1819	Tablet, film coated
1820	Powder for suspension
1822	Tablet, enteric coated
1823	Tablet, film coated
1832	Gel
1835	Capsule
1837	Capsule
1839	Capsule, soft gelatin
1840	Tablet, film-scored
1842	Injectable dry powder
1846	Capsule, enteric coated
1847	Capsule, soft gelatin
1848	Suspension
1849	Tablet, enteric coated
1850	Injectable lyophilised powder for solution
1852	Tablet
1853	Tablet
1854	Powder for suspension
1855	Tablet
1857	Tablet, coated
1858	Capsule
1859	Tablet, enteric coated
1860	Tablet, film coated
1861	Tablet, film coated
1862	Tablet, film coated
1864	Tablet, coated
1865	Capsule
1867	Tablet, enteric coated
1869	Tablet, enteric coated
1870	Tablet, sugar coated, slow release
1872	Tablet, film coated
1877	Syrup
1878	Inhaltion solution with nebuliser
1879	Inhaltion solution with nebuliser
2010	Tablet
2012	Tablet, film coated
2014	Injectable solution
2015	Injectable solution
2016	Injectable suspension
2017	Injectable solution
2018	Injectable solution
2019	Injectable suspension
2023	Injectable solution
2025	Injectable suspension
2028	Injectable powder for solution+diluent
2029	Injectable suspension
2036	Tablet
2038	Tablet
2041	Tablet, film coated
2043	Tablet, film coated
2045	Tablet, film coated
2085	Injectable powder for solution+diluent
2096	Injectable solution
2097	Injectable solution
2124	Injectable solution
2127	Injectable solution
2137	Injectable powder for solution
2139	Injectable powder for solution
2140	Injectable powder for solution
2156	Tablet, film coated
2157	Tablet, film coated
2177	Injectable solution
2179	Injectable solution
2198	Tablet, film coated
2199	Tablet, film coated
2217	Injectable powder for solution+diluent
2219	Injectable concentrated solution
2220	Injectable concentrated solution
2222	Tablet, scored
2224	Injectable dry powder for solution+diluent
2226	Inhalation aerosol metered dose
2227	Inhalation aerosol metered dose
2241	Capsule
2248	Tablet
2249	Tablet, chewable
2250	Injectable concentrated solution
2251	Capsule
2263	Injectable powder for solution
2265	Tablet
2266	Injectable lyophilised powder for solution
2267	Injectable dry powder for solution
2268	Injectable dry powder for solution
2271	Injectable powder for solution
2272	Injectable dry powder
2273	Injectable dry powder
2277	Drops solution
2279	Injectable solution
2280	Injectable solution
2281	Injectable solution
2282	Injectable solution
2283	Injectable solution
2284	Injectable solution
2285	Injectable solution
2287	Injectable solution
2288	Granules for solution
2289	Tablet, coated
2293	Injectable solution
2295	Tablet, film coated
2308	Tablet
2322	Tablet, film coated
2326	Tablet
2332	Injectable lyophilised powder for solution+diluent
2334	Injectable dry powder
2344	Tablet
2345	Tablet
2349	Tablet
2350	Tablet
2361	Tablet, film coated
2365	Tablet
2366	Tablet
2370	Capsule, inhalation
2381	Capsule
2382	Drops solution
2417	Injectable solution
2418	Injectable solution
2419	Injectable solution
2420	Injectable solution
2421	Injectable solution
2423	Injectable solution
2426	Injectable solution
2427	Injectable solution
2429	Injectable solution
2451	Drops
2462	Injectable lyophilised powder for solution+diluent
2465	Capsule
2469	Injectable lyophilised powder for solution+diluent
2473	Injectable solution
2476	Tablet
2479	Injectable concentrated solution
2480	Injectable concentrated solution
2481	Tablet, coated
2491	Water for injection, irrigation
2492	Water for injection, irrigation
2497	Injectable concentrated solution
2498	Injectable concentrated solution
2503	Tablet, coated
2504	Injectable lyophilised powder for solution
2511	Injectable concentrated solution
2512	Tablet
2520	Suspension
2521	Syrup
2543	Syrup
2548	Tablet, sustained release
2555	Powder for solution
2557	Powder for solution
2566	Injectable solution
2570	Injectable solution
2573	Injectable solution
2576	Spray
2579	Ovule
2581	Suppository
2593	Tablet
2595	Injectable solution
2596	Injectable solution
2610	Injectable emulsion
2611	Injectable emulsion
2612	Cream
2626	Injectable solution
2630	Tablet, chewable
2634	Spray
2638	Cream
2639	Gel
2640	Injectable concentrated solution
2645	Tablet, scored
2647	Injectable lyophilised powder for solution
2650	Tablet
2652	Elixir
2661	Injectable solution
2662	Injectable solution
2669	Solution
2688	Tablet, film coated
2695	Capsule
2700	Injectable lyophilised powder for solution+diluent
2705	Film forming solution
2708	Tablet, film coated
2714	Powder for suspension
2719	Capsule, enteric coated
2731	Capsule
2735	Injectable solution
2736	Injectable solution
2739	Injectable concentrated solution
2747	Ointment
2748	Cream
2753	powder
2755	Solution
2767	Lotion
2768	Tablet, film-scored
2771	Injectable solution
2793	Injectable solution
2800	Cream
2801	Solution
2802	Powder
2803	Injectable solution
2805	Capsule, soft gelatin
2806	Injectable lyophilised powder for solution+diluent
2810	Injectable powder for suspension+diluent
2811	Injectable powder for suspension+diluent
2813	Capsule, soft gelatin
2815	Capsule
2827	Injectable solution
2855	Injectable solution
2869	Injectable solution
2871	Injectable solution
2886	Cream
2904	Tablet
2905	Tablet
2909	Tablet, film coated
2910	Granules for suspension
2924	Powder for suspension
2936	Ring
2937	Injectable solution
2938	Tablet, film coated
2941	Injectable solution
2942	Injectable solution
2968	Tablet, coated, prolonged release
2969	Tablet, coated, prolonged release
2974	Tablet, film coated
2975	Tablet, scored
2976	Injectable concentrated solution
2977	Tablet, enteric coated
2978	Injectable solution
2979	Tablet, enteric coated
2980	Solution
2985	Syrup
2986	Injectable lyophilised powder for solution+diluent
2987	Tablet, coated, scored, prolonged release
3027	Tablet, film coated, scored
3028	Capsule
3038	Injectable solution
3045	Capsule, sustained release
3046	Capsule
3047	Tablet, orodispersible
3054	Drops solution
3055	Capsule, sustained release
3058	Capsule
3059	Tablet, scored
3069	Syrup
3070	Syrup
3074	Drops solution
3077	Tablet, scored
3079	Tablet, film coated, scored
3086	Tablet, film coated
3094	Tablet
3110	Tablet, prolonged release
3115	Tablet, enteric coated
3116	Suppository
3119	Injectable solution
3121	Tablet, scored
3156	Injectable powder for solution
3161	Gel
3168	Solution
3172	Tablet, film coated
3180	Tablet, film-scored
3188	Injectable suspension
3195	Drops solution
3196	Tablet, film coated
3203	Injectable lyophilised powder for solution+diluent
3206	Capsule
3247	Drops solution
3263	Injectable lyophilised powder for solution+diluent
3265	Tablet, film coated
3267	Injectable solution
3268	Ovule
3272	Injectable solution
3273	Injectable solution
3274	Injectable solution
3279	Injectable lyophilised powder for solution+diluent
3280	Injectable lyophilised powder for solution+diluent
3281	Injectable lyophilised powder for solution+diluent
3340	Tablet, film coated
3345	Tablet, chewable
3351	Injectable emulsion
3353	Injectable emulsion
3354	Injectable lyophilised powder for solution+diluent
3356	Solution
3358	Injectable solution
3367	Capsule, micronized
3371	Suppository
3376	Injectable solution
3382	Drops solution
3385	Tablet
3388	Tablet
3392	Tablet
3393	Inhalation powder
3400	Injectable solution
3401	Injectable solution
3404	Injectable solution
3411	Injectable solution
3412	Injectable solution
3413	Injectable emulsion
3414	Cream
3415	Gel
3426	Injectable solution
3427	Tablet, film coated
3434	Suppository
3435	Tablet, film coated
3436	Suppository
3444	Cream
3447	Injectable solution
3464	Tablet, film-scored
3472	Injectable solution
3483	Tablet
3486	Tablet
3487	Injectable solution
3488	Injectable solution
3489	Injectable solution
3490	Spray, suspension
3491	Syrup, sugar free, alcohol free
3495	Tablet, sustained release
3504	Injectable solution
3512	Liquid
3525	Drops suspension
3526	Cream
3528	Injectable powder for solution
3530	Tablet
3531	Capsule
3532	Injectable concentrated solution
3539	Injectable powder for solution
3546	Injectable concentrated solution
3559	Cream
3560	Powder for suspension
3561	Powder for suspension
3563	Tablet, film coated
3564	Tablet, film coated
3570	Tablet
3571	Tablet
3572	Capsule
3576	Injectable concentrated solution+diluent
3577	Injectable concentrated solution
3578	Injectable concentrated solution
3579	Tablet
3588	Capsule
3590	Capsule
3591	Powder for suspension
3592	Syrup
3593	Capsule
3594	Tablet, film-scored
3595	Syrup
3596	Tablet, film coated
3597	Injectable solution
3598	Injectable solution
3599	Injectable solution
3600	Injectable solution
3601	Capsule
3603	Tablet
3604	Injectable solution
3605	Solution
3607	Gargle
3610	Solution
3611	Ointment
3621	Inhalation powder
3626	Injectable powder for solution
3631	Capsule, sustained release
3632	Tablet, film coated, prolonged release
3633	Tablet, film coated, prolonged release
3634	Tablet, film coated, prolonged release
3635	Tablet, film coated, prolonged release
3651	Tablet
3658	Tablet, scored
3660	Capsule
3677	Tablet, scored
3678	Tablet, scored
3679	Tablet, film coated
3682	Tablet, coated
3683	Gel
3684	Tablet, film coated
3685	Tablet, film coated
3686	Tablet, scored
3692	Tablet, scored
3694	Gel
3695	Gel
3698	Gel
3711	Capsule, vaginal
3712	Solution
3714	Capsule, hard, prolonged release
3715	Tablet
3717	Tablet, scored
3733	Solution
3740	Caplet
3747	Tablet
3748	Tablet, film coated
3749	Syrup
3754	Tablet, film coated
3755	Granules for suspension
3757	Tablet, film coated
3758	Tablet, film coated
3774	Suppository
3775	Suppository
3777	Powder for suspension
3780	Drops
3781	Capsule
3790	Solution
3791	Solution
3792	Solution
3793	Solution
3794	Injectable suspension
3795	Injectable suspension
3819	Tablet, scored
3820	Tablet, scored
3829	Capsule
3830	Syrup
3831	Tablet
3832	Syrup
3838	Tablet, film coated, modified release
3847	Lozenge
3851	Capsule
3853	Tablet, film coated
3854	Solution
3863	Injectable solution
3881	Capsule
3882	Capsule
3885	Injectable solution
3887	Capsule, hard
3888	Capsule, hard
3889	Capsule, hard
3890	Capsule, hard
3891	Capsule, hard
3894	Tablet, coated
3895	Tablet, coated
3898	Tablet, film coated
3899	Tablet, film coated
3900	Tablet, film coated
3902	Film forming solution
3903	Nail lacquer
3904	Injectable lyophilised powder for solution+diluent
3905	Injectable lyophilised powder for solution+diluent
3906	Capsule
3907	Tablet
3909	Injectable solution
3915	Capsule
3919	Tablet
3920	Tablet, film coated
3922	Injectable concentrated solution
3928	Injectable suspension
3938	Capsule
3939	Injectable solution
3940	Injectable emulsion
3943	Injectable powder for solution
3944	Injectable powder for solution
3949	Tablet, coated
3951	Injectable lyophilised powder for solution+diluent
3952	Injectable concentrated solution
3956	Tablet, film coated
3959	Tablet
3960	Syrup
3961	Drops solution
3962	Drops suspension
3963	Drops suspension
3969	Tablet, coated
3970	Tablet, coated
3974	Powder for suspension
3976	Capsule, soft gelatin
3977	Capsule, soft gelatin
3978	Capsule, soft gelatin
3979	Injectable solution
3980	Tablet, film coated
3981	Tablet, film coated
3984	Injectable solution
3986	Tablet
3987	Tablet
3990	Tablet, film coated
3992	Cream
3993	Capsule, dual release
3994	Syrup
3996	Tablet, film coated
3999	Injectable concentrated solution
4015	Tablet
4016	Tablet
4017	Tablet
4018	Tablet
4019	Tablet
4020	Injectable solution
4021	Injectable solution
4022	Injectable solution
4025	Injectable solution
4028	Injectable concentrated powder for solution
4029	Injectable solution
4041	Tablet, film coated
4043	Injectable solution
4048	Injectable solution
4057	Injectable lyophilised powder for solution
4058	Injectable lyophilised powder for solution
4061	Suspension
4067	Cream
4070	Tablet
4071	Tablet
4075	Capsule, hard
4078	Tablet, film coated
4079	Tablet, film coated
4082	Tablet, chewable
4083	Injectable concentrated powder for solution
4086	Capsule, slow release
4092	Injectable powder for solution
4093	Injectable dry powder+diluent
4094	Tablet, film coated
4095	Injectable concentrated solution
4097	Injectable concentrated solution
4098	Drops solution
4100	Drops solution
4103	Injectable solution
4104	Injectable solution
4105	Injectable solution
4106	Injectable solution
4107	Injectable solution
4108	Injectable solution
4109	Injectable solution
4110	Injectable solution
4111	Injectable solution
4112	Injectable solution
4113	Injectable solution
4114	Injectable solution
4115	Injectable solution
4117	Injectable solution
4119	Injectable solution
4122	Injectable solution
4124	Injectable solution
4126	Injectable solution
4128	Injectable solution
4130	Injectable solution
4133	Injectable solution
4134	Injectable solution
4136	Injectable solution
4138	Injectable solution
4142	Injectable solution
4144	Injectable solution
4147	Injectable solution
4149	Injectable solution
4151	Injectable solution
4153	Injectable solution
4155	Injectable solution
4157	Injectable solution
4159	Injectable solution
4163	Injectable solution
4165	Injectable solution
4166	Injectable solution
4167	Injectable solution
4169	Injectable solution
4174	Injectable solution
4175	Injectable solution
4176	Injectable solution
4177	Injectable solution
4179	Injectable solution
4181	Injectable solution
4182	Injectable solution
4184	Injectable solution
4187	Injectable solution
4189	Injectable solution
4191	Injectable solution
4192	Injectable solution
4196	Injectable solution
4197	Injectable solution
4198	Injectable solution
4199	Injectable solution
4200	Injectable solution
4201	Injectable solution
4202	Injectable solution
4203	Injectable solution
4204	Injectable solution
4205	Injectable solution
4206	Injectable solution
4207	Injectable solution
4208	Injectable solution
4209	Injectable solution
4211	Injectable solution
4212	Injectable solution
4214	Injectable solution
4215	Injectable solution
4217	Injectable solution
4219	Injectable solution
4221	Injectable solution
4223	Injectable solution
4224	Injectable solution
4225	Injectable solution
4227	Water for injection, irrigation
4229	Water for injection, irrigation
4231	Water for injection, irrigation
4235	Water for injection, irrigation
4236	Injectable solution
4237	Water for injection, irrigation
4238	Water for injection, irrigation
4239	Tablet
4240	Suppository
4241	Capsule, modified release
4242	Tablet, coated
4243	Tablet, coated
4245	Drops solution
4246	Tablet, film coated
4249	Tablet
4250	Tablet, scored
4251	Capsule, controlled release
4252	Capsule, controlled release
4253	Capsule, controlled release
4254	Capsule, sustained release
4258	Tablet, film coated
4259	Granules for suspension
4260	Tablet
4261	Granules for suspension
4262	Capsule
4263	Capsule
4264	Capsule
4265	Capsule
4266	Capsule
4267	Tablet
4268	Tablet
4269	Tablet
4270	Syrup
4271	Capsule
4272	Capsule
4275	Tablet, scored
4276	Tablet, scored
4277	Tablet, scored
4278	Tablet, scored
4284	Tablet
4285	Tablet, scored
4286	Tablet, scored
4287	Cream
4288	Syrup
4289	Tablet, film coated
4290	Tablet
4291	Elixir
4292	Tablet, scored
4293	Syrup
4294	Syrup
4295	Syrup
4296	Syrup
4297	Drops
4300	Tablet, film coated
4301	Tablet, film coated
4302	Tablet, film-scored
4303	Tablet, film-scored
4304	Tablet, coated
4305	Capsule
4306	Suppository
4309	Tablet, film-scored
4310	Tablet, film-scored
4311	Tablet, film-scored
4312	Tablet, film-scored
4313	Cream
4314	Tablet, coated
4315	Cream
4316	Ovule
4317	Ovule
4318	Spray
4319	Ovule
4320	Tablet, chewable
4321	Tablet
4322	Tablet
4324	Tablet
4325	Tablet
4326	Granules for suspension
4327	Tablet, film-scored
4331	Tablet
4332	Tablet
4333	Elixir
4336	Drops
4337	Tablet, scored
4338	Tablet, scored
4339	Tablet, scored
4340	Tablet, scored
4341	Capsule
4345	Syrup
4350	Suppository
4351	Suppository
4354	Tablet, scored
4355	Tablet, scored
4357	Tablet, scored
4361	Tablet, scored
4362	Cream
4364	Tablet, scored
4367	Solution
4368	Solution
4369	Solution
4370	Syrup, sugar free
4371	Tablet, scored
4372	Tablet, scored
4373	Tablet, scored
4374	Tablet, scored
4376	Tablet, scored
4377	Lotion
4378	Tablet, sugar coated
4379	Elixir
4380	Elixir
4387	Tablet, scored
4388	Solution
4389	Capsule
4390	Tablet, film coated
4392	Tablet, scored
4393	Suspension
4395	Capsule
4396	Syrup
4397	Cream
4398	Tablet, scored
4399	Tablet, scored
4400	Cream
4401	Tablet, scored
4402	Capsule, sustained release
4404	Capsule
4405	Tablet, scored
4406	Capsule
4411	Cream
4413	Tablet, scored
4414	Solution
4415	Capsule
4416	Tablet, scored
4417	Cream
4418	Tablet, scored
4419	Capsule
4420	Capsule
4421	Capsule
4422	Tablet, scored
4423	Tablet, scored
4424	Tablet
4425	Tablet
4427	Tablet
4428	Tablet
4429	Syrup
4431	Cream
4433	Tablet, scored
4434	Tablet
4435	Tablet, scored
4436	Tablet, scored
4438	Tablet, scored
4439	Solution
4440	Tablet, scored
4442	Suspension
4446	Tablet, scored
4447	Tablet
4448	Tablet, coated
4450	Tablet, film-scored
4451	Drops solution
4452	Capsule, delayed release
4453	Tablet, scored
4454	Shampoo
4455	Syrup, alcohol free
4456	Suspension
4457	Tablet, scored
4458	Capsule
4459	Tablet, scored
4460	Tablet, scored
4461	Tablet, scored
4462	Tablet, scored
4463	Syrup
4464	Capsule
4466	Capsule
4467	Gel
4468	Tablet
4469	Capsule
4481	Lotion
4488	Solution
4490	Solution
4492	Solution
4494	Solution
4495	Granules
4497	Tablet
4499	Liquid 
4501	Liquid 
4502	Liquid 
4503	Liquid 
4504	Liquid 
4505	Cream
4507	Powder for suspension
4508	Tablet
4509	Capsule
4513	Drops
4516	Tablet, sugar coated
4517	Tablet, sugar coated
4518	Powder for suspension
4519	Tablet, sugar coated
4523	Ointment
4524	Ointment
4525	Capsule
4532	Solution
4535	Tablet
4536	Elixir
4537	Tablet
4540	Syrup
4541	Syrup
4543	Tablet
4545	Suppository
4547	Lotion
4548	Suppository
4549	Suppository
4551	Suppository
4552	Capsule
4554	Tablet
4559	Solution
4560	Capsule
4561	Capsule
4562	Capsule
4563	Elixir
4564	Capsule
4565	Tablet, sugar coated
4566	Tablet, sugar coated
4567	Ointment
4568	Ointment
4569	Syrup
4572	Suppository
4573	Capsule
4574	Powder for suspension
4575	Powder for suspension
4576	Syrup
4577	Tablet
4578	Tablet, scored
4579	Capsule
4580	Suspension
4581	Tablet
4582	Capsule
4583	Suppository
4584	Tablet
4585	Tablet
4586	Syrup
4587	Syrup
4588	Syrup
4589	Tablet, sugar coated
4590	Solution
4591	Solution
4592	Solution
4593	Suppository
4594	Solution
4595	Tablet, enteric coated
4596	Tablet
4597	Elixir
4598	Shampoo
4599	Lotion
4600	Ointment
4602	Capsule
4603	Suppository
4604	Powder for suspension
4605	Tablet
4607	Solution
4608	Tablet, coated
4610	Ointment
4611	Tablet
4612	Drops suspension
4613	Ointment
4614	Suspension
4615	Capsule
4616	Elixir
4617	Tablet
4618	Ointment
4619	Suspension
4620	Elixir
4621	Ointment
4622	Tablet
4623	Tablet
4624	Suppository
4626	Powder for suspension
4628	Syrup
4629	Suppository
4630	Suppository
4631	Drops solution
4632	Powder
4633	Tablet
4634	Ointment
4635	Ointment
4636	Elixir
4637	Powder for suspension
4638	Tablet
4639	Tablet
4640	Tablet
4641	Ointment
4642	Tablet
4643	Powder for suspension
4644	Capsule
4645	Tablet
4646	Gel
4648	Gel
4649	Syrup
4650	Syrup
4651	Syrup
4652	Tablet, scored
4653	Tablet, scored
4658	Tablet
4660	Syrup
4661	Gel
4662	Capsule
4664	Tablet, scored
4666	Tablet, scored
4667	Tablet, scored
4668	Tablet, scored
4673	Tablet, enteric coated
4674	Tablet
4675	Tablet
4676	Tablet, scored
4677	Tablet, film coated
4680	Tablet, enteric coated
4682	Capsule
4684	Cream
4688	Cream
4693	Tablet, film coated
4694	Tablet, film coated
4695	Tablet, film coated
4696	Tablet, film coated
4697	Tablet, film coated
4698	Tablet, film coated
4699	Tablet, film coated
4700	Tablet, film coated
4701	Tablet, film coated
4702	Tablet, film coated
4703	Tablet, coated
4704	Injectable solution
4710	Tablet
4714	Cream
4715	Tablet
4718	Tablet, film coated
4719	Tablet, film coated
4720	Tablet, film coated
4721	Tablet
4722	Tablet
4725	Tablet, scored
4728	Tablet
4729	Tablet
4730	Tablet
4731	Tablet
4735	Capsule
4736	Capsule
4737	Powder for suspension
4738	Tablet, scored
4745	Tablet
4747	Injectable solution
4748	Injectable solution
4749	Injectable solution
4750	Injectable solution
4751	Injectable solution
4752	Injectable solution
4753	Injectable solution
4754	Injectable solution
4755	Injectable solution
4756	Injectable solution
4764	Injectable solution
4765	Injectable solution
4766	Injectable solution
4767	Injectable solution
4769	Injectable solution
4770	Injectable solution
4772	Injectable solution
4773	Injectable solution
4774	Injectable solution
4775	Injectable solution
4776	Injectable solution
4777	Injectable solution
4778	Injectable solution
4779	Injectable solution
4780	Injectable solution
4781	Injectable solution
4782	Injectable solution
4783	Injectable solution
4784	Injectable solution
4785	Injectable solution
4786	Injectable solution
4787	Injectable solution
4788	Injectable solution
4789	Injectable solution
4790	Injectable solution
4792	Injectable solution
4793	Injectable solution
4794	Injectable solution
4795	Injectable solution
4796	Injectable solution
4800	Injectable solution
4801	Injectable solution
4802	Injectable solution
4803	Injectable solution
4804	Injectable solution
4805	Injectable solution
4806	Injectable solution
4808	Injectable solution
4809	Injectable solution
4810	Injectable solution
4811	Liquid
4830	Tablet, enteric coated
4831	Tablet, enteric coated
4857	Injectable solution
4858	Injectable solution
4859	Injectable solution
4860	Injectable solution
4864	Injectable solution
4874	Tablet
4875	Tablet
4898	Cream
4903	Solution
4904	Solution
5021	Syrup
5027	Cream
5036	Tablet
5037	Suspension
5039	Tablet, film coated
5040	Caplet, film coated
5041	Tablet, film coated
5042	Caplet, film coated
5043	Injectable solution
5044	Injectable dry powder for solution
5045	Drops solution
5046	Solution
5047	Injectable solution
