MoPHCode	DFSequence	Form	Route
7622	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7734	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7775	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7776	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7778	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8472	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8473	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8474	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8475	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
11049	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
11050	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
1510	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
1511	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
3539	C22C24C23C21	Injectable, powder, for solution	Inf-IV-Infusion-Intravenous
6181	S31S5L81	Granules, gastro-resistant / delayed release	O-Oral
6264	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6265	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6924	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6925	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7571	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
7605	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
7606	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
7773	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7774	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7836	C22C24C23C21	Injectable, powder, for solution	Inf-IV-Infusion-Intravenous
7840	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8308	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8309	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8553	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8980	C22C24C23C21	Injectable, powder, for solution	Inf-IV-Infusion-Intravenous
9230	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
9264	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
9493	C22C24C23C21	Injectable, powder, for solution	Inf-IV-Infusion-Intravenous
7582	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
7583	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8127	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8128	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9652	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9653	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9654	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9655	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
7663	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5243	S1S2S7	Capsules ADD Capsules ADD Tablets	O-Oral
9700	S1S2S7	Capsule	O-Oral
3161	D3	Gel	O-Oral
3512	L9	Syrup	O-Oral
8893	S3S5L8	Powder, for suspension	O-Oral
9974	S3S5L8	Suspension	O-Oral
10637	S1S2S7	Tablet, chewable	O-Oral
10854	S3S5L8	Suspension	O-Oral
6814	S1S2S7	Tablet, coated	O-Oral
1862	S1S2S7	Tablet, film coated	O-Oral
5233	S22S72	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
10581	S22S72	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
3028	S1S2S7	Capsule	O-Oral
8608	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
3682	S1S2S7	Tablet, coated	O-Oral
10221	S1S2S7	Tablet, film coated	O-Oral
1025	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1026	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1849	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
4501	L9	Syrup	O-Oral
10446	S1S2S7	Capsule	O-Oral
6740	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
7544	S1S2S7	Tablet, coated	O-Oral
9110	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
10511	S1S2S7	Tablet, dispersible	O-Oral
1523	L1	Drops, solution	O-Oral
1525	S1S2S7	Capsule, soft / liquid gel / liquid filled / soft gelatin	O-Oral
3970	S1S2S7	Tablet, coated	O-Oral
7322	L3	Emulsion	O-Oral
3058	S1S2S7	Capsule	O-Oral
2177	C22C24C23C21	Injectable, solution	IV-SC-Intravenous-Subcutanous
2179	C22C24C23C21	Injectable, solution	IV-SC-Intravenous-Subcutanous
4214	C22C24C23C21	Injectable, solution	IV-IM-SC-Intravenous-Intramuscular-Subcutanous
4236	C22C24C23C21	Injectable, solution	IV-IM-SC-Intravenous-Intramuscular-Subcutanous
4864	C22C24C23C21	Injectable, solution	IV-IM-SC-Intravenous-Intramuscular-Subcutanous
10557	C22C24C23C21	Injectable, solution	IV-SC-Intravenous-Subcutanous
10558	C22C24C23C21	Injectable, solution	IV-SC-Intravenous-Subcutanous
11027	C22C24C23C21	Injectable, solution	IV-Intravenous
1579	C22C24C23C21	Injectable, solution	IV-IM-SC-Intravenous-Intramuscular-Subcutanous
3119	C22C24C23C21	Injectable, solution	IV-IM-SC-Intravenous-Intramuscular-Subcutanous
3748	S1S2S7	Tablet, film coated	O-Oral
3749	L9	Syrup	O-Oral
7930	C22C24C23C21	Injectable, solution	IV-IM-SC-Intravenous-Intramuscular-Subcutanous
9086	C22C24C23C21	Injectable, solution	IV-IM-SC-Intravenous-Intramuscular-Subcutanous
9501	S1S2S7	Tablet, sugar coated	O-Oral
9502	S1S2S7	Tablet, sugar coated	O-Oral
4378	S1S2S7	Tablet, sugar coated	O-Oral
4415	S1S2S7	Capsule	O-Oral
4640	S1S2S7	Tablet	O-Oral
8410	S1S2S7	Tablet, sugar coated	O-Oral
9478	S1S2S7	Tablet	O-Oral
4336	L1	Drops, solution	O-Oral
7552	S1S2S7	Tablet, coated	O-Oral
2481	S1S2S7	Tablet, coated	O-Oral
4525	S1S2S7	Capsule	O-Oral
8547	S1S2S7	Tablet	O-Oral
8548	S1S2S7	Tablet	O-Oral
2793	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
3059	S1S2S7	Tablet CHOOSE scored	O-Oral
7713	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
8871	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
9087	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
9605	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
9733	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
1689	S1S2S7	Tablet	O-Oral
1847	S1S2S7	Capsule, soft / liquid gel / liquid filled / soft gelatin	O-Oral
1848	S3S5L8	Suspension	O-Oral
4447	S1S2S7	Tablet	O-Oral
5056	S1S2S7	Tablet, film coated	O-Oral
5999	S3S5L8	Suspension	O-Oral
6204	S1S2S7	Tablet, film coated	O-Oral
7455	S1S2S7	Tablet	O-Oral
9875	S3S5L8	Suspension	O-Oral
10461	S1S2S7	Tablet	O-Oral
9149	S1S2S7	Tablet	O-Oral
3969	S1S2S7	Tablet, coated	O-Oral
4446	S1S2S7	Tablet CHOOSE scored	O-Oral
5312	C22C24C23C21	Injectable, solution	Inf-IV-Infusion-Intravenous
5644	C22C24C23C21	Injectable, solution	IV-Intravenous
6380	C22C24C23C21	Injectable, solution	IV-Intravenous
7678	C22C24C23C21	Injectable, solution	IV-Intravenous
7679	C22C24C23C21	Injectable, solution	IV-Intravenous
7850	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
7851	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
8100	C22C24C23C21	Injectable, solution	IV-Intravenous
8643	S1S2S7	Tablet, film coated	O-Oral
8689	C22C24C23C21	Injectable, concentrate, for solution	Inf-IV-Infusion-Intravenous
8690	C22C24C23C21	Injectable, concentrate, for solution	Inf-IV-Infusion-Intravenous
8918	S1S2S7	Tablet, film coated	O-Oral
8958	C22C24C23C21	Injectable, solution	IV-Intravenous
8959	C22C24C23C21	Injectable, solution	IV-Intravenous
8962	C22C24C23C21	Injectable, solution	IV-Intravenous
9013	S1S2S7	Tablet, orally disintegrating / mouth dissolving / orodispersible	O-Oral
9090	S1S2S7	Tablet, coated	O-Oral
9116	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
9117	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
9491	L9	Syrup	O-Oral
9591	S1S2S7	Tablet	O-Oral
9928	L9	Syrup	O-Oral
9987	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
9988	C22C24C23C21	Injectable, solution	IV-IM-Intravenous-Intramuscular
10336	D2	Film, orodispersible	O-Oral
10337	D2	Film, orodispersible	O-Oral
10435	S1S2S7	Tablet, film coated	O-Oral
10827	S1S2S7	Tablet, film coated	O-Oral
10902	L9	Syrup	O-Oral
10984	S6	Suppository	R-Rectal
8436	C22C24C23C21	Injectable, concentrate, for solution	Inf-IV-Infusion-Intravenous
8437	C22C24C23C21	Injectable, concentrate, for solution	Inf-IV-Infusion-Intravenous
9015	C22C24C23C21	Injectable, concentrate, for solution	Inf-Infusion
9546	S1S2S7	Tablet, film coated	O-Oral
9852	C22C24C23C21	Injectable, solution	Inf-IV-IM-Infusion-Intravenous-Intramuscular
11008	O4	Patch	TD-Transdermal
8286	C22C24C23C21	Injectable, solution	IV-Intravenous
8551	S1S2S7	Capsule, hard	O-Oral
1453	L9	Solution	O-Oral
1454	S1S2S7	Tablet	O-Oral
1455	S6	Suppository	R-Rectal
9102	C22C24C23C21	Injectable, powder, for solution	Inf-Infusion
10342	S1S2S7	Capsule	O-Oral
10343	S1S2S7	Capsule	O-Oral
92	S1S2S7	Capsule	O-Oral
9890	S1S2S7	Tablet, film coated	O-Oral
9891	S1S2S7	Tablet, film coated	O-Oral
6353	S1S2S7	Tablet, coated	O-Oral
2695	S1S2S7	Capsule	O-Oral
4502	L9	Solution	O-Oral
9735	S1S2S7	Tablet, sugar coated	O-Oral
9738	S1S2S7	Tablet, sugar coated	O-Oral
10851	S6	Suppository	R-Rectal
4503	L9	Solution	O-Oral
4504	L9	Solution	O-Oral
8603	S1S2S7	Tablet, film coated	O-Oral
6459	S3S5L8	Powder, for solution	O-Oral
7973	S3S5L8	Powder, for solution	O-Oral
10320	S3S5L8	Powder, for solution	O-Oral
4495	S3S5L8	Granules	O-Oral
3168	L9	Syrup	O-Oral
3595	L9	Syrup	O-Oral
2555	S3S5L8	Powder, for solution	O-Oral
7548	S3S5L8	Powder, for solution	O-Oral
1589	L9	Syrup	O-Oral
2557	S3S5L8	Powder, for solution	O-Oral
9645	S3S5L8	Powder, for solution	O-Oral
9646	S3S5L8	Powder, for solution	O-Oral
6712	L4	Enema	R-Rectal
4548	S6	Suppository	R-Rectal
4549	S6	Suppository	R-Rectal
4551	S6	Suppository	R-Rectal
6805	S1S2S7	Tablet, film coated	O-Oral
6806	S1S2S7	Tablet, film coated	O-Oral
10457	S1S2S7	Tablet, film coated	O-Oral
10458	S1S2S7	Tablet, film coated	O-Oral
4442	S3S5L8	Suspension	O-Oral
8844	S1S2S7	Capsule	O-Oral
9495	S4	Lozenge	O-Oral
3754	S1S2S7	Tablet, film coated	O-Oral
3755	S3S5L8	Granules, for suspension	O-Oral
9446	S1S2S7	Tablet, film coated	O-Oral
2381	S1S2S7	Capsule	O-Oral
4421	S1S2S7	Capsule	O-Oral
10512	S1S2S7	Tablet	O-Oral
2251	S1S2S7	Capsule	O-Oral
2512	S1S2S7	Tablet	O-Oral
6943	S3S5L8	Powder, for suspension	O-Oral
9350	S3S5L8	Powder, for suspension	O-Oral
957	L9	Syrup	O-Oral
7651	S1S2S7	Tablet, orally disintegrating / mouth dissolving / orodispersible	O-Oral
10094	S1S2S7	Capsule	O-Oral
7160	S22S72	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
8965	S22S72	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
10833	S22S72	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
10834	S22S72	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
96	L4	Enema	R-Rectal
1008	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
1009	S6	Suppository	R-Rectal
1260	S6	Suppository	R-Rectal
3115	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
3116	S6	Suppository	R-Rectal
5478	S1S2S7	Tablet	O-Oral
6253	L4	Enema	R-Rectal
6890	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
7846	S6	Suppository	R-Rectal
8319	S31S5L81	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	O-Oral
8320	S31S5L81	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	O-Oral
8321	S31S5L81	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	O-Oral
8775	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
9191	S31S5L81	Granules, gastro-resistant / delayed release ADD Granules, prolonged release CHOOSE For suspension	O-Oral
10339	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
10543	L4	Enema	R-Rectal
10682	S6	Suppository	R-Rectal
10806	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
10807	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
10808	S31S5L81	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	O-Oral
2714	S3S5L8	Powder, for suspension	O-Oral
7091	S1S2S7	Capsule	O-Oral
7637	S1S2S7	Capsule	O-Oral
169	S1S2S7	Capsule	O-Oral
3915	S1S2S7	Capsule	O-Oral
6494	S1S2S7	Capsule	O-Oral
8477	S3S5L8	Powder, for suspension	O-Oral
3938	S1S2S7	Capsule	O-Oral
8287	S3S5L8	Granules, for suspension	O-Oral
8288	S1S2S7	Capsule, hard	O-Oral
8759	S1S2S7	Capsule	O-Oral
8760	S1S2S7	Capsule	O-Oral
9939	S1S2S7	Tablet	O-Oral
10095	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
6255	S1S2S7	Capsule	O-Oral
6285	S1S2S7	Capsule	O-Oral
6286	S1S2S7	Capsule	O-Oral
6375	S1S2S7	Capsule	O-Oral
6575	S1S2S7	Capsule	O-Oral
6883	S1S2S7	Capsule	O-Oral
7262	S1S2S7	Capsule	O-Oral
9241	S1S2S7	Capsule	O-Oral
9449	S1S2S7	Capsule	O-Oral
3206	S1S2S7	Capsule	O-Oral
5258	S1S2S7	Capsule	O-Oral
5346	G2	Spray	OG-Oral gingival
1038	C22C24C23C21	Injectable, solution	IV-SC-Intravenous-Subcutanous
2018	C22C24C23C21	Injectable, solution	SC-Subcutanous
2023	C22C24C23C21	Injectable, solution	SC-Subcutanous
5060	C22C24C23C21	Injectable, solution	SC-Subcutanous
8497	C22C24C23C21	Injectable, solution	SC-Subcutanous
1028	C22C24C23C21	Injectable, suspension	SC-Subcutanous
5844	C22C24C23C21	Injectable, solution	SC-Subcutanous
8948	C22C24C23C21	Injectable, solution	SC-Subcutanous
10592	C22C24C23C21	Injectable, suspension	SC-Subcutanous
10619	C22C24C23C21	Injectable, solution	SC-Subcutanous
10981	C22C24C23C21	Injectable, solution	SC-Subcutanous
10983	C22C24C23C21	Injectable, solution	SC-Subcutanous
2017	C22C24C23C21	Injectable, solution	SC-Subcutanous
7190	C22C24C23C21	Injectable, solution	SC-Subcutanous
8087	C22C24C23C21	Injectable, solution	SC-Subcutanous
8113	C22C24C23C21	Injectable, solution	SC-Subcutanous
9456	C22C24C23C21	Injectable, solution	SC-Subcutanous
9457	C22C24C23C21	Injectable, solution	SC-Subcutanous
5262	C22C24C23C21	Injectable, solution	SC-Subcutanous
5263	C22C24C23C21	Injectable, solution	SC-Subcutanous
2019	C22C24C23C21	Injectable, suspension	SC-Subcutanous
1037	C22C24C23C21	Injectable, suspension	SC-Subcutanous
2029	C22C24C23C21	Injectable, suspension	SC-Subcutanous
5061	C22C24C23C21	Injectable, suspension	SC-Subcutanous
8088	C22C24C23C21	Injectable, suspension	SC-Subcutanous
5842	C22C24C23C21	Injectable, suspension	SC-Subcutanous
5843	C22C24C23C21	Injectable, suspension	SC-Subcutanous
2016	C22C24C23C21	Injectable, suspension	SC-Subcutanous
5846	C22C24C23C21	Injectable, suspension	SC-Subcutanous
8085	C22C24C23C21	Injectable, suspension	SC-Subcutanous
8111	C22C24C23C21	Injectable, suspension	SC-Subcutanous
7961	C22C24C23C21	Injectable, solution	SC-Subcutanous
1039	C22C24C23C21	Injectable, suspension	SC-Subcutanous
2025	C22C24C23C21	Injectable, suspension	SC-Subcutanous
5057	C22C24C23C21	Injectable, suspension	SC-Subcutanous
8496	C22C24C23C21	Injectable, suspension	SC-Subcutanous
2124	C22C24C23C21	Injectable, solution	SC-Subcutanous
5264	C22C24C23C21	Injectable, solution	SC-Subcutanous
8413	C22C24C23C21	Injectable, solution	SC-Subcutanous
8414	C22C24C23C21	Injectable, solution	SC-Subcutanous
8907	C22C24C23C21	Injectable, solution	SC-Subcutanous
10292	C22C24C23C21	Injectable, solution	SC-Subcutanous
3979	C22C24C23C21	Injectable, solution	SC-Subcutanous
8089	C22C24C23C21	Injectable, solution	SC-Subcutanous
8112	C22C24C23C21	Injectable, solution	SC-Subcutanous
7239	C22C24C23C21	Injectable, solution	SC-Subcutanous
9825	C22C24C23C21	Injectable, solution	SC-Subcutanous
9828	C22C24C23C21	Injectable, solution	SC-Subcutanous
10559	C22C24C23C21	Injectable, solution	SC-Subcutanous
10560	C22C24C23C21	Injectable, solution	SC-Subcutanous
9165	C22C24C23C21	Injectable, solution	SC-Subcutanous
897	S1S2S7	Tablet	O-Oral
3684	S1S2S7	Tablet, film coated	O-Oral
3685	S1S2S7	Tablet, film coated	O-Oral
4300	S1S2S7	Tablet, film coated	O-Oral
4301	S1S2S7	Tablet, film coated	O-Oral
4642	S1S2S7	Tablet	O-Oral
4699	S1S2S7	Tablet, film coated	O-Oral
4700	S1S2S7	Tablet, film coated	O-Oral
5083	S1S2S7	Tablet, film coated	O-Oral
5084	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
5085	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
5115	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
5136	S1S2S7	Tablet	O-Oral
5137	S1S2S7	Tablet	O-Oral
5163	S1S2S7	Tablet	O-Oral
5693	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
5948	S1S2S7	Tablet, film coated	O-Oral
6031	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
6219	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
6270	S1S2S7	Tablet, film coated	O-Oral
8579	S1S2S7	Tablet, film coated	O-Oral
8580	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
8581	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
8582	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
9011	S1S2S7	Tablet, film coated CHOOSE scored	O-Oral
9012	S1S2S7	Tablet, film coated	O-Oral
9115	S1S2S7	Tablet, film coated	O-Oral
3677	S1S2S7	Tablet CHOOSE scored	O-Oral
4422	S1S2S7	Tablet CHOOSE scored	O-Oral
5172	S1S2S7	Tablet	O-Oral
3678	S1S2S7	Tablet CHOOSE scored	O-Oral
3919	S1S2S7	Tablet	O-Oral
6133	S22S72	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	O-Oral
