MoPHCode	Form	Scored
8127	Capsule, delayed release / enteric coated / gastro-resistant	
8128	Capsule, delayed release / enteric coated / gastro-resistant	
9652	Capsule, delayed release / enteric coated / gastro-resistant	
9653	Capsule, delayed release / enteric coated / gastro-resistant	
9654	Capsule, delayed release / enteric coated / gastro-resistant	
9655	Capsule, delayed release / enteric coated / gastro-resistant	
7663	Tablet, delayed release / enteric coated / gastro-resistant	
5243	Capsules ADD Capsules ADD Tablets	
9700	Capsule	
3161	Gel	
3512	Syrup	
8893	Powder, for suspension	
9974	Suspension	
10637	Tablet, chewable	
10854	Suspension	
6814	Tablet, coated	
1862	Tablet, film coated	
5233	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10581	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3028	Capsule	
8608	Injectable, solution	
3682	Tablet, coated	
10221	Tablet, film coated	
1025	Capsule, delayed release / enteric coated / gastro-resistant	
1026	Capsule, delayed release / enteric coated / gastro-resistant	
1849	Tablet, delayed release / enteric coated / gastro-resistant	
4501	Syrup	
10446	Capsule	
6740	Injectable, solution	
7544	Tablet, coated	
9110	Injectable, solution	
10511	Tablet, dispersible	
1523	Drops, solution	
1525	Capsule, soft / liquid gel / liquid filled / soft gelatin	
3970	Tablet, coated	
7322	Emulsion	
3058	Capsule	
2177	Injectable, solution	
2179	Injectable, solution	
4214	Injectable, solution	
4236	Injectable, solution	
4864	Injectable, solution	
10557	Injectable, solution	
10558	Injectable, solution	
11027	Injectable, solution	
1579	Injectable, solution	
3119	Injectable, solution	
3748	Tablet, film coated	
3749	Syrup	
7930	Injectable, solution	
9086	Injectable, solution	
9501	Tablet, sugar coated	
9502	Tablet, sugar coated	
4378	Tablet, sugar coated	
4415	Capsule	
4640	Tablet	
8410	Tablet, sugar coated	
9478	Tablet	
4336	Drops, solution	
7552	Tablet, coated	
2481	Tablet, coated	
4525	Capsule	
8547	Tablet	
8548	Tablet	
2793	Injectable, solution	
3059	Tablet CHOOSE scored	YES
7713	Injectable, solution	
8871	Injectable, solution	
9087	Injectable, solution	
9605	Injectable, solution	
9733	Injectable, solution	
1689	Tablet	
1847	Capsule, soft / liquid gel / liquid filled / soft gelatin	
1848	Suspension	
4447	Tablet	
5056	Tablet, film coated	
5999	Suspension	
6204	Tablet, film coated	
7455	Tablet	
9875	Suspension	
10461	Tablet	
9149	Tablet	
3969	Tablet, coated	
4446	Tablet CHOOSE scored	YES
5312	Injectable, solution	
5644	Injectable, solution	
6380	Injectable, solution	
7678	Injectable, solution	
7679	Injectable, solution	
7850	Injectable, solution	
7851	Injectable, solution	
8100	Injectable, solution	
8643	Tablet, film coated	
8689	Injectable, concentrate, for solution	
8690	Injectable, concentrate, for solution	
8918	Tablet, film coated	
8958	Injectable, solution	
8959	Injectable, solution	
8962	Injectable, solution	
9013	Tablet, orally disintegrating / mouth dissolving / orodispersible	
9090	Tablet, coated	
9116	Injectable, solution	
9117	Injectable, solution	
9491	Syrup	
9591	Tablet	
9928	Syrup	
9987	Injectable, solution	
9988	Injectable, solution	
10336	Film, orodispersible	
10337	Film, orodispersible	
10435	Tablet, film coated	
10827	Tablet, film coated	
10902	Syrup	
10984	Suppository	
8436	Injectable, concentrate, for solution	
8437	Injectable, concentrate, for solution	
9015	Injectable, concentrate, for solution	
9546	Tablet, film coated	
9852	Injectable, solution	
11008	Patch	
8286	Injectable, solution	
8551	Capsule, hard	
1453	Solution	
1454	Tablet	
1455	Suppository	
9102	Injectable, powder, for solution	
10342	Capsule	
10343	Capsule	
92	Capsule	
9890	Tablet, film coated	
9891	Tablet, film coated	
6353	Tablet, coated	
2695	Capsule	
4502	Solution	
9735	Tablet, sugar coated	
9738	Tablet, sugar coated	
10851	Suppository	
4503	Solution	
4504	Solution	
8603	Tablet, film coated	
6459	Powder, for solution	
7973	Powder, for solution	
10320	Powder, for solution	
4495	Granules	
3168	Syrup	
3595	Syrup	
2555	Powder, for solution	
7548	Powder, for solution	
1589	Syrup	
2557	Powder, for solution	
9645	Powder, for solution	
9646	Powder, for solution	
6712	Enema	
4548	Suppository	
4549	Suppository	
4551	Suppository	
6805	Tablet, film coated	
6806	Tablet, film coated	
10457	Tablet, film coated	
10458	Tablet, film coated	
4442	Suspension	
8844	Capsule	
9495	Lozenge	
3754	Tablet, film coated	
3755	Granules, for suspension	
9446	Tablet, film coated	
2381	Capsule	
4421	Capsule	
10512	Tablet	
2251	Capsule	
2512	Tablet	
6943	Powder, for suspension	
9350	Powder, for suspension	
957	Syrup	
7651	Tablet, orally disintegrating / mouth dissolving / orodispersible	
10094	Capsule	
7160	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8965	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10833	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10834	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
96	Enema	
1008	Tablet, delayed release / enteric coated / gastro-resistant	
1009	Suppository	
1260	Suppository	
3115	Tablet, delayed release / enteric coated / gastro-resistant	
3116	Suppository	
5478	Tablet	
6253	Enema	
6890	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
7846	Suppository	
8319	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	
8320	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	
8321	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	
8775	Tablet, delayed release / enteric coated / gastro-resistant	
9191	Granules, gastro-resistant / delayed release ADD Granules, prolonged release CHOOSE For suspension	
10339	Tablet, delayed release / enteric coated / gastro-resistant	
10543	Enema	
10682	Suppository	
10806	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10807	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10808	Granules, gastro-resistant / delayed release ADD Granules, prolonged release	
2714	Powder, for suspension	
7091	Capsule	
7637	Capsule	
169	Capsule	
3915	Capsule	
6494	Capsule	
8477	Powder, for suspension	
3938	Capsule	
8287	Granules, for suspension	
8288	Capsule, hard	
8759	Capsule	
8760	Capsule	
9939	Tablet	
10095	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
6255	Capsule	
6285	Capsule	
6286	Capsule	
6375	Capsule	
6575	Capsule	
6883	Capsule	
7262	Capsule	
9241	Capsule	
9449	Capsule	
3206	Capsule	
5258	Capsule	
5346	Spray	
1038	Injectable, solution	
2018	Injectable, solution	
2023	Injectable, solution	
5060	Injectable, solution	
8497	Injectable, solution	
1028	Injectable, suspension	
5844	Injectable, solution	
8948	Injectable, solution	
10592	Injectable, suspension	
10619	Injectable, solution	
10981	Injectable, solution	
10983	Injectable, solution	
2017	Injectable, solution	
7190	Injectable, solution	
8087	Injectable, solution	
8113	Injectable, solution	
9456	Injectable, solution	
9457	Injectable, solution	
5262	Injectable, solution	
5263	Injectable, solution	
2019	Injectable, suspension	
1037	Injectable, suspension	
2029	Injectable, suspension	
5061	Injectable, suspension	
8088	Injectable, suspension	
5842	Injectable, suspension	
5843	Injectable, suspension	
2016	Injectable, suspension	
5846	Injectable, suspension	
8085	Injectable, suspension	
8111	Injectable, suspension	
7961	Injectable, solution	
1039	Injectable, suspension	
2025	Injectable, suspension	
5057	Injectable, suspension	
8496	Injectable, suspension	
2124	Injectable, solution	
5264	Injectable, solution	
8413	Injectable, solution	
8414	Injectable, solution	
8907	Injectable, solution	
10292	Injectable, solution	
3979	Injectable, solution	
8089	Injectable, solution	
8112	Injectable, solution	
7239	Injectable, solution	
9825	Injectable, solution	
9828	Injectable, solution	
10559	Injectable, solution	
10560	Injectable, solution	
9165	Injectable, solution	
897	Tablet	
3684	Tablet, film coated	
3685	Tablet, film coated	
4300	Tablet, film coated	
4301	Tablet, film coated	
4642	Tablet	
4699	Tablet, film coated	
4700	Tablet, film coated	
5083	Tablet, film coated	
5084	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
5085	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
5115	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
5136	Tablet	
5137	Tablet	
5163	Tablet	
5693	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
5948	Tablet, film coated	
6031	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
6219	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
6270	Tablet, film coated	
8579	Tablet, film coated	
8580	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8581	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8582	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
9011	Tablet, film coated CHOOSE scored	YES
9012	Tablet, film coated	
9115	Tablet, film coated	
3677	Tablet CHOOSE scored	YES
4422	Tablet CHOOSE scored	YES
5172	Tablet	
3678	Tablet CHOOSE scored	YES
3919	Tablet	
6133	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
4728	Tablet	
4729	Tablet	
4730	Tablet	
4731	Tablet	
5096	Tablet	
5097	Tablet	
5098	Tablet	
5099	Tablet	
5122	Tablet	
5123	Tablet	
5124	Tablet	
5125	Tablet	
5399	Tablet	
5400	Tablet	
5401	Tablet	
5927	Caplet	
5929	Caplet	
5930	Caplet	
6437	Caplet	
6702	Tablet	
6703	Tablet	
6704	Tablet	
6705	Tablet	
6837	Tablet	
6838	Tablet	
6839	Tablet	
6840	Tablet	
8990	Tablet	
10879	Tablet	
10880	Tablet	
10881	Tablet	
10882	Tablet	
11040	Tablet	
11041	Tablet	
11042	Tablet	
3679	Tablet, film coated	
4302	Tablet, film coated CHOOSE scored	YES
4303	Tablet, film coated CHOOSE scored	YES
4701	Tablet, film coated	
4702	Tablet, film coated	
5086	Tablet, film coated	
5126	Tablet	
5341	Tablet, film coated	
5810	Tablet	
5847	Tablet, film coated	
7290	Tablet, film coated	
9705	Tablet, film coated	
9706	Tablet	
9707	Tablet	
5770	Tablet	
5771	Tablet	
7991	Tablet	
7992	Tablet	
7993	Tablet	
10314	Tablet, film coated	
10315	Tablet, film coated	
10316	Tablet, film coated	
10501	Tablet, film coated	
10502	Tablet, film coated	
10740	Tablet, film coated	
10741	Tablet, film coated	
8316	Tablet	
8317	Tablet	
8318	Tablet	
10758	Tablet, film coated	
8993	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8994	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8339	Tablet, film coated	
8489	Tablet, film coated	
10766	Tablet, film coated	
10767	Tablet, film coated	
11047	Tablet, film coated	
11048	Tablet, film coated	
7967	Tablet	
7968	Tablet	
9337	Tablet	
9339	Tablet	
9751	Tablet, film coated	
9752	Tablet, film coated	
9753	Tablet, film coated	
9754	Tablet, film coated	
9826	Tablet, film coated	
9827	Tablet, film coated	
8680	Tablet, film coated	
8681	Tablet, film coated	
8682	Tablet, film coated	
8683	Tablet, film coated	
10462	Tablet, film coated	
10463	Tablet, film coated	
10464	Tablet, film coated	
10469	Tablet, film coated	
10991	Tablet, film coated	
10992	Tablet, film coated	
9815	Tablet, film coated	
9816	Tablet, film coated	
9813	Tablet, film coated	
9814	Tablet, film coated	
2593	Tablet	
1340	Tablet	
5302	Tablet	
5345	Tablet	
5959	Tablet	
7048	Tablet	
8333	Tablet	
7871	Tablet, film coated	
10194	Tablet, film coated	
7832	Tablet	
11043	Tablet	
8571	Tablet	
8572	Tablet	
7926	Tablet, film coated	
10757	Tablet, film coated	
6755	Tablet, film coated	
10585	Tablet, film coated	
5758	Injectable, solution	
8854	Injectable, solution	
8083	Injectable, solution	
8084	Injectable, solution	
10918	Injectable, solution	
10987	Injectable, solution	
10041	Injectable, solution	
10042	Injectable, solution	
10043	Injectable, solution	
8253	Tablet, film coated	
8971	Tablet, film coated	
8972	Tablet, film coated	
8203	Tablet, film coated	
8204	Tablet, film coated	
10781	Tablet, film coated	
10782	Tablet, film coated	
9811	Tablet, film coated	
9812	Tablet, film coated	
2010	Tablet	
2036	Tablet	
2038	Tablet	
9235	Tablet	
9236	Tablet	
9237	Tablet	
3830	Syrup	
6869	Drops, solution	
1877	Syrup	
3601	Capsule	
4576	Syrup	
4588	Syrup	
4289	Tablet, film coated	
6832	Injectable, concentrate, for solution	
1068	Injectable, solution	
1069	Injectable, solution	
1083	Capsule	
1084	Capsule	
1086	Drops, solution	
6260	Capsule	
10219	Capsule	
10273	Capsule	
10274	Capsule	
5666	Liquid	
5764	Capsule	
6881	Capsule	
7309	Capsule	
7320	Drops, solution	
7385	Capsule	
7422	edit form to be specific	
7492	Capsule	
7511	Syrup	
7589	Capsule	
7610	Capsule	
7760	Syrup	
8024	Tablet, film coated	
8025	Tablet, film coated	
8026	Tablet, film coated	
8585	Capsule, soft / liquid gel / liquid filled / soft gelatin	
8586	Drops, solution	
8712	Tablet, film coated	
9048	Capsule, soft / liquid gel / liquid filled / soft gelatin	
9125	Capsule, hard	
9141	Syrup	
9206	Injectable, solution	
9207	Injectable, solution	
9277	Syrup	
9278	Syrup	
9341	Capsule	
9473	Capsule	
9522	Capsule	
9572	Capsule	
9573	Capsule, soft / liquid gel / liquid filled / soft gelatin	
9611	Capsule	
9758	Capsule	
9759	Capsule	
9760	Capsule	
9800	Capsule, soft / liquid gel / liquid filled / soft gelatin	
9802	Capsule, soft / liquid gel / liquid filled / soft gelatin	
10146	Capsule	
10218	Capsule	
10251	Capsule	
10530	Capsule	
10659	Syrup	
10697	Capsule, hard	
9276	Drops, solution	
9382	Capsule, soft / liquid gel / liquid filled / soft gelatin	
55	Capsule	
1274	Tablet, sugar coated	
1337	Tablet	
1338	Injectable, solution	
1705	Injectable, solution	
4448	Tablet, coated	
4703	Tablet, coated	
4704	Injectable, solution	
5712	Tablet, film coated	
7597	Injectable, solution	
7666	Tablet, film coated	
8710	Tablet, coated	
9034	Tablet, coated	
9035	Injectable, solution	
9220	Tablet, coated	
9440	Injectable, solution	
10048	Injectable, solution	
10829	Injectable, solution	
4577	Tablet	
8099	Injectable, solution	
9599	Injectable, solution	
1369	Capsule	
1551	Tablet, effervescent	
9606	Injectable, solution	
1385	Tablet, effervescent	
3829	Capsule	
6193	Tablet, coated	
4104	Injectable, solution	
7735	Injectable, solution	
9526	Injectable, solution	
1386	Tablet	
2248	Tablet	
7493	Tablet	
10895	Tablet	
1800	Tablet	
1801	Powder, for solution	
2249	Tablet, chewable	
4320	Tablet, chewable	
4658	Tablet	
5667	Tablet	
6581	Tablet, chewable	
7421	Tablet	
7423	Tablet, chewable	
8422	Tablet	
8650	Tablet	
9262	Tablet	
9290	Tablet, orally disintegrating / mouth dissolving / orodispersible	
3495	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
6269	Powder, for solution	
7879	Tablet, coated	
8438	Tablet, coated	
9222	Tablet	
3046	Capsule	
9390	Capsule	
5049	Injectable, solution	
7428	Tablet, coated	
8246	Syrup	
8423	Syrup	
8546	Syrup	
10047	Tablet	
7315	Syrup	
1205	Capsule, delayed release / enteric coated / gastro-resistant	
10259	Tablet, dispersible	
9730	Injectable, lyophilised / freeze-dried / dry powder, for solution	
10155	Injectable, powder, concentrate for solution	
8281	Injectable, powder, concentrate for solution	
9066	Tablet, delayed release / enteric coated / gastro-resistant	
10756	Capsule, hard	
4543	Tablet	
2626	Injectable, solution	
7633	Injectable, solution	
9543	Injectable, solution	
9929	Injectable, solution	
1752	Injectable, solution	
1757	Injectable, solution	
1758	Injectable, solution	
1759	Injectable, solution	
9949	Injectable, solution	
9950	Injectable, solution	
9951	Injectable, solution	
9952	Injectable, solution	
10382	Injectable, solution	
10383	Injectable, solution	
10384	Injectable, solution	
10385	Injectable, solution	
10386	Injectable, solution	
10387	Injectable, solution	
10388	Injectable, solution	
10389	Injectable, solution	
10390	Injectable, solution	
10391	Injectable, solution	
10392	Injectable, solution	
10393	Injectable, solution	
10732	Injectable, solution	
10733	Injectable, solution	
10734	Injectable, solution	
10735	Injectable, solution	
10736	Injectable, solution	
10737	Injectable, solution	
10738	Injectable, solution	
10739	Injectable, solution	
490	Capsule, soft / liquid gel / liquid filled / soft gelatin	
491	Injectable, solution	
10009	Capsule, soft / liquid gel / liquid filled / soft gelatin	
6624	Injectable, solution	
6625	Injectable, solution	
6626	Injectable, solution	
6860	Injectable, solution	
6861	Injectable, solution	
10256	Tablet, film coated	
5490	Tablet, film coated	
5775	Tablet	
5982	Tablet	
6072	Tablet, film coated	
6218	Tablet	
6267	Tablet, film coated	
6544	Tablet, film coated	
6649	Tablet, film coated	
6938	Tablet, film coated	
7282	Tablet, film coated	
7820	Tablet, film coated	
8992	Tablet, film coated	
9975	Tablet, film coated	
10751	Tablet, film coated	
10870	Tablet, film coated	
10982	Tablet, film coated	
4673	Tablet, delayed release / enteric coated / gastro-resistant	
4680	Tablet, delayed release / enteric coated / gastro-resistant	
7004	Tablet, delayed release / enteric coated / gastro-resistant	
8408	Tablet, delayed release / enteric coated / gastro-resistant	
8506	Tablet, delayed release / enteric coated / gastro-resistant	
9480	Tablet, delayed release / enteric coated / gastro-resistant	
10362	Tablet, delayed release / enteric coated / gastro-resistant	
10548	Tablet, delayed release / enteric coated / gastro-resistant	
10617	Tablet, delayed release / enteric coated / gastro-resistant	
5489	Injectable, concentrate, for solution	
8082	Injectable, concentrate, for solution	
3781	Capsule	
9095	Tablet	
6517	Tablet, film coated	
10783	Tablet, film coated	
10784	Tablet, film coated	
9249	Tablet, film coated	
9250	Tablet, film coated	
9251	Tablet, film coated	
9252	Tablet, film coated	
9253	Tablet, film coated	
9254	Tablet, film coated	
9255	Tablet, film coated	
9256	Tablet, film coated	
9257	Tablet, film coated	
10402	Tablet, film coated	
10403	Tablet, film coated	
10404	Tablet, film coated	
10405	Tablet, film coated	
10406	Tablet, film coated	
10407	Tablet, film coated	
10408	Tablet, film coated	
10409	Tablet, film coated	
10658	Tablet, film coated	
2224	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
2217	Injectable, powder, concentrate for solution CHOOSE with diluent	
5314	Capsule, hard	
5315	Capsule, hard	
5316	Capsule, hard	
5317	Capsule, hard	
6523	Capsule, hard	
5543	Tablet, film coated	
6773	Tablet, film coated	
6775	Tablet, film coated	
7870	Tablet, film coated	
10359	Tablet, film coated	
10360	Tablet, film coated	
10361	Tablet, film coated	
10411	Tablet, film coated	
10412	Tablet, film coated	
10413	Tablet, film coated	
10552	Tablet, film coated	
10553	Tablet, film coated	
10554	Tablet, film coated	
10555	Tablet, film coated	
10340	Tablet, film coated	
10341	Tablet, film coated	
10550	Tablet, film coated	
10551	Tablet, film coated	
8832	Injectable, solution	
9359	Injectable, solution	
9432	Injectable, solution	
11046	Injectable, solution	
3356	Injectable, solution	
9851	Injectable, solution	
7628	Injectable, powder, for solution	
10415	Injectable, powder, for solution	
10489	Injectable, powder, concentrate for solution CHOOSE with diluent	
9506	Injectable, powder, for solution CHOOSE with diluent	
9507	Injectable, powder, for solution CHOOSE with diluent	
9508	Injectable, powder, for solution CHOOSE with diluent	
7193	Injectable, powder, for solution CHOOSE with diluent	
3279	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
3280	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
3281	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
5990	Injectable, powder, for solution CHOOSE with diluent	
5992	Injectable, powder, for solution CHOOSE with diluent	
7980	Injectable, powder, for solution CHOOSE with diluent	
8188	Injectable, powder, for solution CHOOSE with diluent	
8189	Injectable, powder, for solution CHOOSE with diluent	
8558	Injectable, powder, for solution CHOOSE with diluent	
8849	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8850	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8851	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8852	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8910	Injectable, powder, for solution CHOOSE with diluent	
8911	Injectable, powder, for solution CHOOSE with diluent	
8986	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8987	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8988	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
9763	Injectable, powder, for solution CHOOSE with diluent	
10367	Injectable, powder, for solution CHOOSE with diluent	
10368	Injectable, powder, for solution CHOOSE with diluent	
10908	Injectable, powder, for solution CHOOSE with diluent	
10909	Injectable, powder, for solution CHOOSE with diluent	
6539	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
6958	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8186	Injectable, powder, for solution CHOOSE with diluent	
8187	Injectable, powder, for solution CHOOSE with diluent	
10284	Injectable, powder, for solution CHOOSE with diluent	
10285	Injectable, powder, for solution CHOOSE with diluent	
10286	Injectable, powder, for solution CHOOSE with diluent	
