MoPHCode	RegistrationNumber	DrugName	Presentation	Form	Agent	Manufacturer	Country	PublicPrice	Stratum
10616	63621/1	10% DEXTROSE INJECTION USP	500ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	194211	
11140	9323/1	10% DEXTROSE INJECTION USP	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	284997	
11141	9123/1	10% DEXTROSE INJECTION USP	250ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	220643	
11142	9223/1	10% DEXTROSE INJECTION USP	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	252820	
12180	115324/1	10% DEXTROSE INJECTION USP	100ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	165482	
9526	31316/1	10% W/V CALCIUM GLUCONATE INJECTION BP	100x10ml Plastic Ampoules		Pharmamed	Pharmaceutical Solutions Industry	Saudi Arabia	3952241	B
4290	208377/97	123 COLD AND FLU	20	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	409552	A1
10304	10120/1	123 COMPLETE	16Day tablets + 8Night tablets	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	537537	A1
10611	64021/1	2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	172377	
11143	9623/1	2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	224090	
12178	115524/1	2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	150543	
7212	168141/10	20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP	1000ml PVC Bags 2 entries	Injection	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	278102	
9378	93016/1	20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP	250ml PVC Bags 2 entries	Injection	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	229959	
7211	168142/10	20 MEQ POTASSIUM OF 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP	1000ml PVC Bags 2 entries	Injection	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	229959	
1337	974078/02	3V	20	Tablet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	229797	A1
1338	974079/02	3V	3	Ampoule	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	198889	A1
10612	64121/1	5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	179272	
11144	9523/1	5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	224090	
12176	114824/1	5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	153990	
10613	63921/1	5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	180421	
11145	9423/1	5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	226388	
12181	115824/1	5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	153990	
10566	52321/1	5% DEXTROSE INJECTION USP	100ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	148244	
10567	52421/1	5% DEXTROSE INJECTION USP	250ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	148244	
10568	52521/1	5% DEXTROSE INJECTION USP	500ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	159736	
10569	52621/1	5% DEXTROSE INJECTION USP	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	179272	
11146	8723/1	5% DEXTROSE INJECTION USP	100ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	191913	
11147	8823/1	5% DEXTROSE INJECTION USP	250ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	191913	
11148	8923/1	5% DEXTROSE INJECTION USP	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	208002	
11149	9023/1	5% DEXTROSE INJECTION USP	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	224090	
12128	114624/1	5% DEXTROSE INJECTION USP	50ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	148244	
8733	66316/1	5-FLUOROURACIL EBEWE	1	Vial	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	653107	A1
12048	98322/1	5-FROTU	1Vial for single use	Solution for injection	Germanos Health Care Supplies SARL	Onko Ilac Sanayi Ve Tic AS	Turkey	577852	A1
12127	81222/1	7.5% DEXTROSE INJECTION USP	Non Pvc 500ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	202256	
10544	70720/1	A.B.C.-COLD	20	Tablet, film coated	Pharmadex	Pharmadex	Lebanon	534977	A1
10548	167320/1	A.S HEART	30	Tablet, enteric coated	Pharmadex	Pharmadex	Lebanon	148463	A1
9325	42316/1	ABILIFY MAINTENA	1Vial of powder +1Vial of 2ml solvent	Powder and solvent for prolonged release suspension for injection	Sadco	H. Lundbeck AS	Denmark	29491998	D
10698	77116/1	ABIPREX 10	30	Tablet	Benta Trading Co s.a.l.	Benta SAL	Lebanon	1075074	B
10699	77216/1	ABIPREX 15	30	Tablet	Benta Trading Co s.a.l.	Benta SAL	Lebanon	1075074	B
10966	91022/1	ABIRATERONE ACETATE NEAPOLIS	120	Tablet	Medis Pharm Drugstore	Neapolis Pharma	Tunisia	75418662	E2
10993	6421/1	ABIRATERONE ACETATE SPC	120	Tablet, film coated	Advanced Healthcare Services SAL	Pharmaline SAL Licensed by Sudair Pharma Company, KSA	Lebanon	92278660	E2
11432	113920/1	ABLAX 250	120	Tablet	Benta Trading Co s.a.l.	Manufactured by MSN Laboratories Private Ltd, India for Benta SAL	Lebanon	45056853	E1
11691	152623/1	ABLAX 500	60	Tablet	Benta Trading Co s.a.l.	Manufactured by MSN Laboratories Private Ltd, India for Benta SAL	Lebanon	45056853	E1
11001	93321/1	ABRAXANE	1 Vial	Injectable powder for dispersion for infusion	Droguerie de l'Union	Abraxis BioScience LLC	USA	17850751	D
10796	52919/1	ABREMIA	120	Tablet	Droguerie de l'Union	The Arab Pharmaceutical Manufacturing PSC	Jordan	77478802	E1
11325	147822/1	ABRILADA	2prefilled syringes 0.8ml + 2alcohol pads	Solution for injection	Food & Drug Corporation FDC	Catalent Indiana, LLC	USA	40259574	E1
11326	147922/1	ABRILADA	2prefilled pens 0.8ml + 2alcohol pads	Solution for injection	Food & Drug Corporation FDC	Catalent Indiana, LLC	USA	40259574	E1
12111	53425/1	ABRYSVO	1Vial with powder, 1Pre-filled syringe of solvent, 1Vial adapter, 1needle	Powder and solvent for solution for injection	Food & Drug Corporation FDC	Pfizer Manufacturing Belgium NV 	Belgium	22650721	D
9058	43417/1	ABSTRAL	10	Tablet, sublingual	Droguerie Mercury S.A.L.	Recipharm Leganes S.L.U.	Spain	3419743	B
9059	43217/1	ABSTRAL	10	Tablet, sublingual	Droguerie Mercury S.A.L.	Recipharm Leganes S.L.U.	Spain	5261143	B
9362	128817/1	ACAMPROSATE BIOGARAN	180	Comprimes pellicules gastroresistants	Commercial and Trading Ressources SAL (CTR)	Laboratoires BTT	France	3641813	B
11187	71121/1	ACARIZAX 12 SQ-HDM ORAL LYOPHILISATE	30 (3x10)	Oral lyophilisate	Droguerie de l'Union	Catalent UK Swindon Zydis Ltd	UK	9366451	C
5143	23624/06	ACC LONG	10	Tablet, effervescent	Khalil Fattal & Fils S.A.L.	Salutas Pharma  GmbH for Hexal AG	Germany	286238	A1
10970	102221/1	ACEBUTOLOL BIOGARAN	30	Comprimés pelliculés	Commercial and Trading Ressources SAL (CTR)	Anpharm Przedsiebiorstwo Farmaceutyczne SA	Poland	615480	A1
10971	102121/1	ACEBUTOLOL BIOGARAN	30	Comprimés pelliculés	Commercial and Trading Ressources SAL (CTR)	Anpharm Przedsiebiorstwo Farmaceutyczne SA	Poland	464970	A1
5065	24684/07	ACECLOFAR	10	Tablet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	131697	A1
11508	53923/1	ACETAZOLAMIDE	100	Tablet	Promopharm S.A.R.L.	Apotex Inc	Canada	1001163	A2
8141	31215/1	ACFOL	50	Tablet	Pharmapro	Mediphar Laboratories	Lebanon	355798	A1
11867	77024/1	ACHONID GEL	Tube of 60g	Gel	Benta Trading Co s.a.l.	Manufactured by Benta Lyon, France for Benta SAL	Lebanon	179179	A1
9768	98218/1	ACIDE ALENDRONIQUE/ VITAMINE D3 BGR	4	Comprimé	Commercial and Trading Ressources SAL (CTR)	Pharmathen International SA	Greece	815712	A2
11819	78424/1	ACIDE FUSIDIQUE BGR	Tube de 15g	Cream	Commercial and Trading Ressources SAL (CTR)	Misom Labs Ltd	Malta	202920	A1
11499	4723/1	ACLASTA	1vial	solution for infusion	Khalil Fattal & Fils S.A.L.	Fresenius Kabi Austria GmbH	Austria	21075062	D
8593	1416/1	A-CNOTREN	30	Capsule, soft 	Bellapharma S.A.R.L.	Pharmadex under license from Pharmathen SA, Greece	Lebanon	1526524	B
5900	218156/09	ACTEMRA	1Vial	Concentrate for solution for infusion 	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	11127864	C
5901	218157/09	ACTEMRA	1 Vial	Concentrate for solution for infusion 	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	25485937	D
5902	218158/09	ACTEMRA	1Vial	Concentrate for solution for infusion 	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	47925322	E1
8202	42115/1	ACTEMRA	4Prefilled syringes	Injectable solution for SC use	Omnipharma	Vetter Pharma- Fertigung GmbH & Co KG	Germany	79959812	E1
2481	78773	ACTICARBINE	42	Comprimé	Pharmamedic S.A.R.L.	Elerte	France	311771	A1
2224	38681/96	ACTILYSE	2	Vial	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany	100976426	E2
5781	219553/09	ACTISOUFRE	100ml	Solution pour pulverisation nasale et buccale en flacon pressurise	Pharmamedic S.A.R.L.	Grimberg	France	740457	A2
4405	78770/98	ACTI-VIR	25	Tablet, scored	Pharmapro	Mediphar Laboratories	Lebanon	1039238	B
8870	52515/1	ACTI-VIR H	5g	Cream	Pharmapro	Mediphar Laboratories	Lebanon	833182	A2
9595	61618/1	ACTONORM	200ml	Oral suspension	Taba Chemipharm	Laleham Health and Beauty Limited	UK	425998	A1
1340	973726/02	ACTOS	30	Tablet	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan	2484765	B
5959	23608/06	ACTOS	30	Tablet	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan	1243054	A2
9705	179817/1	ACTOSMET	56	Tablet, film coated	Abela Frères S.A.L.	Daito Pharmaceutical Co Ltd, Toyama, Japan, under licensed from Takeda Pharmaceuticals International AG, Switzerland	Japan	3101588	B
2023	26460	ACTRAPID	10ml	Vial	Mersaco	Novo Nordisk AS	Denmark	752552	A2
8497	144814/1	ACTRAPID	10ml	Vial	Mersaco	Novo Nordisk Production SAS, Chartres	France	752552	A2
6060	24959/07	ACUPAN	5	Injectable solution	Pharmamedic S.A.R.L.	Biocodex	France	365525	A1
6480	168203/10	ACURIL	28	Tablet	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	614136	A1
6481	168202/10	ACURIL	28	Tablet	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	497222	A1
7244	96648/12	ACURIL	28	Tablet	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	810337	A2
11585	106523/1	ADALIREL	box of 0.8ml in PFS fo subcutaneous use	Solution for injection	Levant Pulse SARL	Reliance Life Sciences pvt Ltd	India	15102158	D
7970	119414/1	ADCETRIS	1Vial	Powder for concentrate for solution for infusion	Century Pharma SAL	Takeda Austria GmbH	Austria	298266862	E2
12074	106324/1	ADDAVEN		Concentrate for solution for infusion	Benta Trading Co s.a.l.	HP Halden Pharma AS	Norway	4065124	B
4468	24279	ADELPHAN ESIDREX	30	Tablet	Mephico S.A.L.	Mephico SAL	Lebanon	371157	A1
9590	93318/1	ADENURIC	28	Tablet, film coated scored	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	2127111	B
9602	107818/1	ADENURIC	28	Tablet, film coated	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	2184704	B
10163	79719/1	ADENURIC	28	Tablet, film coated	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	1687866	B
12136	55423/1	ADEX	box of 30	Tablet, prolonged release	Medis Pharm Drugstore	Les Laboratoires Medis	Tunisia	296989	A1
1341	208895/03	ADOL	135ml	Suspension, alcohol free	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	192169	A1
3371	78843/98	ADOL	10	Suppository	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	107507	A1
3434	78844/98	ADOL	10	Suppository	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	124977	A1
3436	78845/98	ADOL	10	Suppository	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	131697	A1
3740	78846/98	ADOL	24	Caplet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	81974	A1
1709	973937/02	ADOL EXTRA	24	Caplet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	122290	A1
4861	26/95	ADRENALINE 1 MG  I.V.	100 x 1ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	2239738	B
11025	43121/1	ADRENALINE AGUETTANT 	10Prefilled Syringes	Solution for injection, sulfite free	Pharmamed	Aguettant	France	13990891	D
2097	H0744/92	ADRENALINE RENAUDIN	10x1ml	Ampoule	Minapharm Halabi	Renaudin 	France	444812	A1
7809	81614/1	ADRENALINE SALF	5Amp x 1ml	Injectable solution	New Europharm	SALFSpA Laboratorio Farmacologico	Italy	220390	A1
6549	167734/10	ADROMUX 	1	Tablet, coated	Droguerie Phenicia	Gador SA	Argentine	821088	A2
7639	186521/13	ADVAGRAF	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	13297758	C
7640	186522/13	ADVAGRAF	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	25729044	D
7641	186523/13	ADVAGRAF	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	68645618	E1
7642	186524/13	ADVAGRAF	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	85485667	E2
10363	94820/1	ADVANTAN	20g	Cream	UPO S.A.L.	Leo Pharma Manufacturing Italy SRL	Italy	385683	A1
10364	94920/1	ADVANTAN	20g	Ointment	UPO S.A.L.	Leo Pharma Manufacturing Italy SRL	Italy	385683	A1
10892	77021/1	ADVIL	50	Tablet	Sadco	Pf Consumer Healthcare Canada ULC	Canada	321178	A1
10887	76921/1	ADVIL COLD & SINUS	20	Caplet	Sadco	Pf Consumer Healthcare Canada ULC	Canada	288926	A1
10891	97321/1	ADVIL LIQUI-GELS	32	Capsule	Sadco	Pf Consumer Healthcare Canada ULC	Canada	464970	A1
9523	48818/1	ADVIL LIQUI-GELS EXTRA STRENGTH	24	Capsule	Droguerie Mercury S.A.L.	Pf Consumer Healthcare Canada ULC	Canada	575165	A1
6986	97366/12	AERIALLERG	125ml	Syrup	Picomed SARL	Pharma International Co	Jordan	200233	A1
7562	167742/11	AERIALLERG	30	Tablet, film coated	Picomed SARL	Pharma International Co	Jordan	400465	A1
5182	24888/07	AERIUS	150ml	Oral Solution	Abela Frères S.A.L.	Organon Heist BV	Belgium	403153	A1
7509	186613/13	AERIUS	30	Tablet, film coated	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium	430030	A1
11702	65022/1	AERIUS	30	Tablet, film coated	Abela Frères S.A.L.	Organon Heist BV	Belgium	430030	A1
7445	219222/09	AEROCORT-A HFA	200metered doses	Inhaler	Droguerie de l'Union	Cipla Ltd	India	541569	A1
12076	175820/1	AERONIDE	60caps+inhaler	Powder for oral inhalation	Macromed S.A.R.L.	Teriak SA	Tunisia	2116552	B
12077	175920/1	AERONIDE	60caps+inhaler	Powder for oral inhalation	Macromed S.A.R.L.	Teriak SA	Tunisia	1150329	A2
9346	216/1	AETHOXYSKLEROL	5Ampoules x 2ml	Injection solution	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	2576146	B
9347	416/1	AETHOXYSKLEROL	5Ampoules x 2ml	Injection solution	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	1441943	B
9348	316/1	AETHOXYSKLEROL	5Ampoules x 2ml	Injection solution	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	1732213	B
5897	218674/10	AFINITOR	30	Tablet	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland	149280650	E2
6930	96704/12	AFINITOR	30	Tablet	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland	214897705	E2
5489	219721/09	AGGRASTAT	1x50ml	concentrate for solution for Infusion	Droguerie de l'Union	Algorithm S.A.L. under license from Cardiome International AG USA	Lebanon	18280324	D
7282	219456/09	AGGRIX 75	28	Tablet, film coated	Macromed S.A.R.L.	Midpharma	Jordan	1204083	A2
9833	193718/1	AIMOVIG	pre-filled pen	solution for injection	Khalil Fattal & Fils S.A.L.	Amgen Manufacturing Ltd	USA	35423371	D
7864	96553/12	AIRFAST	30	Tablet, film coated	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	802274	A2
11890	72221/1	AIRFAST PEDIATRICS	28	Sachets granules for oral solution	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	880217	A2
482	27943/95	AIRTAL 100MG 20	20	Tablet, film coated	Droguerie Phenicia	Industrias Farmaceuticas Almirall, S.A.	Spain	471689	A1
571	974097/02	AIRTAL DIFUCREM 1.5%	60g	Cream	Droguerie Phenicia	Almirall Hermal GmbH	Germany	536193	A1
12233	6224/1	AKEEGA	56	Tablet, film coated	Abela Frères S.A.L.	Patheon France SAS	France	519366124	E2
12234	6324/1	AKEEGA	56	Tablet, film coated	Abela Frères S.A.L.	Patheon France SAS	France	519366124	E2
11171	134121/1	AKLIEF	75g	Cream	Raymond Georges Abou Adal & Co	Galderma	France	4359425	B
8551	26816/1	AKYNZEO	1	Capsule, hard	Mersaco	Helsinn Birex Pharmaceuticals Ltd	Ireland	7364372	C
1350	973998/02	ALBENDA	2	Tablet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	116914	A1
1351	973999/02	ALBENDA	20ml	Suspension	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	129009	A1
12016	131824/1	ALBENDAZOLE-UBSA	2	Tablet	L. Pharm SAL	UBSA Pharma Industries SARL (Secondary Packaging), manufacturer: Livealth Biopharma Pvt. Ltd, India	Lebanon	127985	A1
12213	63524/1	ALBUKEY	50ml	Infusion  solution	Mediterranean Pharmaceutical Company	Pharminicio SL	Spain	4863366	B
12183	119124/1	ALBUREL HUMAN ALBUMIN BP	Box of 50ml	Solution	Levant Pulse SARL	Reliance Life Sciences pvt Ltd	India	3240004	B
12184	119024/1	ALBUREL HUMAN ALBUMIN BP	Box of 100ml	Solution	Levant Pulse SARL	Reliance Life Sciences pvt Ltd	India	6353687	B
3487	148247/03	ALBUTEIN	100ml		Alfamed S.A.L.	Grifols Biologicals LLC	USA	7154928	C
3489	148245/03	ALBUTEIN	50ml		Alfamed S.A.L.	Grifols Biologicals LLC	USA	4031528	B
8794	110115/1	ALDACTONE	20	Tablet	Droguerie Fattal  S.A.L.	Piramal Healthcare UK Ltd	UK	237860	A1
10396	197819/1	ALDACTONE	10	Tablet	Droguerie Fattal  S.A.L.	Piramal Healthcare UK Ltd	UK	458250	A1
5783	218737/10	ALDARA	12 Sachets	Cream	Omnipharma	CPM ContractPharma GmbH & Co KG	Germany	6301277	B
9772	160618/1	ALDEX	50ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	174062	
9790	160718/1	ALDEX	100ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	174062	
9791	193318/1	ALDEX	250ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	170630	
9792	177618/1	ALDEX	500ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	182720	
9793	177718/1	ALDEX	1000ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	205933	
4304	11283	ALDOMET	30	Tablet, coated	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	644400	A1
4314	20919	ALDOMET	30	Tablet, coated	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	856708	A2
11061	52422/1	ALDURAZYME	1Vial x 5ml	Concentrate for solution for infusion	Mersaco	Euroapi UK Limited	UK	57138680	E1
9459	178617/1	ALECENSA	224	Capsule, hard	Omnipharma	Excella GmbH	Germany	490837809	E2
6691	97043/12	ALERGICAL EXPECTORANT	150ml	SYRUP	Taba Chemipharm	Laboratorio Reig Jofre SA	Spain	485127	A1
10014	67419/1	ALERJON	10ml	Eye drops solution	Abela Frères S.A.L.	Laboratorio Edol Produtos Farmaceuticos SA	Portugal	528130	A1
3358	195035/04	ALEXAN	1	Vial	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	388370	A1
5327	221412/08	ALEXAN	1	Vial	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	2848946	B
12023	129324/1	ALFA-AMYLASE BGR CONSEIL	18	Comprimé enrobé	Commercial and Trading Ressources SAL (CTR)	Inpharmasci	France	290270	A1
12024	129424/1	ALFA-AMYLASE BGR CONSEIL	Flacon de 200ml	Sirop	Commercial and Trading Ressources SAL (CTR)	Farmaclair	France	384339	A1
8306	185804/13	ALFOCIN	30	Tablet, extended release	Benta Trading Co s.a.l.	Benta SAL	Lebanon	858779	A2
11203	103122/1	ALFUZOSINE BIOGARAN LP	30	Comprimés pelliculés à libération prolongée	Commercial and Trading Ressources SAL (CTR)	Holsten Pharma GmbH	Germany	1115389	A2
9915	159015/1	ALGIFAST 400	12sachets	Powder for oral suspension	Pharmacie Al Sahel	Laboratorio De Aplicaciones Farmacodinamicas SA (FARDI)	Spain	473033	A1
10914	153620/1	ALGIFAST PEDIATRIC	100ml	Oral suspension	Pharmacie Al Sahel	Laboratorio De Aplicaciones Farmacodinamicas SA (FARDI)	Spain	393746	A1
2107	208370/02	ALGIKEY	6Amp	Injectable	Mediterranean Pharmaceutical Company	Laboratorios Serra Pamies SA	Spain	873498	A2
4572	22575	ALGIN ADULTS	10	Suppository	Pharmadex	Pharmadex	Lebanon	195817	A1
11083	72822/1	ALGIVIC	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-pha) SAL, Lebanon (Packing) Manufactured by Fulton Medicinali SpA, Italy	Lebanon	215015	A1
11084	72622/1	ALGIVIC	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-pha) SAL, Lebanon (Packing) Manufactured by Fulton Medicinali SpA, Italy	Lebanon	147183	A1
11085	72722/1	ALGIVIC INFANT	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-pha) SAL, Lebanon (Packing) Manufactured by Fulton Medicinali SpA, Italy	Lebanon	199657	A1
6484	218789/09	ALGOCOD	32 (16x2)	Tablet, effervescent	Pharmamedic S.A.R.L.	SMB Technology SA	Belgium	299677	A1
6886	219452/09	ALGODOL	20	Capsule	Pharmamedic S.A.R.L.	Mediphar Laboratories	Lebanon	317403	A1
10681	16621/1	ALGOMIEL COUGH SYRUP	100ml		Droguerie de l'Union	Algorithm S.A.L.	Lebanon	639925	A1
10495	190019/1	ALIMTA	1vial	For injection	Droguerie de l'Union	Lilly France	France	16854009	D
10494	189919/1	ALIMTA	1vial	For injection	Droguerie de l'Union	Lilly France	France	78813513	E1
7987	120214/1	ALLERGODIL	6ml	Eye drops solution	Omnipharma	Tubilux Pharma SpA	Italy	709549	A1
7877	166948/11	ALLERGODIL NASAL	10ml	Spray	Omnipharma	Madaus GmbH	Germany	657139	A1
