Code	SystemChar	Anesthetic	Name	LOS	FirstSurgeon	FirstAnesthetist	FirstConsultant	FirstHospital1	FirstHospital2	FirstHospital3	FirstCategory1	FirstCategory2	FirstCategory3	SecondSurgeon	SecondAnesthetist	SecondHospital1	SecondHospital2	SecondHospital3	SecondCategory1	SecondCategory2	SecondCategory3
C3468G	C	G	Tricuspid valve repositioning or replacement and plication for Ebstein anomaly W/CPB	7	99,000,000	44,625,000	4,500,000	554,400,000	498,960,000	443,520,000	702,525,000	647,085,000	591,645,000	59,400,000	26,775,000	332,640,000	299,376,000	266,112,000	418,815,000	385,551,000	352,287,000
C3480G	C	G	Double valve procedure	6	137,812,000	65,250,000	6,750,000	606,087,000	545,478,000	484,869,000	815,899,000	755,290,000	694,681,000	0	0	0	0	0	0	0	0
C3483G	C	G	Triple valve pocedure	6	137,812,000	65,250,000	6,750,000	624,434,000	561,990,000	499,547,000	834,246,000	771,802,000	709,359,000	0	0	0	0	0	0	0	0
C3510G	C	G	Coronary artery bypass, vein only: any number W/CPB	5	99,000,000	52,125,000	6,750,000	554,400,000	498,960,000	443,520,000	712,275,000	656,835,000	601,395,000	59,400,000	31,275,000	332,640,000	299,376,000	266,112,000	423,315,000	390,051,000	356,787,000
C3641G	C	G	Repair atrial septal defect, secundum,  with or without patch W/CPB	7	99,000,000	52,125,000	4,500,000	557,090,000	501,381,000	445,672,000	712,715,000	657,006,000	601,297,000	59,400,000	31,275,000	334,254,000	300,828,000	267,403,000	424,929,000	391,503,000	358,078,000
C3647G	C	G	Repair of atrial septal defect and ventricular septal defect, with direct or patch closure W/CPB	6	99,000,000	49,500,000	4,500,000	666,190,000	599,571,000	532,952,000	819,190,000	752,571,000	685,952,000	59,400,000	29,700,000	399,714,000	359,742,000	319,771,000	488,814,000	448,842,000	408,871,000
C3650G	C	G	Bicaval - bipulmonary bypass procedure, W/CPB	6	137,812,000	65,250,000	4,500,000	719,559,000	647,603,000	575,647,000	927,121,000	855,165,000	783,209,000	82,687,000	39,150,000	431,735,000	388,561,000	345,388,000	553,572,000	510,398,000	467,225,000
C3684G	C	G	Closure of ventricular septal defect, with pulmonary valvotomy or infundibular resection, with or without patch W/CPB	6	99,225,000	49,500,000	4,500,000	677,559,000	609,803,000	542,047,000	830,784,000	763,028,000	695,272,000	59,535,000	29,700,000	406,535,000	365,881,000	325,228,000	495,770,000	455,116,000	414,463,000
C3696G	C	G	Complete repair of tetralogy of Fallot: with or without closure of previous shunt W/CPB	6	137,812,000	65,250,000	6,750,000	761,067,000	684,960,000	608,853,000	970,879,000	894,772,000	818,665,000	82,687,000	39,150,000	456,640,000	410,976,000	365,311,000	578,477,000	532,813,000	487,148,000
C3730G	C	G	Complete repair of total anomalous venous return W/CPB	6	99,375,000	49,500,000	4,500,000	677,559,000	609,803,000	542,047,000	830,934,000	763,178,000	695,422,000	59,625,000	29,700,000	406,535,000	365,881,000	325,228,000	495,860,000	455,206,000	414,553,000
C3774G	C	G	Repair of transposition of the great arteries, any method	6	137,812,000	65,250,000	4,500,000	719,559,000	647,603,000	575,647,000	927,121,000	855,165,000	783,209,000	82,687,000	39,150,000	431,735,000	388,561,000	345,388,000	553,572,000	510,398,000	467,225,000
C3784G	C	G	Total repair of double outlet ventricle W/CPB	6	220,500,000	99,000,000	4,500,000	809,559,000	728,603,000	647,647,000	1,133,559,000	1,052,603,000	971,647,000	132,300,000	59,400,000	485,735,000	437,161,000	388,588,000	677,435,000	628,861,000	580,288,000
C3785G	C	G	Total repair of single ventricle (double inlet ventricle) W/CPB	6	220,500,000	99,000,000	4,500,000	809,559,000	728,603,000	647,647,000	1,133,559,000	1,052,603,000	971,647,000	132,300,000	59,400,000	485,735,000	437,161,000	388,588,000	677,435,000	628,861,000	580,288,000
C3786G	C	G	Total repair, truncus arteriosus (Rastelli type operation) W/CPB	6	137,812,000	65,250,000	4,500,000	719,559,000	647,603,000	575,647,000	927,121,000	855,165,000	783,209,000	82,687,000	39,150,000	431,735,000	388,561,000	345,388,000	553,572,000	510,398,000	467,225,000
C3788G	C	G	Reimplantation of anomalous pulmonary artery W/CPB	6	99,225,000	49,500,000	4,500,000	677,559,000	609,803,000	542,047,000	830,784,000	763,028,000	695,272,000	59,535,000	29,700,000	406,535,000	365,881,000	325,228,000	495,770,000	455,116,000	414,463,000
C3840G	C	G	Excision or repair of coarctation of aorta, with or without associated patent ductus arteriosus: with direct anastomosis	5	99,225,000	49,500,000	4,500,000	467,102,000	420,391,000	373,681,000	620,327,000	573,616,000	526,906,000	59,535,000	29,700,000	280,261,000	252,234,000	224,208,000	369,496,000	341,469,000	313,443,000
C3845G	C	G	Excision of coarctation of aorta, with or without associated patent ductus arteriosus: with graft, any type	5	99,000,000	49,500,000	4,500,000	467,102,000	420,391,000	373,681,000	620,102,000	573,391,000	526,681,000	59,400,000	29,700,000	280,261,000	252,234,000	224,208,000	369,361,000	341,334,000	313,308,000
C3867G	C	G	Ascending aorta graft, with cardiopulmonary bypass: with or without  coronary reimplantation (Bentall type procedure), with or without valve replacement W/CPB	5	137,812,000	65,250,000	4,500,000	509,857,000	458,871,000	407,885,000	717,419,000	666,433,000	615,447,000	82,687,000	39,150,000	305,914,000	275,322,000	244,731,000	427,751,000	397,159,000	366,568,000
C5102G	C	G	Direct repair of aneurysm, false aneurysm, or excision and graft insertion, with or without patch graft: for aneurysm, false aneurysm, or occlusive disease, abdominal aorta involving or not iliac vessels	5	82,680,000	31,500,000	4,500,000	716,148,000	644,533,000	572,918,000	834,828,000	763,213,000	691,598,000	49,608,000	18,900,000	429,688,000	386,719,000	343,750,000	498,196,000	455,227,000	412,258,000
C5470L	C	L	Transluminal balloon angioplasty, percutaneous: any vessel 	1	24,750,000	0	4,500,000	36,400,000	32,760,000	29,120,000	65,650,000	62,010,000	58,370,000	14,850,000	0	21,840,000	19,656,000	17,472,000	36,690,000	34,506,000	32,322,000
C5531G	C	G	Bypass graft, with vein or prosthesis: aorto-splenic, renal, iliac, aortoceliac, aortomesenteric or aortorenal	5	54,000,000	26,100,000	4,500,000	697,977,000	628,179,000	558,381,000	782,577,000	712,779,000	642,981,000	32,400,000	15,660,000	418,786,000	376,907,000	335,028,000	466,846,000	424,967,000	383,088,000
C5583G1	C	G1	In-situ vein bypass: femoral-popliteal,  femoral-anterior tibial, posterior tibial, or peroneal artery, popliteal-tibial, peroneal   	4	49,500,000	16,200,000	4,500,000	113,400,000	102,060,000	90,720,000	183,600,000	172,260,000	160,920,000	29,700,000	9,720,000	68,040,000	61,236,000	54,432,000	107,460,000	100,656,000	93,852,000
C5681G	C	G	Bypass graft, composite	5	27,000,000	18,000,000	4,500,000	395,482,000	355,933,000	316,385,000	444,982,000	405,433,000	365,885,000	16,200,000	10,800,000	237,289,000	213,559,000	189,831,000	264,289,000	240,559,000	216,831,000
C5875G	C	G	Thrombectomy and/or repair of arterial or venous graft	1	27,000,000	9,000,000	4,500,000	45,961,000	41,364,000	36,768,000	86,461,000	81,864,000	77,268,000	16,200,000	5,400,000	27,576,000	24,818,000	22,060,000	49,176,000	46,418,000	43,660,000
C6530G	C	G	Insertion  or revision of  implantable intravenous infusion pump or chamber	1	15,750,000	6,300,000	4,500,000	30,300,000	27,270,000	24,240,000	56,850,000	53,820,000	50,790,000	9,450,000	3,780,000	18,180,000	16,362,000	14,544,000	31,410,000	29,592,000	27,774,000
C6532L	C	L	Removal of implantable intravenous infusion pump	1	6,750,000	0	4,500,000	18,000,000	16,200,000	14,400,000	29,250,000	27,450,000	25,650,000	4,050,000	0	10,800,000	9,720,000	8,640,000	14,850,000	13,770,000	12,690,000
C6821G	C	G	Arterio-venous anastomosis, direct, any site	1	27,000,000	9,000,000	4,500,000	44,500,000	40,050,000	35,600,000	85,000,000	80,550,000	76,100,000	16,200,000	5,400,000	26,700,000	24,030,000	21,360,000	48,300,000	45,630,000	42,960,000
C6825G	C	G	Creation of arteriovenous fistula:  any graft	1	27,000,000	9,000,000	4,500,000	44,500,000	40,050,000	35,600,000	85,000,000	80,550,000	76,100,000	16,200,000	5,400,000	26,700,000	24,030,000	21,360,000	48,300,000	45,630,000	42,960,000
C6832G	C	G	Revision of an arteriovenous fistula, with or without thrombectomy, autogenous or non-autogenous graft	1	27,000,000	9,000,000	4,500,000	47,700,000	42,930,000	38,160,000	88,200,000	83,430,000	78,660,000	16,200,000	5,400,000	28,620,000	25,758,000	22,896,000	50,220,000	47,358,000	44,496,000
C7205G	C	G	Transcatheter placement of an intravascular stent, (non coronary vessel), percutaneous or open: initial vessel	1	27,000,000	9,000,000	4,500,000	47,700,000	42,930,000	38,160,000	88,200,000	83,430,000	78,660,000	16,200,000	5,400,000	28,620,000	25,758,000	22,896,000	50,220,000	47,358,000	44,496,000
C7205L	C	L	Transcatheter placement of an intravascular stent, (non coronary vessel), percutaneous or open: initial vessel	1	27,000,000	0	4,500,000	44,500,000	40,050,000	35,600,000	76,000,000	71,550,000	67,100,000	16,200,000	0	26,700,000	24,030,000	21,360,000	42,900,000	40,230,000	37,560,000
C7735G	C	G	Ligation,division and complete stripping, long or short saphenous veins, and radical excision of ulcer, skin graft, interruption of communicating veins, and excision of deep fascia	2	27,000,000	9,000,000	4,500,000	72,900,000	65,610,000	58,320,000	113,400,000	106,110,000	98,820,000	16,200,000	5,400,000	43,740,000	39,366,000	34,992,000	65,340,000	60,966,000	56,592,000
D2420G	D	G	Excision of parotid gland: total, with dissection and preservation of facial nerve	4	45,000,000	15,300,000	4,500,000	123,000,000	110,700,000	98,400,000	187,800,000	175,500,000	163,200,000	27,000,000	9,180,000	73,800,000	66,420,000	59,040,000	109,980,000	102,600,000	95,220,000
D2820G	D	G	Tonsillectomy with or without adenoidectomy	1	15,750,000	6,300,000	4,500,000	32,400,000	29,160,000	25,920,000	58,950,000	55,710,000	52,470,000	9,450,000	3,780,000	19,440,000	17,496,000	15,552,000	32,670,000	30,726,000	28,782,000
D2830G	D	G	Adenoidectomy (separate procedure): primary or secondary	1	9,000,000	5,850,000	4,500,000	32,400,000	29,160,000	25,920,000	51,750,000	48,510,000	45,270,000	5,400,000	3,510,000	19,440,000	17,496,000	15,552,000	28,350,000	26,406,000	24,462,000
D3264G	D	G	Endoscopic retrograde cholangiopancreatography (ERCP) 	1	29,250,000	9,900,000	4,500,000	55,500,000	49,950,000	44,400,000	99,150,000	93,600,000	88,050,000	17,550,000	5,940,000	33,300,000	29,970,000	26,640,000	56,790,000	53,460,000	50,130,000
D3324G	D	G	Esophagogastric fundoplasty: any method	2	45,000,000	15,300,000	4,500,000	91,000,000	81,900,000	72,800,000	155,800,000	146,700,000	137,600,000	27,000,000	9,180,000	54,600,000	49,140,000	43,680,000	90,780,000	85,320,000	79,860,000
D3625G	D	G	Gastrectomy, total: with repair by intestinal transplant, with or without lymphadenectomy	8	72,000,000	24,300,000	4,500,000	277,000,000	249,300,000	221,600,000	377,800,000	350,100,000	322,400,000	43,200,000	14,580,000	166,200,000	149,580,000	132,960,000	223,980,000	207,360,000	190,740,000
D3630G	D	G	Hemigastrectomy: proximal or distal subtotal gastrectomy including pyloroplasty, gastroduodenostomy or gastrojejunostomy: with or without vagotomy	6	58,500,000	18,900,000	4,500,000	206,000,000	185,400,000	164,800,000	287,900,000	267,300,000	246,700,000	35,100,000	11,340,000	123,600,000	111,240,000	98,880,000	170,040,000	157,680,000	145,320,000
D3810G	D	G	Gastroduodenostomy or gastrojejunostomy,	6	31,500,000	10,800,000	4,500,000	120,000,000	108,000,000	96,000,000	166,800,000	154,800,000	142,800,000	18,900,000	6,480,000	72,000,000	64,800,000	57,600,000	97,380,000	90,180,000	82,980,000
D3830G	D	G	Gastrostomy	1	31,500,000	10,800,000	4,500,000	52,600,000	47,340,000	42,080,000	99,400,000	94,140,000	88,880,000	18,900,000	6,480,000	31,560,000	28,404,000	25,248,000	56,940,000	53,784,000	50,628,000
D4000G	D	G	Enterolysis with acute bowel obstruction	4	33,750,000	11,700,000	4,500,000	93,100,000	83,790,000	74,480,000	143,050,000	133,740,000	124,430,000	20,250,000	7,020,000	55,860,000	50,274,000	44,688,000	83,130,000	77,544,000	71,958,000
D4120G	D	G	Enterectomy: with anastomosis	5	42,750,000	14,850,000	4,500,000	124,000,000	111,600,000	99,200,000	186,100,000	173,700,000	161,300,000	25,650,000	8,910,000	74,400,000	66,960,000	59,520,000	108,960,000	101,520,000	94,080,000
D4140G	D	G	Colectomy, partial: with anastomosis or skin level cecostomy or colostomy	7	47,250,000	15,750,000	4,500,000	186,000,000	167,400,000	148,800,000	253,500,000	234,900,000	216,300,000	28,350,000	9,450,000	111,600,000	100,440,000	89,280,000	149,400,000	138,240,000	127,080,000
D4146G	D	G	Colectomy, partial: with  or without anastomosis), with or without colostomy or enterostomy	5	58,500,000	18,900,000	4,500,000	145,800,000	131,220,000	116,640,000	227,700,000	213,120,000	198,540,000	35,100,000	11,340,000	87,480,000	78,732,000	69,984,000	133,920,000	125,172,000	116,424,000
D4153G	D	G	Colectomy, total or subtotal,with proctectomy: with rectal mucosectomy, ileoanal or coloanal anastomosis, creation of reservoir (S or J), with or without loop ileostomy or colostomy	10	81,000,000	26,100,000	4,500,000	220,000,000	198,000,000	176,000,000	331,600,000	309,600,000	287,600,000	48,600,000	15,660,000	132,000,000	118,800,000	105,600,000	196,260,000	183,060,000	169,860,000
D4156G	D	G	Colectomy, total, abdominal, with proctectomy: with continent ileostomy	7	81,000,000	26,100,000	4,500,000	200,000,000	180,000,000	160,000,000	311,600,000	291,600,000	271,600,000	48,600,000	15,660,000	120,000,000	108,000,000	96,000,000	184,260,000	172,260,000	160,260,000
D4310G	D	G	Ileostomy or jejunostomy, non-tube (separate procedure)	5	33,750,000	11,700,000	4,500,000	81,000,000	72,900,000	64,800,000	130,950,000	122,850,000	114,750,000	20,250,000	7,020,000	48,600,000	43,740,000	38,880,000	75,870,000	71,010,000	66,150,000
D4320G	D	G	Colostomy or skin level cecostomy (separate procedure)	4	33,750,000	11,700,000	4,500,000	101,000,000	90,900,000	80,800,000	150,950,000	140,850,000	130,750,000	20,250,000	7,020,000	60,600,000	54,540,000	48,480,000	87,870,000	81,810,000	75,750,000
D4600G	D	G	Suture of intestine (enterorrhaphy), large or small, for perforated ulcer, diverticulum, wound, injury or rupture, single or multiple	3	33,750,000	11,700,000	4,500,000	69,000,000	62,100,000	55,200,000	118,950,000	112,050,000	105,150,000	20,250,000	7,020,000	41,400,000	37,260,000	33,120,000	68,670,000	64,530,000	60,390,000
D4625G	D	G	Closure of enterostomy, large or small intestine: with or without  resection and anastomosis	5	33,750,000	11,700,000	4,500,000	113,000,000	101,700,000	90,400,000	162,950,000	151,650,000	140,350,000	20,250,000	7,020,000	67,800,000	61,020,000	54,240,000	95,070,000	88,290,000	81,510,000
D4950G	D	G	Appendectomy, any method	2	27,000,000	9,000,000	4,500,000	56,700,000	51,030,000	45,360,000	97,200,000	91,530,000	85,860,000	16,200,000	5,400,000	34,020,000	30,618,000	27,216,000	55,620,000	52,218,000	48,816,000
D5110G	D	G	Proctectomy: complete, combined abdominoperineal, with colostomy, one or two stages	7	67,500,000	22,500,000	4,500,000	173,000,000	155,700,000	138,400,000	267,500,000	250,200,000	232,900,000	40,500,000	13,500,000	103,800,000	93,420,000	83,040,000	157,800,000	147,420,000	137,040,000
D6040G	D	G	Incision and drainage of ischiorectal and/or perirectal abscess  (separate procedure)	1	20,250,000	6,750,000	4,500,000	38,400,000	34,560,000	30,720,000	69,900,000	66,060,000	62,220,000	12,150,000	4,050,000	23,040,000	20,736,000	18,432,000	39,240,000	36,936,000	34,632,000
D6200G	D	G	Fissurectomy, with or without sphincterotomy	1	20,250,000	6,750,000	4,500,000	36,400,000	32,760,000	29,120,000	67,900,000	64,260,000	60,620,000	12,150,000	4,050,000	21,840,000	19,656,000	17,472,000	38,040,000	35,856,000	33,672,000
D6250G	D	G	Hemorrhoidectomy	1	20,250,000	6,750,000	4,500,000	40,500,000	36,450,000	32,400,000	72,000,000	67,950,000	63,900,000	12,150,000	4,050,000	24,300,000	21,870,000	19,440,000	40,500,000	38,070,000	35,640,000
D6270G	D	G	Fistulectomy	1	20,250,000	6,750,000	4,500,000	42,400,000	38,160,000	33,920,000	73,900,000	69,660,000	65,420,000	12,150,000	4,050,000	25,440,000	22,896,000	20,352,000	41,640,000	39,096,000	36,552,000
D7600G1	D	G1	Cholecystectomy: with or without exploration of common duct, any method	2	36,000,000	12,150,000	4,500,000	67,500,000	60,750,000	54,000,000	120,150,000	113,400,000	106,650,000	21,600,000	7,290,000	40,500,000	36,450,000	32,400,000	69,390,000	65,340,000	61,290,000
D9000G	D	G	Exploratory laparatomy, exploratory celiotomy, with or without biopsy (separate procedure)	4	36,000,000	12,150,000	4,500,000	99,000,000	89,100,000	79,200,000	151,650,000	141,750,000	131,850,000	21,600,000	7,290,000	59,400,000	53,460,000	47,520,000	88,290,000	82,350,000	76,410,000
D9500G	D	G	Repair inguinal hernia, under age 5 years, with or without hydrocelectomy	1	24,750,000	8,100,000	4,500,000	40,500,000	36,450,000	32,400,000	77,850,000	73,800,000	69,750,000	14,850,000	4,860,000	24,300,000	21,870,000	19,440,000	44,010,000	41,580,000	39,150,000
D9506G	D	G	Repair inguinal hernia, age 5 or over, with prosthesis or graft, any method	1	31,500,000	10,800,000	4,500,000	60,600,000	54,540,000	48,480,000	107,400,000	101,340,000	95,280,000	18,900,000	6,480,000	36,360,000	32,724,000	29,088,000	61,740,000	58,104,000	54,468,000
D9565G	D	G	Repair ventral (incisional) hernia:  with or without prosthesis or graft	1	31,500,000	10,800,000	4,500,000	67,500,000	60,750,000	54,000,000	114,300,000	107,550,000	100,800,000	18,900,000	6,480,000	40,500,000	36,450,000	32,400,000	65,880,000	61,830,000	57,780,000
D9580G	D	G	Repair umbilical, epigastric, or femoral hernia	1	24,750,000	8,100,000	4,500,000	48,600,000	43,740,000	38,880,000	85,950,000	81,090,000	76,230,000	14,850,000	4,860,000	29,160,000	26,244,000	23,328,000	48,870,000	45,954,000	43,038,000
E0240G	E	G	Thyroidectomy, total or complete	3	49,500,000	16,200,000	4,500,000	109,000,000	98,100,000	87,200,000	179,200,000	168,300,000	157,400,000	29,700,000	9,720,000	65,400,000	58,860,000	52,320,000	104,820,000	98,280,000	91,740,000
F8120G	F	G	Dilation and curettage, diagnostic and/or therapaeutic (non obstetrical)	1	7,500,000	5,400,000	4,500,000	32,100,000	28,890,000	25,680,000	49,500,000	46,290,000	43,080,000	4,500,000	3,240,000	19,260,000	17,334,000	15,408,000	27,000,000	25,074,000	23,148,000
F8150G	F	G	Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s)	6	36,000,000	12,150,000	4,500,000	120,000,000	108,000,000	96,000,000	172,650,000	160,650,000	148,650,000	21,600,000	7,290,000	72,000,000	64,800,000	57,600,000	100,890,000	93,690,000	86,490,000
F8152G	F	G	supracervical or Total abdominal hysterectomy (corpus and cevix), with or without removal of tube(s), with or without removal of ovary(s): with colpo-urethrocystopexy (Marshall-Marchetti-Krantz type)	5	36,000,000	12,150,000	4,500,000	  93,100,000 	83,790,000	74,480,000	145,750,000	136,440,000	127,130,000	21,600,000	7,290,000	55,860,000	50,274,000	44,688,000	84,750,000	79,164,000	73,578,000
F8200G	F	G	Total abdominal hysterectomy, including partial vaginectomy, with para-aortic and pelvic lymph node sampling, with or without removal of tube(s), with or without removal of ovary(s)	6	49,500,000	16,200,000	4,500,000	230,000,000	207,000,000	184,000,000	300,200,000	277,200,000	254,200,000	29,700,000	9,720,000	138,000,000	124,200,000	110,400,000	177,420,000	163,620,000	149,820,000
F8940G	F	G	Oophorectomy, partial or total, unilateral or bilateral	1	22,500,000	7,200,000	4,500,000	44,000,000	39,600,000	35,200,000	78,200,000	73,800,000	69,400,000	13,500,000	4,320,000	26,400,000	23,760,000	21,120,000	44,220,000	41,580,000	38,940,000
F9120G	F	G	Surgical treatment of ectopic pregnancy: tubal or ovarian, requiring salpingectomy and/or oophorectomy, abdominal or vaginal approach	1	27,000,000	9,000,000	4,500,000	49,000,000	44,100,000	39,200,000	89,500,000	84,600,000	79,700,000	16,200,000	5,400,000	29,400,000	26,460,000	23,520,000	51,000,000	48,060,000	45,120,000
F9410L1	F	L1	Vaginal delivery only (with or without episiotomy and/or forceps) including postpartum care	1	22,500,000	0	4,500,000	27,000,000	24,300,000	21,600,000	54,000,000	51,300,000	48,600,000	13,500,000	0	16,200,000	14,580,000	12,960,000	29,700,000	28,080,000	26,460,000
F9515G	F	G	Cesarean delivery only including postpartum care	3	27,000,000	9,000,000	4,500,000	60,700,000	54,630,000	48,560,000	101,200,000	95,130,000	89,060,000	16,200,000	5,400,000	36,420,000	32,778,000	29,136,000	58,020,000	54,378,000	50,736,000
F9812G	F	G	Treatment of incomplete or missed abortion, any trimester, completed surgically	1	11,250,000	6,300,000	4,500,000	37,000,000	33,300,000	29,600,000	59,050,000	55,350,000	51,650,000	6,750,000	3,780,000	22,200,000	19,980,000	17,760,000	32,730,000	30,510,000	28,290,000
G4322G	G	G	One stage distal hypospadias repair (with or without chordee or circumcision): with simple meatal advancement (eg, Magpi, V-flap)	1	38,250,000	13,050,000	4,500,000	63,100,000	56,790,000	50,480,000	118,900,000	112,590,000	106,280,000	22,950,000	7,830,000	37,860,000	34,074,000	30,288,000	68,640,000	64,854,000	61,068,000
G4640G	G	G	Orchiopexy, any type, with or without hernia repair	1	27,000,000	9,000,000	4,500,000	46,800,000	42,120,000	37,440,000	87,300,000	82,620,000	77,940,000	16,200,000	5,400,000	28,080,000	25,272,000	22,464,000	49,680,000	46,872,000	44,064,000
G5040G	G	G	Excision of hydrocele: unilateral	1	13,500,000	6,300,000	4,500,000	30,800,000	27,720,000	24,640,000	55,100,000	52,020,000	48,940,000	8,100,000	3,780,000	18,480,000	16,632,000	14,784,000	30,360,000	28,512,000	26,664,000
G5821G	G	G	Prostatectomy (vasectomy, meatotomy, urethral calibration and/or dilation, and internal urethrotomy): suprapubic or retropubic, subtotal, one or two stages, or transurethral	6	40,500,000	13,950,000	4,500,000	135,000,000	121,500,000	108,000,000	193,950,000	180,450,000	166,950,000	24,300,000	8,370,000	81,000,000	72,900,000	64,800,000	113,670,000	105,570,000	97,470,000
H8100G	H	G	Splenectomy (separate procedure)	5	40,500,000	13,950,000	4,500,000	125,000,000	112,500,000	100,000,000	183,950,000	171,450,000	158,950,000	24,300,000	8,370,000	75,000,000	67,500,000	60,000,000	107,670,000	100,170,000	92,670,000
I2001G	I	G	Simple repair of superficial wounds of skin	1	9,000,000	5,850,000	4,500,000	19,900,000	17,910,000	15,920,000	39,250,000	37,260,000	35,270,000	5,400,000	3,510,000	11,940,000	10,746,000	9,552,000	20,850,000	19,656,000	18,462,000
I3101G	I	G	Wound repair, complex, trunk	2	11,250,000	6,300,000	4,500,000	27,000,000	24,300,000	21,600,000	49,050,000	46,350,000	43,650,000	6,750,000	3,780,000	16,200,000	14,580,000	12,960,000	26,730,000	25,110,000	23,490,000
I3160G	I	G	Secondary closure of surgical wound or dehiscence, extensive or complicated	1	18,000,000	6,750,000	4,500,000	35,400,000	31,860,000	28,320,000	64,650,000	61,110,000	57,570,000	10,800,000	4,050,000	21,240,000	19,116,000	16,992,000	36,090,000	33,966,000	31,842,000
I4000G	I	G	Adjacent tissue transfer or rearrangement	1	18,000,000	6,750,000	4,500,000	34,000,000	30,600,000	27,200,000	63,250,000	59,850,000	56,450,000	10,800,000	4,050,000	20,400,000	18,360,000	16,320,000	35,250,000	33,210,000	31,170,000
I5732G	I	G	Muscle, myocutaneous, or fasciocutaneous flap	1	31,500,000	10,800,000	4,500,000	56,700,000	51,030,000	45,360,000	103,500,000	97,830,000	92,160,000	18,900,000	6,480,000	34,020,000	30,618,000	27,216,000	59,400,000	55,998,000	52,596,000
I5770G	I	G	Graft: derma-fat fascia	1	31,500,000	10,800,000	4,500,000	56,700,000	51,030,000	45,360,000	103,500,000	97,830,000	92,160,000	18,900,000	6,480,000	34,020,000	30,618,000	27,216,000	59,400,000	55,998,000	52,596,000
I9162G	I	G	Mastectomy, partial: with axillary lymphadenectomy	1	45,000,000	15,300,000	4,500,000	97,200,000	87,480,000	77,760,000	162,000,000	152,280,000	142,560,000	27,000,000	9,180,000	58,320,000	52,488,000	46,656,000	94,500,000	88,668,000	82,836,000
I9240G	I	G	Mastectomy, modified radical, including axillary lymph nodes with or without pectoralis minor muscle,but excluding pectoralis major muscle	3	45,000,000	15,300,000	4,500,000	117,400,000	105,660,000	93,920,000	182,200,000	170,460,000	158,720,000	27,000,000	9,180,000	70,440,000	63,396,000	56,352,000	106,620,000	99,576,000	92,532,000
