Code	Child
4236	Injectable solution
2179	Ampoule
11027	Solution for injection
9501	Tablet, sugar coated
9502	Tablet, sugar coated
3748	Tablet, film coated
3749	Syrup
7930	Injectable solution IV/IM/SC
9086	Injectable solution IV/IM/SC
3119	Injectable solution
1579	Injection
4415	Capsule
8410	Dragée
4378	Tablet, sugar coated
9478	Tablet
4640	Tablet
4336	Drops
7552	Tablet, coated
2481	Comprimé
4525	Capsule
8547	Tablet
8548	Tablet
3059	Comprimé
2793	Injectable solution
8871	Solution for injection
9605	Injectable solution
7713	Injectable solution IV/IM
9087	Injectable solution IV/IM
9733	
10461	Tablet
11096	Comprimés pelliculés
1847	Capsule, soft gelatin
5056	Tablet, film coated
1689	Tablet
4447	Tablet
7455	Tablet
6204	Tablet, film coated
9875	Oral Suspension
5999	Oral suspension
1848	Suspension
9149	Tablet
3969	Tablet, coated
8918	Tablet, film coated
9591	Tablet
4446	Tablet, scored
10435	Tablet, film coated
10827	Tablet, film coated
9090	Comprimes pellicules
9116	
9988	Injectable solution
8959	
8689	Concentre pour perfusion solution injectable
8962	Injectable solution IV
5644	solution for inj IV
7850	Solution for injection
9117	
6380	Injection
9987	Injectable solution
8958	
8690	Concentre pour perfusion solution injectable
8100	Injectable solution IV
5312	solution for inj IV
7851	Solution for injection
7678	Injectable solution
10337	Film, orodispersible
9013	Comprimes orodispersible
11300	Tablet, orodispersible
11680	Solution
9491	Oral solution
9928	Oral solution
10902	Oral solution
11082	Oral solution
10336	Film, orodispersible
10984	Suppositories
11154	Suppositories
9546	Tablet, film coated
8436	Concentrate for solution for infusion or injection
9015	Injection
9852	Ampoule
8437	Concentrate for solution for infusion or injection
11008	Transdermal patch
8286	Injectable solution
11574	IV solution for injection
8551	Capsule, hard
1453	Liquid 
1454	Tablet
1455	Suppository
10342	Gélule
10343	Gélule
92	Capsule
9890	Tablet, film coated
9891	Tablet, film coated
6353	Tablet, coated
4502	Liquid 
9735	Sugar coated tablet
9738	Sugar coated tablet
10851	Suppository
4503	Liquid 
4504	Liquid 
8603	Tablet, film coated
6459	Powder for oral solution
7973	Powder for oral solution
10320	Powder for oral solution
4495	Granules
3168	
2555	Sachet
1589	Solution
2557	Sachet
9645	Sachet
9646	Powder for oral solution
6712	Rectal Solution
4548	Suppository
4549	Suppository
4551	Suppository
10458	Tablet, film coated
11541	Tablet, film coated
10457	Tablet, film coated
11540	Tablet, film coated
8844	Capsule
4442	Suspension
9495	Lozenge
3754	Tablet, film coated
3755	Granules for oral  suspension
9446	Tablet, film coated
4421	Capsule
10512	Tablet
2251	Gélule
2512	Tablet
6943	Powder for oral suspension
9350	Powder for oral suspension
10094	Capsule
11518	Gélule
7651	Tablet, orodispersible
11470	Rectal ointment
7160	Capsule
10833	Capsule, hard, modified release
10834	Capsule, hard, modified release
8965	Tablet, prolonged release
1008	Tablet
3115	Tablet, enteric coated
8775	Tablet, gastroresistant
5478	Tablet
6890	Tablet, controlled release
10339	Tablet, gastroresistant
8321	Granules, gastro-resistant, prolonged release
9191	Granules, prolonged release
1009	Suppository
3116	Suppository
10682	Suppository
1260	Suppository
7846	Suppository
96	Enema
10543	Enema
6253	Enema
8319	Granules, gastro-resistant, prolonged release
8320	Granules, gastro-resistant, prolonged release
10806	Tablet, modified release
10807	Tablet, modified release
10808	Granules, prolonged release
7091	Capsule
7637	Capsule
2714	Poudre pour suspension buvable en sachets 
169	Gélule
6494	Capsule
3915	Gélule
8477	Powder for oral suspension
3938	Capsule
8287	Granules for oral suspension
8288	Capsule, hard
11685	Géllule
8760	Gélules
8759	Gélules
9939	Tablet
10095	Tablet, prolonged release
9449	Capsule
6255	Capsule
6285	Capsule
6883	Capsule
7262	Capsule
9241	Capsule
6575	Capsule
6286	Capsule
3206	Capsule
5258	Capsule 
2018	Penfill
2023	Vial
8497	Vial
1038	Vial
5060	Injection
5844	Solution for injection
10619	Solution for injection
10981	Solution for injection
10983	Solution for injection
1028	Vial
10592	Solution for injection
8948	Solution for injection
9457	Solution for injection
2017	
8087	
8113	
9456	Solution for injection
7190	Vial
5263	Injectable solution
5262	Injectable solution in Vial
2019	Penfill
1037	Vial
5061	Injection
2029	Vial
8088	Vial
5842	Suspension for injection
5843	Suspension for injection
2016	Flexpen
8085	Flexpen
8111	Flexpen
7961	Injectable solution
1039	Vial
2025	Vial
8496	Vial
5057	Injection
8907	Solution for injection 
10292	Solution for injrction
5264	Injectable solution
2124	Injectable solution
8413	Solostar solution for injection
3979	
8089	
8112	
7239	Injectable solution, flex touch
10560	Solution for injection, Solostar
10559	Solution for injection, Solostar
9165	Injectable solution
5374	Tablet, film coated
9115	Tablet, film coated
3684	Tablet, film coated
4699	Tablet, film coated
5948	Tablet, film coated
5136	Tablet, film coated
5083	Tablet, film coated
11282	Tablet, film coated
5375	Tablet, film coated
8579	Tablet, film coated
897	Tablet
4301	Tablet, film coated
9012	Tablet, film coated
4642	Tablet
3685	Tablet, film coated
4700	Tablet, film coated
5137	Tablet, film coated
9011	Tablet, film coated, scored
5163	Tablet
6270	Tablet, film coated
5115	Tablet, prolonged release
6031	Tablet, film coated, extended release
11280	Tablet, film coated, extended release
8581	Tablet, film coated, extended release
5693	Tablet, prolonged release
5085	Tablet, film coated, extended release
11283	Tablet, film coated, extended release
7254	Tablet, extended release
8582	Tablet, film coated, extended release
3897	Tablet, extended release
6219	Tablet, prolonged release
5084	Tablet, film coated, extended release
11281	Tablet, film coated, extended release
8580	Tablet, film coated, extended release
3896	Tablet, extended release
4422	Tablet, scored
5172	Tablet
3677	Tablet
3678	Tablet
3919	Tablet
6133	Tablets, modified release scored
11399	Tablet, extended release
10879	Tablet
6706	Tablet
4728	Tablet
6837	Tablet
11040	Tablet
5123	Tablet
10880	Tablet
6707	Tablet
4729	Tablet
6838	Tablet
11041	Tablet
6705	Tablet
5927	Caplet
5122	Tablet
10881	Tablet
6708	Tablet
4730	Tablet
6839	Tablet
11449	Tablet
6704	Tablet
5929	Caplet
5124	Tablet
10882	Tablet
6709	Tablet
4731	Tablet
6840	Tablet
11042	Tablet
6702	Tablet
5930	Caplet
5125	Tablet
6437	Caplet
3679	Tablet, film coated
4701	Tablet, film coated
4302	Tablet, film-scored
4702	Tablet, film coated
4303	Tablet, film-scored
5086	Tablet, film coated
5847	Tablet, film coated
7290	Tablet, film coated
5126	Tablet
9705	Tablet, film coated
9706	Tablet
9707	Tablet
5770	Tablet
11237	Tablet
10314	Tablet, film coated
10502	Tablet, film coated
5771	Tablet
11236	Tablet
10315	Tablet, film coated
7991	Tablet
7992	Tablet
7993	Tablet
10316	Tablet, film coated
10501	Tablet, film coated
10740	Tablet, film coated
11682	FCT
11430	Tablet, film coated
11175	FCT
10741	Tablet, film coated
11683	FCT
11429	Tablet, film coated
11174	FCT
8316	Tablet
11526	Tablet, film coated
8317	Tablet
10758	Tablet, film coated
8318	Tablet
8993	Tablet, extended release
8994	Tablet, extended release
8339	Tablet, film coated
11048	Tablet, film coated
10767	Tablet, film coated
8489	Tablet, film coated
11047	Tablet, film coated
10766	Tablet, film coated
7967	Tablet
11525	Tablet, film coated
7968	Tablet
11161	Tablet, film coated
9337	Tablet
11360	Tablet, film coated
11612	Tablet, extended release
11447	Tablet, film coated
9339	Tablet
11361	Tablet, film coated
11448	Tablet, film coated
9826	Tablet, film coated
11433	Tablet, film coated
9827	Tablet, film coated
11434	Tablet, film coated
8680	Tablet, film coated
10469	Tablet, film coated
10991	Tablet, film coated
8681	Tablet, film coated
10463	Tablet, film coated
8682	Tablet, film coated
10464	Tablet, film coated
8683	Tablet, film coated
10462	Tablet, film coated
10992	Tablet, film coated
1340	Tablet
5345	Tablet
5959	Tablet
5302	Tablet
8333	Tablet
7871	Tablet, film coated
10194	Tablet, film coated
11632	Comprimés pelliculés
11633	Comprimés pelliculés
11327	Tablet
11684	Tablet
11043	Tablet
11176	FCT
8571	Tablet
8572	Tablet
7926	Tablet, film coated
10757	Tablet, film coated
6755	Tablet, film coated
10585	Tablet, film coated
8854	Injectable solution
5758	Injectable solution
8083	Injectable solution
8084	Injectable solution
10918	Injectable solution
10987	Injectable solution
10041	Solution for injection
10042	Solution for injection
10043	Solution for injection
11529	Tablet, film coated
8253	Tablet, film coated
11321	Tablet, film coated
11530	Tablet, film coated
11446	Tablet, film coated
8203	Tablet, film coated
10782	Tablet, film coated
8204	Tablet, film coated
10781	Tablet, film coated
2010	Tablet
9237	Comprimes
2036	Tablet
9235	Comprimes
2038	Tablet
9236	Comprimes
6869	Oral drops
1877	Sirop
11233	Sirop
11130	Capsule
4576	Syrup
4588	Syrup
4289	Tablet, film coated
6832	Injectable concentrate for solution
1068	Injection Ampoule
11211	Injection Ampoule
11208	Injection Ampoule
11209	Capsule
11210	Capsule
6260	Capsule
11582	Capsule
11212	Gouttes
10146	Capsule
10251	Capsule
7309	Capsule
9573	Softgel
6881	Capsule
5764	Capsule
7589	Capsule
9611	Capsule
10530	Capsule
7385	Capsule
10218	Capsule
10697	Capsule, hard
8024	Tablet, film coated
8712	Tablet, film coated
9572	Capsule
9125	Capsule, hard
7492	Capsule
9802	Capsule, soft gelatin
9473	Capsule
9758	Capsule
5666	Liquid
9141	Solution buvable
7760	Oral ampoules
10659	Oral solution
7422	Liquid
7320	Oral drops
7511	Solution buvable
9277	Oral solution
8025	Tablet, film coated
8026	Tablet, film coated
9800	Capsule, soft gelatin
9206	Solution for injection
9278	Oral solution
9522	Capsule
9760	Capsule
9341	Capsule
9759	Capsule
9207	Solution for injection
9382	Capsule, soft
9276	Oral drops solution
7597	Ampoule
11491	Tablet, coated
11492	Tablet, coated
1337	Tablet
8710	Tablet, coated
4448	Tablet, coated
9220	Tablet, coated
55	Capsule
7666	Tablet, film coated
5712	Tablet, film coated
1338	Ampoule
10829	Ampoule injectable
8099	Injectable solution
4577	Tablet
11329	Tablet
9599	Solution for injection
1369	Dragée
1551	Tablet
9606	Injectable solution
1385	Tablet
6193	Comprimé pelliculé 
9526	
4104	Injectable solution
7735	IV Solution for injection
10895	Tablet
2248	Tablet
7493	Tablet
1800	Tablet
8422	Tablet
4658	Tablet
1801	Powder
2249	Tablet
5667	Tablet
7421	Tablet
7423	Tablet, chewable
8650	Tablet
9262	Tablet
3495	Tablet, sustained release
6269	
8438	Comprimé Enrobé
11396	Comprimé Enrobé
7879	Comprimé pelliculé
11397	Comprimé pelliculé
9222	Tablet
5049	solution injectable
8423	Ampoule buvable
8246	Ampoule buvable
8546	Oral solution
7315	Drinkable ampoules
10259	Tablet, dispersible
9730	Injection
10155	Powder for concentrate for solution for infusion
11061	Concentrate for solution for infusion
8281	Powder for concentrate for solution for infusion
9066	Tablet, gastroresistant
10756	Capsule, hard
4543	Tablet
9929	Solution injectable IV
2626	Vial
10385	Solution for injection in pre-filled Syringe
11363	Injectable solution for SC/IV use
9950	Injectable solution
11199	Solution for injection
10735	Solution for injection
1752	Injectable solution
11342	Solution for injection
10389	Solution for injection in pre-filled Syringe
11365	Injectable solution for SC/IV use
9952	Injectable solution
10739	Solution for injection
1757	Injectable solution
11344	Solution for injection
10387	Solution for injection in pre-filled Syringe
11364	Injectable solution for SC/IV use
9951	Injectable solution
11198	Solution for injection
10737	Solution for injection
1758	Injectable solution
11343	Solution for injection
10383	Solution for injection in pre-filled Syringe
11362	Injectable solution for SC/IV use
9949	Injectable solution
10733	Solution for injection
1759	Injectable solution
11341	Solution for injection
10391	Solution for injection in pre-filled Syringe
10392	Solution for injection in pre-filled Syringe
10393	Solution for injection in pre-filled Syringe
490	Capsule, soft gelatin
10009	Capsule, soft
6624	SC
6625	SC
6626	SC
6860	SC
6861	SC
10256	Tablet, film coated
10870	Tablet, film coated
7282	Tablet, film coated
6267	Tablet, film coated
5982	Tablet
6218	Tablet
5775	Tablet
6544	Tablet, film coated
9975	Tablet, film coated
10751	Tablet, film coated
10982	Tablet, film coated
8992	Tablet, film coated
6938	Tablet, film coated
6257	Tablet, film coated
7820	Tablet, film coated
7691	Tablet, film coated
5490	Tablet, coated
8408	Tablet, enteric coated
10548	Tablet, enteric coated
8506	Tablet, enteric coated
10362	Tablet, enteric coated
9480	Tablet, enteric coated
7004	Tablet, enteric coated
4673	Tablet, enteric coated
4680	Tablet, enteric coated
10617	Tablet, enteric coated
5489	concentrate for solution for Infusion
8082	Concentrate for solution for infusion
3781	Capsule
9095	Tablet
6517	Tablet, film coated
10642	Tablet, film coated
10784	Tablet, film coated
10641	Tablet, film coated
10783	Tablet, film coated
10408	Tablet, film coated
10409	Tablet, film coated
10402	Tablet, film coated
10407	Tablet, film coated
10406	Tablet, film coated
10405	Tablet, film coated
10404	Tablet, film coated
10658	Tablet, film coated
10403	Tablet, film coated
2224	Vial
2217	powder and solvent for solution for injection
5314	Capsule, hard
5317	Capsule, hard
5315	Capsule, hard
5316	Capsule, hard
6523	Capsule, hard
7870	Tablet, film coated
10555	Tablet, film coated
6773	Tablet, film coated
10552	Tablet, film coated
10411	Tablet, film coated
11064	Tablet, film coated
10359	Tablet, film coated
6775	Tablet, film coated
10553	Tablet, film coated
10412	Tablet, film coated
11065	Tablet, film coated
10360	Tablet, film coated
5543	Tablet, film coated
10554	Tablet, film coated
10413	Tablet, film coated
11063	Tablet, film coated
10361	Tablet, film coated
10341	Tablet, film coated
11589	Tablet
10551	Tablet, film coated
10340	Tablet, film coated
11590	Tablet
10550	Tablet, film coated
8832	Solution for injection
9359	Solution for injection
11046	Solution for IV injection
3356	Ampoule INJECTABLE
9851	Ampoule
10489	Powder and solvent for solution for injection/ infusion
10415	Powder for solution for injection or infusion
11335	Powder for solution for injection or infusion
9506	Powders and solvents for sealant
9507	Powders and solvents for sealant
9508	Powders and solvents for sealant
7193	
8986	Vial
3279	Lyophilised powder
8987	Vial
3280	Lyophilised powder
8988	Vial
3281	Lyophilised powder
8910	Injectable powder for solution+diluent
8849	Lyophilized powder for reconstitution
7980	Injectable powder and solvent for solution
8558	Powder and solvent for solution for injection for IV use
9763	Lyophilizate for solution for Intavenous injection
8911	Injectable powder for solution+diluent
8850	Lyophilized powder for reconstitution
8851	Lyophilized powder for reconstitution
8852	Lyophilized powder for reconstitution
10908	Powder and solvent for solution for injection
10909	Powder and solvent for solution for injection
10367	Powder and solvent for solution for intravenous injection
10368	Powder and solvent for solution for intravenous injection
6958	Injectable lyophilised powder for solution for injection or infusion +Solvent 
6539	Injectable freeze dried powder + diluent
10306	Injectable powder and solvent for solution
10307	Injectable powder and solvent for solution
10308	Injectable powder and solvent for solution
10309	Injectable powder and solvent for solution
10284	Powder and solvent for soution for injection
10285	Powder and solvent for soution for injection
10286	Powder and solvent for soution for injection
8983	Vial
8984	Vial
8985	Vial
8315	Injectable powder for solution+diluent
5539	Injectable powder (Vial) and solvent for solution (in prefilled syringe)
10083	Powder for solution
5540	Injectable powder (Vial) and solvent for solution (in prefilled syringe)
5541	Injectable powder (Vial) and solvent for solution (in prefilled syringe)
9762	Lyophilizate for solution for Intavenous injection
1263	Ampoule
3603	Tablet
9808	Capsule
7521	Injectable powder for solution
11625	Tablet, film coated
11624	Tablet, film coated
9902	Solution for injection for subcutaneous use
9903	Solution for injection for subcutaneous use
9904	Solution for injection for subcutaneous use
9905	Solution for injection for subcutaneous use
5342	Suspension
9481	Tablet, film coated
11111	Tablet, film coated
5295	Drops
7777	Capsule
6867	Syrup
7882	Gélule
10620	Oral Solution
6724	Oral drops
5046	
10178	Solution Injectable
8728	Solution à diluer pour perfusion
8729	Solution a diluer pour perfusion
7023	Injectable solution
7974	Injectable solution for IV use
5210	solution for IV injection
6239	Injectable solution for infusion
9154	Tablet, chewable
5113	Capsule
8656	Tablet, film coated
1870	Tablet, sugar coated, slow release
6657	Tablet, film coated
9155	Sirop
9156	Drops
9106	Tablet, film coated
3712	Ampoules buvables
1864	Tablet, coated
10941	Injection IM
10624	for IM injection
6824	Injection
8141	Tablet
6658	Tablet
4440	Tablet
6372	Injectable solution
11303	Solution for injection
6370	Injectable solution
11302	Solution for injection
6442	Injectable
11531	
10471	Prefilled syringe
10775	Injectable solution for IV/SC use
11692	Injectable solution for IV/SC use
6368	Injectable solution
10472	Prefilled syringe
6791	Injectable solution
10473	Injectable solution
1433	Injection
8890	Injectable solution for IV/SC use
9830	Injectable solution for IV/SC use
10774	Injectable solution for IV/SC use
1434	Injection
6211	Freeze dried flask ampoule injectable
1095	Freeze dried flask ampoule injectable
1096	Freeze dried flask ampoule injectable
10934	Lyophilized for injection
11473	Injectable solution for IV/SC use
10935	Lyophilized for injection
7373	Injectable solution
7376	Injectable solution
7374	Injectable solution
7375	Injectable solution
7383	Injectable solution
7378	Injectable solution
7377	Injectable solution
7381	Injectable solution
7379	Injectable solution
7211	Injection
7212	Injection
9378	Injection
11424	
11425	
3487	
3489	
3267	Infusion  solution
9604	Solution for infusion 
8989	Solution for infusion 
3604	Vial
5567	
4048	Solution pour perfusion
8428	Solution for perfusion
3488	
9780	Solution for infusion
2662	Ssolution for Infusion 
2610	Solution
3413	Solution
2473	Infusion solution
6831	Injectable solution for infusion
8409	Infusion solution
1193	Emulsion IV Infusion 
6830	Injectable emulsion for infusion
6833	Injectable emulsion for infusion
9275	Intravenous fat emulsion
11191	Emulsion for infusion
7125	Emulsion pour perfusion
7126	Emulsion pour perfusion
7127	Emulsion pour perfusion
7129	Emulsion pour perfusion
7130	Emulsion pour perfusion
7131	Emulsion pour perfusion
7132	Emulsion pour perfusion
8075	Injectable emulsion for infusion
3351	Emulsion for infusion
8076	Injectable emulsion for infusion
3353	Emulsion for infusion
4166	Injectable solution
4776	
9584	
4182	Injectable solution
4785	
9198	IV infusion
4167	Injectable solution
9377	Injectable solution
4775	
9897	Injectable solution
9997	
4169	Injectable solution
9376	Injectable solution
4774	
9588	Injectable solution
9784	
9585	
4181	Injectable solution
4184	Injectable solution
9714	Injectable solution
4784	
4786	
9715	Injectable solution
10130	
10129	
10613	
11145	
4134	Injectable solution
4136	Injectable solution
4138	Injectable solution
9711	Injectable solution
9712	Injectable solution
4767	
4769	
4770	
9710	Injectable solution
9713	Injectable solution
10076	
10078	
10077	
10131	
10612	
11144	
4142	Injectable solution
4144	Injectable solution
9372	Injectable solution
9373	Injectable solution
4764	
4765	
4766	
9370	Injectable solution
9371	Injectable solution
9483	
9484	
9562	
9563	
10611	
11143	
4157	Injectable solution
4159	Injectable solution
11652	Injectable solution
4754	
4755	
4756	
4777	
4772	
4165	Injectable solution
4773	Injectable solution
4174	Injectable solution
4778	
4163	Injectable solution
4133	Injectable solution
4147	Injectable solution
4155	Injectable solution
4149	Injectable solution
4151	Injectable solution
4153	Injectable solution
4177	Injectable solution
4179	Injectable solution
9587	Injectable solution
10936	
11150	
4782	
4783	
9555	Injectable solution
9883	
9785	
4187	Injectable solution
4189	Injectable solution
4780	
4781	
4110	Injectable solution
2596	Ampoule
10614	
10615	
10616	
11140	
11141	
11142	
4115	Injectable solution
4117	Injectable solution
4119	Injectable solution
9379	Injectable solution
11651	Injectable solution
11653	Injectable solution
11654	Injectable solution
4749	Injectable solution
4750	Injectable solution
4751	Injectable solution
4114	Injectable solution
4752	
4753	
10566	
10567	
10568	
10569	
11146	
11147	
11148	
11149	
9772	Injectable solution
9790	Injectable solution
9791	Injectable solution
9792	Injectable solution
9793	Injectable solution
4122	Injectable solution
4124	Injectable solution
4126	Injectable solution
4128	Injectable solution
4130	Injectable solution
9558	Injectable solution
9559	Injectable solution
9586	Injectable solution
9708	Injectable solution
9773	Injectable solution
4808	
4809	
4779	
4790	
4801	
5198	Injectable solution
11405	Solution in water for IV infusion
9955	
9958	
9957	
9999	
9954	
9956	
9959	
9998	
4748	
4810	
4747	
2595	Ampoule
4113	Injectable solution
4112	Injectable solution
4111	Injectable solution
4191	Solution
4192	Solution
5186	
5188	
5190	
5191	
5187	
5189	
3599	Solution
3600	Solution
2417	Solution
2418	Solution
9868	Solution
9869	Solution
2423	Solution
9867	Solution
2419	Solution
9865	Solution
9866	Solution
7122	Solution
9864	Solution
2420	Solution
2421	Solution
9861	Solution
9862	Solution
2426	Solution
9863	Solution
3597	Solution
3598	Solution
6695	Injectable concentrated solution for infusion
285	Solution a diluer pour perfusion
2282	Sol à diluer p perf
4199	Injectable solution
4200	Injectable solution
2283	Sol à diluer p perf
4198	Injectable solution
4196	Injectable solution
4197	Injectable solution
4202	Injectable solution
4201	Injectable solution
4203	Injectable solution
10570	
10571	
10572	
10573	
10575	
11136	
11137	
11138	
11139	
2285	Sol inj
291	Solution injectable
292	Solution injectable
9189	Injectable solution
9190	Injectable solution
9892	Injectable solution
9895	Injectable solution
9896	Injectable solution
9788	
9881	
9560	
9561	
9786	
4207	Injectable solution
4208	Injectable solution
4209	Injectable solution
4211	Injectable solution
4212	Injectable solution
4215	Injectable solution
4217	Injectable solution
4219	Injectable solution
4221	Injectable solution
9374	Injectable solution
9375	Injectable solution
9380	Injectable solution
9556	Injectable solution
9557	Injectable solution
9709	Injectable solution
4795	
4796	
4792	
4793	
4794	
11414	Solution for injection
11415	Solution for injection
11416	Solution for injection
9789	
9882	
9564	
9565	
9787	
10574	
11135	
9893	Injectable solution
9894	Injectable solution
4223	Injectable solution
4224	Injectable solution
4225	Injectable solution
9774	Injectable solution
9775	Injectable solution
4787	
4788	
4789	
4206	Injectable solution
4857	Injectable solution
4204	Injectable solution
4205	Injectable solution
8758	Injectable solution
3504	Injectable solution IV
2771	Sol inj (I.V.)
4175	Injectable solution
4176	Injectable solution
4103	Injectable solution
8826	Solution a diluer pour perfusion IV
10707	Concentrate for solution for infusion
3922	Injectable concentrated solution for Infusion 
4105	Solution
4106	Solution
4107	Solution
4108	Solution
4109	Solution
4800	Solution
4802	Solution
4803	Solution
4804	Solution
4805	Solution
4806	Solution
4858	Solution
4859	Solution
4860	Solution
10626	Solution for injection
11295	Concentrate for solution for infusion 
7507	Elixir
7508	Tablet
8559	Injection
5283	Tablet, film coated
5284	Tablet, film coated
2222	Tablet
9472	Tablet, scored
10815	Gélules a libération prolongée
10816	Gélules a libération prolongée
2975	Tablet, scored
11398	Comprimés sécables
2976	Ampoule Injectable
8368	Injectable concentrated solution for infusion
10826	Concentrate for solution for infusion
8590	Injection
5213	concentrate for solution for infusion
11513	concentrate for solution for infusion
2871	Injectable solution (IV) Sans conservateur
11662	Injectable solution
10114	Concentrate for solution for infusion
2640	Concentrate for solution for infusion
3546	Solution for perfusion
8566	
7787	Injection USP
8906	Injectable solution
11026	Solution for injection
3532	Solution à diluer pour perfusion
4861	Injectable solution
2097	Ampoule
7809	Injectable solution
8963	Injection syringe
8964	Injection syringe
11025	Solution for injection, sulfite free
272	Solution injectable
2279	Injectable solution
9214	Solution injectable/ IV use
11500	Solution for injection
8529	Concentrate for solution for infusion 
6862	concentrate for solution for infusion
6599	Patch
8325	Patch
8326	Patch
9921	Concentrate for solution for intravenous infusion
8421	
11114	Concentrate for solution for infusion
11503	Tablet
4605	Tablet
3714	Capsule, hard, prolonged release
3715	Tablet
5420	Tablet, scored
5421	Tablet, scored
7626	Comprimés sécables
9462	Comprimés sécables
9463	Comprimés sécables
5422	Tablet
8373	Comprimés sécables
9464	Comprimés 
8669	Breakable tablet
10265	Tablet
9024	Comprimes secables
11388	Comprimes secables
8670	Breakable tablet
10264	Tablet
9023	Comprimes
11389	Comprimes
449	Sterile solution
9836	Solution for IV injection
3838	Tablet, film coated, modified release
11226	modified release film coated tablet
5385	Tablet, film coated
10693	Tablet, film coated, scored
5386	Tablet, film coated
10694	Tablet, film coated, scored
8105	Tablet, prolonged release
8103	Tablet, prolonged release
8104	Tablet, prolonged release
8924	Tablet
4304	Tablet, coated
4314	Tablet, coated
10763	Tablet, film coated
10764	Tablet, film coated
10765	Tablet, film coated
7258	Tablet
7049	Tablet
11658	Tablet
8176	Injectable solution IV
5492	Tablet, film coated
