MoPHCode	FormRaw	RouteRaw
11799	Suppository	Rectal
1260	Suppository	Rectal
7846	Suppository	Rectal
96	Enema	Rectal
10543	Enema	Rectal
6253	Enema	Rectal
8319	Granules, gastro-resistant, prolonged release	Oral
8320	Granules, gastro-resistant, prolonged release	Oral
10806	Tablet, modified release	Oral
10807	Tablet, modified release	Oral
10808	Granules, prolonged release	Oral
169	Gélule	Oral
3915	Gélule	Oral
8477	Powder for oral suspension	Oral
3938	Capsule	Oral
8287	Granules for oral suspension	Oral
8288	Capsule, hard	Oral
11685	Géllule	Oral
8760	Gélules	Oral
8759	Gélules	Oral
9939	Tablet	Oral
10095	Tablet, prolonged release	Oral
9449	Capsule	Oral
6255	Capsule	Oral
6285	Capsule	Oral
6883	Capsule	Oral
7113	Capsule	Oral
9241	Capsule	Oral
6575	Capsule	Oral
6286	Capsule	Oral
3206	Capsule	Oral
5258	Capsule 	Oral
2023	Vial	SC
8497	Vial	SC
1038	Vial	IV/SC
5060	Injection	SC
5844	Solution for injection	SC
10619	Solution for injection	SC
10981	Solution for injection	SC
10983	Solution for injection	SC
1028	Vial	SC
10592	Solution for injection	SC
2017		SC
8087		SC
8113		SC
5263	Injectable solution	SC
5262	Injectable solution in Vial	SC
1037	Vial	SC
5061	Injection	SC
2029	Vial	SC
8088	Vial	SC
5842	Suspension for injection	SC
5843	Suspension for injection	SC
2016	Flexpen	SC
8085	Flexpen	SC
8111	Flexpen	SC
7961	Injectable solution	SC
1039	Vial	SC
2025	Vial	SC
8496	Vial	SC
5057	Injection	SC
8907	Solution for injection 	SC
10292	Solution for injrction	SC
11866	Solution for injrction	SC
5264	Injectable solution	SC
2124	Injectable solution	SC
8413	Solostar solution for injection	SC
7239	Injectable solution, flex touch	SC
10560	Solution for injection, Solostar	SC
10559	Solution for injection, Solostar	SC
9165	Injectable solution	SC
5374	Tablet, film coated	Oral
9115	Tablet, film coated	Oral
4699	Tablet, film coated	Oral
5948	Tablet, film coated	Oral
5136	Tablet, film coated	Oral
5083	Tablet, film coated	Oral
11282	Tablet, film coated	Oral
5375	Tablet, film coated	Oral
8579	Tablet, film coated	Oral
897	Tablet	Oral
4301	Tablet, film coated	Oral
9012	Tablet, film coated	Oral
4642	Tablet	Oral
3685	Tablet, film coated	Oral
4700	Tablet, film coated	Oral
5137	Tablet, film coated	Oral
9011	Tablet, film coated, scored	Oral
5163	Tablet	Oral
5115	Tablet, prolonged release	Oral
6031	Tablet, film coated, extended release	Oral
11280	Tablet, film coated, extended release	Oral
8581	Tablet, film coated, extended release	Oral
5693	Tablet, prolonged release	Oral
5085	Tablet, film coated, extended release	Oral
11283	Tablet, film coated, extended release	Oral
7254	Tablet, extended release	Oral
8582	Tablet, film coated, extended release	Oral
3897	Tablet, extended release	Oral
6219	Tablet, prolonged release	Oral
5084	Tablet, film coated, extended release	Oral
11281	Tablet, film coated, extended release	Oral
8580	Tablet, film coated, extended release	Oral
3896	Tablet, extended release	Oral
4422	Tablet, scored	Oral
5172	Tablet	Oral
3919	Tablet	Oral
6133	Tablets, modified release scored	Oral
11399	Tablet, extended release	Oral
10879	Tablet	Oral
6706	Tablet	Oral
4728	Tablet	Oral
6837	Tablet	Oral
11040	Tablet	Oral
5123	Tablet	Oral
10880	Tablet	Oral
6707	Tablet	Oral
4729	Tablet	Oral
6838	Tablet	Oral
11041	Tablet	Oral
6705	Tablet	Oral
5927	Caplet	Oral
5122	Tablet	Oral
10881	Tablet	Oral
6708	Tablet	Oral
4730	Tablet	Oral
6839	Tablet	Oral
11449	Tablet	Oral
6704	Tablet	Oral
5929	Caplet	Oral
5124	Tablet	Oral
10882	Tablet	Oral
6709	Tablet	Oral
4731	Tablet	Oral
6840	Tablet	Oral
11042	Tablet	Oral
6702	Tablet	Oral
5930	Caplet	Oral
5125	Tablet	Oral
6437	Caplet	Oral
4701	Tablet, film coated	Oral
4302	Tablet, film-scored	Oral
4702	Tablet, film coated	Oral
4303	Tablet, film-scored	Oral
5086	Tablet, film coated	Oral
5847	Tablet, film coated	Oral
7290	Tablet, film coated	Oral
5126	Tablet	Oral
9705	Tablet, film coated	Oral
9706	Tablet	Oral
9707	Tablet	Oral
5770	Tablet	Oral
11237	Tablet	Oral
10314	Tablet, film coated	Oral
10502	Tablet, film coated	Oral
5771	Tablet	Oral
11236	Tablet	Oral
10315	Tablet, film coated	Oral
7991	Tablet	Oral
7992	Tablet	Oral
7993	Tablet	Oral
10316	Tablet, film coated	Oral
10501	Tablet, film coated	Oral
10740	Tablet, film coated	Oral
11682	FCT	Oral
11430	Tablet, film coated	Oral
11175	FCT	Oral
10741	Tablet, film coated	Oral
11683	FCT	Oral
11429	Tablet, film coated	Oral
11174	FCT	Oral
11526	Tablet, film coated	Oral
10758	Tablet, film coated	Oral
8993	Tablet, extended release	Oral
8994	Tablet, extended release	Oral
11048	Tablet, film coated	Oral
10767	Tablet, film coated	Oral
11047	Tablet, film coated	Oral
10766	Tablet, film coated	Oral
11525	Tablet, film coated	Oral
11161	Tablet, film coated	Oral
9337	Tablet	Oral
11360	Tablet, film coated	Oral
11612	Tablet, extended release	Oral
11447	Tablet, film coated	Oral
9339	Tablet	Oral
11361	Tablet, film coated	Oral
11448	Tablet, film coated	Oral
9826	Tablet, film coated	Oral
11433	Tablet, film coated	Oral
11812	Tablet, film coated	Oral
9827	Tablet, film coated	Oral
11434	Tablet, film coated	Oral
11813	Tablet, film coated	Oral
8680	Tablet, film coated	Oral
10469	Tablet, film coated	Oral
10991	Tablet, film coated	Oral
10463	Tablet, film coated	Oral
10464	Tablet, film coated	Oral
10462	Tablet, film coated	Oral
10992	Tablet, film coated	Oral
11711	Tablet, film coated	Oral
1340	Tablet	Oral
5345	Tablet	Oral
5959	Tablet	Oral
5302	Tablet	Oral
8333	Tablet	Oral
7871	Tablet, film coated	Oral
10194	Tablet, film coated	Oral
11632	Comprimés pelliculés	Oral
11633	Comprimés pelliculés	Oral
11327	Tablet	Oral
11684	Tablet	Oral
11848	Tablet	Oral
11043	Tablet	Oral
11176	Tablet	Oral
11759	Tablet	Oral
8571	Tablet	Oral
8572	Tablet	Oral
10757	Tablet, film coated	Oral
6755	Tablet, film coated	Oral
10585	Tablet, film coated	Oral
8854	Injectable solution	SC
8083	Injectable solution	SC
8084	Injectable solution	SC
10918	Injectable solution	SC
10987	Injectable solution	SC
10041	Solution for injection	SC
10042	Solution for injection	SC
10043	Solution for injection	SC
11529	Tablet, film coated	Oral
8253	Tablet, film coated	Oral
11321	Tablet, film coated	Oral
11530	Tablet, film coated	Oral
11446	Tablet, film coated	Oral
8203	Tablet, film coated	Oral
10782	Tablet, film coated	Oral
8204	Tablet, film coated	Oral
10781	Tablet, film coated	Oral
2010	Tablet	Oral
9237	Comprimes	Oral
2036	Tablet	Oral
9235	Comprimes	Oral
2038	Tablet	Oral
9236	Comprimes	Oral
11858	Solution for injection 	SC
11859	Solution for injection 	SC
11857	Solution for injection 	SC
11854	Solution for injection 	SC
11855	Solution for injection 	SC
11856	Solution for injection 	SC
6869	Oral drops	Oral
11233	Sirop	Oral
11130	Capsule	Oral
4576	Syrup	Oral
4588	Syrup	Oral
4289	Tablet, film coated	Oral
6832	Injectable concentrate for solution	Infusion
11211	Injection Ampoule	IV
11208	Injection Ampoule	IV
11209	Capsule	Oral
11210	Capsule	Oral
6260	Capsule	Oral
11582	Capsule	Oral
11212	Gouttes	Oral
10146	Capsule	Oral
10251	Capsule	Oral
7309	Capsule	Oral
9573	Softgel	Oral
6881	Capsule	Oral
5764	Capsule	Oral
7589	Capsule	Oral
9611	Capsule	Oral
10530	Capsule	Oral
7385	Capsule	Oral
10218	Capsule	Oral
10697	Capsule, hard	Oral
8712	Tablet, film coated	Oral
9572	Capsule	Oral
9125	Capsule, hard	Oral
7492	Capsule	Oral
9802	Capsule, soft gelatin	Oral
9473	Capsule	Oral
9758	Capsule	Oral
5666	Liquid	Oral
9141	Solution buvable	Oral
10659	Oral solution	Oral
7422	Liquid	Oral
7320	Oral drops	Oral
7511	Solution buvable	Oral
9800	Capsule, soft gelatin	Oral
9278	Oral solution	Oral
9522	Capsule	Oral
9760	Capsule	Oral
9341	Capsule	Oral
9759	Capsule	Oral
9207	Solution for injection	IM
9382	Capsule, soft	Oral
9276	Oral drops solution	Oral
11757	Solution for injection	IM
11758	Solution for injection	IM
7597	Ampoule	IM
11491	Tablet, coated	Oral
11492	Tablet, coated	Oral
1337	Tablet	Oral
8710	Tablet, coated	Oral
9220	Tablet, coated	Oral
7666	Tablet, film coated	Oral
5712	Tablet, film coated	Oral
1338	Ampoule	IM
10829	Ampoule injectable	IM
11818	FCT	Oral
8099	Injectable solution	Infusion/IM
4577	Tablet	Oral
11329	Tablet	Oral
9599	Solution for injection	IV/IM
1369	Dragée	Oral
1551	Tablet	Oral
9606	Injectable solution	Infusion
1385	Tablet	Oral
6193	Comprimé pelliculé 	Oral
9526		Infusion
4104	Injectable solution	Infusion 
7735	IV Solution for injection	Infusion
10895	Tablet	Oral
2248	Tablet	Oral
7493	Tablet	Oral
1800	Tablet	Oral
8422	Tablet	Oral
4658	Tablet	Oral
1801	Powder	Oral
2249	Tablet	Oral
5667	Tablet	Oral
7421	Tablet	Oral
7423	Tablet, chewable	Oral
9262	Tablet	Oral
3495	Tablet, sustained release	Oral
6269		Oral
8438	Comprimé Enrobé	Oral
11396	Comprimé Enrobé	Oral
9222	Tablet	Oral
5049	solution injectable	Infusion 
8546	Oral solution	Oral
7315	Drinkable ampoules	Oral
9730	Injection	Infusion 
10155	Powder for concentrate for solution for infusion	Infusion
11061	Concentrate for solution for infusion	Infusion
8281	Powder for concentrate for solution for infusion	Infusion
9066	Tablet, gastroresistant	Oral
4543	Tablet	Oral
9929	Solution injectable IV	Infusion/IV
2626	Vial	Infusion/IV/SC
11363	Injectable solution for SC/IV use	IV/SC
9950	Injectable solution	SC
11733	Solution for injection 	SC/Intravascular
11734	Solution for injection 	SC/Intravascular
11199	Solution for injection	SC
10735	Solution for injection	SC
1752	Injectable solution	SC/Intravascular
11342	Solution for injection	SC
11365	Injectable solution for SC/IV use	IV/SC
9952	Injectable solution	SC
11744	Solution for injection 	SC/Intravascular
11745	Solution for injection 	SC/Intravascular
1757	Injectable solution	SC
11344	Solution for injection	SC
11364	Injectable solution for SC/IV use	IV/SC
9951	Injectable solution	SC
11742	Solution for injection 	SC/Intravascular
11743	Solution for injection 	SC/Intravascular
11198	Solution for injection	SC
1758	Injectable solution	SC
11343	Solution for injection	SC
11362	Injectable solution for SC/IV use	IV/SC
9949	Injectable solution	SC
11740	Solution for injection 	SC/Intravascular
11741	Solution for injection 	SC/Intravascular
1759	Injectable solution	SC/Intravascular
11341	Solution for injection	SC
11746	Solution for injection 	SC/Intravascular
490	Capsule, soft gelatin	Oral
10009	Capsule, soft	Oral
6624	SC	SC
6625	SC	SC
6860	SC	SC
6861	SC	SC
10870	Tablet, film coated	Oral
11808	Tablet, film coated	Oral
7282	Tablet, film coated	Oral
6267	Tablet, film coated	Oral
5982	Tablet	Oral
6218	Tablet	Oral
5775	Tablet	Oral
6544	Tablet, film coated	Oral
9975	Tablet, film coated	Oral
11886	Tablet	Oral
10751	Tablet, film coated	Oral
10982	Tablet, film coated	Oral
8992	Tablet, film coated	Oral
6938	Tablet, film coated	Oral
6257	Tablet, film coated	Oral
7820	Tablet, film coated	Oral
7691	Tablet, film coated	Oral
5490	Tablet, coated	Oral
8408	Tablet, enteric coated	Oral
10548	Tablet, enteric coated	Oral
8506	Tablet, enteric coated	Oral
10362	Tablet, enteric coated	Oral
9480	Tablet, enteric coated	Oral
7004	Tablet, enteric coated	Oral
4673	Tablet, enteric coated	Oral
4680	Tablet, enteric coated	Oral
10617	Tablet, enteric coated	Oral
5489	concentrate for solution for Infusion	Infusion
8082	Concentrate for solution for infusion	Infusion
6517	Tablet, film coated	Oral
10642	Tablet, film coated	Oral
10784	Tablet, film coated	Oral
10641	Tablet, film coated	Oral
10783	Tablet, film coated	Oral
10408	Tablet, film coated	Oral
10409	Tablet, film coated	Oral
10402	Tablet, film coated	Oral
10407	Tablet, film coated	Oral
10406	Tablet, film coated	Oral
10405	Tablet, film coated	Oral
10404	Tablet, film coated	Oral
10658	Tablet, film coated	Oral
10403	Tablet, film coated	Oral
2224	Vial	Infusion/IV
2217	powder and solvent for solution for injection	IV
5314	Capsule, hard	Oral
5317	Capsule, hard	Oral
11822	Capsule, hard	Oral
5315	Capsule, hard	Oral
5316	Capsule, hard	Oral
11821	Capsule, hard	Oral
6523	Capsule, hard	Oral
11820	Capsule, hard	Oral
7870	Tablet, film coated	Oral
10555	Tablet, film coated	Oral
6773	Tablet, film coated	Oral
10552	Tablet, film coated	Oral
10411	Tablet, film coated	Oral
11064	Tablet, film coated	Oral
10359	Tablet, film coated	Oral
11824	FCT	Oral
11825	FCT	Oral
6775	Tablet, film coated	Oral
10553	Tablet, film coated	Oral
10412	Tablet, film coated	Oral
11065	Tablet, film coated	Oral
10360	Tablet, film coated	Oral
11823	FCT	Oral
5543	Tablet, film coated	Oral
10554	Tablet, film coated	Oral
10413	Tablet, film coated	Oral
11063	Tablet, film coated	Oral
10361	Tablet, film coated	Oral
11826	FCT	Oral
10341	Tablet, film coated	Oral
11589	Tablet	Oral
10551	Tablet, film coated	Oral
10340	Tablet, film coated	Oral
11590	Tablet	Oral
10550	Tablet, film coated	Oral
8832	Solution for injection	SC
9359	Solution for injection	SC
11046	Solution for IV injection	Infusion 
3356	Ampoule INJECTABLE	Oral/IV/IM
9851	Ampoule	Oral/IV/IM
10489	Powder and solvent for solution for injection/ infusion	Infusion/IV
10415	Powder for solution for injection or infusion	Infusion/IV
11335	Powder for solution for injection or infusion	Infusion/IV
9506	Powders and solvents for sealant	Epilesional
9507	Powders and solvents for sealant	Epilesional
9508	Powders and solvents for sealant	Epilesional
7193		Infusion
8986	Vial	IV
3279	Lyophilised powder	IV
8987	Vial	IV
3280	Lyophilised powder	IV
8988	Vial	IV
3281	Lyophilised powder	IV
7980	Injectable powder and solvent for solution	IV
8558	Powder and solvent for solution for injection for IV use	IV
9763	Lyophilizate for solution for Intavenous injection	IV
8850	Lyophilized powder for reconstitution	Infusion 
10908	Powder and solvent for solution for injection	Infusion
10909	Powder and solvent for solution for injection	Infusion
10367	Powder and solvent for solution for intravenous injection	IV
10368	Powder and solvent for solution for intravenous injection	IV
6958	Injectable lyophilised powder for solution for injection or infusion +Solvent 	Infusion 
6539	Injectable freeze dried powder + diluent	Infusion 
10307	Injectable powder and solvent for solution	Infusion
10284	Powder and solvent for soution for injection	Infusion
10285	Powder and solvent for soution for injection	Infusion
10286	Powder and solvent for soution for injection	Infusion
8983	Vial	IV
8984	Vial	IV
8985	Vial	IV
8315	Injectable powder for solution+diluent	IV
5539	Injectable powder (Vial) and solvent for solution (in prefilled syringe)	IV
10083	Powder for solution	IV
5540	Injectable powder (Vial) and solvent for solution (in prefilled syringe)	IV
5541	Injectable powder (Vial) and solvent for solution (in prefilled syringe)	IV
9762	Lyophilizate for solution for Intavenous injection	IV
1263	Ampoule	IV/IM
9808	Capsule	Oral
7521	Injectable powder for solution	SC
11625	Tablet, film coated	Oral
11624	Tablet, film coated	Oral
9902	Solution for injection for subcutaneous use	SC
9903	Solution for injection for subcutaneous use	SC
9904	Solution for injection for subcutaneous use	SC
9905	Solution for injection for subcutaneous use	SC
5342	Suspension	Oral
9481	Tablet, film coated	Oral
11111	Tablet, film coated	Oral
5295	Drops	Oral
7777	Capsule	Oral
6867	Syrup	Oral
6724	Oral drops	Oral
5046		Oral
10178	Solution Injectable	Infusion/IV
8728	Solution à diluer pour perfusion	Infusion/IV
8729	Solution a diluer pour perfusion	Infusion/IV
7023	Injectable solution	IV
7974	Injectable solution for IV use	Infusion/IV
5210	solution for IV injection	Infusion/IV
6239	Injectable solution for infusion	Infusion/IV
9154	Tablet, chewable	Oral
5113	Capsule	Oral
8656	Tablet, film coated	Oral
1870	Tablet, sugar coated, slow release	Oral
6657	Tablet, film coated	Oral
9155	Sirop	Oral
11841	Sirop	Oral
9156	Drops	Oral
11842	Drops	Oral
3712	Ampoules buvables	Oral
1864	Tablet, coated	Oral
10941	Injection IM	IM
10624	for IM injection	IM
6824	Injection	IV/IM
9536		IM
8141	Tablet	Oral
6658	Tablet	Oral
4440	Tablet	Oral
6372	Injectable solution	IV/SC
11303	Solution for injection	IV/SC
6370	Injectable solution	IV/SC
11302	Solution for injection	IV/SC
6442	Injectable	IV/SC
11531		IV/SC
10471	Prefilled syringe	IV/SC
10775	Injectable solution for IV/SC use	IV/SC
11692	Injectable solution for IV/SC use	IV/SC
6368	Injectable solution	IV/SC
11790	Solution for injection	IV/SC
10472	Prefilled syringe	IV/SC
6791	Injectable solution	IV/SC
10473	Injectable solution	IV/SC
1433	Injection	IV/SC
8890	Injectable solution for IV/SC use	IV/SC
9830	Injectable solution for IV/SC use	IV/SC
10774	Injectable solution for IV/SC use	IV/SC
1434	Injection	IV/SC
1095	Freeze dried flask ampoule injectable	IV/SC
6211	Freeze dried flask ampoule injectable	IV/SC
1096	Freeze dried flask ampoule injectable	IV/SC
10934	Lyophilized for injection	IV/SC
11473	Injectable solution for IV/SC use	IV/SC
10935	Lyophilized for injection	IV/SC
7211	Injection	Infusion
7212	Injection	Infusion
9378	Injection	Infusion
11424		Infusion
11425		Infusion
3487		Infusion 
3489		Infusion 
3267	Infusion  solution	Infusion 
9604	Solution for infusion 	Infusion 
8989	Solution for infusion 	Infusion 
3604	Vial	Infusion 
5567		Infusion 
4048	Solution pour perfusion	Infusion 
8428	Solution for perfusion	Infusion
9780	Solution for infusion	Infusion
2662	Solution for Infusion 	Infusion 
2473	Infusion solution	Infusion 
6831	Injectable solution for infusion	Infusion
8409	Infusion solution	Infusion
6830	Injectable emulsion for infusion	Infusion
11191	Emulsion for infusion	Infusion
7125	Emulsion pour perfusion	Infusion
7132	Emulsion pour perfusion	Infusion
8075	Injectable emulsion for infusion	Infusion
8076	Injectable emulsion for infusion	Infusion
4166	Injectable solution	Infusion 
4776		Infusion 
9584		Infusion 
4182	Injectable solution	Infusion 
4785		Infusion 
4167	Injectable solution	Infusion 
9377	Injectable solution	Infusion 
4775		Infusion 
9897	Injectable solution	Infusion 
9997		Infusion 
4169	Injectable solution	Infusion 
9376	Injectable solution	Infusion 
4774		Infusion 
9588	Injectable solution	Infusion 
9784		Infusion 
9585		Infusion 
4181	Injectable solution	Infusion 
4184	Injectable solution	Infusion 
9714	Injectable solution	Infusion 
4784		Infusion 
4786		Infusion 
9715	Injectable solution	Infusion 
10130		Infusion 
10129		Infusion 
10613		Infusion 
11145		Infusion 
4134	Injectable solution	Infusion 
4136	Injectable solution	Infusion 
4138	Injectable solution	Infusion 
9711	Injectable solution	Infusion 
9712	Injectable solution	Infusion 
