Code	Numerator1	Numerator1Unit	Denominator1	Denominator1Unit	Numerator2	Numerator2Unit	Denominator2	Denominator2Unit	Numerator3	Numerator3Unit	Denominator3	Denominator3Unit
1086	2	mcg/ml										
1087	1	mg/g 			20	 mg/g						
1088	20	mg/g										
1089	20	mg/g										
1095	4000	IU										
1096	10000	IU										
1097	300	mcg/ml										
1099	3	MIU										
1104	1000	mg										
1105	457	mg	5	ml								
1106	312.5	mg	5	ml								
1121	100	mg										
1122	200	mg										
1123	400	mg										
1124	100	mg	5	ml								
1129	156	mg	5	ml								
1130	312.5	mg	5	ml								
1131	375	mg										
1132	625	mg										
1134	500	mg										
1137	500	mg										
1139	500	mg										
1141	10	mg										
1151	0.27	%										
1157	55	mg 			30	 mg						
1161	15	g										
1162	99.934	%										
1163	10	mg/g										
1164	10	mg/g										
1167	100	mg										
1169	5000	IU/100g										
1177	20	mg										
1179	250	mcg										
1191	500	mg										
1192	50	g/L			50	g/L						
1193	100	g/L			100	g/L						
1194	1	mg/ml										
1204												
1205												
1210	3000	U.CEIP										
1211	200	U.CEIP/ml										
1239	3	mg/ml										
1240	30	mg										
1241	10	mg										
1248	10	mg										
1253	200	mg/ml										
1255	100	mg	2	ml								
1256	20	mg										
1260	1	g										
1263	250	mg										
1271	6	mg										
1274	200	mg 			100	mg 			300	 mcg		
1277	100	mg										
1278	50	mg										
1290	10	mg										
1292	50	mcg/ml										
1301	0.5	mg										
1302	0.5	mg										
1309	25	mcg										
1310	50	mcg										
1311	100	mcg										
1312	15	mcg										
1337	100	mg 			200	mg 			200	 mcg		
1338	100	mg 			100	mg 			1	 mg		
1340	30	mg										
1341	250	mg	5	ml								
1342	325	mg 			30	 mg 			2	 mg		
1343	325	mg 			30	 mg 			15	 mg		
1350	200	mg										
1351	20	mg/ml										
1352	13.5	mg	5	ml								
1356	1	mg										
1362	40	mg/ml										
1363	250	mg										
1369												
1372	50	mg/g										
1373	50	mg/g										
1381	8	mg										
1382	16	mg										
1383	2	mg	5	ml								
1384	100	mcg										
1385	1000	mg 			625	 IU						
1386	600	mg										
1394	750	mg										
1395	500	mg										
1402	75	mg	3	ml								
1403	10	mg/g										
1415	25	mg			300	mg			100	mg		
1416	25	mg	5	ml	165	mg	5	ml	200	mg	5	ml
1433	2000	IU										
1434	4000	IU										
1440	20	mg/g										
1453	15	mg	5	ml								
1454	50	mg										
1455	10	mg										
1459	200	mg										
1460	400	mg										
1475	375	mg										
1478	625	mg										
1479	500	mg										
1490	1	mg/ml										
1491	10	mg										
1492	100	mg										
1493	500	mg										
1494	200	mg 			50	 mg						
1497	50	mg										
1498	250	mg	5	ml								
1499	2.5	mg/g										
1503	500	mg										
1510	20	mg										
1511	40	mg										
1523	40	mg/ml										
1525	180	mg										
1527	1	mg/g										
1531	20	mg										
1542	50	mg/g										
1543	400	mg 			65	 mg						
1544	20	mg										
1548	20	mg/g										
1551	1	g										
1552	10	mg										
1553	20	mg										
1554	40	mg										
1555	40	mg										
1556	250	mg										
1557	500	mg										
1559	0.5	mg										
1564	200	mg										
1570	1	g										
1571	1	g										
1575	200	mg 			30	 mg						
1579	20	mg/ml										
1580	25	mg										
1581	100	mg										
1589	67	g	100	ml								
1591	20	mg/ml										
1595	160	mcg 			4.5	 mcg						
1602	75	mg										
1606	100	mg 			25	 mg						
1610	100	mg										
1617	1	g										
1618	0.5	g										
1629	5	mg										
1630	0.5	g										
1636	100	mg/ml										
1641	20	mg 			12.5	 mg						
1642	5	mg										
1643	10	mg										
1644	20	mg										
1646	3.6	mg										
1651	10	mg										
1652	40	mg										
1658	500	mg										
1659	250	mg	5	ml								
1660	1	g										
1662	500	mg										
1664	40	mg										
1665	100	mg										
1668	20	mg										
1671	500	mg										
1679	8	mg/ml 			40	 mg/ml						
1681	800/160	mg										
1682	100	mg	5	ml								
1685	250	mg										
1686	500	mg										
1689	10	mg										
1705	250	mg 			100	mg 			1	 mg		
1709	500	mg 			65	 mg						
1710	325	mg 			25	 mg						
1711	10	mg										
1712	20	mg										
1713	40	mg										
1720	250	mg										
1721	40	mg/ml										
1722	60	mg/ml										
1725	10	mg/g										
1726	100	mg	5	ml								
1727	400	mg										
1728	30	mg										
1731	80	mg	2	ml								
1732	100	mg	5	ml								
1735	10	mg										
1736	30	mg										
1746	250	mg										
1747	500	mg										
1752	40	mg										
1757	80	mg										
1758	60	mg										
1759	20	mg										
1765	3	MIU										
1766	1.5	MIU										
1770	150	mg										
1772	300	mg										
1779	80	mg	4	ml								
1780	20	mg/ml										
1781	55	mcg										
1800	600	mg			500	IU						
1801	600	mg 			750	 IU						
1808	20	mg										
1809	40	mg										
1811	20	mg										
1812	12.5	mg										
1819	500	mg										
1820	125	mg	5	ml								
1822	50	mg										
1823	100	mg										
1832	10	mg/g										
1835	250	mg										
1837	200	mg										
1839	300	mg										
1840	500	mg										
1842	750	mg										
1846	20	mg										
1847	10	mg										
1848	5	mg	5	ml								
1849	30	mg			5	mg						
1850	1	g										
1852	10	mg										
1853	625	mg										
1854	312	mg	5	ml								
1855	1000	mg										
1857	20	mg										
1858	5	mg										
1859	40	mg										
1860	250	mg										
1861	500	mg										
1862	135	mg										
1864	500	mcg										
1865	150	mg										
1867	10	mg										
1869	20	mg										
1870	80	mg										
1872	800	mg										
1877												
1878	250	mcg										
1879	500	mcg										
2010	2	mg										
2012	0.5	mg 			1	 mg						
2014	10	mg	1.5	ml								
2015	5	mg	1.5	ml								
2016	100	IU/ml										
2017	100	IU/ml										
2018	100	IU/ml										
2019	100	IU/ml										
2023	100	IU/ml										
2025	100	IU/ml										
2028	1	mg										
2029	100	IU/ml										
2036	0.5	mg										
2038	1	mg										
2041	1	mg 			2	 mg						
2043	2	mg										
2045	1	mg 			2	 mg						
2085	900	mg										
2096	5	mg										
2097	1	mg										
2124	100	IU/ml										
2127	250	mg										
2137	1	g										
2139	500	mg										
2140	1	g										
2156	10	mg										
2157	20	mg										
2177	1	mg/ml										
2179	0.5	mg/ml										
2198	400	mg										
2199	400	mg										
2217	10000	IU										
2219	42	mg/ml										
2220	84	mg/ml										
2222	100	mg										
2224	50	mg										
2226	20	mcg										
2227	20	mcg 			50	 mcg						
2241	15	mg										
2248	500	mg										
2249	500	mg 			400	 IU						
2250	150	mg										
2251	140	mg										
2263	1	g										
2265	40	mg										
2266	1	g										
2267	2	g										
2268	1	g										
2271	1	g										
2272	750	mg										
2273	1500	mg										
2277	50	mg/g										
2279	30	mg/ml										
2280	1	mg										
2281	25	mg	5	ml								
2282	74.6	mg/ml										
2283	100	mg/ml										
2284	74.6	mg/ml										
2285	9	mg/ml										
2287	200	mg/ml										
2288	200	mg										
2289												
2293	200	mg	100	ml								
2295	500	mg										
2308	80	mg										
2322	750	mg										
2326	8	mg 			12.5	 mg						
2332	1	g										
2334	750	mg										
2344	7.5	mg										
2345	15	mg										
2349	10	mg										
2350	0.5	mg										
2361	450	mg 			50	 mg						
2365	0.18	mg										
2366	0.7	mg										
2370	18	mcg										
2381	200	mg										
2382	1	MIU										
2417												
2418												
2419												
2420												
2421												
2423												
2426												
2427	10	mg	2	ml								
2429	20	mg										
2451	1	mg/ml										
2462	15	mg										
2465	500	mg										
2469	1	g										
2473												
2476	25	mg										
2479	50	mg										
2480	10	mg										
2481	70	mg 			14	 mg						
2491												
2492												
2497	50	mg										
2498	10	mg										
2503	50	mg										
2504	40	mg										
2511	100	mg	5	ml								
2512	180	mg										
2520	5	mg/ml										
2521	2.5	mg	5	ml								
2543	2.5	mg 	5	ml	5	 mg	5	ml				
2548	1.5	mg										
2555	10	g										
2557	64	g										
2566	5	mg/ml										
2570	50	mg/ml										
2573	20	mg	2	ml								
2576		NO										
2579	500	mg										
2581	100	mg										
2593	50	mg										
2595	500	mg/ml										
2596	300	mg/ml										
2610	200	g/L			12	g/L			25	g/L		
2611	10	mg/ml										
2612	20	mg/g										
2626	25000	IU										
2630		NO										
2634		NO										
2638	3	mg/g										
2639	3	mg/g										
2640	200	mg	5	ml								
2645	10	mg										
2647	100	mg										
2650	1	mg										
2652												
2661	500	mg										
2662	6	%										
2669	1	mg/ml										
2688	30	mg										
2695	300	mg										
2700	6	mg			10	mg						
2705	80	mg/g										
2708	20	mg										
2714	340	mg										
2719	30	mg										
2731	3	mg			5	mg						
2735	2	%										
2736	1	%										
2739	500	mg	2	ml								
2747	5000	IU/g 			250	 IU/g						
2748	10	mg/g										
2753	5000	IU/g 			250	 IU/g						
2755	20	mg/ml										
2767	40	mg/ml										
2768	100	mg										
2771	0.15	g/ml										
2793	10	mg										
2800	1	mg/g										
2801	10	mg/g										
2802	0.3	g										
2803	50	mg	5	ml								
2805	20	mg										
2806	0.1	mg										
2810	3	mg										
2811	11.25	mg										
2813	30	mg										
2815	160	mg										
2827	15	mg/ml										
2855	0.5	mg/ml										
2869	50	mg	5	ml								
2871	2	mg/ml										
2886	20	mg/g										
2904	2.5	mg										
2905	0.15	mg			0.03	mg						
2909	100	mg										
2910	8	mg/ml										
2924	250	mg	5	ml								
2936	0.12	mg 			0.015	 mg						
2937	10	IU										
2938	5	mg										
2941	80	mg	2	ml								
2942	80	mg	2	ml								
2968	120	mg										
2969	90	mg										
2974	500	mg										
2975	200	mg										
2976	150	mg	3	ml								
2977	200	mg										
2978	50	mg/ml										
2979	500	mg										
2980	200	mg/ml										
2985	200	mg	3.47	ml								
2986	400	mg										
2987	500	mg										
3027	20	mg										
3028	150	mg										
3038	50	mg	2	ml								
3045	300	mg										
3046	45	mg										
3047	30	mg										
3054	10	mg/ml										
3055	200	mg										
3058	60	mg			300	mg						
3059	10	mg										
3069	25	mg/ml										
3070	2.5	mg 	5	ml	100	 mg	5	ml				
3074	0.25	mg/ml 			3	mg/ml						
3077	100	mg										
3079	10	mg										
3086	100	mg										
3094	60	mg										
3110	10	mg										
3115	500	mg										
3116	500	mg										
3119	20	mg/ml										
3121	200	mg										
3156	1	g										
3161	1	g										
3168	6.7	g	10	ml								
3172	10	mg										
3180	100	mg										
3188	45	mcg										
3195	40	mg/ml										
3196	40	mg										
3203	200	mg										
3206	1	1										
3247	4	mg/ml										
3263	1	g										
3265	500	mg										
3267	20	%										
3268	150	mg										
3272	5	g	50	ml								
3273	2	g	10	ml								
3274	5	g	100	ml								
3279	250	IU										
3280	500	IU										
3281	1000	IU										
3340	50	mg										
3345	25	mg			200	mg			200	mg		
3351												
3353												
3354	1	g										
3356	10	mg										
3358	1000	mg	20	ml								
3367	200	mg										
3371	125	mg										
3376	200	mcg	2	ml								
3382	3	mg/ml										
3385	16	mg 			12.5	 mg						
3388	16	mg										
3392	8	mg										
3393	9	mcg										
3400	135	mcg										
3401	180	mcg										
3404	500	mg										
3411	7.5	mg										
3412	7.5	mg										
3413	100	g/L			6	g/L			26	g/L		
3414	5	mg/g										
3415	1	mg/g										
3426	44	mcg										
3427	600	mg										
3434	250	mg										
3435	400	mg										
3436	500	mg										
3444	1	mg/g										
3447	22	mcg										
3464	500	mg										
3472	36	mg 			0.018	 mg						
3483	500	mg										
3486	50	mg										
3487	20	%										
3488	5	%										
3489	20	%										
3490	50	mcg										
3491	3	mg/ml										
3495	1.5	g										
3504	0.15	g/ml										
3512	500	mg	10	ml	267	mg	10	ml	160	mg	10	ml
3525	1	mg/ml 			3	 mg/ml						
3526	10	mg/g										
3528	500	mg										
3530	20	mg 			12.5	 mg						
3531	5	mg										
3532	250	mg	20	ml								
3539	40	mg										
3546	200	mg	5	ml								
3559	10	mg/g										
3560	125	mg	5	ml								
3561	125	mg	5	ml								
3563	20	mg										
3564	10	mg										
3570	10	mg										
3571	40	mg										
3572	500	mg										
3576	80	mg	8	ml								
3577	300	mg	50	ml								
3578	100	mg	16.7	ml								
3579	20	mg										
3588	50	mg										
3590	400	mg										
3591	100	mg	5	ml								
3592	33.3	mg 	5	ml								
3593	20	mg										
3594	200	mg										
3595	6.7	g	10	ml								
3596	500	mg										
3597												
3598												
3599												
3600												
3601												
3603	500	mg										
3604	20	%										
3605	75	mg/ml										
3607	0.1	ml/ml										
3610	10	%										
3611	100	mg/g										
3621	200	mcg										
3626	500	IU										
3631	300	mg										
3632	10	mg										
3633	30	mg										
3634	60	mg										
3635	100	mg										
3651	300	mg										
3658	2	mg										
3660	20	mg										
3677	5	mg										
3678	30	mg										
3679	400	mg 	2.5	 mg								
3682	40	mg										
3683	25	mg/g										
3684	500	mg										
3685	850	mg										
3686	5	mg										
3692	60	mg										
3694	50	mg/g										
3695	100	mg/g										
3698	7.5	mg/g										
3711	100,000	IU 			35,000	 IU 			35,000	 IU		
3712												
3714	50	mg										
3715	40	mg										
3717	20	mg										
3733	10	mg/ml										
3740	500	mg										
3747	600	mg										
3748	10	mg										
3749	5	mg	5	ml								
3754	200	mg										
3755	100	mg	5	ml								
3757	10	mg										
3758	20	mg										
3774	5	mg 			25	 mg						
3775	10	mg 			50	 mg						
3777	50	mg	5	ml								
3780	3	mg/ml										
3781	300	mg										
3790	100	IR or IC/ml										
3791	100	IR or IC/ml										
3792	100	IR or IC/ml										
3793	300	IR or IC/ml										
3794	10	IR or IC/ml										
3795	10	IR or IC/ml										
3819	25	mg										
3820	50	mg										
3829												
3830												
3831	180	mg 			10	 mg 			300	 mcg		
3832	14	mg	5	ml								
3838	35	mg										
3847		NO										
3851	300	mg										
3853	10	mg										
3854	1	mg/ml										
3863	54	mg	1.8	ml								
3881	500	mg										
3882	500	mg										
3885	8	mg	2	ml								
3887	60	mg										
3888	40	mg										
3889	25	mg										
3890	18	mg										
3891	10	mg										
3894	20	mg										
3895	10	mg										
3898	10	mg										
3899	40	mg										
3900	20	mg										
3902	80	mg/g										
3903	50	mg/ml										
3904	75	IU										
3905	150	IU										
3906	250	mg										
3907	500	mg										
3909	5	mg/ml										
3915	200	mg										
3919	80	mg										
3920	75	mcg										
3922	20	g	100	ml								
3928	10	mcg	0.5	ml								
3938	250	mg										
3939	200	mg	100	ml								
3940	10	mg/ml										
3943	1	g										
3944	1.2	g										
3949	20	mg										
3951												
3952	20	mg										
3956	500	mg										
3959	10	mg										
3960	1	mg/ml										
3961	5	mg/ml 			20	 mg/ml						
3962	2	mg/ml										
3963	3	mg/ml										
3969	5	mg										
3970	5	mg			200	mg						
3974	457	mg	5	ml								
3976	5	mg										
3977	10	mg										
3978	20	mg										
3979	100	IU/ml										
3980	5	mg										
3981	10	mg										
3984	75	mg	3	ml								
3986	15	mg										
3987	100	mg										
3990	10	mg										
3992	50	mg/g										
3993	75	mg										
3994	2.5	mg	2.5	ml								
3996	50	mg										
3999	4	mg										
4015	1	mg										
4016	0.5	mg										
4017	70	mg										
4018	50	mg										
4019	20	mg										
4020	50	mg	20	ml								
4021	20	mg	4	ml								
4022	20	mg	4	ml								
4025	66	mcg	1.5	ml								
4028	100	mg										
4029	300	mcg	2	ml								
4041	100	mg										
4043	5	mg										
4048	20	%										
4057	200	mg										
4058	40	mg										
4061	200	mg	8	ml								
4067	10	mg/g										
4070	2	mg										
4071	4	mg										
4075	16	mg										
4078	5	mg										
4079	10	mg										
4082	4	mg										
4083	500	mg										
4086	20	mg										
4092	1	g										
4093	300	mcg										
4094	20	mg										
4095	215.2	mg/ml										
4097	215.2	mg/ml										
4098	1.5	mg/ml										
4100	5	mg/ml 			2	 mg/ml						
4103	100	mg/ml										
4104	100	mg/ml										
4105												
4106												
4107												
4108												
4109												
4110	300	mg/ml										
4111	200	mg/ml										
4112	500	mg/ml										
4113	330	mg/ml										
4114	200	mg/ml										
4115	100	mg/ml										
4117	100	mg/ml										
4119	100	mg/ml										
4122	50	mg/ml										
4124	50	mg/ml										
4126	50	mg/ml										
4128	50	mg/ml										
4130	50	mg/ml										
4133												
4134												
4136												
4138												
4142												
4144												
4147												
4149												
4151												
4153												
4155												
4157												
4159												
4163												
4165												
4166										g/L		
4167												
4169												
4174												
4175	0.5	g/ml										
4176	0.1	g/ml										
4177	200	mg/ml										
4179	200	mg/ml										
4181												
4182										g/L		
4184												
4187	100	mg/ml										
4189	100	mg/ml										
4191												
4192												
4196	150	mg/ml										
4197	112	mg/ml										
4198	100	mg/ml										
4199	74.6	mg/ml										
4200	74.6	mg/ml										
4201	84	mg/ml										
4202	42	mg/ml										
4203	14	mg/ml										
4204	200	mg/ml										
4205	200	mg/ml										
4206	100	mg/ml										
4207	9	mg/ml										
4208	9	mg/ml										
4209	9	mg/ml										
4211	9	mg/ml										
4212	9	mg/ml										
4214	1	mg/ml										
4215	9	mg/ml										
4217	9	mg/ml										
4219	9	mg/ml										
4221	9	mg/ml										
4223	4.5	mg/ml										
4224	4.5	mg/ml										
4225	4.5	mg/ml										
4227												
4229												
4231												
4235												
4236	0.5	mg/ml										
4237												
4238												
4239	1	mg										
4240	100	mg 										
4241	200	mg										
4242	10	mg										
4243	25	mg										
4245	0.1	% 			5	 % 			1.25	 % 		
4246	200	mg										
4249	50	mg										
4250	60	mg										
4251	120	mg										
4252	180	mg										
4253	240	mg										
4254	90	mg										
4258	250	mg										
4259	40	mg/ml										
4260	100	mg										
4261	60	mg/ml										
4262	20	mg										
4263	1.25	mg										
4264	2.5	mg										
4265	5	mg										
4266	10	mg										
4267	50	mg 			5	 mg						
4268	50	mg 			25	 mg						
4269	100	mg 			25	 mg						
4270	5	mg	5	ml								
4271	10	mg										
4272	20	mg										
4275	25	mg										
4276	50	mg										
4277	12.5	mg										
4278	50	mg 			25	 mg						
4284	60	mg										
4285	200	mg										
4286	400	mg										
4287	50	mg/g										
4288	2	mg	5	ml								
4289												
4290												
4291	0.5	mg	5	ml								
4292	0.5	mg										
4293	0.25	mg	5	ml								
4294	0.125	mg	5	ml								
4295												
4296	100	mg	5	ml								
4297												
4300	500	mg										
4301	850	mg										
4302	500	mg 	2.5	 mg								
4303	500	mg 	5	 mg								
4304	250	mg										
4305	25	mg										
4306	100	mg										
4309	250	mg										
4310	500	mg										
4311	10	mg										
4312	20	mg										
4313	20	mg/g										
4314	500	mg										
4315	20	mg/g										
4316	200	mg										
4317	600	mg										
4318	20	mg/ml										
4319	1000	mg										
4320	600	mg			500	IU						
4321	10	mg 			25	 mg 			2.5	 mg		
4322	0.25	mg										
4324	50	mg										
4325	150	mg										
4326	10	mg/ml										
4327	400	mg										
4331	4	mg										
4332	0.5	mg										
4333	6.7	mg/ml 			0.07	 mg/ml						
4336	0.1	mg/ml 			2	 mg/ml						
4337	250	mg 			25	 mg						
4338	10	mg										
4339	20	mg										
4340	40	mg										
4341	100	mg										
4345	25	mg/ml										
4350	60	mg										
4351	150	mg										
4354	2	mg										
4355	50	mg										
4357	125	mg 			750000	 IU						
4361	250	mg										
4362	10	mg/g										
4364	3	mg										
4367	0.25	mg/ml										
4368	0.5	mg/ml										
4369	1	mg/ml										
4370	1.5	mg/ml										
4371	10	mg										
4372	20	mg										
4373	40	mg										
4374	16	mg										
4376	5	mg										
4377	250	mg/g										
4378	2.5	mg 			5	 mg						
4379	4	mg	5	ml								
4380	0.8	mg/ml										
4387	10	mg										
4388	1	mg/ml										
4389	75	mg										
4390	250	mg										
4392	400/80	mg										
4393	8	mg/ml 			40	 mg/ml						
4395	30	mg										
4396	15	mg	5	ml								
4397	50	mg/g										
4398	2	mg										
4399	4	mg										
4400	20	mg/g										
4401	50	mg										
4402	100	mg										
4404	10	mg										
4405	200	mg										
4406	50	mg										
4411	10	mg/g										
4413	500	mg										
4414	15	mg/ml										
4415	2.5	mg 			1	 mg						
4416	100	mg										
4417	0.25	mg/g										
4418	5	mg										
4419	100	mg										
4420	100	mg										
4421	200	mg										
4422	5	mg										
4423	500	mg										
4424	2	mg										
4425	5	mg										
4427	10	mg										
4428	20	mg										
4429	2	mg	5	ml	0.25	mg	5	ml				
4431	10	mg/g										
4433	100	mg										
4434	500	mg										
4435	1	mg										
4436	2	mg										
4438	325	mg 			400	 mg						
4439	40	mg/ml										
4440	5	mg										
4442	100000	IU/ml										
4446	8	mg										
4447	10	mg										
4448	100	mg 			200	mg 			200	 mcg		
4450	200	mg										
4451	3	mg/ml										
4452	20	mg										
4453	70	mg										
4454	10	ml/l										
4455	120	mg	5	ml								
4456	20	mg/ml										
4457	8	mg										
4458	10	mg										
4459	5	mg										
4460	10	mg										
4461	20	mg										
4462	50	mg										
4463	5	mg	5	ml								
4464	20	mg										
4466	100	mg										
4467	0.25	mg/g 			40	 mg/g						
4468	0.1	mg										
4469	500	mg										
4481												
4488	10	V										
4490	10	V										
4492	20	V										
4494	30	V										
4495	40	g										
4497	25	mg										
4499												
4501	0.2	g	5	ml	2.5	g	5	ml				
4502												
4503												
4504												
4505	1	mg/g 			0.5	 mg/g						
4507	250	mg	5	ml								
4508	50	mg										
4509	0.01	g			0.18	g			0.18	g		
4513	0.2	mg/ml 			10	 mg/ml						
4516	10	mg										
4517	25	mg										
4518	500	mg	5	ml								
4519	75	mg										
4523	30	mg/g										
4524	10	mg/g										
4525	0.005	g			0.1	g						
4532	2	%										
4535	500	mg										
4536	120	mg	5	ml								
4537	500	mg										
4540	0.015	g	5	ml								
4541	0.5	g	5	ml								
4543	4	mg										
4545	40	mg 			50	 mg 			500	 mg		
4547	10	g/100ml 			5	 g/100ml						
4548												
4549												
4551												
4552	100	mg										
4554	500	mg										
4559	3	%										
4560	250	mg										
4561	500	mg										
4562	250	mg										
4563	5	mg/ml										
4564	200	mg										
4565	10	mg										
4566	25	mg										
4567	100	mg/g										
4568	20	g										
4569	9	g										
4572	400	mg 			50	 mg						
4573	500	mg										
4574	250	mg	5	ml								
4575	125	mg	5	ml								
4576												
4577												
4578	25	mg										
4579	250	mg										
4580	125	mg	5	ml								
4581	100	mg										
4582	75	mg										
4583	350	mg										
4584	800/160	mg										
4585	800/160	mg										
4586	5	mg	5	ml								
4587	3	mg										
4588												
4589	4	mg 			5	 mg						
4590	20	mg/ml										
4591	10	mg/ml										
4592	10	mg/ml										
4593	100	mg										
4594	20	mg/ml										
4595	50	mg										
4596	60	mg										
4597	20	mg/ml										
4598	10	ml/l										
4599	10	mg/g										
4600	100	mg/g										
4602	25	mg										
4603	100	mg										
4604	250	mg	5	ml								
4605	10	mg										
4607	0.9	%										
4608												
4610												
4611	250	mg										
4612	5	mg 			5	 mg						
4613	10	mg/g 			5	 mg/g						
4614	8	mg/ml 			40	 mg/ml						
4615	500	mg										
4616	120	mg	5	ml								
4617	500	mg										
4618	5000	IU										
4619	25	mg/ml										
4620	150	mg/ml										
4621	10	%										
4622	25	mg										
4623	5	mg										
4624	200	mg 			20	 mg						
4626	250	mg	5	ml								
4628	0.216	g										
4629	600	mg										
4630	150	mg										
4631	110	mg/ml 			5	 mg/ml						
4632	12	g										
4633	500	mg										
4634	30	mg/g										
4635	10	mg/g										
4636	16	mg/ml										
4637	125	mg	5	ml								
4638	150	mg										
4639	450	mg 			100	 mg						
4640	2.5	mg 			5	 mg						
4641	15	g										
4642	850	mg										
4643	250	mg	5	ml								
4644	250	mg										
4645	52	mg 			12.5	 mg						
4646	20	mg/g										
4648	20	mg/g										
4649	25	mg/ml										
4650	20	mg/ml										
4651	2.5	mg 	5	ml	100	 mg	5	ml				
4652	35	mg 			450	 mg						
4653	35	mg 			15	 mg 			450	 mg		
4658	600	mg			500	IU						
4660	2	mg	5	ml								
4661	5	mg/g										
4662	10	mg										
4664	10	mg										
4666	20	mg										
4667	5	mg										
4668	50	mg										
4673	100	mg										
4674	10	mg										
4675	20	mg										
4676	40	mg										
4677	20	mg										
4680	100	mg										
4682	75	mg										
4684	1	mg/g										
4688	1	mg/g 			3.5	 mg/g						
4693	2.5	mg										
4694	5	mg										
4695	10	mg										
4696	5	mg 			12.5	 mg						
4697	10	mg 			25	 mg						
4698		YES										
4699	850	mg										
4700	1000	mg										
4701	500	mg 	2.5	 mg								
4702	500	mg 	5	 mg								
4703	100	mg 			200	mg 			200	 mcg		
4704	100	mg 	3	ml	100	mg 	3	ml	1	mg 	3	ml
4710	5	mg										
4714	10	mg/g										
4715	250	mg										
4718	10	mg										
4719	20	mg										
4720	40	mg										
4721	8	mg										
4722	16	mg										
4725	300	mg										
4728	1	mg										
4729	2	mg										
4730	3	mg										
4731	4	mg										
4735	50	mg										
4736	150	mg										
4737	10	mg/ml										
4738	40	mg										
4745	50	mg										
4747	75	mg/ml										
4748	75	mg/ml										
4749	100	mg/ml										
4750	100	mg/ml										
4751	100	mg/ml										
4752	200	mg/ml										
4753	200	mg/ml										
4754												
4755												
4756												
4764												
4765												
4766												
4767												
