MoPHCode	RegistrationNumber	ResponsibleParty	ResponsiblePartyCountry	CargoShippingTerms
5910	24519/07	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
5911	24520/07	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
8125	8815/1	Tad Pharma GmbH	Germany	CIF
6151	219464/09	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia	CIF
6152	219465/09	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia	CIF
7232	185993/13	Jordan River Pharmaceutical Industries LLC	Jordan	CIF
1859	405949/00			CIF
11498	76521/1	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan	CIF
5998	168132/10	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
6571	168011/10	Tad Pharma GmbH	Germany	CIF
6149	219462/09	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia	CIF
6150	219463/09	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia	CIF
10082	71319/1	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
7793	66814/1			FOB
10925	70822/1			FOB
8868	96115/1	Julphar	United Arab Emirates	CIF
7197	96734/12	Laboratorio Reig Jofre SA	Spain	CIF
6668	219725/09	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
8644	140815/1	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
7613	187431/13	Laborate Pharmaceuticals India Ltd	India	CIF
794	973365/01			CIF
6669	219726/09	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
3757	208020	Laboratorio Elea Phoenix SA	Argentine	CIF
7776	186960/14			FOB
11049	135021/1	Janssen-Cilag Pharma GmbH	Austria	CIF
4831	973029/01			FOB
7622	187095/13	Laboratorios Alter SA	Spain	CIF
3758	208021	Laboratorio Elea Phoenix SA	Argentine	CIF
5081	24504/07			FOB
5082	24505/07			FOB
7775	186961/14			FOB
6439	FE96430/11			FOB
7734	FE096856/12	Benta SAL	Lebanon	FOB
1510	973437/01	AstraZeneca AB	Sweden	CIF
11217	97821/1	AstraZeneca UK Ltd	UK	CIF
8553	165615/1	Tad Pharma GmbH	Germany	CIF
7774	187160/13			FOB
7605	187086/13	Arrow Génériques	France	CIF
6265	167549/10			FOB
7840	222479/08			FOB
1511	973436/01	AstraZeneca AB	Sweden	CIF
11218	97921/1	AstraZeneca UK Ltd	UK	CIF
7571	96416/11	Tad Pharma GmbH	Germany	CIF
7773	187159/13			FOB
7606	187087/13	Arrow Génériques	France	CIF
6264	167548/10			FOB
11885	51323/1	Pharminicio SL	Spain	CIF
9264	86517/1	Pharma International Co	Jordan	CIF
11461	61321/1	AstraZeneca UK Ltd	UK	CIF
8980	179516/1	Hikma Pharmaceuticals	Jordan	CIF
7836	23614/1	Normon SA	Spain	CIF
6181	221697/10	AstraZeneca AB	Sweden	CIF
11070	61421/1	AstraZeneca UK Ltd	UK	CIF
11490	134522/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
11489	134322/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
7663	167179/10	Emcure Pharmaceuticals Ltd	India	CIF
11833	72523/1	Laboratoires Juvisé Pharmaceuticals 	France	CIF
3161	973955/02			CIF
3512	208746/03			CIF
8893	115716/1	Reckitt Benckiser Healthcare UK	UK	CIF
9974	15119/1	Reckitt Benckiser Healthcare (UK) Ltd	UK	CIF
10637	82120/1	Reckitt Benckiser Healthcare (UK) Ltd	UK	CIF
10854	156920/1	Reckitt Benckiser Healthcare (UK) Ltd	UK	CIF
11299	69121/1	Reckitt Benckiser Healthcare (UK) Ltd	UK	CIF
6814	97874/11	ABC Farmaceutici SpA- ABC International Division	Italy	CIF
10581	41221/1			FOB
5233	24914/07			FOB
1862	208672/03	The Jordanian Pharmaceutical Manufacturing Company (JPM)	Jordan	CIF
8608	17816/1	Omega Laboratories Ltd	Canada	CIF
3682	261368	A. Menarini Industrie Farmaceutiche Riunite SRL	Italy	CIF
10221	86518/1	Pharmactive Ilac San. ve Tic. AS	Turkey	CIF
1025	27528			CIF
4501	21358			FOB
1849	974038/02			CIF
7544	187083/13	Acino France SAS	France	CIF
9110	39017/1	Arrow Génériques	France	CIF
1523	15315			CIF
7322	96384/11	Medical Union Pharmaceuticals Company	Egypt	CIF
3970	194341/05	Laboratorio Elea Phoenix SA	Argentine	CIF
1525	208598/03	Church and Dwight Canada Corp	Canada	CIF
3058	236818/99			CIF
4214	19/95			FOB
2177	261487/97	Renaudin 		CIF
4864	21/95			FOB
4236	20/95			FOB
2179	D0744/92	Renaudin 		CIF
11027	83421/1	Aguettant	France	CIF
9501	43118/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
9502	43018/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
3748	208378/02			CIF
3749	208379/02			CIF
7930	116214/1			FOB
9086	63317/1			FOB
3119	405494/00	Renaudin 		CIF
1579	208377/02			CIF
4415	25656			FOB
8410	186089/13	Meda Pharmaceuticals Switzerland GmbH	Switzerland	CIF
4378	194794/05			FOB
9478	183117/1			FOB
4640	19217			FOB
4336	79			FOB
7552	186776/14	GlaxoSmithKline Consumer Healthcare (UK) Trading Limited	UK	CIF
2481	78773			CIF
4525	21457			FOB
8547	16916/1	Abbott Healthcare Products BV	The Netherlands	CIF
8548	16816/1	Abbott Healthcare Products BV	The Netherlands	CIF
2793	E0344/91	Renaudin 		CIF
8871	167315/1	Medochemie Ltd	Cyprus	CIF
9605	90318/1	SALFSpA Laboratorio Farmacologico	Italy	CIF
7713	48014/1			FOB
9087	63217/1			FOB
9733	186844/1	Swiss Parenterals Ltd	India	CIF
11798	99623/1	Johnson & Johnson Consumer NV/SA	Belgium	CIF
11096	115322/1	Laboratoires Biogaran	France	CIF
1847	208341/02			CIF
5056	24706/07			CIF
1689	973376/01			CIF
4447	973305/01			FOB
7455	185829/13	ABC Farmaceutici SpA	Italy	CIF
6204	221328/08	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
9875	8419/1	Janssen Cilag NV	Belgium	CIF
5999	218160/09			FOB
1848	208013/03			CIF
9149	1017/1			CIF
3969	194340/05	Laboratorio Elea Phoenix SA	Argentine	CIF
8918	171816/1			FOB
9591	34918/1	Apotex Inc	Canada	CIF
4446	194499/06			FOB
10435	115220/1	Algorithm S.A.L.	Lebanon	FOB
10827	161820	Neuraxpharm Spain SLU	Spain	CIF
9090	18117/1	Laboratoires Biogaran	France	CIF
9116	64417/1			FOB
9988	86716/1	Kleva Pharmaceuticals S.A.	Greece	CIF
8959	45915/1	Hikma Pharmaceuticals	Jordan	CIF
8962	103716/1	Les Laboratoires Medis SA	Tunisia	CIF
5644	218782/09	Renaudin 	France	CIF
7850	186532/13	Vianex SA	Greece	CIF
9117	64317/1			FOB
9987	41716/1	Kleva Pharmaceuticals S.A.	Greece	CIF
8958	46015/1	Hikma Pharmaceuticals	Jordan	CIF
8100	185980/13	Les Laboratoires Medis SA	Tunisia	CIF
5312	221195/08	Renaudin 	France	CIF
7851	186533/13	Vianex SA	Greece	CIF
7678	96719/12	Pharmathen Hellas SA	Greece	CIF
10337	183119/1			FOB
9013	8417/1	Arrow Génériques	France	CIF
11300	130022/1			FOB
11680	6123/1	Jamp Pharma Corporation	Canada	CIF
9491	118016/1			FOB
9928	67919/1			FOB
11783	77421/1			FOB
10902	77421/1			FOB
11082	106222/1			FOB
10336	183019/1			FOB
10984	77321/1			FOB
11154	132722/1			FOB
9546	63418/1	Atnahs Pharma UK Limited	UK	CIF
8436	120115/1	Denk Pharma GmbH & Co, KG	Germany	CIF
9852	188818/1	Atnahs Pharma UK Limited	UK	CIF
8437	120215/1	Denk Pharma GmbH & Co, KG	Germany	CIF
11008	126021/1	Kyowa Kirin Holdings B.V.	The Netherlands	CIF
8286	55315/1	Helsinn Birex Pharmaceuticals Ltd	Ireland	CIF
11574	140920/1	Vem Ilac San. Ve Tic AS	Turkey	CIF
8551	26816/1	Helsinn Birex Pharmaceuticals Ltd	Ireland	CIF
1453	22141/73			CIF
1454	405409/00			CIF
1455	15317			CIF
10342	186919/1	Laboratoires Biogaran	France	CIF
10343	187019/1	Laboratoires Biogaran	France	CIF
92	27445			CIF
9890	41419/1	Intercept Pharma Ltd	UK	CIF
9891	41319/1	Intercept Pharma Ltd	UK	CIF
4502	81/95			FOB
9735	141918/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
9738	141818/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
10851	124121/1			FOB
4503	80/95			FOB
4504	80/95			FOB
8603	106915/1	Vitex Pharmaceuticals PTY Ltd	Australia	CIF
6459	167832/11	Ferring GmbH	Germany	CIF
7973	186972/14	Casen Recordati SL	Spain	CIF
10320	117519/1	Casen Recordati SL	Spain	CIF
4495	58/95			FOB
3168	24740/79	Abbott Healthcare Products BV	The Netherlands	CIF
2555	208318	Ipsen Consumer Healthcare	France	CIF
1589	973975/02			CIF
2557	261065	Ipsen Consumer Healthcare	France	CIF
9645	65318/1	Acino Pharma AG	Switzerland	CIF
9646	84418/1	Acino Pharma AG	Switzerland	CIF
6712	218671/10			FOB
4548	83/95			FOB
4549	83/95			FOB
4551	83/95			FOB
11541	74023/1	Amdipharm Mercury (Australia) Pty Limited	Australia	CIF
11892	115323/1	A1 Andalous for Pharmaceutical Industries	Egypt	CIF
11540	73923/1	Amdipharm Mercury (Australia) Pty Limited	Australia	CIF
11891	115223/1	A1 Andalous for Pharmaceutical Industries	Egypt	CIF
8844	119016/1			FOB
4442	195467/04			FOB
9495	40516/1			FOB
3754	405939/00	Alfasigma SpA	Italy	CIF
3755	405931/00	Alfasigma SpA	Italy	CIF
11703	1193/2021	Tillotts Pharma GmbH	Germany	FOB
4421	27715			FOB
10512	113717/1	F. Trenka Chemisch Pharmazeutiche Fabrik GmbH	Austria	CIF
2251	236347			CIF
2512				CIF
6943	96596/12			FOB
9350	163917/1			FOB
10094	192318/1	Johnson and Johnson Lda	Portugal	CIF
11518	27423/1	Arrow Génériques	France	CIF
7651	96736/12	McNeil Products Ltd	UK	CIF
11470	108922/1	Faes Farma SA	Portugal	CIF
7160	96731/12	Dr Falk Pharma GmbH	Germany	CIF
10833	98320/1	Tillotts Pharma AG	Switzerland	CIF
10834	98420/1	Tillotts Pharma AG	Switzerland	CIF
8965	176716/1	Ferring GmbH	Germany	CIF
1008	27527	Tilotts Pharma AG	Switzerland	CIF
3115	27446			CIF
8775	132515/1	Faes Farma SA	Spain	CIF
5478	219743/09	Tilotts Pharma AG	Switzerland	CIF
6890	096588/12	Ferring GmbH	Germany	CIF
10339	172719/1	Faes Farma SA	Spain	CIF
8321	8415/1	Dr Falk Pharma GmbH	Germany	CIF
9191	76817/1	Ferring GmbH	Germany	CIF
1009	236712	Tilotts Pharma AG	Switzerland	CIF
3116	208313/97			CIF
10682	73720/1	Faes Farma SA	Spain	CIF
11799	45423/1	Faes Farma Portugal SA	Portugal	CIF
1260	261414	Ferring GmbH	Germany	CIF
7846	54714/1	Dr Falk Pharma GmbH	Germany	CIF
96	27447			CIF
10543	57620/1	Tillots Pharma AB, Bromma	Sweden	CIF
6253	167746/11	Ferring GmbH	Germany	CIF
8319	8515/1	Dr Falk Pharma GmbH	Germany	CIF
8320	8615/1	Dr Falk Pharma GmbH	Germany	CIF
10806	122320/1	Tillotts Pharma GmbH	Germany	CIF
10807	122420/1	Tillotts Pharma GmbH	Germany	CIF
10808	152118/1	Ferring GmbH	Germany	CIF
169	17016			CIF
3915	973390/01			CIF
8477	133415/1			CIF
3938	195330/04			CIF
8287	121714/1	Abbott Laboratories GmbH	Germany	CIF
8288	45815/1	Abbott Laboratories GmbH	Germany	CIF
11685	21024/1	Arrow Génériques	France	CIF
8760	67216/1	Laboratoires Biogaran	France	CIF
8759	67316/1	Laboratoires Biogaran	France	CIF
9939	179318/1	KVK-TECH, Inc.	USA	CIF
10095	59619/1			FOB
9449	30418/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
6255	222481/08			FOB
6285	218761/09			FOB
6883	97506/11	Hikma Pharmaceuticals	Jordan	CIF
7113	97859/11	Sigma Pharmaceutical Industries	Egypt	CIF
9241	100117/1	EVA Pharma for Pharmaceuticals and Medical Appliances	Egypt	CIF
6575	219469/09	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
6286	218760/09			FOB
3206	405690/00	Abbott Laboratories GmbH	Germany	CIF
5258	24472/06	Abbott Laboratories GmbH	Germany	CIF
2023	26460			CIF
8497	144814/1	Novo Nordisk AS	Denmark	CIF
1038	26579	Eli Lilly & Co	USA	CIF
5060	24123/06			CIF
5844	219257/09	Lilly France SAS	France	CIF
10619	87614/1			FOB
10981	9322/1			FOB
10983	9222/1			FOB
1028	405474/00	Eli Lilly & Co	USA	CIF
10592	87714/1			FOB
2017	208837/03	Novo Nordisk AS	Denmark	CIF
8087	145214/1	Novo Nordisk AS	Denmark	CIF
8113	42615/1	Novo Nordisk AS	Denmark	CIF
5263	24863/07			CIF
5262	23723/06	Sanofi Aventis Deutschland GmbH	Germany	CIF
1037	26862	Eli Lilly & Co	USA	CIF
5061	24121/06			CIF
2029	27173			CIF
8088	144914/1	Novo Nordisk AS	Denmark	CIF
5842	219262/09	Lilly France SAS	France	CIF
5843	219263/09	Lilly France SAS	France	CIF
2016	208836/03			CIF
8085	145114/1	Novo Nordisk AS	Denmark	CIF
8111	42415/1	Novo Nordisk AS	Denmark	CIF
7961	25314/1	Novo Nordisk AS	Denmark	CIF
1039	26578	Eli Lilly & Co	USA	CIF
2025	26464			CIF
8496	145014/1	Novo Nordisk AS	Denmark	CIF
5057	24122/06			CIF
8907	106716/1	Lilly France	France	CIF
10292	77720/1			FOB
11866	40624/1			FOB
5264	24862/07	Sanofi Aventis Deutschland GmbH	Germany	CIF
2124	208968/03	Sanofi Aventis Deutschland GmbH	Germany	CIF
8413	134615/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
7239	187328/13	Novo Nordisk AS	Denmark	CIF
10560	160320/1	Sanofi Aventis (Suisse) SA	Switzerland	CIF
10559	160420/1	Sanofi Aventis (Suisse) SA	Switzerland	CIF
9165	64617/1	Novo Nordisk AS	Denmark	CIF
5374	194485/05			CIF
9115	98117/1	Arrow Génériques	France	CIF
4699	194787/05			FOB
5948	218588/10	Medochemie Ltd	Cyprus	CIF
5136	24708/07			CIF
5083	24674/07			FOB
11282	156322/1			FOB
5375	194484/05			CIF
8579	20116/1			FOB
897	208628			CIF
4301	195082/04			FOB
9012	169016/1	Arrow Génériques	France	CIF
4642	194482			FOB
3685	974109	Berlin Chemie AG	Germany	CIF
4700	194788/05			FOB
5137	24681/07			CIF
9011	169116/1	Arrow Génériques	France	CIF
5163	24368/06			FOB
5115	24930			FOB
6031	222499/08			FOB
11280	6623/1			FOB
8581	20216/1			FOB
5693	218873/09			FOB
5085	24673/07			FOB
11283	6823/1			FOB
7254	96882/12	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
8582	20316/1			FOB
3897	194121/05	Pharminicio SL	Spain	CIF
6219	167510/10			FOB
5084	24672/07			FOB
11281	6723/1			FOB
8580	20016/1			FOB
3896	194120/05	Pharminicio SL	Spain	CIF
4422	2235/94			FOB
5172	23613/06			FOB
3919	973314/01			CIF
6133	167704/10	Les Laboratoires Servier	France	CIF
11399	84622/1			FOB
10879	28022/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
6706	219295/09	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
4728	148220/03			FOB
6837	168001/10	Spimaco 	Saudi Arabia	CIF
11040	167724/2010			FOB
5123	24523/07			FOB
10880	27922/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
6707	219296/09	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
4729	148221/03			FOB
6838	168002/10	Spimaco 	Saudi Arabia	CIF
11041	167725/2010			FOB
6705	219306/09	Julphar	United Arab Emirates	CIF
5927	222483/08			CIF
5122	24524/07			FOB
10881	27822/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
6708	219297/09	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
4730	148222/03			FOB
6839	168003/10	Spimaco 	Saudi Arabia	CIF
11449	35323/1			FOB
6704	219307/09	Julphar	United Arab Emirates	CIF
5929	221855/08			CIF
5124	24522/07			FOB
10882	27722/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
6709	219298/09	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
4731	148223/03			FOB
6840	168004/10	Spimaco 	Saudi Arabia	CIF
11042	167726/2010			FOB
6702	219308/09	Julphar	United Arab Emirates	CIF
5930	221854/08			CIF
5125	24521/07			FOB
6437	167498/10	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
4701	148171/03			FOB
4302	195144/04			FOB
4702	148172/03			FOB
4303	195143/04			FOB
5086	24517/07			FOB
5847	218874/09			FOB
7290	185907/13	Laboratori Guidotti SpA	Italy	CIF
5126	194481/05			FOB
9705	179817/1	The Arab Pharmaceutical Manufacturing PSC	Jordan	CIF
9706	24418/1	The Arab Pharmaceutical Manufacturing PSC	Jordan	CIF
9707	24318/1	The Arab Pharmaceutical Manufacturing PSC	Jordan	CIF
5770	219590/09	Merck Sharp & Dohme Corp	USA	CIF
11237	54522/1	Merck Sharp & Dohme LLC	USA	CIF
10314	115619/1			FOB
10502	114920/1			FOB
5771	219591/09	Merck Sharp & Dohme Corp	USA	CIF
11236	54622/1	Merck Sharp & Dohme LLC	USA	CIF
10315	115419/1			FOB
7991	126314/1	Merck Sharp & Dohme LLC	USA	CIF
7992	126414/1	Merck Sharp & Dohme LLC	USA	CIF
7993	126514/1	Merck Sharp & Dohme LLC	USA	CIF
10316	115519/1			FOB
10501	114820/1			FOB
10740	61620/1	Novartis Pharma AG	Switzerland	CIF
11682	90919/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
11430	124321/1			FOB
11175	114321/1	Algorithm S.A.L.	Lebanon	FOB
10741	133220/1	Novartis Pharma AG	Switzerland	CIF
11683	90819/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
11429	124221/1			FOB
11174	114421/1	Algorithm S.A.L.	Lebanon	FOB
11526	16922/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
10758	9720/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
8993	31117/1	AstraZeneca AB	Sweden	CIF
8994	31217/1	AstraZeneca AB	Sweden	CIF
11048	136121/1	Boehringer Ingelheim (Canada) Ltd LTEE	Canada	CIF
10767	58020/1			FOB
11047	136021/1	Boehringer Ingelheim (Canada) Ltd LTEE	Canada	CIF
10766	58120/1			FOB
11525	126121/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
11161	127420/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
9337	115317/1	AstraZeneca AB	Sweden	CIF
11360	149721/1	Algorithm S.A.L.	Lebanon	FOB
11612	144920/1	Hikma Pharmaceuticals	Jordan	CIF
11447	43522/1			FOB
9339	115417/1	AstraZeneca AB	Sweden	CIF
11361	149921/1	Algorithm S.A.L.	Lebanon	FOB
11448	43722/1			FOB
9826	178718/1	Boehringer Ingelheim Pty Ltd	Australia	CIF
11433	139722/1	Boehringer Ingelheim International GmbH 	Germany	CIF
11812	37624/1			FOB
9827	178818/1	Boehringer Ingelheim Pty Ltd	Australia	CIF
11434	142722/1	Boehringer Ingelheim International GmbH 	Germany	CIF
11813	37524/1			FOB
8680	61116/1	Boehringer Ingelheim International GmbH 	Germany	CIF
10469	185919/1	Boehringer Ingelheim International GmbH 	Germany	CIF
10991	20922/1			FOB
10463	186019/1	Boehringer Ingelheim International GmbH 	Germany	CIF
10464	185819/1	Boehringer Ingelheim International GmbH 	Germany	CIF
10462	185719/1	Boehringer Ingelheim International GmbH 	Germany	CIF
10992	21022/1			FOB
11711	53422/1	Hikma Pharmaceuticals	Jordan	CIF
1340	973726/02			CIF
5345	222423/08			FOB
5959	23608/06			CIF
5302	222424/08			FOB
8333	122814/1	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
7871	44014/1	MSD Ltd	UK	CIF
10194	115319/1			FOB
11632	62023/1	Arrow Génériques	France	CIF
11633	61923/1	Arrow Génériques	France	CIF
11327	144721/1	Novartis Pharma AG	Switzerland	CIF
11684	84920/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
11848	6523/1	Galenicum Health Chile SpA	Chile	CIF
11043	124421/1			FOB
11176	114121/1	Algorithm S.A.L.	Lebanon	FOB
11759	40423/1	Algorithm S.A.L.	Lebanon	FOB
8571	31716/1	AstraZeneca AB	Sweden	CIF
8572	31816/1	AstraZeneca AB	Sweden	CIF
10757	9620/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
6755	97853/11	Boehringer Ingelheim International GmbH 	Germany	CIF
10585	30420/1			FOB
8854	93816/1	Novo Nordisk AS	Denmark	CIF
8083	9115/1	Eli Lilly and Company Indianapolis	USA	CIF
8084	9215/1	Eli Lilly and Company Indianapolis	USA	CIF
10918	120521/1	Eli Lilly and Company Indianapolis	USA	CIF
10987	121021/1	Eli Lilly and Company Indianapolis	USA	CIF
10041	10119/1	Novo Nordisk AS	Denmark	CIF
10042	10219/1	Novo Nordisk AS	Denmark	CIF
10043	10319/1	Novo Nordisk AS	Denmark	CIF
11529	9920/1	Hikma Pharmaceuticals	Jordan	CIF
8253	78315/1	AstraZeneca AB	Sweden	CIF
11321	150021/1	Algorithm S.A.L.	Lebanon	FOB
11530	10020/1	Hikma Pharmaceuticals	Jordan	CIF
11446	43822/1			FOB
8203	55515/1	Boehringer Ingelheim International GmbH 	Germany	CIF
10782	145520/1			FOB
8204	55415/1	Boehringer Ingelheim International GmbH 	Germany	CIF
10781	145420/1			FOB
2010	973042/01	Novo Nordisk AS	Denmark	CIF
9237	80117/1	Arrow Génériques	France	CIF
2036	236884/99	Novo Nordisk AS	Denmark	CIF
9235	79917/1	Arrow Génériques	France	CIF
2038	236882/99	Novo Nordisk AS	Denmark	CIF
9236	80017/1	Arrow Génériques	France	CIF
11858	126324/1	Eli Lilly Nederland BV	The Netherlands	CIF
11859	126424/1	Eli Lilly Nederland BV	The Netherlands	CIF
11857	126524/1	Eli Lilly Nederland BV	The Netherlands	CIF
11854	126624/1	Eli Lilly Nederland BV	The Netherlands	CIF
11855	126724/1	Eli Lilly Nederland BV	The Netherlands	CIF
11856	126824/1	Eli Lilly Nederland BV	The Netherlands	CIF
6869	219471/09	Medical Union Pharmaceuticals Company	Egypt	CIF
11233	5022/1	Opella Healthcare Switzerland AG	Switzerland	CIF
11130	116522/1	Merz Pharma (Schweiz) AG	Switzerland	CIF
4576	19273			FOB
4588	22573			FOB
4289	19330			FOB
6832	167747/11	Fresenius Kabi AB	Sweden	CIF
11211	59422/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
11208	59322/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
11209	24643/79	Cheplapharm Arzneimittel GmbH	Germany	CIF
11210	61122/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
6260	167954/11	Leo Pharma A/S	Denmark	CIF
11582	59722/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
11212	59522/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
10146	22720/1			FOB
10251	81320/1			FOB
7309	96730/12	Benta SAL	Lebanon	FOB
9573	19018/1			FOB
6881	97235/12			FOB
5764	219286/09	Euro-Pharm International Canada Inc	Canada	CIF
7589	222903/14			FOB
9611	102318/1			FOB
10530	171620/1			FOB
7385	186520/13	Vitex Pharmaceuticals PTY Ltd	Australia	CIF
10218	93120/1			FOB
10697	73321/1			FOB
8712	59216/1	Hayat Pharmaceuticals Industries Co PLC	Jordan	CIF
9572	19018/1			FOB
9125	28017/1			FOB
7492	186791/14	Euro-Pharm International Canada Inc	Canada	CIF
9802	125616/1	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
9473	46618/1			FOB
9758	14419/1			FOB
5666	221863/08	Euro-Pharm International Canada Inc	Canada	CIF
9141	31717/1	Laboratoires Biogaran	France	CIF
10659	103120/1	Laboratorio Elea Phoenix SA	Argentine	CIF
7422	187151/13	Euro-Pharm International Canada Inc	Canada	CIF
7320	96864/12	Medical Union Pharmaceuticals Company	Egypt	CIF
7511	186529/13	SMB SA	Belgium	CIF
9800	133416/1	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
9278	74217/1	Abiogen Pharma SpA	Italy	CIF
9522	79318/1			FOB
9760	14519/1			FOB
9341	101217/1			FOB
9759	14619/1			FOB
9207	72517/1	Abiogen Pharma SpA	Italy	CIF
9382	126117/1	Faes Farma SA	Spain	CIF
9276	69217/1	Desma Pharma SARL	France	CIF
11757	79222/1	P&G Health Germany GmbH 	Turkey	CIF
11758	79122/1	P&G Health Germany GmbH 	Turkey	CIF
7597	186151/13	Acino Pharma AG	Switzerland	CIF
11491	154221	P&G Health Germany GmbH 	Germany	CIF
