Code	Parent	Route CLEAN	Parenteral
1096	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1097	Parentaral	Inf-SC-Infusion-Subcutanous	Parentaral
1099	Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
1104	O-Oral	O-Oral	
1105	O-Oral	O-Oral	
1106	O-Oral	O-Oral	
1121	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
1122	O-Oral	O-Oral	
1123	O-Oral	O-Oral	
1124	O-Oral	O-Oral	
1129	O-Oral	O-Oral	
1130	O-Oral	O-Oral	
1131	O-Oral	O-Oral	
1132	O-Oral	O-Oral	
1134	O-Oral	O-Oral	
1137	O-Oral	O-Oral	
1139	O-Oral	O-Oral	
1141	O-Oral	O-Oral	
1151	TD-Transdermal	TD-Transdermal	
1157	O-Oral	O-Oral	
1161	O-R-Oral-Rectal	O-R-Oral-Rectal	
1162	O-R-Oral-Rectal	O-R-Oral-Rectal	
1163	T-Topical	T-Topical	
1164	T-Topical	T-Topical	
1167	O-Oral	O-Oral	
1169	T-Topical	T-Topical	
1177	O-Oral	O-Oral	
1179	Res-Respiratory	Res-Respiratory	
1191	Parentaral	Inf-Infusion	Parentaral
1192	Parentaral	Inf-Infusion	Parentaral
1193	Parentaral	Inf-Infusion	Parentaral
1194	N-Nasal	N-Nasal	
1204	O-Oral	O-Oral	
1205	O-Oral	O-Oral	
1210	O-Oral	O-Oral	
1211	O-Oral	O-Oral	
1239	O-Oral	O-Oral	
1240	O-Oral	O-Oral	
1241	O-Oral	O-Oral	
1248	O-Oral	O-Oral	
1253	Parentaral	IM-Intramuscular	Parentaral
1255	Parentaral	IM-Intramuscular	Parentaral
1256	O-Oral	O-Oral	
1260	R-Rectal	R-Rectal	
1263	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1271	O-Oral	O-Oral	
1274	O-Oral	O-Oral	
1277	O-Oral	O-Oral	
1278	O-Oral	O-Oral	
1290	Parentaral	Inf-Infusion	Parentaral
1292	Oph-Ophtalmic	Oph-Ophtalmic	
1301	O-Oral	O-Oral	
1302	O-Oral	O-Oral	
1309	O-Oral	O-Oral	
1310	O-Oral	O-Oral	
1311	O-Oral	O-Oral	
1312	O-Oral	O-Oral	
1337	O-Oral	O-Oral	
1338	Parentaral	IM-Intramuscular	Parentaral
1340	O-Oral	O-Oral	
1341	O-Oral	O-Oral	
1342	O-Oral	O-Oral	
1343	O-Oral	O-Oral	
1350	O-Oral	O-Oral	
1351	O-Oral	O-Oral	
1352	O-Oral	O-Oral	
1356	O-Oral	O-Oral	
1362	O-Oral	O-Oral	
1363	O-Oral	O-Oral	
1369	O-Oral	O-Oral	
1372	T-Topical	T-Topical	
1373	T-Topical	T-Topical	
1381	O-Oral	O-Oral	
1382	O-Oral	O-Oral	
1383	O-Oral	O-Oral	
1384	Res-Respiratory	Res-Respiratory	
1385	O-Oral	O-Oral	
1386	O-Oral	O-Oral	
1394	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1395	O-Oral	O-Oral	
1402	Parentaral	IM-Intramuscular	Parentaral
1403	T-Topical	T-Topical	
1415	O-Oral	O-Oral	
1416	O-Oral	O-Oral	
1433	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1434	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1440	T-Topical	T-Topical	
1453	O-Oral	O-Oral	
1454	O-Oral	O-Oral	
1455	R-Rectal	R-Rectal	
1459	V-Vaginal	V-Vaginal	
1460	V-Vaginal	V-Vaginal	
1475	O-Oral	O-Oral	
1478	O-Oral	O-Oral	
1479	O-Oral	O-Oral	
1490	O-Oral	O-Oral	
1491	O-Oral	O-Oral	
1492	Parentaral	Inf-Infusion	Parentaral
1493	Parentaral	Inf-Infusion	Parentaral
1494	O-Oral	O-Oral	
1497	O-Oral	O-Oral	
1498	O-Oral	O-Oral	
1499	T-Topical	T-Topical	
1503	O-Oral	O-Oral	
1510	O-Oral	O-Oral	
1511	O-Oral	O-Oral	
1523	O-Oral	O-Oral	
1525	O-Oral	O-Oral	
1527	T-Topical	T-Topical	
1531	O-Oral	O-Oral	
1542	T-Topical	T-Topical	
1543	O-Oral	O-Oral	
1544	O-Oral	O-Oral	
1548	T-Topical	T-Topical	
1551	O-Oral	O-Oral	
1552	O-Oral	O-Oral	
1553	O-Oral	O-Oral	
1554	O-Oral	O-Oral	
1555	Parentaral	Inf-Infusion	Parentaral
1556	O-Oral	O-Oral	
1557	O-Oral	O-Oral	
1559	O-Oral	O-Oral	
1564	O-Oral	O-Oral	
1570	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
1571	Parentaral	IM-Intramuscular	Parentaral
1575	O-Oral	O-Oral	
1579	Parentaral	IV-IM-SC-Intravenous-Intramuscular-Subcutanous	Parentaral
1580	O-Oral	O-Oral	
1581	O-Oral	O-Oral	
1589	O-Oral	O-Oral	
1591	O-Oral	O-Oral	
1595	InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
1602	O-Oral	O-Oral	
1606	O-Oral	O-Oral	
1610	O-Oral	O-Oral	
1617	Parentaral	IM-Intramuscular	Parentaral
1618	Parentaral	IM-Intramuscular	Parentaral
1629	O-Oral	O-Oral	
1630	IV-Intravenous	IV-Intravenous	
1636	T-Topical	T-Topical	
1641	O-Oral	O-Oral	
1642	O-Oral	O-Oral	
1643	O-Oral	O-Oral	
1644	O-Oral	O-Oral	
1646	Parentaral	SC-Subcutanous	Parentaral
1651	O-Oral	O-Oral	
1652	O-Oral	O-Oral	
1658	O-Oral	O-Oral	
1659	O-Oral	O-Oral	
1660	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
1662	O-Oral	O-Oral	
1664	O-Oral	O-Oral	
1665	O-Oral	O-Oral	
1668	O-Oral	O-Oral	
1671	O-Oral	O-Oral	
1679	O-Oral	O-Oral	
1681	O-Oral	O-Oral	
1682	O-Oral	O-Oral	
1685	O-Oral	O-Oral	
1686	O-Oral	O-Oral	
1689	O-Oral	O-Oral	
1705	Parentaral	IM-Intramuscular	Parentaral
1709	O-Oral	O-Oral	
1710	O-Oral	O-Oral	
1711	O-Oral	O-Oral	
1712	O-Oral	O-Oral	
1713	O-Oral	O-Oral	
1720	O-Oral	O-Oral	
1721	O-Oral	O-Oral	
1722	O-Oral	O-Oral	
1725	T-Topical	T-Topical	
1726	O-Oral	O-Oral	
1727	O-Oral	O-Oral	
1728	O-Oral	O-Oral	
1731	Parentaral	Inf-Infusion	Parentaral
1732	Parentaral	Inf-Infusion	Parentaral
1735	O-Oral	O-Oral	
1736	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1746	O-Oral	O-Oral	
1747	O-Oral	O-Oral	
1752	Parentaral	SC-IVas-Subcutanous-Intravascular	Parentaral
1757	Parentaral	SC-Subcutanous	Parentaral
1758	Parentaral	SC-Subcutanous	Parentaral
1759	Parentaral	SC-IVas-Subcutanous-Intravascular	Parentaral
1765	O-Oral	O-Oral	
1766	O-Oral	O-Oral	
1770	R-Rectal	R-Rectal	
1772	R-Rectal	R-Rectal	
1779	Parentaral	Inf-Infusion	Parentaral
1780	Parentaral	Inf-Infusion	Parentaral
1781	N-Nasal	N-Nasal	
1800	O-Oral	O-Oral	
1801	O-Oral	O-Oral	
1808	O-Oral	O-Oral	
1809	O-Oral	O-Oral	
1811	O-Oral	O-Oral	
1812	R-Rectal	R-Rectal	
1819	O-Oral	O-Oral	
1820	O-Oral	O-Oral	
1822	O-Oral	O-Oral	
1823	O-Oral	O-Oral	
1832	T-Topical	T-Topical	
1835	O-Oral	O-Oral	
1837	O-Oral	O-Oral	
1839	O-Oral	O-Oral	
1840	O-Oral	O-Oral	
1842	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
1846	O-Oral	O-Oral	
1847	O-Oral	O-Oral	
1848	O-Oral	O-Oral	
1849	O-Oral	O-Oral	
1850	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
1852	O-Oral	O-Oral	
1853	O-Oral	O-Oral	
1854	O-Oral	O-Oral	
1855	O-Oral	O-Oral	
1857	O-Oral	O-Oral	
1858	O-Oral	O-Oral	
1859	O-Oral	O-Oral	
1860	O-Oral	O-Oral	
1861	O-Oral	O-Oral	
1862	O-Oral	O-Oral	
1864	O-Oral	O-Oral	
1865	O-Oral	O-Oral	
1867	O-Oral	O-Oral	
1869	O-Oral	O-Oral	
1870	O-Oral	O-Oral	
1872	O-Oral	O-Oral	
1877	O-Oral	O-Oral	
1878	Res-Respiratory	Res-Respiratory	
1879	Res-Respiratory	Res-Respiratory	
2010	O-Oral	O-Oral	
2012	O-Oral	O-Oral	
2014	Parentaral	SC-Subcutanous	Parentaral
2015	Parentaral	SC-Subcutanous	Parentaral
2016	Parentaral	SC-Subcutanous	Parentaral
2017	Parentaral	SC-Subcutanous	Parentaral
2018	Parentaral	SC-Subcutanous	Parentaral
2019	Parentaral	SC-Subcutanous	Parentaral
2023	Parentaral	SC-Subcutanous	Parentaral
2025	Parentaral	SC-Subcutanous	Parentaral
2028	Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
2029	Parentaral	SC-Subcutanous	Parentaral
2036	O-Oral	O-Oral	
2038	O-Oral	O-Oral	
2041	O-Oral	O-Oral	
2043	O-Oral	O-Oral	
2045	O-Oral	O-Oral	
2085	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2096	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2097	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2124	Parentaral	SC-Subcutanous	Parentaral
2127	Parentaral	Inf-Infusion	Parentaral
2137	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2139	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2140	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2156	O-Oral	O-Oral	
2157	O-Oral	O-Oral	
2177	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2179	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
2198	O-Oral	O-Oral	
2199	O-Oral	O-Oral	
2217	IV-Intravenous	IV-Intravenous	
2219	Parentaral	Inf-Infusion	Parentaral
2220	Parentaral	Inf-Infusion	Parentaral
2222	O-Oral	O-Oral	
2224	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2226	Res-Respiratory	Res-Respiratory	
2227	Res-Respiratory	Res-Respiratory	
2241	O-Oral	O-Oral	
2248	O-Oral	O-Oral	
2249	O-Oral	O-Oral	
2250	Parentaral	Inf-Infusion	Parentaral
2251	O-Oral	O-Oral	
2263	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2265	O-Oral	O-Oral	
2266	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2267	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2268	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2271	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2272	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
2273	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2277	Ot-Otic	Ot-Otic	
2279	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2280	Parentaral	P-Parenteral	Parentaral
2281	Parentaral	Inf-IM-Infusion-Intramuscular	Parentaral
2282	Parentaral	Inf-Infusion	Parentaral
2283	Parentaral	Inf-Infusion	Parentaral
2284	Parentaral	Inf-Infusion	Parentaral
2285	Parentaral	Inf-Infusion	Parentaral
2287	Parentaral	Inf-Infusion	Parentaral
2288	O-Oral	O-Oral	
2289	O-Oral	O-Oral	
2293	Parentaral	Inf-Infusion	Parentaral
2295	O-Oral	O-Oral	
2308	O-Oral	O-Oral	
2322	O-Oral	O-Oral	
2326	O-Oral	O-Oral	
2332	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2334	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
2344	O-Oral	O-Oral	
2345	O-Oral	O-Oral	
2349	O-Oral	O-Oral	
2350	O-Oral	O-Oral	
2361	O-Oral	O-Oral	
2365	O-Oral	O-Oral	
2366	O-Oral	O-Oral	
2370	InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
2381	O-Oral	O-Oral	
2382	Ot-Otic	Ot-Otic	
2417	PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
2418	PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
2419	PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
2420	PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
2421	PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
2423	PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
2426	PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
2427	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
2429	Parentaral	IM-Intramuscular	Parentaral
2451	Oph-Ophtalmic	Oph-Ophtalmic	
2462	Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
2465	O-Oral	O-Oral	
2469	Parentaral	Inf-Infusion	Parentaral
2473	Parentaral	Inf-Infusion	Parentaral
2476	O-Oral	O-Oral	
2479	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2480	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2481	O-Oral	O-Oral	
2491	Irrigation	Irrigation	
2492	Irrigation	Irrigation	
2497	Parentaral	Inf-IV-IVes-Infusion-Intravenous-Intravesical	Parentaral
2498	Parentaral	Inf-IV-IVes-Infusion-Intravenous-Intravesical	Parentaral
2503	O-Oral	O-Oral	
2504	Parentaral	Inf-Infusion	Parentaral
2511	Parentaral	Inf-Infusion	Parentaral
2512	O-Oral	O-Oral	
2520	Oph-Ophtalmic	Oph-Ophtalmic	
2521	O-Oral	O-Oral	
2543	O-Oral	O-Oral	
2548	O-Oral	O-Oral	
2555	O-Oral	O-Oral	
2557	O-Oral	O-Oral	
2566	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2570	Parentaral	IM-Intramuscular	Parentaral
2573	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
2576	OG-Oral gingival	OG-Oral gingival	
2579	V-Vaginal	V-Vaginal	
2581	R-Rectal	R-Rectal	
2593	O-Oral	O-Oral	
2595	Parentaral	Inf-Infusion	Parentaral
2596	Parentaral	Inf-Infusion	Parentaral
2610	Parentaral	Inf-Infusion	Parentaral
2611	Parentaral	Inf-Infusion	Parentaral
2612	T-Topical	T-Topical	
2626	Parentaral	Inf-IV-SC-Infusion-Intravenous-Subcutanous	Parentaral
2630	O-Oral	O-Oral	
2634	OG-Oral gingival	OG-Oral gingival	
2638	R-Rectal	R-Rectal	
2639	R-Rectal	R-Rectal	
2640	Parentaral	Inf-Infusion	Parentaral
2645	O-Oral	O-Oral	
2647	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2650	O-Oral	O-Oral	
2652	O-Oral	O-Oral	
2661	Parentaral	Inf-Infusion	Parentaral
2662	Parentaral	Inf-Infusion	Parentaral
2669	O-Oral	O-Oral	
2688	O-Oral	O-Oral	
2695	O-Oral	O-Oral	
2700	Parentaral	IM-Intramuscular	Parentaral
2705	T-Topical	T-Topical	
2708	O-Oral	O-Oral	
2714	O-Oral	O-Oral	
2719	O-Oral	O-Oral	
2731	O-Oral	O-Oral	
2735	Parentaral	P-Parenteral	Parentaral
2736	Parentaral	P-Parenteral	Parentaral
2739	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
2747	T-Topical	T-Topical	
2748	T-Topical	T-Topical	
2753	T-Topical	T-Topical	
2755	TS-Topical,scalp	TS-Topical,scalp	
2767	T-Topical	T-Topical	
2768	O-Oral	O-Oral	
2771	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2793	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
2800	T-Topical	T-Topical	
2801	T-Topical	T-Topical	
2802	T-Topical	T-Topical	
2803	Parentaral	Inf-Infusion	Parentaral
2805	O-Oral	O-Oral	
2806	Parentaral	SC-Subcutanous	Parentaral
2810	Parentaral	IM-Intramuscular	Parentaral
2811	Parentaral	IM-Intramuscular	Parentaral
2813	O-Oral	O-Oral	
2815	O-Oral	O-Oral	
2827	Parentaral	P-Parenteral	Parentaral
2855	Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
2869	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2871	Parentaral	Inf-Infusion	Parentaral
2886	T-Topical	T-Topical	
2904	O-Oral	O-Oral	
2905	O-Oral	O-Oral	
2909	O-Oral	O-Oral	
2910	O-Oral	O-Oral	
2924	O-Oral	O-Oral	
2936	V-Vaginal	V-Vaginal	
2937	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2938	O-Oral	O-Oral	
2941	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2942	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
2968	O-Oral	O-Oral	
2969	O-Oral	O-Oral	
2974	O-Oral	O-Oral	
2975	O-Oral	O-Oral	
2976	Parentaral	Inf-Infusion	Parentaral
2977	O-Oral	O-Oral	
2978	Parentaral	Inf-IM-Infusion-Intramuscular	Parentaral
2979	O-Oral	O-Oral	
2980	O-Oral	O-Oral	
2985	O-Oral	O-Oral	
2986	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
2987	O-Oral	O-Oral	
3027	O-Oral	O-Oral	
3028	O-Oral	O-Oral	
3038	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
3045	O-Oral	O-Oral	
3046	O-Oral	O-Oral	
3047	O-Oral	O-Oral	
3054	Oph-Ophtalmic	Oph-Ophtalmic	
3055	O-Oral	O-Oral	
3058	O-Oral	O-Oral	
3059	O-Oral	O-Oral	
3069	O-Oral	O-Oral	
3070	O-Oral	O-Oral	
3074	Oph-Ophtalmic	Oph-Ophtalmic	
3077	O-Oral	O-Oral	
3079	O-Oral	O-Oral	
3086	O-Oral	O-Oral	
3094	O-Oral	O-Oral	
3110	O-Oral	O-Oral	
3115	O-Oral	O-Oral	
3116	R-Rectal	R-Rectal	
3119	Parentaral	IV-IM-SC-Intravenous-Intramuscular-Subcutanous	Parentaral
3121	O-Oral	O-Oral	
3156	Parentaral	Inf-IM-Infusion-Intramuscular	Parentaral
3161	O-Oral	O-Oral	
3168	O-Oral	O-Oral	
3172	O-Oral	O-Oral	
3180	O-Oral	O-Oral	
3188	Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
3195	O-Oral	O-Oral	
3196	O-Oral	O-Oral	
3203	Parentaral	Inf-IV-IPt-Infusion-Intravenous-Intramuscular-Intraperitoneal	Parentaral
3206	O-Oral	O-Oral	
3247	Oph-Ophtalmic	Oph-Ophtalmic	
3263	Parentaral	IM-Intramuscular	Parentaral
3265	O-Oral	O-Oral	
3267	Parentaral	Inf-Infusion	Parentaral
3268	V-Vaginal	V-Vaginal	
3272	Parentaral	Inf-Infusion	Parentaral
3273	Parentaral	Inf-Infusion	Parentaral
3274	Parentaral	Inf-Infusion	Parentaral
3279	IV-Intravenous	IV-Intravenous	
3280	IV-Intravenous	IV-Intravenous	
3281	IV-Intravenous	IV-Intravenous	
3340	O-Oral	O-Oral	
3345	O-Oral	O-Oral	
3351	Parentaral	Inf-Infusion	Parentaral
3353	Parentaral	Inf-Infusion	Parentaral
3354	Parentaral	IM-Intramuscular	Parentaral
3356	Parentaral and Non-parentaral	O-IV-IM-Oral-Intravenous-Intramuscular	Parentaral and Non-parentaral
3358	Parentaral	Inf-IV-SC-ITh-Infusion-Intravenous-Subcutanous-Intrathecal	Parentaral
3367	O-Oral	O-Oral	
3371	R-Rectal	R-Rectal	
3376	Parentaral	Inf-Infusion	Parentaral
3382	Oph-Ophtalmic	Oph-Ophtalmic	
3385	O-Oral	O-Oral	
3388	O-Oral	O-Oral	
3392	O-Oral	O-Oral	
3393	InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
3400	Parentaral	SC-Subcutanous	Parentaral
3401	Parentaral	SC-Subcutanous	Parentaral
3404	Parentaral	Inf-Infusion	Parentaral
3411	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
3412	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
3413	Parentaral	Inf-Infusion	Parentaral
3414	T-Topical	T-Topical	
3415	T-Topical	T-Topical	
3426	Parentaral	SC-Subcutanous	Parentaral
3427	O-Oral	O-Oral	
3434	R-Rectal	R-Rectal	
3435	O-Oral	O-Oral	
3436	R-Rectal	R-Rectal	
3444	T-Topical	T-Topical	
3447	Parentaral	SC-Subcutanous	Parentaral
3464	O-Oral	O-Oral	
3472	IO-Intraoral	IO-Intraoral	
3483	O-Oral	O-Oral	
3486	O-Oral	O-Oral	
3487	Parentaral	Inf-Infusion	Parentaral
3488	Parentaral	Inf-Infusion	Parentaral
