MoPHCode	RegistrationNumber	DrugName	Dosage	Presentation	Form	Agent	Manufacturer	Country	SubsidyPercentage
1338	974079/02	3V		3	Ampoule	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
10612	64121/1	5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION		1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11144	9523/1	5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION		1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10613	63921/1	5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION		1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11145	9423/1	5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION		1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10566	52321/1	5% DEXTROSE INJECTION USP		100ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10567	52421/1	5% DEXTROSE INJECTION USP	5%	250ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10568	52521/1	5% DEXTROSE INJECTION USP	5%	500ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10569	52621/1	5% DEXTROSE INJECTION USP	5%	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11146	8723/1	5% DEXTROSE INJECTION USP		100ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11147	8823/1	5% DEXTROSE INJECTION USP	5%	250ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11148	8923/1	5% DEXTROSE INJECTION USP	5%	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11149	9023/1	5% DEXTROSE INJECTION USP	5%	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
8733	66316/1	5-FLUOROURACIL EBEWE	1000mg	1	Vial	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	0
10544	70720/1	A.B.C.-COLD		20	Tablet, film coated	Pharmadex	Pharmadex	Lebanon	0
10548	167320/1	A.S HEART	81mg	30	Tablet, enteric coated	Pharmadex	Pharmadex	Lebanon	0
9325	42316/1	ABILIFY MAINTENA	400mg	1Vial of powder +1Vial of 2ml solvent	Powder and solvent for prolonged release suspension for injection	Sadco	H. Lundbeck AS	Denmark	0
10698	77116/1	ABIPREX 10	10mg	30	Tablet	Benta Trading Co s.a.l.	Benta SAL	Lebanon	0
10699	77216/1	ABIPREX 15	15mg	30	Tablet	Benta Trading Co s.a.l.	Benta SAL	Lebanon	0
10966	91022/1	ABIRATERONE ACETATE NEAPOLIS	250mg	120	Tablet	Medis Pharm Drugstore	Neapolis Pharma	Tunisia	0
10993	6421/1	ABIRATERONE ACETATE SPC	250mg	120	Tablet, film coated	Advanced Healthcare Services SAL	Pharmaline SAL Licensed by Sudair Pharma Company, KSA	Lebanon	0
11432	113920/1	ABLAX 250	250mg	120	Tablet	Benta Trading Co s.a.l.	Manufactured by MSN Laboratories Private Ltd, India for Benta SAL	Lebanon	0
11691	152623/1	ABLAX 500	500mg	60	Tablet	Benta Trading Co s.a.l.	Manufactured by MSN Laboratories Private Ltd, India for Benta SAL	Lebanon	0
11001	93321/1	ABRAXANE	5mg/ml	1 Vial	Injectable powder for dispersion for infusion	Droguerie de l'Union	Abraxis BioScience LLC	USA	0
10796	52919/1	ABREMIA	250mg	120	Tablet	Droguerie de l'Union	The Arab Pharmaceutical Manufacturing PSC	Jordan	0
11325	147822/1	ABRILADA	40mg	2prefilled syringes 0.8ml + 2alcohol pads	Solution for injection	Food & Drug Corporation FDC	Catalent Indiana, LLC	USA	0
11326	147922/1	ABRILADA	40mg	2prefilled pens 0.8ml + 2alcohol pads	Solution for injection	Food & Drug Corporation FDC	Catalent Indiana, LLC	USA	0
9058	43417/1	ABSTRAL	100mcg	10	Tablet, sublingual	Droguerie Mercury S.A.L.	Recipharm Leganes S.L.U.	Spain	0
9059	43217/1	ABSTRAL	200mcg	10	Tablet, sublingual	Droguerie Mercury S.A.L.	Recipharm Leganes S.L.U.	Spain	0
9362	128817/1	ACAMPROSATE BIOGARAN	333mg	180	Comprimes pellicules gastroresistants	Commercial and Trading Ressources SAL (CTR)	Laboratoires BTT	France	0
11187	71121/1	ACARIZAX 12 SQ-HDM ORAL LYOPHILISATE		30 (3x10)	Oral lyophilisate	Droguerie de l'Union	Catalent UK Swindon Zydis Ltd	UK	0
5143	23624/06	ACC LONG		10	Tablet, effervescent	Khalil Fattal & Fils S.A.L.	Salutas Pharma  GmbH for Hexal AG	Germany	0
10970	102221/1	ACEBUTOLOL BIOGARAN	400mg	30	Comprimés pelliculés	Commercial and Trading Ressources SAL (CTR)	Anpharm Przedsiebiorstwo Farmaceutyczne SA	Poland	0
10971	102121/1	ACEBUTOLOL BIOGARAN	200mg	30	Comprimés pelliculés	Commercial and Trading Ressources SAL (CTR)	Anpharm Przedsiebiorstwo Farmaceutyczne SA	Poland	0
11508	53923/1	ACETAZOLAMIDE	250mg	100	Tablet	Promopharm S.A.R.L.	Apotex Inc	Canada	0
8141	31215/1	ACFOL	5mg	50	Tablet	Pharmapro	Mediphar Laboratories	Lebanon	0
9768	98218/1	ACIDE ALENDRONIQUE/ VITAMINE D3 BGR	70mg/5600UI	4	Comprimé	Commercial and Trading Ressources SAL (CTR)	Pharmathen International SA	Greece	0
11819	78424/1	ACIDE FUSIDIQUE BGR	2%	Tube de 15g	Cream	Commercial and Trading Ressources SAL (CTR)	Misom Labs Ltd	Malta	0
11499	4723/1	ACLASTA	5mg/100ml	1vial	solution for infusion	Khalil Fattal & Fils S.A.L.	Fresenius Kabi Austria GmbH	Austria	0
8593	1416/1	A-CNOTREN	20mg	30	Capsule, soft 	Bellapharma S.A.R.L.	Pharmadex under license from Pharmathen SA, Greece	Lebanon	0
5900	218156/09	ACTEMRA	80mg/4ml	1Vial	Concentrate for solution for infusion 	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	0
5901	218157/09	ACTEMRA	200mg/10ml	1 Vial	Concentrate for solution for infusion 	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	0
5902	218158/09	ACTEMRA	400mg/20ml	1Vial	Concentrate for solution for infusion 	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	0
8202	42115/1	ACTEMRA	162mg/0.9ml	4Prefilled syringes	Injectable solution for SC use	Omnipharma	Vetter Pharma- Fertigung GmbH & Co KG	Germany	0
2481	78773	ACTICARBINE		42	Comprimé	Pharmamedic S.A.R.L.	Elerte	France	0
2224	38681/96	ACTILYSE	50mg	2	Vial	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany	0
5781	219553/09	ACTISOUFRE		100ml	Solution pour pulverisation nasale et buccale en flacon pressurise	Pharmamedic S.A.R.L.	Grimberg	France	0
4405	78770/98	ACTI-VIR	200mg	25	Tablet, scored	Pharmapro	Mediphar Laboratories	Lebanon	0
8870	52515/1	ACTI-VIR H		5g	Cream	Pharmapro	Mediphar Laboratories	Lebanon	0
9595	61618/1	ACTONORM	220mg/200mg/25mg in 5ml	200ml	Oral suspension	Taba Chemipharm	Laleham Health and Beauty Limited	UK	0
1340	973726/02	ACTOS	30mg	30	Tablet	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan	0
5959	23608/06	ACTOS	15mg	30	Tablet	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan	0
9705	179817/1	ACTOSMET	15mg/850mg	56	Tablet, film coated	Abela Frères S.A.L.	Daito Pharmaceutical Co Ltd, Toyama, Japan, under licensed from Takeda Pharmaceuticals International AG, Switzerland	Japan	0
2023	26460	ACTRAPID	100IU/ml	10ml	Vial	Mersaco	Novo Nordisk AS	Denmark	0
8497	144814/1	ACTRAPID	100IU/ml	10ml	Vial	Mersaco	Novo Nordisk Production SAS, Chartres	France	0
6060	24959/07	ACUPAN		5	Injectable solution	Pharmamedic S.A.R.L.	Biocodex	France	0
6480	168203/10	ACURIL	5mg	28	Tablet	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	0
6481	168202/10	ACURIL	2.5mg	28	Tablet	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	0
7244	96648/12	ACURIL	10mg	28	Tablet	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	0
11585	106523/1	ADALIREL	40mg	box of 0.8ml in PFS fo subcutaneous use	Solution for injection	Levant Pulse SARL	Reliance Life Sciences pvt Ltd	India	0
7970	119414/1	ADCETRIS	50mg	1Vial	Powder for concentrate for solution for infusion	Century Pharma SAL	Takeda Austria GmbH	Austria	0
10707	92920/1	ADDAVEN			Concentrate for solution for infusion	Benta Trading Co s.a.l.	Fresenius Kabi Norg AS	Norway	0
4468	24279	ADELPHAN ESIDREX		30	Tablet	Mephico S.A.L.	Mephico SAL	Lebanon	0
9590	93318/1	ADENURIC	80mg	28	Tablet, film coated scored	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	0
9602	107818/1	ADENURIC	120mg	28	Tablet, film coated	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	0
10163	79719/1	ADENURIC	40mg	28	Tablet, film coated	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	0
1341	208895/03	ADOL	250mg/5ml	135ml	Suspension, alcohol free	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
3371	78843/98	ADOL	125mg	10	Suppository	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
3434	78844/98	ADOL	250mg	10	Suppository	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
3436	78845/98	ADOL	500mg	10	Suppository	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
3740	78846/98	ADOL	500mg	24	Caplet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
1709	973937/02	ADOL EXTRA		24	Caplet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
4861	26/95	ADRENALINE 1 MG  I.V.	1mg/ml	100 x 1ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
11025	43121/1	ADRENALINE AGUETTANT 	1mg/10ml (0.1mg/ml)	10Prefilled Syringes	Solution for injection, sulfite free	Pharmamed	Aguettant	France	0
2097	H0744/92	ADRENALINE RENAUDIN	1mg/ml	10x1ml	Ampoule	Minapharm Halabi	Renaudin 	France	0
7809	81614/1	ADRENALINE SALF	1mg/ml	5Amp x 1ml	Injectable solution	New Europharm	SALFSpA Laboratorio Farmacologico	Italy	0
6549	167734/10	ADROMUX 		1	Tablet, coated	Droguerie Phenicia	Gador SA	Argentine	0
7639	186521/13	ADVAGRAF	0.5mg	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	0
7640	186522/13	ADVAGRAF	1mg	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	0
7641	186523/13	ADVAGRAF	3mg	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	0
7642	186524/13	ADVAGRAF	5mg	100	Capsule, hard, prolonged release	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	0
10363	94820/1	ADVANTAN		20g	Cream	UPO S.A.L.	Leo Pharma Manufacturing Italy SRL	Italy	0
10364	94920/1	ADVANTAN		20g	Ointment	UPO S.A.L.	Leo Pharma Manufacturing Italy SRL	Italy	0
10892	77021/1	ADVIL	200mg	50	Tablet	Sadco	Pf Consumer Healthcare Canada ULC	Canada	0
10887	76921/1	ADVIL COLD & SINUS		20	Caplet	Sadco	Pf Consumer Healthcare Canada ULC	Canada	0
10891	97321/1	ADVIL LIQUI-GELS	200mg	32	Capsule	Sadco	Pf Consumer Healthcare Canada ULC	Canada	0
9523	48818/1	ADVIL LIQUI-GELS EXTRA STRENGTH	400mg	24	Capsule	Droguerie Mercury S.A.L.	Pf Consumer Healthcare Canada ULC	Canada	0
6986	97366/12	AERIALLERG	0.5mg/ml	125ml	Syrup	Picomed SARL	Pharma International Co	Jordan	0
7562	167742/11	AERIALLERG	5mg	30	Tablet, film coated	Picomed SARL	Pharma International Co	Jordan	0
5182	24888/07	AERIUS	0.5mg/ml	150ml	Oral Solution	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium	0
7509	186613/13	AERIUS	5mg	30	Tablet, film coated	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium	0
11702	65022/1	AERIUS	5mg	30	Tablet, film coated	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium	0
7445	219222/09	AEROCORT-A HFA		200metered doses	Inhaler	Droguerie de l'Union	Cipla Ltd	India	0
9346	216/1	AETHOXYSKLEROL	3%	5Ampoules x 2ml	Injection solution	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	0
9347	416/1	AETHOXYSKLEROL	0.5%	5Ampoules x 2ml	Injection solution	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	0
9348	316/1	AETHOXYSKLEROL	1%	5Ampoules x 2ml	Injection solution	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	0
5897	218674/10	AFINITOR	5mg	30	Tablet	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland	0
6930	96704/12	AFINITOR	10mg	30	Tablet	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland	0
5489	219721/09	AGGRASTAT	0.25mg/ml	1x50ml	concentrate for solution for Infusion	Droguerie de l'Union	Algorithm S.A.L. under license from Cardiome International AG USA	Lebanon	0
7282	219456/09	AGGRIX 75		28	Tablet, film coated	Macromed S.A.R.L.	Midpharma	Jordan	0
9833	193718/1	AIMOVIG	70mg/ml	pre-filled pen	solution for injection	Khalil Fattal & Fils S.A.L.	Amgen Manufacturing Ltd	USA	0
7864	96553/12	AIRFAST	10mg	30	Tablet, film coated	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	0
482	27943/95	AIRTAL 100MG 20	100mg	20	Tablet, film coated	Droguerie Phenicia	Industrias Farmaceuticas Almirall, S.A.	Spain	0
571	974097/02	AIRTAL DIFUCREM 1.5%	1.5%	60g	Cream	Droguerie Phenicia	Almirall Hermal GmbH	Germany	0
11171	134121/1	AKLIEF	50mcg/g	75g	Cream	Raymond Georges Abou Adal & Co	Galderma	France	0
8551	26816/1	AKYNZEO	300mg/0.5mg	1	Capsule, hard	Mersaco	Helsinn Birex Pharmaceuticals Ltd	Ireland	0
1350	973998/02	ALBENDA	200mg	2	Tablet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
1351	973999/02	ALBENDA	400mg	20ml	Suspension	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
3487	148247/03	ALBUTEIN	20%	100ml		Alfamed S.A.L.	Grifols Biologicals LLC	USA	0
3489	148245/03	ALBUTEIN	20%	50ml		Alfamed S.A.L.	Grifols Biologicals LLC	USA	0
8794	110115/1	ALDACTONE	25mg	20	Tablet	Droguerie Fattal  S.A.L.	Piramal Healthcare UK Ltd	UK	0
10396	197819/1	ALDACTONE	100mg	10	Tablet	Droguerie Fattal  S.A.L.	Piramal Healthcare UK Ltd	UK	0
5783	218737/10	ALDARA	5%	12 Sachets	Cream	Omnipharma	CPM ContractPharma GmbH & Co KG	Germany	0
9772	160618/1	ALDEX	5g/100ml	50ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
9790	160718/1	ALDEX	5g/100ml	100ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
9791	193318/1	ALDEX	5g/100ml	250ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
9792	177618/1	ALDEX	5g/100ml	500ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
9793	177718/1	ALDEX	5g/100ml	1000ml Viaflex bag	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
4304	11283	ALDOMET	250mg  	30	Tablet, coated	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	0
4314	20919	ALDOMET	500mg	30	Tablet, coated	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	0
11061	52422/1	ALDURAZYME	100U/ml	1Vial x 5ml	Concentrate for solution for infusion	Mersaco	Euroapi UK Limited	UK	0
9459	178617/1	ALECENSA	150mg	224	Capsule, hard	Omnipharma	Excella GmbH	Germany	0
6691	97043/12	ALERGICAL EXPECTORANT		150ml	SYRUP	Taba Chemipharm	Laboratorio Reig Jofre SA	Spain	0
10014	67419/1	ALERJON		10ml	Eye drops solution	Abela Frères S.A.L.	Laboratorio Edol Produtos Farmaceuticos SA	Portugal	0
3358	195035/04	ALEXAN	100mg/5ml	1	Vial	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	0
5327	221412/08	ALEXAN	1000mg/20ml	1	Vial	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	0
8306	185804/13	ALFOCIN	10mg	30	Tablet, extended release	Benta Trading Co s.a.l.	Benta SAL	Lebanon	0
11203	103122/1	ALFUZOSINE BIOGARAN LP	10mg	30	Comprimés pelliculés à libération prolongée	Commercial and Trading Ressources SAL (CTR)	Holsten Pharma GmbH	Germany	0
9915	159015/1	ALGIFAST 400	400mg	12sachets	Powder for oral suspension	Pharmacie Al Sahel	Laboratorio De Aplicaciones Farmacodinamicas SA (FARDI)	Spain	0
10914	153620/1	ALGIFAST PEDIATRIC	20mg/ml	100ml	Oral suspension	Pharmacie Al Sahel	Laboratorio De Aplicaciones Farmacodinamicas SA (FARDI)	Spain	0
2107	208370/02	ALGIKEY	30mg	6Amp	Injectable	Mediterranean Pharmaceutical Company	Pharminicio SL	Spain	0
4572	22575	ALGIN ADULTS		10	Suppository	Pharmadex	Pharmadex	Lebanon	0
11083	72822/1	ALGIVIC	250mg	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-pha) SAL, Lebanon (Packing) Manufactured by Fulton Medicinali SpA, Italy	Lebanon	0
11084	72622/1	ALGIVIC	500mg	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-pha) SAL, Lebanon (Packing) Manufactured by Fulton Medicinali SpA, Italy	Lebanon	0
11085	72722/1	ALGIVIC INFANT	125mg	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-pha) SAL, Lebanon (Packing) Manufactured by Fulton Medicinali SpA, Italy	Lebanon	0
6484	218789/09	ALGOCOD		32 (16x2)	Tablet, effervescent	Pharmamedic S.A.R.L.	SMB Technology SA	Belgium	0
6886	219452/09	ALGODOL		20	Capsule	Pharmamedic S.A.R.L.	Mediphar Laboratories	Lebanon	0
10681	16621/1	ALGOMIEL COUGH SYRUP		100ml		Droguerie de l'Union	Algorithm S.A.L.	Lebanon	0
10495	190019/1	ALIMTA	100mg	1vial	For injection	Droguerie de l'Union	Lilly France	France	0
10494	189919/1	ALIMTA	500mg	1vial	For injection	Droguerie de l'Union	Lilly France	France	0
7987	120214/1	ALLERGODIL		6ml	Eye drops solution	Omnipharma	Tubilux Pharma SpA	Italy	0
7877	166948/11	ALLERGODIL NASAL		10ml	Spray	Omnipharma	Madaus GmbH	Germany	0
11089	115722/1	ALLOPURINOL BIOGARAN	100mg	28	Comprimés	Commercial and Trading Ressources SAL (CTR)	Delpharm Bretigny	France	0
11090	115622/1	ALLOPURINOL BIOGARAN	200mg	28	Comprimés	Commercial and Trading Ressources SAL (CTR)	Delpharm Bretigny	France	0
11091	115522/1	ALLOPURINOL BIOGARAN	300mg	28	Comprimés	Commercial and Trading Ressources SAL (CTR)	Delpharm Bretigny	France	0
8411	166818/11	ALMIRAL	1% w/w	50g	Gel	New Allpharma	Medochemie Ltd	Cyprus	0
8707	127715/1	ALMIRAL	75mg/3ml	10ampoules	Injectable solution	New Allpharma	Medochemie Ltd	Cyprus	0
10527	21920/1	ALMOVITAE	12.5mg	6	Tablet, film coated	Promopharm S.A.R.L.	SAG Manufacturing SLU	Spain	0
2755	974104/01	ALOPEXY	2%	60ml	Solution pour application cutanee	Mersaco	Pierre Fabre Medicament Production	France	0
5205	24332/06	ALOPEXY	5%	60ml	Cutaneous solution	Mersaco	Pierre Fabre Medicament Production	France	0
8286	55315/1	ALOXI	0.25mg/5ml	1Vial	Injectable solution	Mersaco	Helsinn Birex Pharmaceuticals Ltd	Ireland	0
8890	70215/1	ALPEEN	4000IU	10 vials	Injectable solution for IV/SC use	Raymond Georges Abou Adal & Co	Arwan Pharmaceutical Industries Lebanon SAL	Lebanon	0
9830	61819/1	ALPEEN	4000IU	1 vials	Injectable solution for IV/SC use	Raymond Georges Abou Adal & Co	Arwan Pharmaceutical Industries Lebanon SAL	Lebanon	0
10774	4922/1	ALPEEN	4000IU	5 vials	Injectable solution for IV/SC use	Raymond Georges Abou Adal & Co	Arwan Pharmaceutical Industries Lebanon SAL	Lebanon	0
10775	108621/1	ALPEEN	10,000IU	1vial	Injectable solution for IV/SC use	Raymond Georges Abou Adal & Co	Arwan Pharmaceutical Industries Lebanon SAL	Lebanon	0
11473	91122/1	ALPEEN	40,000IU	1Vial	Injectable solution for IV/SC use	Raymond Georges Abou Adal & Co	Arwan Pharmaceutical Industries Lebanon SAL	Lebanon	0
11692	129323/1	ALPEEN	10,000IU	3Vials	Injectable solution for IV/SC use	Raymond Georges Abou Adal & Co	Arwan Pharmaceutical Industries Lebanon SAL	Lebanon	0
4098	24140/06	ALPHAGAN P	0.15%	5ml	Sterile ophtalmic solution	Mersaco	Allergan	USA	0
11730	85723/1	ALPHAGAN P	0.15%	5ml	Sterile ophtalmic solution	Mersaco	Allergan	USA	0
11580	119320/1	ALPHANOVA	0.15%	5ml	Sterile ophtalmic solution	Macromed S.A.R.L.	Orchidia Pharmaceutical Industries	Egypt	0
11094	98622/1	ALPRAZOLAM BIOGARAN	0.5mg	30	Comprimés sécables	Commercial and Trading Ressources SAL (CTR)	Egis Pharmaceuticals PLC	Hungary	0
11095	98522/1	ALPRAZOLAM BIOGARAN	0.25mg	30	Comprimés sécables	Commercial and Trading Ressources SAL (CTR)	Egis Pharmaceuticals PLC	Hungary	0
4239	195348/04	ALPROX	1mg	30	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	0
4332	148305/03	ALPROX	0.5mg	30	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	0
10377	138419/1	ALTEBREL	50mg/1ml	4prefilled syringes	Solution for injection	Lebiran SARL	Aryogen Pharmed	Iran	0
10410	138519/1	ALTEBREL	25mg/0.5ml	4pre-filled syringes	Solution for injection	Lebiran SARL	Aryogen Pharmed	Iran	0
10146	22720/1	ALTO D 10.000	10,000IU	30	Capsule	Al Hikma Baalbek Pharmacy	Benta SAL	Lebanon	0
10697	73321/1	ALTUM	50,000IU	10	Capsule, hard	Pharmaline S.A.L.	Pharmaline SAL	Lebanon	0
