DrugId,UnitQuantity1,UnitType1,UnitQuantity2,UnitType2,PackageQuantity1,PackageType1,PackageQuantity2,PackageType2,PackageQuantity3,PackageType3,Description
6899,10,Pill,,,,,,,,,10 Pills
7278,500,Pill,,,,,,,,,500 Pills
7352,90,ml,,,,,,,,,90 ml
7433,4,Pill,,,,,,,,,4 Pills
7529,,,,,,,,,,,
7530,,,,,,,,,,,
7531,,,,,,,,,,,
7532,,,,,,,,,,,
7533,,,,,,,,,,,
5234,5,ml,,,5,ampule,,,,,5 Ampules of 1 ml each
5235,15,ml,,,5,ampule,,,,,5 Ampules of 3 ml each
6084,10,Pill,,,,,,,,,10 Pills
6363,15,ml,,,5,ampule,,,,,5 Ampules of 3 ml each
7457,,,,,1,pack,,,,,1 Pack
5129,5,ml,,,1,vial,,,,,1 Vial of 5 ml
7534,,,,,,,,,,,
5326,1,Pill,,,,,,,,,1 Pill
2181,75,ml,,,,,,,,,75 ml
2182,30,Pill,,,,,,,,,30 Pills
2183,10,Pill,,,,,,,,,10 Pills
6812,2,Pill,,,,,,,,,2 Pills
6813,3,Pill,,,,,,,,,1 pill (125 mg) and 2 pills (80 mg)
1940,100,Pill,,,,,,,,,100 Pills
6401,30,Pill,,,,,,,,,30 Pills
6402,30,Pill,,,,,,,,,30 Pills
3047,240,ml,,,,,,,,,240 ml
6253,100,Pill,,,,,,,,,100 Pills
6254,40,Pill,,,,,,,,,40 Pills
7302,10,Pill,,,,,,,,,10 Pills
3049,60,ml,,,,,,,,,60 ml
5360,30,Pill,,,,,,,,,30 Pills
4007,,,,,2,Packet / Sachet,,,,,2 Packet / Sachets
4940,,,,,2,Packet / Sachet,,,,,2 Packet / Sachets
6791,,,,,2,Packet / Sachet,,,,,2 Packet / Sachets
3043,40,g,,,,,,,,,40 g
2541,300,ml,,,,,,,,,300 ml
2434,,,,,20,Packet / Sachet,,,,,20 Packet / Sachets
2223,200,ml,,,,,,,,,200 ml
2435,,,,,4,Packet / Sachet,,,,,4 Packet / Sachets
6172,,,,,20,Packet / Sachet,,,,,20 Packet / Sachets
6173,,,,,20,Packet / Sachet,,,,,20 Packet / Sachets
4153,40,ml,,,4,Tube,,,,,4 Tubes of 10 ml each
3071,12,Pill,,,,,,,,,12 Pills
3072,12,Pill,,,,,,,,,12 Pills
3073,12,Pill,,,,,,,,,12 Pills
7535,,,,,,,,,,,
7536,,,,,,,,,,,
12252,,,,,,,,,,,
12253,,,,,,,,,,,
3015,60,ml,,,,,,,,,60 ml
5534,20,Pill,,,,,,,,,20 Pills
6041,30,Pill,,,,,,,,,30 Pills
2673,12,Pill,,,,,,,,,12 Pills
2674,60,ml,,,,,,,,,60 ml
7537,,,,,,,,,,,
2999,28,Pill,,,,,,,,,28 Pills
6975,50,Pill,,,,,,,,,50 Pills
2367,48,Pill,,,,,,,,,48 Pills
2429,100,Pill,,,,,,,,,100 Pills
4284,,,,,12,Packet / Sachet,,,,,12 Packet / Sachets
5921,,,,,12,Packet / Sachet,,,,,12 Packet / Sachets
4738,12,Pill,,,,,,,,,12 Pills
6588,6,Pill,,,,,,,,,6 Pills
7538,,,,,,,,,,,
7539,,,,,,,,,,,
4414,100,Pill,,,,,,,,,100 Pills
5624,30,Pill,,,,,,,,,30 Pills
7284,100,Pill,,,,,,,,,100 Pills
7285,50,Pill,,,,,,,,,50 Pills
1941,420,ml,,,7,Non stated,,,,,7 Enemas with 60 ml each
2074,100,Pill,,,,,,,,,100 Pills
2075,20,Pill,,,,,,,,,20 Pills
2137,28,Pill,,,,,,,,,28 Pills
2535,100,Pill,,,,,,,,,100 Pills
2536,10,Pill,,,,,,,,,10 Pills
3510,60,Pill,,,,,,,,,60 Pills
3886,700,ml,,,7,Non stated,,,,,7 Enemas with 100 ml each
4253,60,Pill,,,,,,,,,60 Pills
4858,30,Pill,,,,,,,,,30 Pills
5151,,,,,60,Packet / Sachet,,,,,60 Packet / Sachets
5152,,,,,60,Packet / Sachet,,,,,60 Packet / Sachets
5153,,,,,50,Packet / Sachet,,,,,50 Packet / Sachets
5479,100,Pill,,,,,,,,,100 Pills
5798,,,,,60,Packet / Sachet,,,,,60 Packet / Sachets
6809,100,Pill,,,,,,,,,100 Pills
7005,700,ml,,,7,Non stated,,,,,7 Enemas with 100 ml each
7140,12,Pill,,,,,,,,,12 Pills
7257,60,Pill,,,,,,,,,60 Pills
7258,90,Pill,,,,,,,,,90 Pills
7259,,,,,30,Packet / Sachet,,,,,30 Packet / Sachets
7540,,,,,,,,,,,
1949,20,Pill,,,,,,,,,20 Pills
2720,10,Pill,,,,,,,,,10 Pills
5269,,,,,20,Packet / Sachet,,,,,20 Packet / Sachets
2725,20,Pill,,,,,,,,,20 Pills
5130,,,,,16,Packet / Sachet,,,,,16 Packet / Sachets
5131,10,Pill,,,,,,,,,10 Pills
5467,10,Pill,,,,,,,,,10 Pills
5468,20,Pill,,,,,,,,,20 Pills
7541,,,,,,,,,,,
6449,90,Pill,,,,,,,,,90 Pills
6589,112,Pill,,,,,,,,,112 Pills
3888,30,Pill,,,,,,,,,30 Pills
3901,10,Pill,,,,,,,,,10 Pills
3902,30,Pill,,,,,,,,,30 Pills
4069,30,Pill,,,,,,,,,30 Pills
4248,40,Pill,,,,,,,,,40 Pills
5834,30,Pill,,,,,,,,,30 Pills
5997,84,Pill,,,,,,,,,84 Pills
7542,,,,,,,,,,,
2548,100,Pill,,,,,,,,,100 Pills
3408,100,Pill,,,,,,,,,100 Pills
2080,10,ml,,,1,vial,,,,,1 Vial of 10 ml
2333,10,ml,,,1,vial,,,,,1 vial of 10 ml
3290,10,ml,,,1,vial,,,,,1 Vial of 10 ml
5286,10,ml,,,1,vial,,,,,1 vial of 10 ml
2078,10,ml,,,1,vial,,,,,1 vial of 10 ml
3683,15,ml,,,5,Penfill,,,,,5 Penfills of 3 ml each
7053,10,ml,,,1,vial,,,,,1 vial of 10 ml
7080,3,ml,,,1,Cartridge,,,,,1 Cartridge of 3 ml
7430,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
7432,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
2330,15,ml,,,5,Pen,,,,,5 Pens of 3 ml each
5008,15,ml,,,5,Pen,,,,,5 Pens of 3 ml each
5029,15,ml,,,5,Pen,,,,,5 Pens of 3 ml each
3409,10,ml,,,1,vial,,,,,1 Vial of 10 ml
3410,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
2079,10,ml,,,1,vial,,,,,1 Vial of 10 ml
2336,10,ml,,,1,vial,,,,,1 Vial of 10 ml
3291,10,ml,,,1,vial,,,,,1 Vial of 10 ml
5009,10,ml,,,1,vial,,,,,1 Vial of 10 ml
3681,15,ml,,,5,Pen,,,,,5 Pens of 3 ml each
3682,15,ml,,,5,Pen,,,,,5 Pens of 3 ml each
2329,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
5007,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
5027,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
4931,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
2081,10,ml,,,1,vial,,,,,1 vial of 10 ml
2334,10,ml,,,1,vial,,,,,1 Vial of 10 ml
3289,10,ml,,,1,vial,,,,,1 Vial of 10 ml
5285,10,ml,,,1,vial,,,,,1 Vial of 10 ml
2345,10,ml,,,1,vial,,,,,1 Vial of 10 ml
3411,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
5221,4.5,ml,,,3,Pre-filled pen,,,,,3 Prefilled pens of 1.5 ml each
5580,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
6763,6,ml,,,2,Pre-filled pen,,,,,2 Prefilled pens of 3 ml each
4463,15,ml,,,5,Pre-filled pen,,,,,5 Prefilled pens of 3 ml each
7020,9,ml,,,3,Pre-filled pen,,,,,3 Prefilled pens of 3 ml each
7021,9,ml,,,3,Pre-filled pen,,,,,3 Prefilled pens of 3 ml each
5778,9,ml,,,3,Pre-filled pen,,,,,3 Prefilled pens of 3 ml each
2054,56,Pill,,,,,,,,,56 Pills
2657,30,Pill,,,,,,,,,30 Pills
2918,30,Pill,,,,,,,,,30 Pills
3152,30,Pill,,,,,,,,,30 Pills
3186,30,Pill,,,,,,,,,30 Pills
3187,30,Pill,,,,,,,,,30 Pills
3304,30,Pill,,,,,,,,,30 Pills
3305,30,Pill,,,,,,,,,30 Pills
3306,30,Pill,,,,,,,,,30 Pills
3323,30,Pill,,,,,,,,,30 Pills
3335,30,Pill,,,,,,,,,30 Pills
3336,30,Pill,,,,,,,,,30 Pills
3348,30,Pill,,,,,,,,,30 Pills
3612,30,Pill,,,,,,,,,30 Pills
3732,30,Pill,,,,,,,,,30 Pills
3783,30,Pill,,,,,,,,,30 Pills
3865,30,Pill,,,,,,,,,30 Pills
5345,30,Pill,,,,,,,,,30 Pills
5346,30,Pill,,,,,,,,,30 Pills
5347,30,Pill,,,,,,,,,30 Pills
5348,30,Pill,,,,,,,,,30 Pills
5661,30,Pill,,,,,,,,,30 Pills
5662,30,Pill,,,,,,,,,30 Pills
5740,30,Pill,,,,,,,,,30 Pills
7543,,,,,,,,,,,
7544,,,,,,,,,,,
7545,,,,,,,,,,,
7546,,,,,,,,,,,
7547,,,,,,,,,,,
7548,,,,,,,,,,,
7549,,,,,,,,,,,
7550,,,,,,,,,,,
7551,,,,,,,,,,,
3000,100,Pill,,,,,,,,,100 Pills
3351,100,Pill,,,,,,,,,100 Pills
2721,60,Pill,,,,,,,,,60 Pills
3831,30,Pill,,,,,,,,,30 Pills
7552,,,,,,,,,,,
3201,30,Pill,,,,,,,,,30 Pills
3202,30,Pill,,,,,,,,,30 Pills
3203,30,Pill,,,,,,,,,30 Pills
3204,30,Pill,,,,,,,,,30 Pills
3328,30,Pill,,,,,,,,,30 Pills
3329,30,Pill,,,,,,,,,30 Pills
3330,30,Pill,,,,,,,,,30 Pills
3331,30,Pill,,,,,,,,,30 Pills
3725,30,Pill,,,,,,,,,30 Pills
3726,30,Pill,,,,,,,,,30 Pills
3727,30,Pill,,,,,,,,,30 Pills
3994,30,Pill,,,,,,,,,30 Pills
4149,30,Pill,,,,,,,,,30 Pills
4151,30,Pill,,,,,,,,,30 Pills
4152,30,Pill,,,,,,,,,30 Pills
4220,30,Pill,,,,,,,,,30 Pills
4221,30,Pill,,,,,,,,,30 Pills
4222,30,Pill,,,,,,,,,30 Pills
4223,30,Pill,,,,,,,,,30 Pills
7330,30,Pill,,,,,,,,,30 Pills
7331,30,Pill,,,,,,,,,30 Pills
7332,30,Pill,,,,,,,,,30 Pills
7333,30,Pill,,,,,,,,,30 Pills
7489,30,Pill,,,,,,,,,30 Pills
7490,30,Pill,,,,,,,,,30 Pills
7491,30,Pill,,,,,,,,,30 Pills
7553,,,,,,,,,,,
7554,,,,,,,,,,,
7555,,,,,,,,,,,
7556,,,,,,,,,,,
7557,,,,,,,,,,,
2919,30,Pill,,,,,,,,,30 Pills
2920,30,Pill,,,,,,,,,30 Pills
3188,30,Pill,,,,,,,,,30 Pills
3189,30,Pill,,,,,,,,,30 Pills
3307,30,Pill,,,,,,,,,30 Pills
3332,30,Pill,,,,,,,,,30 Pills
3685,30,Pill,,,,,,,,,30 Pills
4497,60,Pill,,,,,,,,,60 Pills
6227,56,Pill,,,,,,,,,56 Pills
6228,30,Pill,,,,,,,,,30 Pills
6229,30,Pill,,,,,,,,,30 Pills
3644,56,Pill,,,,,,,,,56 Pills
3645,56,Pill,,,,,,,,,56 Pills
4951,56,Pill,,,,,,,,,56 Pills
4952,56,Pill,,,,,,,,,56 Pills
4953,28,Pill,,,,,,,,,28 Pills
6785,60,Pill,,,,,,,,,60 Pills
6786,60,Pill,,,,,,,,,60 Pills
6787,60,Pill,,,,,,,,,60 Pills
6964,56,Pill,,,,,,,,,56 Pills
6965,56,Pill,,,,,,,,,56 Pills
7558,,,,,,,,,,,
7559,,,,,,,,,,,
7194,60,Pill,,,,,,,,,60 Pills
7195,60,Pill,,,,,,,,,60 Pills
7560,,,,,,,,,,,
7561,,,,,,,,,,,
7562,,,,,,,,,,,
7563,,,,,,,,,,,
7564,,,,,,,,,,,
7565,,,,,,,,,,,
7212,28,Pill,,,,,,,,,28 Pills
7566,,,,,,,,,,,
5645,60,Pill,,,,,,,,,60 Pills
5646,30,Pill,,,,,,,,,30 Pills
7220,60,Pill,,,,,,,,,60 Pills
7221,60,Pill,,,,,,,,,60 Pills
7496,60,Pill,,,,,,,,,60 Pills
7497,60,Pill,,,,,,,,,60 Pills
7567,,,,,,,,,,,
7568,,,,,,,,,,,
5909,60,Pill,,,,,,,,,60 Pills
5910,30,Pill,,,,,,,,,30 Pills
7569,,,,,,,,,,,
7570,,,,,,,,,,,
7571,,,,,,,,,,,
7572,,,,,,,,,,,
7573,,,,,,,,,,,
6340,30,Pill,,,,,,,,,30 Pills
6341,30,Pill,,,,,,,,,30 Pills
7574,,,,,,,,,,,
7575,,,,,,,,,,,
7576,,,,,,,,,,,
7577,,,,,,,,,,,
5407,60,Pill,,,,,,,,,60 Pills
6925,60,Pill,,,,,,,,,60 Pills
6926,60,Pill,,,,,,,,,60 Pills
6927,60,Pill,,,,,,,,,60 Pills
6932,60,Pill,,,,,,,,,60 Pills
7440,60,Pill,,,,,,,,,60 Pills
7441,60,Pill,,,,,,,,,60 Pills
7578,,,,,,,,,,,
2153,30,Pill,,,,,,,,,30 Pills
3434,30,Pill,,,,,,,,,30 Pills
3461,30,Pill,,,,,,,,,30 Pills
3740,30,Pill,,,,,,,,,30 Pills
5162,30,Pill,,,,,,,,,30 Pills
4878,28,Pill,,,,,,,,,28 Pills
6680,30,Pill,,,,,,,,,30 Pills
7579,,,,,,,,,,,
7580,,,,,,,,,,,
7492,30,Pill,,,,,,,,,30 Pills
7581,,,,,,,,,,,
7582,,,,,,,,,,,
7583,,,,,,,,,,,
7584,,,,,,,,,,,
8329,,,,,,,,,,,
5339,30,Pill,,,,,,,,,30 Pills
5340,30,Pill,,,,,,,,,30 Pills
7211,28,Pill,,,,,,,,,28 Pills
4175,30,Pill,,,,,,,,,30 Pills
7046,30,Pill,,,,,,,,,30 Pills
5542,9,ml,,,3,Pre-filled pen,,,,,3 Prefilled pens of 3 ml each
5005,2,ml,,,4,Pre-filled pen,,,,,4 Prefilled pens of 0.5 ml each
5006,2,ml,,,4,Pre-filled pen,,,,,4 Prefilled pens of 0.5 ml each
7367,2,ml,,,4,Pre-filled pen,,,,,4 Prefilled pens of 0.5 ml each
7436,2,ml,,,4,Pre-filled pen,,,,,4 Prefilled pens of 0.5 ml each
6543,1.5,ml,,,1,Pre-filled pen,,,,,1 Prefilled pen with 4 disposable needles
6544,1.5,ml,,,1,Pre-filled pen,,,,,2 Prefilled pen with 4 disposable needles
6545,3,ml,,,1,Pre-filled pen,,,,,3 Prefilled pens with 4 disposable needles
5109,28,Pill,,,,,,,,,28 Pills
7585,,,,,,,,,,,
7586,,,,,,,,,,,
7587,,,,,,,,,,,
7588,,,,,,,,,,,
5076,30,Pill,,,,,,,,,30 Pills
5077,30,Pill,,,,,,,,,30 Pills
7233,30,Pill,,,,,,,,,30 Pills
7234,30,Pill,,,,,,,,,30 Pills
2325,30,Pill,,,,,,,,,30 Pills
2337,30,Pill,,,,,,,,,30 Pills
2338,30,Pill,,,,,,,,,30 Pills
5828,90,Pill,,,,,,,,,90 Pills
5829,90,Pill,,,,,,,,,90 Pills
5830,90,Pill,,,,,,,,,90 Pills
8316,,,,,,,,,,,
8317,,,,,,,,,,,
8318,,,,,,,,,,,
8319,,,,,,,,,,,
8320,,,,,,,,,,,
8321,,,,,,,,,,,
4243,30,ml,,,,,,,,,30 ml
3091,100,ml,,,,,,,,,100 ml
3103,120,ml,,,,,,,,,120 ml
7589,,,,,,,,,,,
7590,,,,,,,,,,,
2908,30,Pill,,,,,,,,,30 Pills
4215,100,ml,,,10,Ampule,,,,,10 Ampules of 10 ml each
3890,30,Pill,,,,,,,,,30 Pills
7591,,,,,,,,,,,
7592,,,,,,,,,,,
7593,,,,,,,,,,,
7594,,,,,,,,,,,
7595,,,,,,,,,,,
7596,,,,,,,,,,,
3597,50,ml,,,,,,,,,50 ml
3640,30,Pill,,,,,,,,,30 Pills
4247,30,Pill,,,,,,,,,30 Pills
4508,30,Pill,,,,,,,,,30 Pills
4517,15,ml,,,,,,,,,15 ml
4571,30,Pill,,,,,,,,,30 Pills
4600,24,ml,,,,,,,,,24 ml
4636,10,Pill,,,,,,,,,10 Pills
4650,,,,,4,Ampule,,,,,4 Ampules
4693,30,Pill,,,,,,,,,30 Pills
5429,12,Pill,,,,,,,,,12 Pills
5748,10,Pill,,,,,,,,,10 Pills
5759,2,ml,,,1,Ampule,,,,,1 Ampule of 2 ml
5809,6,ml,,,6,Ampule,,,,,6 Ampules of 1 ml each
5868,2.5,ml,,,1,Vial,,,,,1 Vial of 2.5 ml
5912,15,Pill,,,,,,,,,15 Pills
6021,15,Pill,,,,,,,,,15 Pills
6063,15,Pill,,,,,,,,,15 Pills
6107,10,Pill,,,1,Box,,,,,1 Box of 10 Pills
6108,30,Pill,,,,,,,,,30 Pills
6143,30,Pill,,,,,,,,,30 Pills
6273,30,Pill,,,,,,,,,30 Pills
6274,30,Pill,,,,,,,,,30 Pills
6275,30,Pill,,,,,,,,,30 Pills
6315,30,Pill,,,,,,,,,30 Pills
6317,8,Pill,,,,,,,,,8 Pills
6635,30,Pill,,,,,,,,,30 Pills
6703,30,Pill,,,,,,,,,30 Pills
6726,30,Pill,,,,,,,,,30 Pills
6992,30,Pill,,,,,,,,,30 Pills
7117,2,ml,,,1,Ampule,,,,,1 Ampule of 2 ml
7155,10,Pill,,,,,,,,,10 Pills
5866,10,ml,,,,,,,,,10 ml
5952,10,Pill,,,,,,,,,10 Pills
2151,20,Pill,,,,,,,,,20 Pills
2152,9,ml,,,3,Ampule,,,,,3 Ampules of 3 ml each
3622,30,Pill,,,,,,,,,30 Pills
4698,15,ml,,,5,Ampule,,,,,5 Ampules of 3 ml each
4750,20,Pill,,,,,,,,,20 Pills
