MoPHCode	RegistrationNumber	DrugName	Presentation	Agent	Manufacturer	Country	Public Price LL	Pharmacist Margin	Stratum	public price Decision 119/1 20230126	Responsible Party Name	Responsible Party Country	Exch_Dates
11148	8923/1	5% DEXTROSE INJECTION USP	500ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	208,002	16.67		2.32			2/4/2025
11149	9023/1	5% DEXTROSE INJECTION USP	1000ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	224,090	16.67		2.50			2/4/2025
8733	66316/1	5-FLUOROURACIL EBEWE	1	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	653,107	23.08	A1	7.30	Ebewe Pharma GesmbH.NFG.KG	Austria	2/4/2025
10544	70720/1	A.B.C.-COLD	20	Pharmadex	Pharmadex	Lebanon	534,977	23.08	A1	5.98			2/4/2025
10548	167320/1	A.S HEART	30	Pharmadex	Pharmadex	Lebanon	148,463	23.08	A1	1.66			2/4/2025
9325	42316/1	ABILIFY MAINTENA	1Vial of powder +1Vial of 2ml solvent	Sadco	H. Lundbeck AS	Denmark	29,491,998	19.35	D	329.52	H. Lundbeck AS	Denmark	2/4/2025
10698	77116/1	ABIPREX 10	30	Benta Trading Co s.a.l.	Benta SAL	Lebanon	1,075,074	23.08	B	12.01			2/4/2025
10699	77216/1	ABIPREX 15	30	Benta Trading Co s.a.l.	Benta SAL	Lebanon	1,075,074	23.08	B	12.01			2/4/2025
10966	91022/1	ABIRATERONE ACETATE NEAPOLIS	120	Medis Pharm Drugstore	Neapolis Pharma	Tunisia	197,778,023	2.44	E2	2,209.81	Neapolis Pharma	Tunisia	2/4/2025
10993	6421/1	ABIRATERONE ACETATE SPC	120	Advanced Healthcare Services SAL	Pharmaline SAL Licensed by Sudair Pharma Company, KSA	Lebanon	141,687,170	2.44	E2	1,583.10			2/4/2025
11432	113920/1	ABLAX 250	120	Benta Trading Co s.a.l.	Manufactured by MSN Laboratories Private Ltd, India for Benta SAL	Lebanon	45,056,853	10.71	E1	503.43			2/4/2025
11691	152623/1	ABLAX 500	60	Benta Trading Co s.a.l.	Manufactured by MSN Laboratories Private Ltd, India for Benta SAL	Lebanon	45,056,853	10.71	E1	503.43			2/4/2025
11001	93321/1	ABRAXANE	1 Vial	Droguerie de l'Union	Abraxis BioScience LLC	USA	17,850,751	19.35	D	199.45	Bristol-Myers Squibb Pharma EEIG	Ireland	2/4/2025
10796	52919/1	ABREMIA	120	Droguerie de l'Union	The Arab Pharmaceutical Manufacturing PSC	Jordan	77,478,802	2.44	E1	865.68	Hikma Pharmaceuticals	Jordan	2/4/2025
11325	147822/1	ABRILADA	2prefilled syringes 0.8ml + 2alcohol pads	Food & Drug Corporation FDC	Catalent Indiana, LLC	USA	40,259,574	10.71	E1	449.83	Pfizer Europe MA EEIG	Belgium	2/4/2025
11326	147922/1	ABRILADA	2prefilled pens 0.8ml + 2alcohol pads	Food & Drug Corporation FDC	Catalent Indiana, LLC	USA	40,259,574	10.71	E1	449.83	Pfizer Europe MA EEIG	Belgium	2/4/2025
9058	43417/1	ABSTRAL	10	Droguerie Mercury S.A.L.	Recipharm Leganes S.L.U.	Spain	3,419,743	23.08	B	38.21	Kyowa Kirin Limited	UK	2/4/2025
9059	43217/1	ABSTRAL	10	Droguerie Mercury S.A.L.	Recipharm Leganes S.L.U.	Spain	5,261,143	23.08	B	58.78	Kyowa Kirin Limited	UK	2/4/2025
9362	128817/1	ACAMPROSATE BIOGARAN	180	Commercial and Trading Ressources SAL (CTR)	Laboratoires BTT	France	3,641,813	23.08	B	40.69	Laboratoires Biogaran	France	2/4/2025
11187	71121/1	ACARIZAX 12 SQ-HDM ORAL LYOPHILISATE	30 (3x10)	Droguerie de l'Union	Catalent UK Swindon Zydis Ltd	UK	9,366,451	21.26	C	104.65	ALK-Abello A/S	Denmark	2/4/2025
5143	23624/06	ACC LONG	10	Khalil Fattal & Fils S.A.L.	Salutas Pharma  GmbH for Hexal AG	Germany	286,238	23.08	A1	3.20			2/4/2025
10970	102221/1	ACEBUTOLOL BIOGARAN	30	Commercial and Trading Ressources SAL (CTR)	Anpharm Przedsiebiorstwo Farmaceutyczne SA	Poland	615,480	23.08	A1	6.88	Laboratoires Biogaran	France	2/4/2025
10971	102121/1	ACEBUTOLOL BIOGARAN	30	Commercial and Trading Ressources SAL (CTR)	Anpharm Przedsiebiorstwo Farmaceutyczne SA	Poland	464,970	23.08	A1	5.20	Laboratoires Biogaran	France	2/4/2025
11508	53923/1	ACETAZOLAMIDE	100	Promopharm S.A.R.L.	Apotex Inc	Canada	1,001,163	23.08	A2	11.19	AA Pharma Inc.	Canada	2/4/2025
8141	31215/1	ACFOL	50	Pharmapro	Mediphar Laboratories	Lebanon	355,798	23.08	A1	3.98			2/4/2025
11867	77024/1	ACHONID GEL	Tube of 60g	Benta Trading Co s.a.l.	Manufactured by Benta Lyon, France for Benta SAL	Lebanon	179,179	23.08	A1	2.00			2/4/2025
9768	98218/1	ACIDE ALENDRONIQUE/ VITAMINE D3 BGR	4	Commercial and Trading Ressources SAL (CTR)	Pharmathen International SA	Greece	815,712	23.08	A2	9.11	Laboratoires Biogaran	France	2/4/2025
11819	78424/1	ACIDE FUSIDIQUE BGR	Tube de 15g	Commercial and Trading Ressources SAL (CTR)	Misom Labs Ltd	Malta	202,920	23.08	A1	2.27	Laboratoires Biogaran	France	2/4/2025
11499	4723/1	ACLASTA	1vial	Khalil Fattal & Fils S.A.L.	Fresenius Kabi Austria GmbH	Austria	21,075,062	19.35	D	235.48	Sandoz Pharmaceuticals AG	Switzerland	2/4/2025
8593	1416/1	A-CNOTREN	30	Bellapharma S.A.R.L.	Pharmadex under license from Pharmathen SA, Greece	Lebanon	1,390,057	23.08	A2	15.53			2/4/2025
5900	218156/09	ACTEMRA	1Vial	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	11,127,864	21.26	C	124.33	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
5901	218157/09	ACTEMRA	1 Vial	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	25,485,937	19.35	D	284.76	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
5902	218158/09	ACTEMRA	1Vial	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan	47,925,322	10.71	E1	535.48	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
8202	42115/1	ACTEMRA	4Prefilled syringes	Omnipharma	Vetter Pharma- Fertigung GmbH & Co KG	Germany	79,959,812	10.71	E1	893.41	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
2481	78773	ACTICARBINE	42	Pharmamedic S.A.R.L.	Elerte	France	311,771	23.08	A1	3.48			2/4/2025
2224	38681/96	ACTILYSE	2	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany	91,949,371	2.44	E2	1,027.37	Boehringer Ingelheim International GmbH 	Germany	2/4/2025
5781	219553/09	ACTISOUFRE	100ml	Pharmamedic S.A.R.L.	Grimberg	France	740,457	23.08	A2	8.27	Grimberg	France	2/4/2025
4405	78770/98	ACTI-VIR	25	Pharmapro	Mediphar Laboratories	Lebanon	1,039,238	23.08	B	11.61			2/4/2025
8870	52515/1	ACTI-VIR H	5g	Pharmapro	Mediphar Laboratories	Lebanon	833,182	23.08	A2	9.31			2/4/2025
9595	61618/1	ACTONORM	200ml	Taba Chemipharm	Laleham Health and Beauty Limited	UK	425,998	23.08	A1	4.76	Wallace Manufacturing Chemists Ltd	UK	2/4/2025
1340	973726/02	ACTOS	30	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan	2,484,765	23.08	B	27.76			2/4/2025
5959	23608/06	ACTOS	30	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan	1,243,054	23.08	A2	13.89			2/4/2025
9705	179817/1	ACTOSMET	56	Abela Frères S.A.L.	Daito Pharmaceutical Co Ltd, Toyama, Japan, under licensed from Takeda Pharmaceuticals International AG, Switzerland	Japan	3,101,588	23.08	B	34.65	The Arab Pharmaceutical Manufacturing PSC	Jordan	2/4/2025
2023	26460	ACTRAPID	10ml	Mersaco	Novo Nordisk AS	Denmark	752,552	23.08	A2	8.41			2/4/2025
8497	144814/1	ACTRAPID	10ml	Mersaco	Novo Nordisk Production SAS, Chartres	France	752,552	23.08	A2	8.41	Novo Nordisk AS	Denmark	2/4/2025
6060	24959/07	ACUPAN	5	Pharmamedic S.A.R.L.	Biocodex	France	365,525	23.08	A1	4.08	Biocodex	France	2/4/2025
6480	168203/10	ACURIL	28	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	614,136	23.08	A1	6.86	Bluepharma Industria Farmaceutica SA	Portugal	2/4/2025
6481	168202/10	ACURIL	28	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	497,222	23.08	A1	5.56	Bluepharma Industria Farmaceutica SA	Portugal	2/4/2025
7244	96648/12	ACURIL	28	Qualipharm	Bluepharma Industria Farmaceutica SA	Portugal	810,337	23.08	A2	9.05	Bluepharma Industria Farmaceutica SA	Portugal	2/4/2025
11585	106523/1	ADALIREL	box of 0.8ml in PFS fo subcutaneous use	Levant Pulse SARL	Reliance Life Sciences pvt Ltd	India	15,102,158	19.35	D	168.74	Reliance Life Sciences pvt Ltd	India	2/4/2025
7970	119414/1	ADCETRIS	1Vial	Century Pharma SAL	Takeda Austria GmbH	Austria	298,266,862	2.44	E2	3,332.59	Takeda Pharma AS	Denmark	2/4/2025
10707	92920/1	ADDAVEN		Benta Trading Co s.a.l.	Fresenius Kabi Norg AS	Norway	4,065,124	23.08	B	45.42	Fresenius Kabi AB	Sweden	2/4/2025
4468	24279	ADELPHAN ESIDREX	30	Mephico S.A.L.	Mephico SAL	Lebanon	371,157	23.08	A1	4.15			2/4/2025
9590	93318/1	ADENURIC	28	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	2,127,111	23.08	B	23.77			2/4/2025
9602	107818/1	ADENURIC	28	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	2,184,704	23.08	B	24.41			2/4/2025
10163	79719/1	ADENURIC	28	Droguerie de l'Union	Fully manufactured by Algorithm S.A.L. under license from Teijin Pharma Ltd Japan	Lebanon	1,687,866	23.08	B	18.86			2/4/2025
1341	208895/03	ADOL	135ml	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	192,169	23.08	A1	2.15			2/4/2025
3371	78843/98	ADOL	10	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	107,507	23.08	A1	1.20			2/4/2025
3434	78844/98	ADOL	10	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	124,977	23.08	A1	1.40			2/4/2025
3436	78845/98	ADOL	10	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	131,697	23.08	A1	1.47			2/4/2025
3740	78846/98	ADOL	24	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	81,974	23.08	A1	0.92			2/4/2025
1709	973937/02	ADOL EXTRA	24	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	122,290	23.08	A1	1.37			2/4/2025
4861	26/95	ADRENALINE 1 MG  I.V.	100 x 1ml	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	2,239,738	23.08	B	25.03			2/4/2025
11025	43121/1	ADRENALINE AGUETTANT 	10Prefilled Syringes	Pharmamed	Aguettant	France	13,990,891	19.35	D	156.32	Aguettant	France	2/4/2025
2097	H0744/92	ADRENALINE RENAUDIN	10x1ml	Minapharm Halabi	Renaudin 	France	444,812	23.08	A1	4.97	Renaudin 		2/4/2025
7809	81614/1	ADRENALINE SALF	5Amp x 1ml	New Europharm	SALFSpA Laboratorio Farmacologico	Italy	220,390	23.08	A1	2.46	SALFSpA Laboratorio Farmacologico	Italy	2/4/2025
6549	167734/10	ADROMUX 	1	Droguerie Phenicia	Gador SA	Argentine	821,088	23.08	A2	9.17	Gador SA	Argentine	2/4/2025
7639	186521/13	ADVAGRAF	100	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	13,297,758	21.26	C	148.58	Hikma Pharmaceuticals	Jordan	2/4/2025
7640	186522/13	ADVAGRAF	100	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	25,729,044	19.35	D	287.48	Hikma Pharmaceuticals	Jordan	2/4/2025
7641	186523/13	ADVAGRAF	100	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	68,645,618	10.71	E1	766.99	Hikma Pharmaceuticals	Jordan	2/4/2025
7642	186524/13	ADVAGRAF	100	Abela Frères S.A.L.	Astellas Ireland Co Ltd	Ireland	85,485,667	2.44	E2	955.15	Hikma Pharmaceuticals	Jordan	2/4/2025
10363	94820/1	ADVANTAN	20g	UPO S.A.L.	Leo Pharma Manufacturing Italy SRL	Italy	385,683	23.08	A1	4.31	Leo Pharma A/S	Denmark	2/4/2025
10364	94920/1	ADVANTAN	20g	UPO S.A.L.	Leo Pharma Manufacturing Italy SRL	Italy	385,683	23.08	A1	4.31	Leo Pharma A/S	Denmark	2/4/2025
10892	77021/1	ADVIL	50	Sadco	Pf Consumer Healthcare Canada ULC	Canada	321,178	23.08	A1	3.59	GlaxoSmithKline Consumer Healthcare ULC	Canada	2/4/2025
10887	76921/1	ADVIL COLD & SINUS	20	Sadco	Pf Consumer Healthcare Canada ULC	Canada	288,926	23.08	A1	3.23	GlaxoSmithKline Consumer Healthcare ULC	Canada	2/4/2025
10891	97321/1	ADVIL LIQUI-GELS	32	Sadco	Pf Consumer Healthcare Canada ULC	Canada	464,970	23.08	A1	5.20	GlaxoSmithKline Consumer Healthcare ULC	Canada	2/4/2025
9523	48818/1	ADVIL LIQUI-GELS EXTRA STRENGTH	24	Droguerie Mercury S.A.L.	Pf Consumer Healthcare Canada ULC	Canada	575,165	23.08	A1	6.43	Pfizer Consumer Healthcare a division of Pfizer Canada ULC	Canada	2/4/2025
6986	97366/12	AERIALLERG	125ml	Picomed SARL	Pharma International Co	Jordan	200,233	23.08	A1	2.24	Pharma International Co	Jordan	2/4/2025
7562	167742/11	AERIALLERG	30	Picomed SARL	Pharma International Co	Jordan	400,465	23.08	A1	4.47	Pharma International Co	Jordan	2/4/2025
5182	24888/07	AERIUS	150ml	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium	403,153	23.08	A1	4.50			2/4/2025
7509	186613/13	AERIUS	30	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium	430,030	23.08	A1	4.80	Merck Sharp & Dohme Ltd	UK	2/4/2025
11702	65022/1	AERIUS	30	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium	430,030	23.08	A1	4.80	N.V. Organon	The Netherlands	2/4/2025
7445	219222/09	AEROCORT-A HFA	200metered doses	Droguerie de l'Union	Cipla Ltd	India	541,569	23.08	A1	6.05	Cipla Ltd	India	2/4/2025
9346	216/1	AETHOXYSKLEROL	5Ampoules x 2ml	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	2,576,146	23.08	B	28.78	Chemische Fabrik Kreussler & Co GmbH	Germany	2/4/2025
9347	416/1	AETHOXYSKLEROL	5Ampoules x 2ml	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	1,441,943	23.08	B	16.11	Chemische Fabrik Kreussler & Co GmbH	Germany	2/4/2025
9348	316/1	AETHOXYSKLEROL	5Ampoules x 2ml	Medway Healthcare SARL Single Partner	Chemische Fabrik Kreussler & Co GmbH	Germany	1,732,213	23.08	B	19.35	Chemische Fabrik Kreussler & Co GmbH	Germany	2/4/2025
5897	218674/10	AFINITOR	30	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland	131,011,289	2.44	E2	1,463.81	Novartis Pharma AG	Switzerland	2/4/2025
6930	96704/12	AFINITOR	30	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland	188,597,956	2.44	E2	2,107.24	Novartis Pharma AG	Switzerland	2/4/2025
5489	219721/09	AGGRASTAT	1x50ml	Droguerie de l'Union	Algorithm S.A.L. under license from Cardiome International AG USA	Lebanon	18,280,324	19.35	D	204.25			2/4/2025
7282	219456/09	AGGRIX 75	28	Macromed S.A.R.L.	Midpharma	Jordan	1,204,083	23.08	A2	13.45	Midpharma	Jordan	2/4/2025
9833	193718/1	AIMOVIG	pre-filled pen	Khalil Fattal & Fils S.A.L.	Amgen Manufacturing Ltd	USA	35,423,371	19.35	D	395.79	Novartis Pharma AG	Switzerland	2/4/2025
7864	96553/12	AIRFAST	30	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	802,274	23.08	A2	8.96	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	2/4/2025
11890	72221/1	AIRFAST PEDIATRICS	28	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	880,217	23.08	A2	9.83	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	2/4/2025
482	27943/95	AIRTAL 100MG 20	20	Droguerie Phenicia	Industrias Farmaceuticas Almirall, S.A.	Spain	471,689	23.08	A1	5.27	Almirall SA	Spain	2/4/2025
571	974097/02	AIRTAL DIFUCREM 1.5%	60g	Droguerie Phenicia	Almirall Hermal GmbH	Germany	536,193	23.08	A1	5.99	Almirall SA	Spain	2/4/2025
11171	134121/1	AKLIEF	75g	Raymond Georges Abou Adal & Co	Galderma	France	4,359,425	23.08	B	48.71	Galderma International	France	2/4/2025
8551	26816/1	AKYNZEO	1	Mersaco	Helsinn Birex Pharmaceuticals Ltd	Ireland	7,364,372	21.26	C	82.28	Helsinn Birex Pharmaceuticals Ltd	Ireland	2/4/2025
1350	973998/02	ALBENDA	2	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	116,914	23.08	A1	1.31			2/4/2025
1351	973999/02	ALBENDA	20ml	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	129,009	23.08	A1	1.44			2/4/2025
3487	148247/03	ALBUTEIN	100ml	Alfamed S.A.L.	Grifols Biologicals LLC	USA	7,154,928	21.26	C	79.94	Grifols Biologicals LLC	USA	2/4/2025
3489	148245/03	ALBUTEIN	50ml	Alfamed S.A.L.	Grifols Biologicals LLC	USA	4,031,528	23.08	B	45.05	Grifols Biologicals LLC	USA	2/4/2025
8794	110115/1	ALDACTONE	20	Droguerie Fattal  S.A.L.	Piramal Healthcare UK Ltd	UK	237,860	23.08	A1	2.66	Pfizer Ltd	UK	2/4/2025
10396	197819/1	ALDACTONE	10	Droguerie Fattal  S.A.L.	Piramal Healthcare UK Ltd	UK	458,250	23.08	A1	5.12	Pfizer Ltd	UK	2/4/2025
5783	218737/10	ALDARA	12 Sachets	Omnipharma	CPM ContractPharma GmbH & Co KG	Germany	6,301,277	23.08	B	70.41	Meda Pharma GmbH & Co KG	Germany	2/4/2025
9772	160618/1	ALDEX	50ml Viaflex bag	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	174,062	16.67		1.94			2/4/2025
9790	160718/1	ALDEX	100ml Viaflex bag	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	174,062	16.67		1.94			2/4/2025
9791	193318/1	ALDEX	250ml Viaflex bag	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	170,630	16.67		1.91			2/4/2025
9792	177618/1	ALDEX	500ml Viaflex bag	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	182,720	16.67		2.04			2/4/2025
9793	177718/1	ALDEX	1000ml Viaflex bag	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	205,933	16.67		2.30			2/4/2025
4304	11283	ALDOMET	30	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	586,792	23.08	A1	6.56			2/4/2025
4314	20919	ALDOMET	30	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	780,120	23.08	A2	8.72			2/4/2025
11061	52422/1	ALDURAZYME	1Vial x 5ml	Mersaco	Euroapi UK Limited	UK	57,138,680	10.71	E1	638.42	Aventis Pharma Ltd	UK	2/4/2025
9459	178617/1	ALECENSA	224	Omnipharma	Excella GmbH	Germany	490,837,809	2.44	E2	5,484.22	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
6691	97043/12	ALERGICAL EXPECTORANT	150ml	Taba Chemipharm	Laboratorio Reig Jofre SA	Spain	485,127	23.08	A1	5.42	Instituto Llorente	Spain	2/4/2025
